year,regtyp,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Urban regions,Yes,0.47749,4166,7493,0.46618,0.48881
2005,Urban regions,No,0.52251,3327,7493,0.51119,0.53382
2005,Rural regions,Yes,0.43983,1793,3608,0.42363,0.45603
2005,Rural regions,No,0.56017,1815,3608,0.54397,0.57637
2007,Urban regions,Yes,0.56856,4834,7551,0.55739,0.57973
2007,Urban regions,No,0.43144,2717,7551,0.42027,0.44261
2007,Rural regions,Yes,0.48891,2141,3815,0.47305,0.50477
2007,Rural regions,No,0.51109,1674,3815,0.49523,0.52695
2011,Urban regions,Yes,0.69110,5944,7835,0.68086,0.70133
2011,Urban regions,No,0.30890,1891,7835,0.29867,0.31914
2011,Rural regions,Yes,0.61557,2824,4187,0.60084,0.63031
2011,Rural regions,No,0.38443,1363,4187,0.36969,0.39916
2013,Urban regions,Yes,0.75246,7708,9328,0.74370,0.76122
2013,Urban regions,No,0.24754,1620,9328,0.23878,0.25630
2013,Rural regions,Yes,0.67210,3367,4544,0.65845,0.68575
2013,Rural regions,No,0.32790,1177,4544,0.31425,0.34155
2014,Urban regions,Yes,0.76403,8796,10362,0.75586,0.77221
2014,Urban regions,No,0.23597,1566,10362,0.22779,0.24414
2014,Rural regions,Yes,0.68747,4254,5414,0.67512,0.69981
2014,Rural regions,No,0.31253,1160,5414,0.30019,0.32488
2015,Urban regions,Yes,0.78699,8960,10357,0.77910,0.79488
2015,Urban regions,No,0.21301,1397,10357,0.20512,0.22090
2015,Rural regions,Yes,0.72306,4343,5364,0.71109,0.73504
2015,Rural regions,No,0.27694,1021,5364,0.26496,0.28891
2016,Urban regions,Yes,0.80514,9327,10809,0.79767,0.81261
2016,Urban regions,No,0.19486,1482,10809,0.18739,0.20233
2016,Rural regions,Yes,0.75401,4520,5572,0.74270,0.76532
2016,Rural regions,No,0.24599,1052,5572,0.23468,0.25730
2017,Urban regions,Yes,0.82826,10748,12020,0.82152,0.83500
2017,Urban regions,No,0.17174,1272,12020,0.16500,0.17848
2017,Rural regions,Yes,0.77231,5308,6233,0.76189,0.78272
2017,Rural regions,No,0.22769,925,6233,0.21728,0.23811
2018,Urban regions,Yes,0.84163,10817,11926,0.83507,0.84818
2018,Urban regions,No,0.15837,1109,11926,0.15182,0.16493
2018,Rural regions,Yes,0.78224,5140,5936,0.77174,0.79274
2018,Rural regions,No,0.21776,796,5936,0.20726,0.22826
2019,No answer / don't know,Yes,0.90069,440,440,0.87271,0.92867
2019,Urban regions,Yes,0.86230,11103,11968,0.85612,0.86847
2019,Urban regions,No,0.13770,865,11968,0.13153,0.14388
2019,Rural regions,Yes,0.81607,5357,5982,0.80625,0.82589
2019,Rural regions,No,0.18393,625,5982,0.17411,0.19375
2020,Urban regions,Yes,0.91577,2221,2366,0.90458,0.92696
2020,Urban regions,No,0.08423,145,2366,0.07304,0.09542
2020,Rural regions,Yes,0.92843,603,603,0.90784,0.94902
2021,Urban regions,Yes,0.90288,8201,8616,0.89663,0.90913
2021,Urban regions,No,0.09712,415,8616,0.09087,0.10337
2021,Rural regions,Yes,0.85378,3602,3942,0.84275,0.86482
2021,Rural regions,No,0.14622,340,3942,0.13518,0.15725
