"hlf0178_h","year","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2005","1 Einkommensschwächstes Quintil","","","",""
"Ja","2005","2","2961","0.507445066542361","0.494157350357311","0.520732782727412"
"Ja","2005","3","3228","0.550785673292811","0.537617173329013","0.563954173256608"
"Ja","2005","4","3803","0.631535228292784","0.61871059093223","0.644359865653338"
"Ja","2005","5 Einkommensstärkstes Quintil","","","",""
"Nein","2005","1 Einkommensschwächstes Quintil","","","",""
"Nein","2005","2","2477","0.492554933457639","0.479267217272588","0.505842649642689"
"Nein","2005","3","2253","0.449214326707189","0.436045826743392","0.462382826670987"
"Nein","2005","4","1632","0.368464771707216","0.355640134346662","0.38128940906777"
"Nein","2005","5 Einkommensstärkstes Quintil","","","",""
"Ja","2006","1 Einkommensschwächstes Quintil","","","",""
"Ja","2006","2","","","",""
"Ja","2006","3","","","",""
"Ja","2006","4","","","",""
"Ja","2006","5 Einkommensstärkstes Quintil","","","",""
"Nein","2006","1 Einkommensschwächstes Quintil","","","",""
"Nein","2006","2","","","",""
"Nein","2006","3","","","",""
"Nein","2006","4","","","",""
"Nein","2006","5 Einkommensstärkstes Quintil","","","",""
"Ja","2007","1 Einkommensschwächstes Quintil","","","",""
"Ja","2007","2","3300","0.580691381683939","0.567513230028273","0.593869533339605"
"Ja","2007","3","3831","0.641407442374113","0.628818382807327","0.653996501940899"
"Ja","2007","4","4412","0.721787405226161","0.710156124768747","0.733418685683574"
"Ja","2007","5 Einkommensstärkstes Quintil","","","",""
"Nein","2007","1 Einkommensschwächstes Quintil","","","",""
"Nein","2007","2","2086","0.419308618316061","0.406130466660395","0.432486769971727"
"Nein","2007","3","1744","0.358592557625887","0.346003498059101","0.371181617192673"
"Nein","2007","4","1290","0.278212594773839","0.266581314316426","0.289843875231253"
"Nein","2007","5 Einkommensstärkstes Quintil","","","",""
"Ja","2008","1 Einkommensschwächstes Quintil","","","",""
"Ja","2008","2","","","",""
"Ja","2008","3","","","",""
"Ja","2008","4","","","",""
"Ja","2008","5 Einkommensstärkstes Quintil","","","",""
"Nein","2008","1 Einkommensschwächstes Quintil","","","",""
"Nein","2008","2","","","",""
"Nein","2008","3","","","",""
"Nein","2008","4","","","",""
"Nein","2008","5 Einkommensstärkstes Quintil","","","",""
"Ja","2009","1 Einkommensschwächstes Quintil","","","",""
"Ja","2009","2","","","",""
"Ja","2009","3","","","",""
"Ja","2009","4","","","",""
"Ja","2009","5 Einkommensstärkstes Quintil","","","",""
"Nein","2009","1 Einkommensschwächstes Quintil","","","",""
"Nein","2009","2","","","",""
"Nein","2009","3","","","",""
"Nein","2009","4","","","",""
"Nein","2009","5 Einkommensstärkstes Quintil","","","",""
"Ja","2010","1 Einkommensschwächstes Quintil","","","",""
"Ja","2010","2","","","",""
"Ja","2010","3","","","",""
"Ja","2010","4","","","",""
"Ja","2010","5 Einkommensstärkstes Quintil","","","",""
"Nein","2010","1 Einkommensschwächstes Quintil","","","",""
"Nein","2010","2","","","",""
"Nein","2010","3","","","",""
"Nein","2010","4","","","",""
"Nein","2010","5 Einkommensstärkstes Quintil","","","",""
"Ja","2011","1 Einkommensschwächstes Quintil","","","",""
"Ja","2011","2","3406","0.655165179049673","0.641531372903669","0.668798985195676"
"Ja","2011","3","3911","0.694206912268847","0.681661076624034","0.70675274791366"
"Ja","2011","4","5643","0.833970221387558","0.824930413075345","0.843010029699772"
"Ja","2011","5 Einkommensstärkstes Quintil","","","",""
"Nein","2011","1 Einkommensschwächstes Quintil","","","",""
"Nein","2011","2","1263","0.344834820950328","0.331201014804324","0.358468627096331"
"Nein","2011","3","1270","0.305793087731153","0.29324725208634","0.318338923375966"
"Nein","2011","4","866","0.166029778612442","0.156989970300228","0.175069586924655"
"Nein","2011","5 Einkommensstärkstes Quintil","","","",""
"Ja","2012","1 Einkommensschwächstes Quintil","","","",""
"Ja","2012","2","","","",""
"Ja","2012","3","","","",""
"Ja","2012","4","","","",""
"Ja","2012","5 Einkommensstärkstes Quintil","","","",""
"Nein","2012","1 Einkommensschwächstes Quintil","","","",""
"Nein","2012","2","","","",""
"Nein","2012","3","","","",""
"Nein","2012","4","","","",""
"Nein","2012","5 Einkommensstärkstes Quintil","","","",""
"Ja","2013","1 Einkommensschwächstes Quintil","","","",""
"Ja","2013","2","4759","0.72537247359675","0.713883029697241","0.736861917496258"
"Ja","2013","3","5197","0.759922714880487","0.749303613347028","0.770541816413946"
"Ja","2013","4","6825","0.854040253983191","0.846107207135395","0.861973300830987"
"Ja","2013","5 Einkommensstärkstes Quintil","","","",""
"Nein","2013","1 Einkommensschwächstes Quintil","","","",""
"Nein","2013","2","1038","0.27462752640325","0.263138082503742","0.286116970302759"
"Nein","2013","3","1018","0.240077285119513","0.229458183586054","0.250696386652972"
"Nein","2013","4","784","0.145959746016809","0.138026699169013","0.153892792864606"
"Nein","2013","5 Einkommensstärkstes Quintil","","","",""
"Ja","2014","1 Einkommensschwächstes Quintil","","","",""
"Ja","2014","2","6753","0.751634991367086","0.742055110965409","0.761214871768762"
"Ja","2014","3","7168","0.772917996717167","0.76386018913122","0.781975804303114"
"Ja","2014","4","8730","0.841903195856697","0.834612386316703","0.84919400539669"
"Ja","2014","5 Einkommensstärkstes Quintil","","","",""
"Nein","2014","1 Einkommensschwächstes Quintil","","","",""
"Nein","2014","2","1061","0.248365008632914","0.238785128231238","0.257944889034591"
"Nein","2014","3","1050","0.227082003282833","0.218024195696887","0.23613981086878"
"Nein","2014","4","889","0.158096804143303","0.15080599460331","0.165387613683297"
"Nein","2014","5 Einkommensstärkstes Quintil","","","",""
"Ja","2015","1 Einkommensschwächstes Quintil","","","",""
"Ja","2015","2","6274","0.755039411536754","0.74510631618074","0.764972506892768"
"Ja","2015","3","7090","0.804483085075164","0.795772238598185","0.813193931552143"
"Ja","2015","4","8765","0.865217924578342","0.858357811863952","0.872078037292733"
"Ja","2015","5 Einkommensstärkstes Quintil","","","",""
"Nein","2015","1 Einkommensschwächstes Quintil","","","",""
"Nein","2015","2","927","0.244960588463246","0.235027493107232","0.25489368381926"
"Nein","2015","3","873","0.195516914924836","0.186806068447857","0.204227761401815"
"Nein","2015","4","754","0.134782075421658","0.127921962707267","0.141642188136048"
"Nein","2015","5 Einkommensstärkstes Quintil","","","",""
"Ja","2016","1 Einkommensschwächstes Quintil","","","",""
"Ja","2016","2","5666","0.782322890692497","0.772253566785554","0.79239221459944"
"Ja","2016","3","6146","0.816237135479149","0.807076338841083","0.825397932117214"
"Ja","2016","4","8574","0.874166658453415","0.867413655698141","0.880919661208689"
"Ja","2016","5 Einkommensstärkstes Quintil","","","",""
"Nein","2016","1 Einkommensschwächstes Quintil","","","",""
"Nein","2016","2","786","0.217677109307503","0.207607785400561","0.227746433214446"
"Nein","2016","3","720","0.183762864520851","0.174602067882786","0.192923661158917"
"Nein","2016","4","692","0.125833341546585","0.119080338791311","0.132586344301859"
"Nein","2016","5 Einkommensstärkstes Quintil","","","",""
"Ja","2017","1 Einkommensschwächstes Quintil","","","",""
"Ja","2017","2","5896","0.816603025878577","0.807226084385411","0.825979967371743"
"Ja","2017","3","6670","0.832130894773684","0.823591061137797","0.840670728409571"
"Ja","2017","4","9547","0.88640776538986","0.88024191018261","0.892573620597111"
"Ja","2017","5 Einkommensstärkstes Quintil","","","",""
"Nein","2017","1 Einkommensschwächstes Quintil","","","",""
"Nein","2017","2","647","0.183396974121423","0.174020032628257","0.192773915614589"
"Nein","2017","3","688","0.167869105226316","0.159329271590429","0.176408938862203"
"Nein","2017","4","627","0.11359223461014","0.107426379402889","0.11975808981739"
"Nein","2017","5 Einkommensstärkstes Quintil","","","",""
"Ja","2018","1 Einkommensschwächstes Quintil","","","",""
"Ja","2018","2","5739","0.791956637645205","0.781948539700052","0.801964735590359"
"Ja","2018","3","6474","0.842841363417153","0.834365547481183","0.851317179353124"
"Ja","2018","4","9759","0.893725491737379","0.887792127444596","0.899658856030162"
"Ja","2018","5 Einkommensstärkstes Quintil","","","",""
"Nein","2018","1 Einkommensschwächstes Quintil","","","",""
"Nein","2018","2","580","0.208043362354795","0.198035264409641","0.218051460299948"
"Nein","2018","3","609","0.157158636582847","0.148682820646876","0.165634452518817"
"Nein","2018","4","605","0.106274508262621","0.100341143969838","0.112207872555404"
"Nein","2018","5 Einkommensstärkstes Quintil","","","",""
"Ja","2019","1 Einkommensschwächstes Quintil","","","",""
"Ja","2019","2","5530","0.848105402887607","0.838977921697507","0.857232884077707"
"Ja","2019","3","5835","0.858698790169624","0.850089146249253","0.867308434089995"
"Ja","2019","4","9694","0.908341896600764","0.902748858511217","0.91393493469031"
"Ja","2019","5 Einkommensstärkstes Quintil","","","",""
"Nein","2019","1 Einkommensschwächstes Quintil","","","",""
"Nein","2019","2","410","0.151894597112393","0.142767115922293","0.161022078302493"
"Nein","2019","3","453","0.141301209830376","0.132691565910005","0.149910853750747"
"Nein","2019","4","530","0.0916581033992364","0.0860650653096896","0.0972511414887832"
"Nein","2019","5 Einkommensstärkstes Quintil","","","",""
"Ja","2020","1 Einkommensschwächstes Quintil","","","",""
"Ja","2020","2","3075","0.964314475709472","0.957841502743572","0.970787448675372"
"Ja","2020","3","979","0.926595180352817","0.910590193874432","0.942600166831203"
"Ja","2020","4","297","0.94188974115431","0.915930186821364","0.967849295487256"
"Ja","2020","5 Einkommensstärkstes Quintil","","","",""
"Nein","2020","1 Einkommensschwächstes Quintil","","","",""
"Nein","2020","2","80","0.0356855242905279","0.0292125513246278","0.0421584972564281"
"Nein","2020","3","41","0.0734048196471826","0.0573998331687969","0.0894098061255683"
"Nein","2020","4","15","","",""
"Nein","2020","5 Einkommensstärkstes Quintil","","","",""
