year,hhtyp,rentown,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Single-person household,Owner,Yes,0.28916,245,795,0.25762,0.32070
2005,Single-person household,Owner,No,0.71084,550,795,0.67930,0.74238
2005,Single-person household,Tenant,Yes,0.31865,742,2083,0.29864,0.33867
2005,Single-person household,Tenant,No,0.68135,1341,2083,0.66133,0.70136
2005,Couple without children,Owner,Yes,0.43866,969,1949,0.41662,0.46069
2005,Couple without children,Owner,No,0.56134,980,1949,0.53931,0.58338
2005,Couple without children,Tenant,Yes,0.43690,821,1705,0.41335,0.46045
2005,Couple without children,Tenant,No,0.56310,884,1705,0.53955,0.58665
2005,Single parent,Owner,Yes,0.53959,114,196,0.46963,0.60955
2005,Single parent,Owner,No,0.46041,82,196,0.39045,0.53037
2005,Single parent,Tenant,Yes,0.43672,211,491,0.39280,0.48064
2005,Single parent,Tenant,No,0.56328,280,491,0.51936,0.60720
2005,Couple with children,Owner,Yes,0.80218,1849,2269,0.78579,0.81858
2005,Couple with children,Owner,No,0.19782,420,2269,0.18142,0.21421
2005,Couple with children,Tenant,Yes,0.63649,899,1408,0.61136,0.66162
2005,Couple with children,Tenant,No,0.36351,509,1408,0.33838,0.38864
2005,Multi-generational household,Owner,Yes,0.58261,43,75,0.47026,0.69497
2005,Multi-generational household,Owner,No,0.41739,32,75,0.30503,0.52974
2007,Single-person household,Owner,Yes,0.32906,317,884,0.29807,0.36006
2007,Single-person household,Owner,No,0.67094,567,884,0.63994,0.70193
2007,Single-person household,Tenant,Yes,0.37256,907,2190,0.35231,0.39282
2007,Single-person household,Tenant,No,0.62744,1283,2190,0.60718,0.64769
2007,Couple without children,Owner,Yes,0.55795,1290,2155,0.53697,0.57892
2007,Couple without children,Owner,No,0.44205,865,2155,0.42108,0.46303
2007,Couple without children,Tenant,Yes,0.48789,899,1692,0.46406,0.51171
2007,Couple without children,Tenant,No,0.51211,793,1692,0.48829,0.53594
2007,Single parent,Owner,Yes,0.60750,150,211,0.54145,0.67354
2007,Single parent,Owner,No,0.39250,61,211,0.32646,0.45855
2007,Single parent,Tenant,Yes,0.55189,278,500,0.50826,0.59552
2007,Single parent,Tenant,No,0.44811,222,500,0.40448,0.49174
2007,Couple with children,Owner,Yes,0.90087,1992,2213,0.88842,0.91333
2007,Couple with children,Owner,No,0.09913,221,2213,0.08667,0.11158
2007,Couple with children,Tenant,Yes,0.77865,1025,1343,0.75644,0.80086
2007,Couple with children,Tenant,No,0.22135,318,1343,0.19914,0.24356
2007,Multi-generational household,Owner,Yes,0.84237,51,51,0.74136,0.94337
2011,Single-person household,Owner,Yes,0.45083,492,1070,0.42100,0.48066
2011,Single-person household,Owner,No,0.54917,578,1070,0.51934,0.57900
2011,Single-person household,Tenant,Yes,0.52062,1314,2419,0.50071,0.54053
2011,Single-person household,Tenant,No,0.47938,1105,2419,0.45947,0.49929
2011,Couple without children,Owner,Yes,0.72861,1843,2494,0.71115,0.74606
2011,Couple without children,Owner,No,0.27139,651,2494,0.25394,0.28885
2011,Couple without children,Tenant,Yes,0.66810,1250,1845,0.64660,0.68959
2011,Couple without children,Tenant,No,0.33190,595,1845,0.31041,0.35340
2011,Single parent,Owner,Yes,0.79594,187,221,0.74268,0.84919
2011,Single parent,Owner,No,0.20406,34,221,0.15081,0.25732
2011,Single parent,Tenant,Yes,0.83488,459,560,0.80410,0.86566
2011,Single parent,Tenant,No,0.16512,101,560,0.13434,0.19590
2011,Couple with children,Owner,Yes,0.96216,1958,2025,0.95385,0.97048
2011,Couple with children,Owner,No,0.03784,67,2025,0.02952,0.04615
2011,Couple with children,Tenant,Yes,0.93001,1124,1210,0.91562,0.94439
2011,Couple with children,Tenant,No,0.06999,86,1210,0.05561,0.08438
2011,Multi-generational household,Owner,Yes,0.82576,48,48,0.71731,0.93420
2011,Other Combinations,Owner,Yes,0.67344,32,32,0.50836,0.83853
2011,Other Combinations,Tenant,Yes,0.81143,41,41,0.69020,0.93265
2013,Single-person household,Owner,Yes,0.53567,576,1033,0.50524,0.56609
2013,Single-person household,Owner,No,0.46433,457,1033,0.43391,0.49476
2013,Single-person household,Tenant,Yes,0.57743,1611,2658,0.55865,0.59621
2013,Single-person household,Tenant,No,0.42257,1047,2658,0.40379,0.44135
2013,Couple without children,Owner,Yes,0.79323,2012,2500,0.77736,0.80911
2013,Couple without children,Owner,No,0.20677,488,2500,0.19089,0.22264
2013,Couple without children,Tenant,Yes,0.73915,1555,2062,0.72019,0.75811
2013,Couple without children,Tenant,No,0.26085,507,2062,0.24189,0.27981
2013,Single parent,Owner,Yes,0.86380,218,218,0.81816,0.90944
2013,Single parent,Tenant,Yes,0.84828,634,737,0.82236,0.87419
2013,Single parent,Tenant,No,0.15172,103,737,0.12581,0.17764
2013,Couple with children,Owner,Yes,0.98117,2090,2124,0.97539,0.98695
2013,Couple with children,Owner,No,0.01883,34,2124,0.01305,0.02461
2013,Couple with children,Tenant,Yes,0.95324,1962,2057,0.94411,0.96236
2013,Couple with children,Tenant,No,0.04676,95,2057,0.03764,0.05589
2013,Multi-generational household,Owner,Yes,0.95649,63,63,0.90571,1.00727
2013,Multi-generational household,Tenant,Yes,0.87108,46,46,0.77317,0.96899
2013,Other Combinations,Owner,Yes,0.88311,88,88,0.81560,0.95063
2013,Other Combinations,Tenant,Yes,0.90470,220,220,0.86581,0.94359
2014,Single-person household,Owner,Yes,0.51300,553,1009,0.48214,0.54385
2014,Single-person household,Owner,No,0.48700,456,1009,0.45615,0.51786
2014,Single-person household,Tenant,Yes,0.58788,1571,2545,0.56876,0.60701
2014,Single-person household,Tenant,No,0.41212,974,2545,0.39299,0.43124
2014,Couple without children,Owner,Yes,0.80380,1944,2394,0.78788,0.81971
2014,Couple without children,Owner,No,0.19620,450,2394,0.18029,0.21212
2014,Couple without children,Tenant,Yes,0.74862,1476,1949,0.72936,0.76789
2014,Couple without children,Tenant,No,0.25138,473,1949,0.23211,0.27064
2014,Single parent,Owner,Yes,0.89350,399,399,0.86319,0.92381
2014,Single parent,Tenant,Yes,0.87494,1248,1378,0.85747,0.89241
2014,Single parent,Tenant,No,0.12506,130,1378,0.10759,0.14253
2014,Couple with children,Owner,Yes,0.97998,3006,3060,0.97502,0.98494
2014,Couple with children,Owner,No,0.02002,54,3060,0.01506,0.02498
2014,Couple with children,Tenant,Yes,0.94230,2508,2631,0.93339,0.95121
2014,Couple with children,Tenant,No,0.05770,123,2631,0.04879,0.06661
2014,Multi-generational household,Owner,Yes,0.94372,66,66,0.88770,0.99975
2014,Multi-generational household,Tenant,Yes,0.80116,45,45,0.68323,0.91910
2014,Other Combinations,Owner,Yes,0.82438,65,65,0.73115,0.91760
2014,Other Combinations,Tenant,Yes,0.87900,169,169,0.82968,0.92831
2015,Single-person household,Owner,Yes,0.54807,563,983,0.51694,0.57920
2015,Single-person household,Owner,No,0.45193,420,983,0.42080,0.48306
2015,Single-person household,Tenant,Yes,0.62018,1705,2624,0.60161,0.63875
2015,Single-person household,Tenant,No,0.37982,919,2624,0.36125,0.39839
2015,Couple without children,Owner,Yes,0.84575,1950,2293,0.83096,0.86054
2015,Couple without children,Owner,No,0.15425,343,2293,0.13946,0.16904
2015,Couple without children,Tenant,Yes,0.79406,1694,2067,0.77662,0.81150
2015,Couple without children,Tenant,No,0.20594,373,2067,0.18850,0.22338
2015,Single parent,Owner,Yes,0.87029,375,406,0.83756,0.90301
2015,Single parent,Owner,No,0.12971,31,406,0.09699,0.16244
2015,Single parent,Tenant,Yes,0.88291,1186,1303,0.86545,0.90038
2015,Single parent,Tenant,No,0.11709,117,1303,0.09962,0.13455
2015,Couple with children,Owner,Yes,0.98129,2856,2907,0.97637,0.98622
2015,Couple with children,Owner,No,0.01871,51,2907,0.01378,0.02363
2015,Couple with children,Tenant,Yes,0.96191,2618,2747,0.95475,0.96907
2015,Couple with children,Tenant,No,0.03809,129,2747,0.03093,0.04525
2015,Multi-generational household,Owner,Yes,0.89052,59,59,0.81016,0.97088
2015,Multi-generational household,Tenant,Yes,0.77827,69,69,0.67954,0.87701
2015,Other Combinations,Owner,Yes,0.90873,61,61,0.83585,0.98160
2015,Other Combinations,Tenant,Yes,0.92384,167,167,0.88348,0.96419
2016,Single-person household,Not included in this version of the questionnaire,Yes,0.58951,238,416,0.54218,0.63684
2016,Single-person household,Not included in this version of the questionnaire,No,0.41049,178,416,0.36316,0.45782
2016,Single-person household,Owner,Yes,0.58797,579,930,0.55632,0.61962
2016,Single-person household,Owner,No,0.41203,351,930,0.38038,0.44368
2016,Single-person household,Tenant,Yes,0.65297,1664,2450,0.63412,0.67182
2016,Single-person household,Tenant,No,0.34703,786,2450,0.32818,0.36588
2016,Couple without children,Not included in this version of the questionnaire,Yes,0.82582,51,51,0.72069,0.93095
2016,Couple without children,Owner,Yes,0.86527,1924,2219,0.85106,0.87948
2016,Couple without children,Owner,No,0.13473,295,2219,0.12052,0.14894
2016,Couple without children,Tenant,Yes,0.82109,1557,1870,0.80371,0.83847
2016,Couple without children,Tenant,No,0.17891,313,1870,0.16153,0.19629
2016,Single parent,Not included in this version of the questionnaire,Yes,0.67516,131,183,0.60712,0.74320
