year,hhtyp,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Single-person household,Yes,0.31095,988,2879,0.29404,0.32786
2005,Single-person household,No,0.68905,1891,2879,0.67214,0.70596
2005,Couple without children,Yes,0.43780,1790,3654,0.42171,0.45389
2005,Couple without children,No,0.56220,1864,3654,0.54611,0.57829
2005,Single parent,Yes,0.45924,325,687,0.42194,0.49653
2005,Single parent,No,0.54076,362,687,0.50347,0.57806
2005,Couple with children,Yes,0.72975,2748,3677,0.71540,0.74411
2005,Couple with children,No,0.27025,929,3677,0.25589,0.28460
2005,Multi-generational household,Yes,0.53806,54,105,0.44225,0.63388
2005,Multi-generational household,No,0.46194,51,105,0.36612,0.55775
2005,Other Combinations,Yes,0.45613,54,99,0.35752,0.55474
2005,Other Combinations,No,0.54387,45,99,0.44526,0.64248
2007,Single-person household,Yes,0.36042,1224,3074,0.34345,0.37740
2007,Single-person household,No,0.63958,1850,3074,0.62260,0.65655
2007,Couple without children,Yes,0.52502,2189,3847,0.50924,0.54080
2007,Couple without children,No,0.47498,1658,3847,0.45920,0.49076
2007,Single parent,Yes,0.56506,428,711,0.52860,0.60153
2007,Single parent,No,0.43494,283,711,0.39847,0.47140
2007,Couple with children,Yes,0.84796,3017,3556,0.83616,0.85976
2007,Couple with children,No,0.15204,539,3556,0.14024,0.16384
2007,Multi-generational household,Yes,0.68744,64,64,0.57298,0.80190
2007,Other Combinations,Yes,0.58124,53,88,0.47757,0.68491
2007,Other Combinations,No,0.41876,35,88,0.31509,0.52243
2011,Single-person household,Yes,0.49882,1806,3489,0.48222,0.51541
2011,Single-person household,No,0.50118,1683,3489,0.48459,0.51778
2011,Couple without children,Yes,0.70242,3093,4339,0.68882,0.71603
2011,Couple without children,No,0.29758,1246,4339,0.28397,0.31118
2011,Single parent,Yes,0.82195,646,781,0.79510,0.84879
2011,Single parent,No,0.17805,135,781,0.15121,0.20490
2011,Couple with children,Yes,0.95073,3082,3235,0.94327,0.95819
2011,Couple with children,No,0.04927,153,3235,0.04181,0.05673
2011,Multi-generational household,Yes,0.80790,68,68,0.71356,0.90223
2011,Other Combinations,Yes,0.74428,73,73,0.64351,0.84506
2013,Single-person household,Yes,0.56428,2187,3691,0.54828,0.58028
2013,Single-person household,No,0.43572,1504,3691,0.41972,0.45172
2013,Couple without children,Yes,0.77036,3567,4562,0.75815,0.78257
2013,Couple without children,No,0.22964,995,4562,0.21743,0.24185
2013,Single parent,Yes,0.85306,852,979,0.83087,0.87525
2013,Single parent,No,0.14694,127,979,0.12475,0.16913
2013,Couple with children,Yes,0.97011,4052,4181,0.96495,0.97527
2013,Couple with children,No,0.02989,129,4181,0.02473,0.03505
2013,Multi-generational household,Yes,0.92192,109,109,0.87132,0.97252
2013,Other Combinations,Yes,0.89662,308,343,0.86435,0.92889
2013,Other Combinations,No,0.10338,35,343,0.07111,0.13565
2014,Single-person household,Yes,0.56433,2124,3554,0.54803,0.58064
2014,Single-person household,No,0.43567,1430,3554,0.41936,0.45197
2014,Couple without children,Yes,0.78035,3420,4343,0.76804,0.79266
2014,Couple without children,No,0.21965,923,4343,0.20734,0.23196
2014,Single parent,Yes,0.87991,1647,1805,0.86490,0.89491
2014,Single parent,No,0.12009,158,1805,0.10509,0.13510
2014,Couple with children,Yes,0.96503,5514,5691,0.96026,0.96981
2014,Couple with children,No,0.03497,177,5691,0.03019,0.03974
2014,Multi-generational household,Yes,0.89275,111,111,0.83493,0.95058
2014,Other Combinations,Yes,0.85812,234,234,0.81332,0.90292
2015,Single-person household,Yes,0.59694,2268,3607,0.58093,0.61295
2015,Single-person household,No,0.40306,1339,3607,0.38705,0.41907
2015,Couple without children,Yes,0.82381,3644,4360,0.81250,0.83512
2015,Couple without children,No,0.17619,716,4360,0.16488,0.18750
2015,Single parent,Yes,0.87949,1561,1709,0.86405,0.89493
2015,Single parent,No,0.12051,148,1709,0.10507,0.13595
2015,Couple with children,Yes,0.97365,5474,5654,0.96948,0.97783
2015,Couple with children,No,0.02635,180,5654,0.02217,0.03052
2015,Multi-generational household,Yes,0.84892,128,128,0.78664,0.91121
2015,Other Combinations,Yes,0.91849,228,228,0.88289,0.95408
2016,Single-person household,Yes,0.63132,2481,3797,0.61597,0.64666
2016,Single-person household,No,0.36868,1316,3797,0.35334,0.38403
2016,Couple without children,Yes,0.84690,3532,4151,0.83594,0.85785
2016,Couple without children,No,0.15310,619,4151,0.14215,0.16406
2016,Single parent,Yes,0.89038,1532,1707,0.87555,0.90520
2016,Single parent,No,0.10962,175,1707,0.09480,0.12445
2016,Couple with children,Yes,0.97104,5849,6197,0.96686,0.97522
2016,Couple with children,No,0.02896,348,6197,0.02478,0.03314
2016,Multi-generational household,Yes,0.97587,134,134,0.94979,1.00195
2016,Other Combinations,Yes,0.87901,319,383,0.84630,0.91171
2016,Other Combinations,No,0.12099,64,383,0.08829,0.15370
2017,Single-person household,Yes,0.66208,3076,4284,0.64792,0.67625
2017,Single-person household,No,0.33792,1208,4284,0.32375,0.35208
2017,Couple without children,Yes,0.87342,4150,4706,0.86392,0.88292
2017,Couple without children,No,0.12658,556,4706,0.11708,0.13608
2017,Single parent,Yes,0.91505,1618,1759,0.90201,0.92808
2017,Single parent,No,0.08495,141,1759,0.07192,0.09799
2017,Couple with children,Yes,0.98013,6608,6826,0.97682,0.98344
2017,Couple with children,No,0.01987,218,6826,0.01656,0.02318
2017,Multi-generational household,Yes,0.97264,151,151,0.94654,0.99875
2017,Other Combinations,Yes,0.88966,453,515,0.86257,0.91674
2017,Other Combinations,No,0.11034,62,515,0.08326,0.13743
2018,Single-person household,Yes,0.68173,3324,4454,0.66805,0.69542
2018,Single-person household,No,0.31827,1130,4454,0.30458,0.33195
2018,Couple without children,Yes,0.88565,4160,4633,0.87649,0.89482
2018,Couple without children,No,0.11435,473,4633,0.10518,0.12351
2018,Single parent,Yes,0.93078,1627,1739,0.91885,0.94272
2018,Single parent,No,0.06922,112,1739,0.05728,0.08115
2018,Couple with children,Yes,0.97927,6313,6464,0.97580,0.98275
2018,Couple with children,No,0.02073,151,6464,0.01725,0.02420
2018,Multi-generational household,Yes,0.98280,156,156,0.96234,1.00327
2018,Other Combinations,Yes,0.89911,377,411,0.86995,0.92826
2018,Other Combinations,No,0.10089,34,411,0.07174,0.13005
2019,Single-person household,Yes,0.72115,3652,4589,0.70817,0.73413
2019,Single-person household,No,0.27885,937,4589,0.26587,0.29183
2019,Couple without children,Yes,0.90506,4774,5167,0.89707,0.91306
2019,Couple without children,No,0.09494,393,5167,0.08694,0.10293
2019,Single parent,Yes,0.95055,1552,1622,0.94000,0.96111
2019,Single parent,No,0.04945,70,1622,0.03889,0.06000
2019,Couple with children,Yes,0.99015,6443,6528,0.98775,0.99255
2019,Couple with children,No,0.00985,85,6528,0.00745,0.01225
2019,Multi-generational household,Yes,0.95520,133,133,0.91991,0.99049
2019,Other Combinations,Yes,0.94642,346,346,0.92265,0.97018
2021,No answer / don't know,Yes,0.99306,61,61,0.97204,1.01407
2021,Single-person household,Yes,0.79185,3030,3530,0.77845,0.80524
2021,Single-person household,No,0.20815,500,3530,0.19476,0.22155
2021,Couple without children,Yes,0.93653,3311,3483,0.92843,0.94463
2021,Couple without children,No,0.06347,172,3483,0.05537,0.07157
2021,Single parent,Yes,0.94861,986,1026,0.93509,0.96213
2021,Single parent,No,0.05139,40,1026,0.03787,0.06491
2021,Couple with children,Yes,0.99192,3981,3981,0.98914,0.99471
2021,Other Combinations,Yes,0.94326,342,342,0.91870,0.96781
