year,regtyp,sampreg,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Urban regions,West,Yes,0.48234,3689,6565,0.47025,0.49442
2005,Urban regions,West,No,0.51766,2876,6565,0.50558,0.52975
2005,Urban regions,East,Yes,0.43162,477,928,0.39974,0.46351
2005,Urban regions,East,No,0.56838,451,928,0.53649,0.60026
2005,Rural regions,West,Yes,0.48190,1028,1877,0.45929,0.50451
2005,Rural regions,West,No,0.51810,849,1877,0.49549,0.54071
2005,Rural regions,East,Yes,0.37447,765,1731,0.35167,0.39728
2005,Rural regions,East,No,0.62553,966,1731,0.60272,0.64833
2007,Urban regions,West,Yes,0.57321,4283,6615,0.56129,0.58513
2007,Urban regions,West,No,0.42679,2332,6615,0.41487,0.43871
2007,Urban regions,East,Yes,0.52422,551,936,0.49220,0.55623
2007,Urban regions,East,No,0.47578,385,936,0.44377,0.50780
2007,Rural regions,West,Yes,0.54770,1255,2013,0.52595,0.56945
2007,Rural regions,West,No,0.45230,758,2013,0.43055,0.47405
2007,Rural regions,East,Yes,0.39786,886,1802,0.37526,0.42047
2007,Rural regions,East,No,0.60214,916,1802,0.57953,0.62474
2011,Urban regions,West,Yes,0.69398,5206,6817,0.68304,0.70492
2011,Urban regions,West,No,0.30602,1611,6817,0.29508,0.31696
2011,Urban regions,East,Yes,0.66429,738,1018,0.63526,0.69331
2011,Urban regions,East,No,0.33571,280,1018,0.30669,0.36474
2011,Rural regions,West,Yes,0.66139,1686,2331,0.64218,0.68061
2011,Rural regions,West,No,0.33861,645,2331,0.31939,0.35782
2011,Rural regions,East,Yes,0.53862,1138,1856,0.51594,0.56131
2011,Rural regions,East,No,0.46138,718,1856,0.43869,0.48406
2013,Urban regions,West,Yes,0.75718,6915,8297,0.74795,0.76640
2013,Urban regions,West,No,0.24282,1382,8297,0.23360,0.25205
2013,Urban regions,East,Yes,0.70620,793,1031,0.67838,0.73402
2013,Urban regions,East,No,0.29380,238,1031,0.26598,0.32162
2013,Rural regions,West,Yes,0.71440,2140,2706,0.69738,0.73142
2013,Rural regions,West,No,0.28560,566,2706,0.26858,0.30262
2013,Rural regions,East,Yes,0.59993,1227,1838,0.57753,0.62234
2013,Rural regions,East,No,0.40007,611,1838,0.37766,0.42247
2014,Urban regions,West,Yes,0.76883,7842,9158,0.76020,0.77747
2014,Urban regions,West,No,0.23117,1316,9158,0.22253,0.23980
2014,Urban regions,East,Yes,0.71857,954,1204,0.69316,0.74398
2014,Urban regions,East,No,0.28143,250,1204,0.25602,0.30684
2014,Rural regions,West,Yes,0.72549,2692,3254,0.71015,0.74082
