year,hhtyp,regtyp,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Single-person household,Urban regions,Yes,0.33417,766,2023,0.31361,0.35473
2005,Single-person household,Urban regions,No,0.65371,1257,2023,0.63297,0.67445
2005,Single-person household,Rural regions,Yes,0.23424,222,856,0.20586,0.26263
2005,Single-person household,Rural regions,No,0.75452,634,856,0.72567,0.78337
2005,Couple without children,Urban regions,Yes,0.44730,1281,2467,0.42768,0.46693
2005,Couple without children,Urban regions,No,0.54283,1186,2467,0.52317,0.56250
2005,Couple without children,Rural regions,Yes,0.40140,509,1187,0.37350,0.42929
2005,Couple without children,Rural regions,No,0.58209,678,1187,0.55402,0.61016
2005,Single parent,Urban regions,Yes,0.48403,223,448,0.43770,0.53036
2005,Single parent,Urban regions,No,0.50189,225,448,0.45554,0.54824
2005,Single parent,Rural regions,Yes,0.38519,102,239,0.32337,0.44702
2005,Single parent,Rural regions,No,0.60870,137,239,0.54669,0.67070
2005,Couple with children,Urban regions,Yes,0.72629,1830,2424,0.70854,0.74404
2005,Couple with children,Urban regions,No,0.26301,594,2424,0.24548,0.28054
2005,Couple with children,Rural regions,Yes,0.71089,918,1253,0.68577,0.73600
2005,Couple with children,Rural regions,No,0.27508,335,1253,0.25034,0.29981
2005,Multi-generational household,Urban regions,No,0.63269,35,35,0.47065,0.79473
2005,Other Combinations,Urban regions,Yes,0.48116,39,39,0.32229,0.64002
2007,Single-person household,Urban regions,Yes,0.39657,941,2101,0.37565,0.41749
2007,Single-person household,Urban regions,No,0.58681,1160,2101,0.56575,0.60787
2007,Single-person household,Rural regions,Yes,0.25214,283,973,0.22484,0.27944
2007,Single-person household,Rural regions,No,0.73287,690,973,0.70506,0.76069
2007,Couple without children,Urban regions,Yes,0.54995,1551,2554,0.53065,0.56925
2007,Couple without children,Urban regions,No,0.43824,1003,2554,0.41899,0.45748
2007,Couple without children,Rural regions,Yes,0.45533,638,1293,0.42817,0.48248
2007,Couple without children,Rural regions,No,0.53338,655,1293,0.50617,0.56058
2007,Single parent,Urban regions,Yes,0.58697,287,458,0.54182,0.63211
2007,Single parent,Urban regions,No,0.41303,171,458,0.36789,0.45818
2007,Single parent,Rural regions,Yes,0.51988,141,253,0.45820,0.58157
2007,Single parent,Rural regions,No,0.48012,112,253,0.41843,0.54180
2007,Couple with children,Urban regions,Yes,0.84648,1986,2329,0.83184,0.86113
2007,Couple with children,Urban regions,No,0.14648,343,2329,0.13212,0.16085
2007,Couple with children,Rural regions,Yes,0.83004,1031,1227,0.80902,0.85107
2007,Couple with children,Rural regions,No,0.15990,196,1227,0.13938,0.18041
2007,Multi-generational household,Urban regions,Yes,0.67141,37,37,0.51798,0.82485
2007,Other Combinations,Urban regions,Yes,0.51934,32,32,0.34346,0.69522
2011,Single-person household,Urban regions,Yes,0.53248,1344,2375,0.51241,0.55255
2011,Single-person household,Urban regions,No,0.45881,1031,2375,0.43876,0.47885
2011,Single-person household,Rural regions,Yes,0.39801,462,1114,0.36925,0.42677
2011,Single-person household,Rural regions,No,0.58909,652,1114,0.56019,0.61800
2011,Couple without children,Urban regions,Yes,0.72439,2066,2753,0.70770,0.74109
2011,Couple without children,Urban regions,No,0.26631,687,2753,0.24980,0.28283
2011,Couple without children,Rural regions,Yes,0.63735,1027,1586,0.61368,0.66101
2011,Couple without children,Rural regions,No,0.34707,559,1586,0.32363,0.37050
2011,Single parent,Urban regions,Yes,0.43419,440,517,0.39143,0.47696
2011,Single parent,Urban regions,No,0.08923,77,517,0.06463,0.11383
2011,Single parent,Rural regions,Yes,0.41732,206,264,0.35772,0.47691
2011,Single parent,Rural regions,No,0.10105,58,264,0.06462,0.13748
2011,Couple with children,Urban regions,Yes,0.76232,2013,2084,0.74404,0.78060
2011,Couple with children,Urban regions,No,0.03008,71,2084,0.02275,0.03742
2011,Couple with children,Rural regions,Yes,0.73320,1069,1151,0.70764,0.75877
2011,Couple with children,Rural regions,No,0.05729,82,1151,0.04386,0.07072
2011,Multi-generational household,Urban regions,Yes,0.66781,36,36,0.51177,0.82385
2011,Multi-generational household,Rural regions,Yes,0.73421,32,32,0.57870,0.88972
2011,Other Combinations,Urban regions,Yes,0.70637,45,45,0.57181,0.84094
2013,Single-person household,Urban regions,Yes,0.59243,1624,2532,0.57329,0.61158
2013,Single-person household,Urban regions,No,0.38749,908,2532,0.36851,0.40647
2013,Single-person household,Rural regions,Yes,0.45955,563,1159,0.43084,0.48825
2013,Single-person household,Rural regions,No,0.51912,596,1159,0.49034,0.54789
2013,Couple without children,Urban regions,Yes,0.78653,2397,2924,0.77168,0.80139
2013,Couple without children,Urban regions,No,0.20253,527,2924,0.18796,0.21710
2013,Couple without children,Rural regions,Yes,0.70801,1170,1638,0.68598,0.73003
2013,Couple without children,Rural regions,No,0.27123,468,1638,0.24969,0.29276
2013,Single parent,Urban regions,Yes,0.52722,584,663,0.48919,0.56525
2013,Single parent,Urban regions,No,0.08175,79,663,0.06088,0.10262
2013,Single parent,Rural regions,Yes,0.53924,268,316,0.48419,0.59429
2013,Single parent,Rural regions,No,0.10963,48,316,0.07513,0.14413
2013,Couple with children,Urban regions,Yes,0.82548,2813,2888,0.81164,0.83933
2013,Couple with children,Urban regions,No,0.01543,75,2888,0.01093,0.01992
2013,Couple with children,Rural regions,Yes,0.76228,1239,1293,0.73907,0.78549
2013,Couple with children,Rural regions,No,0.04468,54,1293,0.03341,0.05594
2013,Multi-generational household,Urban regions,Yes,0.82400,60,60,0.72683,0.92118
2013,Multi-generational household,Rural regions,Yes,0.86944,49,49,0.77412,0.96475
2013,Other Combinations,Urban regions,Yes,0.88322,230,230,0.84162,0.92481
2013,Other Combinations,Rural regions,Yes,0.87125,78,78,0.79644,0.94606
