year,rentown,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Owner,Yes,0.53081,3247,5335,0.51742,0.54420
2005,Owner,No,0.46919,2088,5335,0.45580,0.48258
2005,Tenant,Yes,0.41950,2711,5765,0.40676,0.43224
2005,Tenant,No,0.58050,3054,5765,0.56776,0.59324
2007,Owner,Yes,0.61553,3830,5575,0.60276,0.62830
2007,Owner,No,0.38447,1745,5575,0.37170,0.39724
2007,Tenant,Yes,0.49056,3145,5791,0.47768,0.50343
2007,Tenant,No,0.50944,2646,5791,0.49657,0.52232
2011,Owner,Yes,0.71290,4560,5912,0.70137,0.72444
2011,Owner,No,0.28710,1352,5912,0.27556,0.29863
2011,Tenant,Yes,0.62795,4208,6110,0.61583,0.64007
2011,Tenant,No,0.37205,1902,6110,0.35993,0.38417
2013,Owner,Yes,0.76966,5047,6062,0.75906,0.78026
2013,Owner,No,0.23034,1015,6062,0.21974,0.24094
2013,Tenant,Yes,0.69086,6028,7810,0.68061,0.70111
2013,Tenant,No,0.30914,1782,7810,0.29889,0.31939
2014,Owner,Yes,0.77649,6033,7035,0.76675,0.78622
2014,Owner,No,0.22351,1002,7035,0.21378,0.23325
2014,Tenant,Yes,0.70870,7017,8741,0.69917,0.71822
2014,Tenant,No,0.29130,1724,8741,0.28178,0.30083
2015,Owner,Yes,0.79906,5864,6722,0.78948,0.80864
2015,Owner,No,0.20094,858,6722,0.19136,0.21052
2015,Tenant,Yes,0.73932,7439,8999,0.73025,0.74840
2015,Tenant,No,0.26068,1560,8999,0.25160,0.26975
2016,Not included in this version of the questionnaire,Yes,0.67963,1576,2098,0.65966,0.69960
2016,Not included in this version of the questionnaire,No,0.32037,522,2098,0.30040,0.34034
2016,Owner,Yes,0.82133,5586,6296,0.81187,0.83080
2016,Owner,No,0.17867,710,6296,0.16920,0.18813
2016,Tenant,Yes,0.76228,6685,7986,0.75295,0.77162
2016,Tenant,No,0.23772,1301,7986,0.22838,0.24705
2017,Not included in this version of the questionnaire,Yes,0.73958,635,797,0.70909,0.77007
2017,Not included in this version of the questionnaire,No,0.26042,162,797,0.22993,0.29091
2017,Owner,Yes,0.84461,6419,7054,0.83616,0.85307
2017,Owner,No,0.15539,635,7054,0.14693,0.16384
2017,Tenant,Yes,0.78236,9002,10402,0.77443,0.79029
2017,Tenant,No,0.21764,1400,10402,0.20971,0.22557
2018,Owner,Yes,0.85418,6212,6754,0.84576,0.86259
2018,Owner,No,0.14582,542,6754,0.13741,0.15424
2018,Tenant,Yes,0.79641,9745,11108,0.78892,0.80390
2018,Tenant,No,0.20359,1363,11108,0.19610,0.21108
2019,Owner,Yes,0.87392,7410,7879,0.86659,0.88125
2019,Owner,No,0.12608,469,7879,0.11875,0.13341
2019,Tenant,Yes,0.82712,9489,10537,0.81990,0.83434
2019,Tenant,No,0.17288,1048,10537,0.16566,0.18010
2021,Owner,Yes,0.91087,4866,5097,0.90305,0.91869
2021,Owner,No,0.08913,231,5097,0.08131,0.09695
2021,Tenant,Yes,0.86694,6935,7459,0.85924,0.87465
2021,Tenant,No,0.13306,524,7459,0.12535,0.14076
