year,hhtyp,sampreg,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Single-person household,West,Yes,0.32845,799,2170,0.30868,0.34821
2005,Single-person household,West,No,0.67155,1371,2170,0.65179,0.69132
2005,Single-person household,East,Yes,0.23559,189,709,0.20433,0.26685
2005,Single-person household,East,No,0.76441,520,709,0.73315,0.79567
2005,Couple without children,West,Yes,0.46174,1439,2755,0.44312,0.48036
2005,Couple without children,West,No,0.53826,1316,2755,0.51964,0.55688
2005,Couple without children,East,Yes,0.33746,351,899,0.30653,0.36839
2005,Couple without children,East,No,0.66254,548,899,0.63161,0.69347
2005,Single parent,West,Yes,0.47250,246,505,0.42891,0.51608
2005,Single parent,West,No,0.52750,259,505,0.48392,0.57109
2005,Single parent,East,Yes,0.40631,79,182,0.33476,0.47787
2005,Single parent,East,No,0.59369,103,182,0.52213,0.66524
2005,Couple with children,West,Yes,0.73083,2144,2853,0.71455,0.74711
2005,Couple with children,West,No,0.26917,709,2853,0.25289,0.28545
2005,Couple with children,East,Yes,0.72455,604,824,0.69403,0.75507
2005,Couple with children,East,No,0.27545,220,824,0.24493,0.30597
2005,Multi-generational household,West,Yes,0.53429,43,80,0.42429,0.64429
2005,Multi-generational household,West,No,0.46571,37,80,0.35571,0.57571
2005,Other Combinations,West,Yes,0.47842,46,79,0.36756,0.58928
2005,Other Combinations,West,No,0.52158,33,79,0.41072,0.63244
2007,Single-person household,West,Yes,0.38236,994,2318,0.36258,0.40215
2007,Single-person household,West,No,0.61764,1324,2318,0.59785,0.63742
2007,Single-person household,East,Yes,0.26892,230,756,0.23729,0.30054
2007,Single-person household,East,No,0.73108,526,756,0.69946,0.76271
2007,Couple without children,West,Yes,0.55735,1740,2866,0.53916,0.57553
2007,Couple without children,West,No,0.44265,1126,2866,0.42447,0.46084
2007,Couple without children,East,Yes,0.39694,449,981,0.36630,0.42757
2007,Couple without children,East,No,0.60306,532,981,0.57243,0.63370
2007,Single parent,West,Yes,0.59320,329,526,0.55118,0.63522
2007,Single parent,West,No,0.40680,197,526,0.36478,0.44882
2007,Single parent,East,Yes,0.45022,99,185,0.37834,0.52211
2007,Single parent,East,No,0.54978,86,185,0.47789,0.62166
2007,Couple with children,West,Yes,0.85323,2382,2778,0.84007,0.86640
2007,Couple with children,West,No,0.14677,396,2778,0.13360,0.15993
2007,Couple with children,East,Yes,0.82072,635,778,0.79375,0.84770
2007,Couple with children,East,No,0.17928,143,778,0.15230,0.20625
2007,Multi-generational household,West,Yes,0.68901,50,50,0.55940,0.81862
2007,Other Combinations,West,Yes,0.54987,43,43,0.39941,0.70034
2011,Single-person household,West,Yes,0.51684,1418,2606,0.49765,0.53603
2011,Single-person household,West,No,0.48316,1188,2606,0.46397,0.50235
2011,Single-person household,East,Yes,0.42336,388,883,0.39075,0.45597
2011,Single-person household,East,No,0.57664,495,883,0.54403,0.60925
2011,Couple without children,West,Yes,0.72188,2402,3258,0.70649,0.73726
2011,Couple without children,West,No,0.27812,856,3258,0.26274,0.29351
2011,Couple without children,East,Yes,0.62011,691,1081,0.59116,0.64905
2011,Couple without children,East,No,0.37989,390,1081,0.35095,0.40884
2011,Single parent,West,Yes,0.83731,497,584,0.80735,0.86727
2011,Single parent,West,No,0.16269,87,584,0.13273,0.19265
2011,Single parent,East,Yes,0.75990,149,197,0.70010,0.81970
2011,Single parent,East,No,0.24010,48,197,0.18030,0.29990
2011,Couple with children,West,Yes,0.95727,2466,2563,0.94944,0.96511
2011,Couple with children,West,No,0.04273,97,2563,0.03489,0.05056
2011,Couple with children,East,Yes,0.91373,616,672,0.89249,0.93498
2011,Couple with children,East,No,0.08627,56,672,0.06502,0.10751
