"hlf0178_h","year","quintil","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2005","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","2005","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","2005","2","Staedtischer Raum","1855","0.50405307920224","0.487237184261059","0.520868974143421"
"Ja","2005","2","Laendlicher Raum","1106","0.513416623261628","0.491737894125548","0.535095352397707"
"Ja","2005","3","Staedtischer Raum","2140","0.556452270112699","0.5401350473015","0.572769492923898"
"Ja","2005","3","Laendlicher Raum","1088","0.538719498830382","0.516421731849441","0.561017265811323"
"Ja","2005","4","Staedtischer Raum","2616","0.617005100515907","0.601483606699899","0.632526594331914"
"Ja","2005","4","Laendlicher Raum","1187","0.668361738060846","0.64576121990688","0.690962256214812"
"Ja","2005","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ja","2005","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Nein","2005","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Nein","2005","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Nein","2005","2","Staedtischer Raum","1541","0.49594692079776","0.47913102585658","0.512762815738941"
"Nein","2005","2","Laendlicher Raum","936","0.486583376738373","0.464904647602293","0.508262105874452"
"Nein","2005","3","Staedtischer Raum","1421","0.443547729887301","0.427230507076102","0.4598649526985"
"Nein","2005","3","Laendlicher Raum","832","0.461280501169618","0.438982734188677","0.483578268150559"
"Nein","2005","4","Staedtischer Raum","1152","0.382994899484093","0.367473405668086","0.398516393300101"
"Nein","2005","4","Laendlicher Raum","480","0.331638261939154","0.309037743785188","0.35423878009312"
"Nein","2005","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Nein","2005","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Ja","2006","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","2006","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","2006","2","Staedtischer Raum","","","",""
"Ja","2006","2","Laendlicher Raum","","","",""
"Ja","2006","3","Staedtischer Raum","","","",""
"Ja","2006","3","Laendlicher Raum","","","",""
"Ja","2006","4","Staedtischer Raum","","","",""
"Ja","2006","4","Laendlicher Raum","","","",""
"Ja","2006","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ja","2006","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Nein","2006","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Nein","2006","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Nein","2006","2","Staedtischer Raum","","","",""
"Nein","2006","2","Laendlicher Raum","","","",""
"Nein","2006","3","Staedtischer Raum","","","",""
"Nein","2006","3","Laendlicher Raum","","","",""
"Nein","2006","4","Staedtischer Raum","","","",""
"Nein","2006","4","Laendlicher Raum","","","",""
"Nein","2006","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Nein","2006","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Ja","2007","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","2007","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","2007","2","Staedtischer Raum","2002","0.600253016920285","0.583328556003484","0.617177477837087"
"Ja","2007","2","Laendlicher Raum","1298","0.547658214194137","0.526707124834988","0.568609303553286"
"Ja","2007","3","Staedtischer Raum","2447","0.654876054518054","0.639080838463361","0.670671270572746"
"Ja","2007","3","Laendlicher Raum","1384","0.613494797183218","0.592643206479191","0.634346387887245"
"Ja","2007","4","Staedtischer Raum","3020","0.715438708258838","0.701394391250046","0.72948302526763"
"Ja","2007","4","Laendlicher Raum","1392","0.737282531949282","0.716585425705681","0.757979638192883"
"Ja","2007","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ja","2007","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Nein","2007","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Nein","2007","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
