year,regtyp,rentown,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Urban regions,Owner,Yes,0.54168,2091,3309,0.52470,0.55866
2005,Urban regions,Owner,No,0.45832,1218,3309,0.44134,0.47530
2005,Urban regions,Tenant,Yes,0.43887,2074,4183,0.42383,0.45391
2005,Urban regions,Tenant,No,0.56113,2109,4183,0.54609,0.57617
2005,Rural regions,Owner,Yes,0.51276,1156,2026,0.49099,0.53453
2005,Rural regions,Owner,No,0.48724,870,2026,0.46547,0.50901
2005,Rural regions,Tenant,Yes,0.36254,637,1582,0.33885,0.38624
2005,Rural regions,Tenant,No,0.63746,945,1582,0.61376,0.66115
2007,Urban regions,Owner,Yes,0.63996,2449,3444,0.62393,0.65599
2007,Urban regions,Owner,No,0.36004,995,3444,0.34401,0.37607
2007,Urban regions,Tenant,Yes,0.52324,2385,4107,0.50796,0.53852
2007,Urban regions,Tenant,No,0.47676,1722,4107,0.46148,0.49204
2007,Rural regions,Owner,Yes,0.57426,1381,2131,0.55326,0.59526
2007,Rural regions,Owner,No,0.42574,750,2131,0.40474,0.44674
2007,Rural regions,Tenant,Yes,0.40276,760,1684,0.37933,0.42620
2007,Rural regions,Tenant,No,0.59724,924,1684,0.57380,0.62067
2011,Urban regions,Owner,Yes,0.74029,2856,3577,0.72592,0.75466
2011,Urban regions,Owner,No,0.25971,721,3577,0.24534,0.27408
2011,Urban regions,Tenant,Yes,0.65385,3088,4258,0.63956,0.66815
2011,Urban regions,Tenant,No,0.34615,1170,4258,0.33185,0.36044
2011,Rural regions,Owner,Yes,0.66486,1704,2335,0.64571,0.68401
2011,Rural regions,Owner,No,0.33514,631,2335,0.31599,0.35429
2011,Rural regions,Tenant,Yes,0.55883,1120,1852,0.53621,0.58145
2011,Rural regions,Tenant,No,0.44117,732,1852,0.41855,0.46379
2013,Urban regions,Owner,Yes,0.79779,3198,3722,0.78489,0.81070
2013,Urban regions,Owner,No,0.20221,524,3722,0.18930,0.21511
2013,Urban regions,Tenant,Yes,0.71864,4510,5606,0.70687,0.73041
2013,Urban regions,Tenant,No,0.28136,1096,5606,0.26959,0.29313
2013,Rural regions,Owner,Yes,0.72025,1849,2340,0.70206,0.73845
