year,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Yes,0.46602,5959,11101,0.45674,0.47530
2005,No,0.53398,5142,11101,0.52470,0.54326
2007,Yes,0.54355,6975,11366,0.53440,0.55271
2007,No,0.45645,4391,11366,0.44729,0.46560
2011,Yes,0.66734,8768,12022,0.65892,0.67576
2011,No,0.33266,3254,12022,0.32424,0.34108
2013,Yes,0.72688,11075,13872,0.71947,0.73430
2013,No,0.27312,2797,13872,0.26570,0.28053
2014,Yes,0.73951,13050,15776,0.73266,0.74636
2014,No,0.26049,2726,15776,0.25364,0.26734
2015,Yes,0.76661,13303,15721,0.76000,0.77323
2015,No,0.23339,2418,15721,0.22677,0.24000
2016,Yes,0.78897,13847,16381,0.78272,0.79522
2016,No,0.21103,2534,16381,0.20478,0.21728
2017,Yes,0.81104,16056,18253,0.80537,0.81672
2017,No,0.18896,2197,18253,0.18328,0.19463
2018,Yes,0.82326,15957,17862,0.81766,0.82885
2018,No,0.17674,1905,17862,0.17115,0.18234
2019,Yes,0.84889,16900,18417,0.84372,0.85407
2019,No,0.15111,1517,18417,0.14593,0.15628
2021,Yes,0.88750,11804,12559,0.88197,0.89303
2021,No,0.11250,755,12559,0.10697,0.11803
