year,quintil_oecd_hh,regtyp,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,1st Quintile,Urban regions,Yes,0.30814,428,1261,0.28264,0.33363
2005,1st Quintile,Urban regions,No,0.69186,833,1261,0.66637,0.71736
2005,1st Quintile,Rural regions,Yes,0.25817,201,684,0.22535,0.29099
2005,1st Quintile,Rural regions,No,0.74183,483,684,0.70901,0.77465
2005,2nd Quintile,Urban regions,Yes,0.38609,525,1260,0.35920,0.41298
2005,2nd Quintile,Urban regions,No,0.61391,735,1260,0.58702,0.64080
2005,2nd Quintile,Rural regions,Yes,0.32746,283,788,0.29468,0.36025
2005,2nd Quintile,Rural regions,No,0.67254,505,788,0.63975,0.70532
2005,3rd Quintile,Urban regions,Yes,0.44531,655,1322,0.41851,0.47211
2005,3rd Quintile,Urban regions,No,0.55469,667,1322,0.52789,0.58149
2005,3rd Quintile,Rural regions,Yes,0.46622,385,760,0.43073,0.50171
2005,3rd Quintile,Rural regions,No,0.53378,375,760,0.49829,0.56927
2005,4th Quintile,Urban regions,Yes,0.51601,873,1476,0.49050,0.54151
2005,4th Quintile,Urban regions,No,0.48399,603,1476,0.45849,0.50950
2005,4th Quintile,Rural regions,Yes,0.53494,423,722,0.49853,0.57135
2005,4th Quintile,Rural regions,No,0.46506,299,722,0.42865,0.50147
2005,5th Quintile,Urban regions,Yes,0.69413,1685,2172,0.67475,0.71352
2005,5th Quintile,Urban regions,No,0.30587,487,2172,0.28648,0.32525
2005,5th Quintile,Rural regions,Yes,0.71314,501,653,0.67842,0.74786
2005,5th Quintile,Rural regions,No,0.28686,152,653,0.25214,0.32158
2007,1st Quintile,Urban regions,Yes,0.40555,550,1228,0.37808,0.43302
2007,1st Quintile,Urban regions,No,0.59445,678,1228,0.56698,0.62192
2007,1st Quintile,Rural regions,Yes,0.28463,237,714,0.25151,0.31775
2007,1st Quintile,Rural regions,No,0.71537,477,714,0.68225,0.74849
2007,2nd Quintile,Urban regions,Yes,0.43721,627,1290,0.41013,0.46429
2007,2nd Quintile,Urban regions,No,0.56279,663,1290,0.53571,0.58987
2007,2nd Quintile,Rural regions,Yes,0.40962,360,803,0.37559,0.44366
2007,2nd Quintile,Rural regions,No,0.59038,443,803,0.55634,0.62441
2007,3rd Quintile,Urban regions,Yes,0.55313,814,1359,0.52668,0.57957
2007,3rd Quintile,Urban regions,No,0.44687,545,1359,0.42043,0.47332
2007,3rd Quintile,Rural regions,Yes,0.47708,443,832,0.44312,0.51104
2007,3rd Quintile,Rural regions,No,0.52292,389,832,0.48896,0.55688
2007,4th Quintile,Urban regions,Yes,0.64890,1072,1541,0.62506,0.67274
2007,4th Quintile,Urban regions,No,0.35110,469,1541,0.32726,0.37494
2007,4th Quintile,Rural regions,Yes,0.59979,536,775,0.56527,0.63431
2007,4th Quintile,Rural regions,No,0.40021,239,775,0.36569,0.43473
2007,5th Quintile,Urban regions,Yes,0.76352,1768,2130,0.74547,0.78157
2007,5th Quintile,Urban regions,No,0.23648,362,2130,0.21843,0.25453
2007,5th Quintile,Rural regions,Yes,0.76476,565,691,0.73311,0.79641
2007,5th Quintile,Rural regions,No,0.23524,126,691,0.20359,0.26689
2011,1st Quintile,Urban regions,Yes,0.47339,833,1381,0.44705,0.49974
2011,1st Quintile,Urban regions,No,0.52661,548,1381,0.50026,0.55295
2011,1st Quintile,Rural regions,Yes,0.40469,421,858,0.37182,0.43755
2011,1st Quintile,Rural regions,No,0.59531,437,858,0.56245,0.62818
2011,2nd Quintile,Urban regions,Yes,0.56872,837,1324,0.54203,0.59541
2011,2nd Quintile,Urban regions,No,0.43128,487,1324,0.40459,0.45797
2011,2nd Quintile,Rural regions,Yes,0.49464,503,901,0.46197,0.52730
2011,2nd Quintile,Rural regions,No,0.50536,398,901,0.47270,0.53803
2011,3rd Quintile,Urban regions,Yes,0.68363,1063,1441,0.65961,0.70765
2011,3rd Quintile,Urban regions,No,0.31637,378,1441,0.29235,0.34039
2011,3rd Quintile,Rural regions,Yes,0.60544,612,922,0.57387,0.63700
2011,3rd Quintile,Rural regions,No,0.39456,310,922,0.36300,0.42613
2011,4th Quintile,Urban regions,Yes,0.78870,1351,1628,0.76887,0.80854
2011,4th Quintile,Urban regions,No,0.21130,277,1628,0.19146,0.23113
2011,4th Quintile,Rural regions,Yes,0.78785,657,797,0.75945,0.81625
2011,4th Quintile,Rural regions,No,0.21215,140,797,0.18375,0.24055
2011,5th Quintile,Urban regions,Yes,0.87392,1859,2058,0.85958,0.88827
2011,5th Quintile,Urban regions,No,0.12608,199,2058,0.11173,0.14042
2011,5th Quintile,Rural regions,Yes,0.86127,631,709,0.83581,0.88674
2011,5th Quintile,Rural regions,No,0.13873,78,709,0.11326,0.16419
2013,1st Quintile,Urban regions,Yes,0.58960,1491,2026,0.56818,0.61103
2013,1st Quintile,Urban regions,No,0.41040,535,2026,0.38897,0.43182
2013,1st Quintile,Rural regions,Yes,0.47861,608,1001,0.44765,0.50957
2013,1st Quintile,Rural regions,No,0.52139,393,1001,0.49043,0.55235
2013,2nd Quintile,Urban regions,Yes,0.63915,1316,1761,0.61671,0.66159
2013,2nd Quintile,Urban regions,No,0.36085,445,1761,0.33841,0.38329
2013,2nd Quintile,Rural regions,Yes,0.57020,659,1022,0.53984,0.60057
2013,2nd Quintile,Rural regions,No,0.42980,363,1022,0.39943,0.46016
2013,3rd Quintile,Urban regions,Yes,0.73979,1350,1667,0.71872,0.76085
2013,3rd Quintile,Urban regions,No,0.26021,317,1667,0.23915,0.28128
2013,3rd Quintile,Rural regions,Yes,0.67647,715,951,0.64672,0.70621
2013,3rd Quintile,Rural regions,No,0.32353,236,951,0.29379,0.35328
2013,4th Quintile,Urban regions,Yes,0.83555,1510,1702,0.81793,0.85316
2013,4th Quintile,Urban regions,No,0.16445,192,1702,0.14684,0.18207
2013,4th Quintile,Rural regions,Yes,0.79137,740,875,0.76443,0.81830
2013,4th Quintile,Rural regions,No,0.20863,135,875,0.18170,0.23557
2013,5th Quintile,Urban regions,Yes,0.90834,2037,2165,0.89618,0.92049
2013,5th Quintile,Urban regions,No,0.09166,128,2165,0.07951,0.10382
2013,5th Quintile,Rural regions,Yes,0.92029,645,695,0.90014,0.94044
2013,5th Quintile,Rural regions,No,0.07971,50,695,0.05956,0.09986
2014,1st Quintile,Urban regions,Yes,0.61186,1685,2215,0.59156,0.63216
2014,1st Quintile,Urban regions,No,0.38814,530,2215,0.36784,0.40844
2014,1st Quintile,Rural regions,Yes,0.55763,860,1224,0.52979,0.58547
2014,1st Quintile,Rural regions,No,0.44237,364,1224,0.41453,0.47021
2014,2nd Quintile,Urban regions,Yes,0.67541,1615,2022,0.65500,0.69583
2014,2nd Quintile,Urban regions,No,0.32459,407,2022,0.30417,0.34500
2014,2nd Quintile,Rural regions,Yes,0.57761,913,1279,0.55053,0.60469
2014,2nd Quintile,Rural regions,No,0.42239,366,1279,0.39531,0.44947
2014,3rd Quintile,Urban regions,Yes,0.74470,1623,1936,0.72528,0.76413
2014,3rd Quintile,Urban regions,No,0.25530,313,1936,0.23587,0.27472
2014,3rd Quintile,Rural regions,Yes,0.67305,908,1163,0.64608,0.70002
2014,3rd Quintile,Rural regions,No,0.32695,255,1163,0.29998,0.35392
2014,4th Quintile,Urban regions,Yes,0.84196,1740,1931,0.82569,0.85823
2014,4th Quintile,Urban regions,No,0.15804,191,1931,0.14177,0.17431
2014,4th Quintile,Rural regions,Yes,0.80119,859,989,0.77630,0.82608
2014,4th Quintile,Rural regions,No,0.19881,130,989,0.17392,0.22370
2014,5th Quintile,Urban regions,Yes,0.91450,2132,2255,0.90295,0.92604
2014,5th Quintile,Urban regions,No,0.08550,123,2255,0.07396,0.09705
2014,5th Quintile,Rural regions,Yes,0.91406,712,757,0.89408,0.93404
2014,5th Quintile,Rural regions,No,0.08594,45,757,0.06596,0.10592
2015,1st Quintile,Urban regions,Yes,0.66408,1836,2305,0.64480,0.68337
2015,1st Quintile,Urban regions,No,0.33592,469,2305,0.31663,0.35520
2015,1st Quintile,Rural regions,Yes,0.57944,891,1237,0.55191,0.60696
2015,1st Quintile,Rural regions,No,0.42056,346,1237,0.39304,0.44809
2015,2nd Quintile,Urban regions,Yes,0.68501,1669,2052,0.66490,0.70511
2015,2nd Quintile,Urban regions,No,0.31499,383,2052,0.29489,0.33510
2015,2nd Quintile,Rural regions,Yes,0.62314,979,1316,0.59695,0.64933
2015,2nd Quintile,Rural regions,No,0.37686,337,1316,0.35067,0.40305
2015,3rd Quintile,Urban regions,Yes,0.77733,1646,1909,0.75866,0.79600
2015,3rd Quintile,Urban regions,No,0.22267,263,1909,0.20400,0.24134
2015,3rd Quintile,Rural regions,Yes,0.72525,899,1101,0.69887,0.75163
2015,3rd Quintile,Rural regions,No,0.27475,202,1101,0.24837,0.30113
2015,4th Quintile,Urban regions,Yes,0.85623,1681,1853,0.84025,0.87221
2015,4th Quintile,Urban regions,No,0.14377,172,1853,0.12779,0.15975
2015,4th Quintile,Rural regions,Yes,0.84489,874,969,0.82208,0.86769
2015,4th Quintile,Rural regions,No,0.15511,95,969,0.13231,0.17792
2015,5th Quintile,Urban regions,Yes,0.92241,2123,2233,0.91131,0.93351
2015,5th Quintile,Urban regions,No,0.07759,110,2233,0.06649,0.08869
2015,5th Quintile,Rural regions,Yes,0.92056,699,740,0.90107,0.94006
2015,5th Quintile,Rural regions,No,0.07944,41,740,0.05994,0.09893
2016,1st Quintile,Urban regions,Yes,0.68778,2704,3429,0.67227,0.70330
2016,1st Quintile,Urban regions,No,0.31222,725,3429,0.29670,0.32773
2016,1st Quintile,Rural regions,Yes,0.62348,1289,1758,0.60083,0.64614
2016,1st Quintile,Rural regions,No,0.37652,469,1758,0.35386,0.39917
2016,2nd Quintile,Urban regions,Yes,0.71322,1532,1844,0.69257,0.73387
2016,2nd Quintile,Urban regions,No,0.28678,312,1844,0.26613,0.30743
2016,2nd Quintile,Rural regions,Yes,0.65097,894,1191,0.62389,0.67805
2016,2nd Quintile,Rural regions,No,0.34903,297,1191,0.32195,0.37611
2016,3rd Quintile,Urban regions,Yes,0.80086,1504,1725,0.78201,0.81971
2016,3rd Quintile,Urban regions,No,0.19914,221,1725,0.18029,0.21799
2016,3rd Quintile,Rural regions,Yes,0.77710,853,1018,0.75152,0.80268
2016,3rd Quintile,Rural regions,No,0.22290,165,1018,0.19732,0.24848
2016,4th Quintile,Urban regions,Yes,0.87574,1622,1758,0.86032,0.89117
2016,4th Quintile,Urban regions,No,0.12426,136,1758,0.10883,0.13968
2016,4th Quintile,Rural regions,Yes,0.84204,813,900,0.81820,0.86588
2016,4th Quintile,Rural regions,No,0.15796,87,900,0.13412,0.18180
2016,5th Quintile,Urban regions,Yes,0.92715,1963,2049,0.91590,0.93841
2016,5th Quintile,Urban regions,No,0.07285,86,2049,0.06159,0.08410
2016,5th Quintile,Rural regions,Yes,0.93481,671,705,0.91657,0.95304
2016,5th Quintile,Rural regions,No,0.06519,34,705,0.04696,0.08343
2017,Not included in this version of the questionnaire,Urban regions,Yes,0.37697,33,33,0.20905,0.54488
2017,1st Quintile,Urban regions,Yes,0.72749,3140,3707,0.71315,0.74182
2017,1st Quintile,Urban regions,No,0.27251,567,3707,0.25818,0.28685
2017,1st Quintile,Rural regions,Yes,0.63089,1540,1930,0.60935,0.65242
2017,1st Quintile,Rural regions,No,0.36911,390,1930,0.34758,0.39065
2017,2nd Quintile,Urban regions,Yes,0.74551,1727,2027,0.72654,0.76448
2017,2nd Quintile,Urban regions,No,0.25449,300,2027,0.23552,0.27346
2017,2nd Quintile,Rural regions,Yes,0.68011,1032,1299,0.65473,0.70548
2017,2nd Quintile,Rural regions,No,0.31989,267,1299,0.29452,0.34527
2017,3rd Quintile,Urban regions,Yes,0.82345,1713,1912,0.80635,0.84054
2017,3rd Quintile,Urban regions,No,0.17655,199,1912,0.15946,0.19365
2017,3rd Quintile,Rural regions,Yes,0.82215,1049,1191,0.80042,0.84387
2017,3rd Quintile,Rural regions,No,0.17785,142,1191,0.15613,0.19958
2017,4th Quintile,Urban regions,Yes,0.88460,1887,2015,0.87065,0.89856
