year,pgisced97,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Pre-primary Level,,,,,,,,,,,,
1984,Primary Level,,,,,,,,,,,,
1984,Lower Secondary Level,,,,,,,,,,,,
1984,Upper Secondary Level,,,,,,,,,,,,
1984,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1984,First Stage of Tertiary Education,,,,,,,,,,,,
1984,Second Stage of Tertiary Education,,,,,,,,,,,,
1985,Pre-primary Level,,,,,,,,,,,,
1985,Primary Level,,,,,,,,,,,,
1985,Lower Secondary Level,,,,,,,,,,,,
1985,Upper Secondary Level,,,,,,,,,,,,
1985,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1985,First Stage of Tertiary Education,,,,,,,,,,,,
1985,Second Stage of Tertiary Education,,,,,,,,,,,,
1986,Pre-primary Level,,,,,,,,,,,,
1986,Primary Level,,,,,,,,,,,,
1986,Lower Secondary Level,,,,,,,,,,,,
1986,Upper Secondary Level,,,,,,,,,,,,
1986,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1986,First Stage of Tertiary Education,,,,,,,,,,,,
1986,Second Stage of Tertiary Education,,,,,,,,,,,,
1987,Pre-primary Level,,,,,,,,,,,,
1987,Primary Level,,,,,,,,,,,,
1987,Lower Secondary Level,,,,,,,,,,,,
1987,Upper Secondary Level,,,,,,,,,,,,
1987,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1987,First Stage of Tertiary Education,,,,,,,,,,,,
1987,Second Stage of Tertiary Education,,,,,,,,,,,,
1988,Pre-primary Level,,,,,,,,,,,,
1988,Primary Level,,,,,,,,,,,,
1988,Lower Secondary Level,,,,,,,,,,,,
1988,Upper Secondary Level,,,,,,,,,,,,
1988,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1988,First Stage of Tertiary Education,,,,,,,,,,,,
1988,Second Stage of Tertiary Education,,,,,,,,,,,,
1989,Pre-primary Level,,,,,,,,,,,,
1989,Primary Level,,,,,,,,,,,,
1989,Lower Secondary Level,,,,,,,,,,,,
1989,Upper Secondary Level,,,,,,,,,,,,
1989,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1989,First Stage of Tertiary Education,,,,,,,,,,,,
1989,Second Stage of Tertiary Education,,,,,,,,,,,,
1990,Pre-primary Level,,,,,,,,,,,,
1990,Primary Level,,,,,,,,,,,,
1990,Lower Secondary Level,,,,,,,,,,,,
1990,Upper Secondary Level,,,,,,,,,,,,
1990,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1990,First Stage of Tertiary Education,,,,,,,,,,,,
1990,Second Stage of Tertiary Education,,,,,,,,,,,,
1991,Pre-primary Level,,,,,,,,,,,,
1991,Primary Level,,,,,,,,,,,,
1991,Lower Secondary Level,,,,,,,,,,,,
1991,Upper Secondary Level,,,,,,,,,,,,
1991,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1991,First Stage of Tertiary Education,,,,,,,,,,,,
1991,Second Stage of Tertiary Education,,,,,,,,,,,,
1992,Pre-primary Level,,,,,,,,,,,,
1992,Primary Level,,,,,,,,,,,,
1992,Lower Secondary Level,,,,,,,,,,,,
1992,Upper Secondary Level,,,,,,,,,,,,
1992,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1992,First Stage of Tertiary Education,,,,,,,,,,,,
1992,Second Stage of Tertiary Education,,,,,,,,,,,,
1993,Pre-primary Level,,,,,,,,,,,,
1993,Primary Level,,,,,,,,,,,,
1993,Lower Secondary Level,,,,,,,,,,,,
1993,Upper Secondary Level,,,,,,,,,,,,
1993,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1993,First Stage of Tertiary Education,,,,,,,,,,,,
1993,Second Stage of Tertiary Education,,,,,,,,,,,,
1994,Pre-primary Level,,,,,,,,,,,,
1994,Primary Level,,,,,,,,,,,,
1994,Lower Secondary Level,,,,,,,,,,,,
1994,Upper Secondary Level,,,,,,,,,,,,
1994,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1994,First Stage of Tertiary Education,,,,,,,,,,,,
1994,Second Stage of Tertiary Education,,,,,,,,,,,,
1995,Pre-primary Level,,,,,,,,,,,,
1995,Primary Level,,,,,,,,,,,,
1995,Lower Secondary Level,,,,,,,,,,,,
1995,Upper Secondary Level,,,,,,,,,,,,
1995,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1995,First Stage of Tertiary Education,,,,,,,,,,,,
1995,Second Stage of Tertiary Education,,,,,,,,,,,,
1996,Pre-primary Level,,,,,,,,,,,,
1996,Primary Level,,,,,,,,,,,,
1996,Lower Secondary Level,,,,,,,,,,,,
1996,Upper Secondary Level,,,,,,,,,,,,
1996,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1996,First Stage of Tertiary Education,,,,,,,,,,,,
1996,Second Stage of Tertiary Education,,,,,,,,,,,,
1997,Pre-primary Level,,,,,,,,,,,,
1997,Primary Level,,,,,,,,,,,,
1997,Lower Secondary Level,,,,,,,,,,,,
1997,Upper Secondary Level,,,,,,,,,,,,
1997,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1997,First Stage of Tertiary Education,,,,,,,,,,,,
1997,Second Stage of Tertiary Education,,,,,,,,,,,,
1998,Pre-primary Level,,,,,,,,,,,,
1998,Primary Level,,,,,,,,,,,,
1998,Lower Secondary Level,,,,,,,,,,,,
1998,Upper Secondary Level,,,,,,,,,,,,
1998,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1998,First Stage of Tertiary Education,,,,,,,,,,,,
1998,Second Stage of Tertiary Education,,,,,,,,,,,,
1999,Pre-primary Level,,,,,,,,,,,,
1999,Primary Level,,,,,,,,,,,,
1999,Lower Secondary Level,,,,,,,,,,,,
1999,Upper Secondary Level,,,,,,,,,,,,
1999,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1999,First Stage of Tertiary Education,,,,,,,,,,,,
1999,Second Stage of Tertiary Education,,,,,,,,,,,,
2000,Pre-primary Level,,,,,,,,,,,,
2000,Primary Level,,,,,,,,,,,,
2000,Lower Secondary Level,,,,,,,,,,,,
2000,Upper Secondary Level,,,,,,,,,,,,
2000,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2000,First Stage of Tertiary Education,,,,,,,,,,,,
2000,Second Stage of Tertiary Education,,,,,,,,,,,,
2001,Pre-primary Level,,,,,,,,,,,,
2001,Primary Level,,,,,,,,,,,,
2001,Lower Secondary Level,,,,,,,,,,,,
2001,Upper Secondary Level,,,,,,,,,,,,
2001,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2001,First Stage of Tertiary Education,,,,,,,,,,,,
2001,Second Stage of Tertiary Education,,,,,,,,,,,,
2002,Pre-primary Level,601,21.74591849199718,21.63124617538526,21.8605908086091,19.53125,21.262881756062605,23.394324666187085,13.736638000719372,29.188936665467715,21.26654,20.903341150283815,21.597297620773315
2002,Primary Level,286,26.560038965755542,26.298402825222375,26.82167510628871,23.402295847245536,26.030673450214167,29.384756088256836,16.32653,38.35844644977379,26.026175,25.010704040527344,26.704189777374268
2002,Lower Secondary Level,2849,25.73014751693518,25.645270724134946,25.815024309735414,22.491350173950195,25.390625,28.40550422668457,13.620119094848633,37.27673530578613,25.390625,25.17571449279785,25.67893009185791
2002,Upper Secondary Level,11482,25.63258845747658,25.59446675153301,25.67071016342015,22.675737380981445,25.127830505371094,27.986164844291324,14.710096186016628,35.95180603925614,25.12783,25.006322860717773,25.27861785888672
2002,Post-secondary Non-tertiary Level,1158,24.555693826446678,24.437877318781897,24.67351033411146,21.564544677734375,23.991212844848633,26.57407644402071,16.528925,34.08837409345021,23.991213,23.674556493759155,24.320987701416016
2002,First Stage of Tertiary Education,1728,25.887058307860098,25.792724514164075,25.98139210155612,23.265274537802515,25.510204315185547,28.373703002929688,15.602631840111757,36.036345700620444,25.510204,25.3085120677948,25.77107048034668
2002,Second Stage of Tertiary Education,4534,25.105471816993926,25.0518864916329,25.159057142354953,22.499637603759766,24.69135856628418,27.33563995361328,15.245634078979492,34.589643478393555,24.691359,24.524763107299805,24.815242767333984
2003,Pre-primary Level,,,,,,,,,,,,
2003,Primary Level,,,,,,,,,,,,
2003,Lower Secondary Level,,,,,,,,,,,,
2003,Upper Secondary Level,,,,,,,,,,,,
2003,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2003,First Stage of Tertiary Education,,,,,,,,,,,,
2003,Second Stage of Tertiary Education,,,,,,,,,,,,
2004,Pre-primary Level,632,21.598286750184545,21.480837719988433,21.71573578038066,19.37919807434082,21.106463546444253,23.12135216433118,14.452538,28.734583299316725,21.107267,20.745003604888915,21.45363140106201
2004,Primary Level,251,26.584178127271738,26.307644143442253,26.860712111101222,23.373933470122292,26.328601706574847,29.387379337411783,15.241579,38.407548138346016,26.346495,25.512088775634766,27.349572134017944
2004,Lower Secondary Level,2525,26.03644302053994,25.941383195000586,26.131502846079297,22.598140716552734,25.510204315185547,28.988227101421074,13.013011139250224,38.573356678723584,25.510204,25.308746337890625,25.711998844146727
2004,Upper Secondary Level,10668,25.85599162992514,25.815388875185917,25.89659438466436,22.77318572998047,25.282569885253906,28.34467124938965,14.4159574508667,36.70189952850342,25.28257,25.171709060668945,25.355974102020262
2004,Post-secondary Non-tertiary Level,1141,24.67922551110575,24.565060260090647,24.79339076212085,21.70558325009404,24.44727897644043,26.793006450985857,15.943877,34.42414125232358,24.447279,24.20319938659668,24.896305418014528
2004,First Stage of Tertiary Education,1625,26.164372903309616,26.061313447124462,26.26743235949477,23.382283022996983,25.720096578339074,28.728445247909,15.755751,36.747688585277025,25.711662,25.477688598632813,26.032699584960938
2004,Second Stage of Tertiary Education,4266,25.23375298769163,25.1763708900238,25.29113508535946,22.509780677883775,24.840980529785156,27.44059944152832,15.495868,34.83682758699514,24.84098,24.681961059570312,24.990602493286133
2005,Pre-primary Level,,,,,,,,,,,,
2005,Primary Level,,,,,,,,,,,,
2005,Lower Secondary Level,,,,,,,,,,,,
2005,Upper Secondary Level,,,,,,,,,,,,
2005,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2005,First Stage of Tertiary Education,,,,,,,,,,,,
2005,Second Stage of Tertiary Education,,,,,,,,,,,,
2006,Pre-primary Level,630,22.022329910290388,21.899882409333532,22.144777411247244,19.72108148491711,21.499597549438477,23.6708572417411,15.523848,29.595520876977083,21.499598,21.16924285888672,21.77481789588928
2006,Primary Level,240,26.796160280565807,26.477542443935707,27.114778117195907,22.85714340209961,26.5706548894886,30.837567362938884,17.099277,42.8082033041978,26.57313,25.596518135070802,27.72624397277832
2006,Lower Secondary Level,2503,26.244243589363116,26.144782532874935,26.343704645851297,22.65625,25.510204315185547,29.066967840356583,13.040173239465126,38.683044600891456,25.510204,25.2935848236084,25.711998844146727
2006,Upper Secondary Level,10955,26.09905049249341,26.057854926546305,26.140246058440518,22.981901168823242,25.484764099121094,28.577960968017578,14.587811470031738,36.97205066680908,25.484764,25.363698959350586,25.578903198242188
2006,Post-secondary Non-tertiary Level,1204,24.818703186718466,24.705984597729238,24.931421775707694,21.835350342550413,24.47543257677245,26.89450158990359,14.246623471520646,34.48322846093336,24.464602,24.237844467163086,24.732709884643555
2006,First Stage of Tertiary Education,1635,26.391201968278562,26.28136784651407,26.501036090043055,23.44978461992792,25.762981414794922,29.031789779663086,15.076776880325175,37.404797519265834,25.762981,25.511394500732422,26.07562565803528
2006,Second Stage of Tertiary Education,4553,25.2850248685606,25.22852106555835,25.341528671562852,22.499637603759766,24.859073638916016,27.447756823467895,15.077458774197572,34.86993565303009,24.859074,24.677792358398438,24.941470289230345
2007,Pre-primary Level,,,,,,,,,,,,
2007,Primary Level,,,,,,,,,,,,
2007,Lower Secondary Level,,,,,,,,,,,,
2007,Upper Secondary Level,,,,,,,,,,,,
2007,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2007,First Stage of Tertiary Education,,,,,,,,,,,,
2007,Second Stage of Tertiary Education,,,,,,,,,,,,
2008,Pre-primary Level,544,22.209154131969623,22.062852419120198,22.355455844819048,19.656884325987033,21.672365356042057,23.985879909648965,13.420305,30.47937328514186,21.671259,21.188131475448607,22.11802864074707
2008,Primary Level,182,27.053020197851655,26.692837640772662,27.413202754930648,23.510012871955357,26.45901109267043,30.41574785985859,14.5281105,40.77435034171344,26.446281,25.48498430252075,27.38235855102539
2008,Lower Secondary Level,2022,26.415675935864805,26.30774858753553,26.523603284194078,22.948116302490234,25.71166229248047,29.136316299438477,13.665816307067871,38.41861629486084,25.711662,25.408554363250733,25.91312026977539
2008,Upper Secondary Level,9623,26.263328290446516,26.218000185476757,26.308656395416275,23.040019989013672,25.617284774780273,28.76397132873535,14.527376,37.34989833831787,25.617285,25.522907257080078,25.77363786697388
2008,Post-secondary Non-tertiary Level,1076,25.191419628997828,25.0633549668665,25.319484291129157,22.093170166015625,24.69135856628418,27.463468454143353,15.780836,35.518915886334945,24.691359,24.425835418701173,25.144489288330078
2008,First Stage of Tertiary Education,1404,26.762770485583275,26.64088568607161,26.88465528509494,23.604554513570797,26.00677872238384,29.359347056403728,16.37208,37.991535870653124,26.004383,25.66227149963379,26.36860580444336
2008,Second Stage of Tertiary Education,4168,25.429807476329014,25.370127322613392,25.489487630044636,22.63938634249512,24.930747985839844,27.635909581417668,15.625,35.13069443980149,24.930748,24.66568069458008,25.170137405395508
2009,Pre-primary Level,,,,,,,,,,,,
2009,Primary Level,,,,,,,,,,,,
2009,Lower Secondary Level,,,,,,,,,,,,
2009,Upper Secondary Level,,,,,,,,,,,,
2009,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2009,First Stage of Tertiary Education,,,,,,,,,,,,
2009,Second Stage of Tertiary Education,,,,,,,,,,,,
2010,Pre-primary Level,558,22.173990502202024,22.029226459999332,22.318754544404715,19.568235397338867,21.60609110499171,24.090335735606114,14.08,30.873486243006987,21.606647,21.246173858642578,22.08265404701233
2010,Primary Level,136,27.840470819087024,27.375214451351376,28.305727186822672,23.4375,27.255124935368197,31.170302922566943,17.306122,42.76950730641736,27.268005,25.77203941345215,29.286672592163086
2010,Lower Secondary Level,1641,26.58086556656745,26.451529417184762,26.710201715950138,23.148147583007812,25.82558701152943,29.384756088256836,13.793234825134277,38.73966884613037,25.826447,25.53044319152832,26.142688751220703
