"year","bildungsniveau","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2002","(Fach-)Abitur","Laendlicher Raum","24.13","23.5","584","23.78","24.48"
"2002","(Fach-)Abitur","Staedtischer Raum","24.27","23.5","1853","24.08","24.46"
"2002","(noch) kein Abschluss","Laendlicher Raum","23.43","21.5","250","22.96","23.9"
"2002","(noch) kein Abschluss","Staedtischer Raum","23.83","22.5","647","23.49","24.17"
"2002","AkademikerIn","Laendlicher Raum","25.77","24.5","1328","25.56","25.98"
"2002","AkademikerIn","Staedtischer Raum","24.85","24.5","3206","24.72","24.98"
"2002","Hauptschule","Laendlicher Raum","26.29","25.5","3086","26.13","26.45"
"2002","Hauptschule","Staedtischer Raum","26.27","25.5","5747","26.16","26.38"
"2002","Realschule","Laendlicher Raum","25.1","24.5","2388","24.93","25.27"
"2002","Realschule","Staedtischer Raum","24.87","23.5","3542","24.72","25.02"
"2003","(Fach-)Abitur","Laendlicher Raum","","","","",""
"2003","(Fach-)Abitur","Staedtischer Raum","","","","",""
"2003","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"2003","(noch) kein Abschluss","Staedtischer Raum","","","","",""
"2003","AkademikerIn","Laendlicher Raum","","","","",""
"2003","AkademikerIn","Staedtischer Raum","","","","",""
"2003","Hauptschule","Laendlicher Raum","","","","",""
"2003","Hauptschule","Staedtischer Raum","","","","",""
"2003","Realschule","Laendlicher Raum","","","","",""
"2003","Realschule","Staedtischer Raum","","","","",""
"2004","(Fach-)Abitur","Laendlicher Raum","24.33","23.5","562","23.97","24.69"
"2004","(Fach-)Abitur","Staedtischer Raum","24.59","23.5","1810","24.39","24.79"
"2004","(noch) kein Abschluss","Laendlicher Raum","23.12","21.5","256","22.62","23.62"
"2004","(noch) kein Abschluss","Staedtischer Raum","23.86","22.5","641","23.5","24.22"
"2004","AkademikerIn","Laendlicher Raum","25.92","24.5","1258","25.7","26.14"
"2004","AkademikerIn","Staedtischer Raum","24.98","24.5","3008","24.84","25.12"
"2004","Hauptschule","Laendlicher Raum","26.63","25.5","2775","26.45","26.81"
"2004","Hauptschule","Staedtischer Raum","26.41","25.5","5193","26.29","26.53"
"2004","Realschule","Laendlicher Raum","25.47","24.5","2269","25.29","25.65"
"2004","Realschule","Staedtischer Raum","25.18","24.5","3290","25.03","25.33"
"2005","(Fach-)Abitur","Laendlicher Raum","","","","",""
"2005","(Fach-)Abitur","Staedtischer Raum","","","","",""
"2005","(noch) kein Abschluss","Laendlicher Raum","","","","",""
"2005","(noch) kein Abschluss","Staedtischer Raum","","","","",""
"2005","AkademikerIn","Laendlicher Raum","","","","",""
