year,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Urban regions,,,,,,,,,,,,
1985,Rural regions,,,,,,,,,,,,
1986,Urban regions,,,,,,,,,,,,
1986,Rural regions,,,,,,,,,,,,
1987,Urban regions,,,,,,,,,,,,
1987,Rural regions,,,,,,,,,,,,
1988,Urban regions,,,,,,,,,,,,
1988,Rural regions,,,,,,,,,,,,
1989,Urban regions,,,,,,,,,,,,
1989,Rural regions,,,,,,,,,,,,
1990,Urban regions,,,,,,,,,,,,
1990,Rural regions,,,,,,,,,,,,
1991,Urban regions,,,,,,,,,,,,
1991,Rural regions,,,,,,,,,,,,
1992,Urban regions,,,,,,,,,,,,
1992,Rural regions,,,,,,,,,,,,
1993,Urban regions,,,,,,,,,,,,
1993,Rural regions,,,,,,,,,,,,
1994,Urban regions,,,,,,,,,,,,
1994,Rural regions,,,,,,,,,,,,
1995,Urban regions,,,,,,,,,,,,
1995,Rural regions,,,,,,,,,,,,
1996,Urban regions,,,,,,,,,,,,
1996,Rural regions,,,,,,,,,,,,
1997,Urban regions,,,,,,,,,,,,
1997,Rural regions,,,,,,,,,,,,
1998,Urban regions,,,,,,,,,,,,
1998,Rural regions,,,,,,,,,,,,
1999,Urban regions,,,,,,,,,,,,
1999,Rural regions,,,,,,,,,,,,
2000,Urban regions,,,,,,,,,,,,
2000,Rural regions,,,,,,,,,,,,
2001,Urban regions,,,,,,,,,,,,
2001,Rural regions,,,,,,,,,,,,
2002,Urban regions,15150,25.35552,25.26904,25.42461,22.40818,24.83576,27.74740,14.39935,35.75623,24.835764,24.74071,24.88727
2002,Rural regions,7671,25.62525,25.50251,25.75815,22.64219,25.24934,28.07504,14.49292,36.22432,25.249338,25.10805,25.39918
2003,Urban regions,,,,,,,,,,,,
2003,Rural regions,,,,,,,,,,,,
2004,Urban regions,14191,25.50424,25.40141,25.59477,22.46003,24.97631,27.77778,14.48342,35.75440,24.977043,24.87789,25.09613
2004,Rural regions,7180,25.88372,25.74670,25.99647,22.79033,25.39343,28.40550,14.36757,36.82826,25.39343,25.22191,25.52735
2005,Urban regions,,,,,,,,,,,,
2005,Rural regions,,,,,,,,,,,,
2006,Urban regions,14474,25.65735,25.55418,25.72890,22.49135,25.01352,28.07504,14.11581,36.45058,25.013521,24.87825,25.11177
2006,Rural regions,7569,26.11795,25.99301,26.24243,22.99262,25.60554,28.68514,14.45384,37.22392,25.605536,25.44927,25.76032
2007,Urban regions,,,,,,,,,,,,
2007,Rural regions,,,,,,,,,,,,
2008,Urban regions,12684,25.83031,25.71482,25.93808,22.65458,25.18108,28.34467,14.11945,36.87980,25.181078,25.05351,25.34897
2008,Rural regions,6670,26.25150,26.11581,26.40849,23.12062,25.68956,28.95900,14.527376,37.71656,25.689562,25.55268,25.86892
2009,Urban regions,,,,,,,,,,,,
2009,Rural regions,,,,,,,,,,,,
2010,Urban regions,11012,26.02470,25.87532,26.17276,22.72440,25.25952,28.39506,14.21842,36.90105,25.259516,25.09870,25.33825
2010,Rural regions,5809,26.50615,26.31749,26.70820,23.33593,25.90479,29.06593,14.74093,37.66093,25.90431,25.77874,26.09696
2011,Urban regions,,,,,,,,,,,,
2011,Rural regions,,,,,,,,,,,,
2012,Urban regions,13231,25.97320,25.85936,26.07430,22.67574,25.29938,28.40055,14.08852,36.98776,25.299376,25.20813,25.40349
2012,Rural regions,7506,26.64054,26.47927,26.78435,23.30668,26.03129,29.38476,14.18957,38.50187,26.03082,25.84243,26.19713
2013,Urban regions,,,,,,,,,,,,
2013,Rural regions,,,,,,,,,,,,
2014,Urban regions,17738,26.04400,25.92838,26.15212,22.64219,25.27409,28.55463,13.77353,37.42329,25.28011,25.16959,25.45389
2014,Rural regions,9509,26.65444,26.50022,26.78617,23.24341,26.03510,29.37453,14.04672,38.57122,26.035105,25.83564,26.24376
2015,Urban regions,,,,,,,,,,,,
2015,Rural regions,,,,,,,,,,,,
2016,Urban regions,15706,26.20002,26.07712,26.34274,22.77319,25.35926,28.71048,13.86724,37.61642,25.359257,25.21490,25.46918
2016,Rural regions,8549,26.77067,26.60274,26.92454,23.24341,26.23457,29.41176,14.692378,38.66430,26.234568,26.04556,26.43170
2017,Urban regions,,,,,,,,,,,,
2017,Rural regions,,,,,,,,,,,,
2018,Urban regions,18893,26.29662,26.18929,26.41144,22.77319,25.46939,28.73469,13.83092,37.67696,25.469387,25.32149,25.59442
2018,Rural regions,9812,26.97260,26.82030,27.12777,23.43750,26.29657,29.72108,14.01213,39.14645,26.296566,26.14357,26.46468
2019,Urban regions,,,,,,,,,,,,
2019,Rural regions,,,,,,,,,,,,
2020,Urban regions,17065,26.49934,26.38975,26.62366,22.94213,25.71166,29.05373,14.021408,38.22114,25.711662,25.55841,25.86399
2020,Rural regions,8653,27.06036,26.87067,27.22388,23.51020,26.34649,29.74420,14.15921,39.09519,26.346495,26.18118,26.49680
2021,Urban regions,,,,,,,,,,,,
2021,Rural regions,,,,,,,,,,,,
