"year","bildungsniveau","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median","NA"
"2002","(Fach-)Abitur","24.24","23.5","2437","20","21","26","29","38","24.07","24.41","15","60","23","24",""
"2002","(noch) kein Abschluss","23.72","22.5","897","19","20","26","30","36","23.44","24","13","52","22","22",""
"2002","AkademikerIn","25.1","24.5","4534","21","22","27","30","37","24.99","25.21","14","46","25","25",""
"2002","Hauptschule","26.28","25.5","8833","21","23","29","32","39","26.19","26.37","12","59","26","26",""
"2002","Realschule","24.96","23.5","5930","20","22","27","30","38","24.85","25.07","15","66","24","24",""
"2003","(Fach-)Abitur","","","","","","","","","","","","","","",""
"2003","(noch) kein Abschluss","","","","","","","","","","","","","","",""
"2003","AkademikerIn","","","","","","","","","","","","","","",""
"2003","Hauptschule","","","","","","","","","","","","","","",""
"2003","Realschule","","","","","","","","","","","","","","",""
"2004","(Fach-)Abitur","24.53","23.5","2372","20","22","27","30","38","24.35","24.71","15","69","24","24",""
"2004","(noch) kein Abschluss","23.67","22.5","897","19","20","27","31","35","23.38","23.96","14","49","22","22",""
"2004","AkademikerIn","25.23","24.5","4266","21","23","27","30","37","25.11","25.35","15","58","25","25",""
"2004","Hauptschule","26.49","25.5","7968","21","24","29","32","40","26.39","26.59","12","73","26","26",""
"2004","Realschule","25.29","24.5","5559","20","22","28","31","39","25.17","25.41","16","63","24","25",""
"2005","(Fach-)Abitur","","","","","","","","","","","","","","",""
"2005","(noch) kein Abschluss","","","","","","","","","","","","","","",""
"2005","AkademikerIn","","","","","","","","","","","","","","",""
"2005","Hauptschule","","","","","","","","","","","","","","",""
"2005","Realschule","","","","","","","","","","","","","","",""
"2006","(Fach-)Abitur","24.47","23.5","2435","20","22","27","30","37","24.3","24.64","14","61","24","24",""
"2006","(noch) kein Abschluss","24.88","23.5","645","19","21","28","33","39","24.5","25.26","16","58","23","23",""
"2006","AkademikerIn","25.28","24.5","4553","21","22","27","30","37","25.16","25.4","14","67","25","25",""
"2006","Hauptschule","26.77","25.5","8006","21","24","29","33","41","26.67","26.87","13","76","26","26",""
"2006","Realschule","25.64","24.5","5685","21","22","28","31","40","25.52","25.76","12","65","25","25",""
"2007","(Fach-)Abitur","","","","","","","","","","","","","","",""
"2007","(noch) kein Abschluss","","","","","","","","","","","","","","",""
"2007","AkademikerIn","","","","","","","","","","","","","","",""
"2007","Hauptschule","","","","","","","","","","","","","","",""
"2007","Realschule","","","","","","","","","","","","","","",""
"2008","(Fach-)Abitur","24.83","23.5","2143","20","22","27","31","39","24.65","25.01","16","67","24","24",""
"2008","(noch) kein Abschluss","24.73","23.5","540","19","21","27","32","40","24.3","25.16","15","59","23","24",""
"2008","AkademikerIn","25.44","24.5","4168","21","23","28","31","37","25.31","25.57","13","137","25","25",""
"2008","Hauptschule","27.06","25.5","6740","22","24","29","33","42","26.94","27.18","13","197","26","27",""
"2008","Realschule","25.91","24.5","5042","21","23","28","32","41","25.78","26.04","16","99","25","25",""
