year,hhtyp,sampreg,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,West,No,0.97929,1065,1065,0.97074,0.98785
1996,Single-person household,East,No,0.97773,335,335,0.96191,0.99356
1996,Couple without children,West,Yes,0.04976,64,1305,0.03795,0.06156
1996,Couple without children,West,No,0.94958,1241,1305,0.93770,0.96145
1996,Couple without children,East,Yes,0.09480,50,535,0.06995,0.11964
1996,Couple without children,East,No,0.90520,485,535,0.88036,0.93005
1996,Single parent,West,No,0.90736,254,254,0.87163,0.94308
1996,Single parent,East,No,0.86926,97,97,0.80182,0.93669
1996,Couple with children,West,Yes,0.13193,217,1922,0.11680,0.14706
1996,Couple with children,West,No,0.86807,1705,1922,0.85294,0.88320
1996,Couple with children,East,Yes,0.18358,146,764,0.15611,0.21105
1996,Couple with children,East,No,0.81642,618,764,0.78895,0.84389
1996,Multi-generational household,West,No,0.85817,84,84,0.78312,0.93323
1996,Other Combinations,West,No,0.88286,87,87,0.81489,0.95082
1996,Other Combinations,East,No,0.84449,50,50,0.74302,0.94596
2001,Single-person household,West,Yes,0.02766,59,2220,0.02084,0.03449
2001,Single-person household,West,No,0.97234,2161,2220,0.96551,0.97916
2001,Single-person household,East,No,0.96508,679,679,0.95126,0.97890
2001,Couple without children,West,Yes,0.04331,124,2664,0.03558,0.05104
2001,Couple without children,West,No,0.95669,2540,2664,0.94896,0.96442
2001,Couple without children,East,Yes,0.12788,125,925,0.10635,0.14942
2001,Couple without children,East,No,0.87212,800,925,0.85058,0.89365
2001,Single parent,West,Yes,0.11541,57,514,0.08776,0.14307
2001,Single parent,West,No,0.88459,457,514,0.85693,0.91224
2001,Single parent,East,Yes,0.16790,32,192,0.11489,0.22091
2001,Single parent,East,No,0.83210,160,192,0.77909,0.88511
2001,Couple with children,West,Yes,0.13971,434,3208,0.12771,0.15171
2001,Couple with children,West,No,0.86029,2774,3208,0.84829,0.87229
2001,Couple with children,East,Yes,0.19947,179,967,0.17427,0.22467
2001,Couple with children,East,No,0.80053,788,967,0.77533,0.82573
2001,Multi-generational household,West,No,0.84242,118,118,0.77640,0.90844
2001,Other Combinations,West,No,0.93050,92,92,0.87825,0.98275
2006,Single-person household,West,Yes,0.01809,57,2472,0.01283,0.02334
2006,Single-person household,West,No,0.98191,2415,2472,0.97666,0.98717
2006,Single-person household,East,No,0.96891,788,788,0.95679,0.98104
2006,Couple without children,West,Yes,0.04794,149,3132,0.04045,0.05542
2006,Couple without children,West,No,0.95206,2983,3132,0.94458,0.95955
2006,Couple without children,East,Yes,0.09795,105,1026,0.07975,0.11615
2006,Couple without children,East,No,0.90205,921,1026,0.88385,0.92025
2006,Single parent,West,Yes,0.14336,83,582,0.11487,0.17186
2006,Single parent,West,No,0.85664,499,582,0.82814,0.88513
2006,Single parent,East,No,0.81847,161,161,0.75874,0.87820
2006,Couple with children,West,Yes,0.18033,519,2984,0.16653,0.19413
2006,Couple with children,West,No,0.81967,2465,2984,0.80587,0.83347
2006,Couple with children,East,Yes,0.20774,176,853,0.18049,0.23498
2006,Couple with children,East,No,0.79226,677,853,0.76502,0.81951
2006,Multi-generational household,West,No,0.90921,76,76,0.84419,0.97424
2006,Other Combinations,West,No,0.93166,79,79,0.87566,0.98766
2011,Single-person household,West,Yes,0.01853,53,2622,0.01336,0.02369
2011,Single-person household,West,No,0.97940,2569,2622,0.97396,0.98484
2011,Single-person household,East,Yes,0.07046,54,888,0.05362,0.08730
2011,Single-person household,East,No,0.92879,834,888,0.91187,0.94572
2011,Couple without children,West,Yes,0.04336,140,3281,0.03639,0.05033
2011,Couple without children,West,No,0.95628,3141,3281,0.94928,0.96328
2011,Couple without children,East,Yes,0.08071,87,1090,0.06454,0.09689
2011,Couple without children,East,No,0.91929,1003,1090,0.90311,0.93546
2011,Single parent,West,Yes,0.05643,76,585,0.03772,0.07515
2011,Single parent,West,No,0.46513,509,585,0.42468,0.50559
2011,Single parent,East,No,0.48141,176,176,0.40738,0.55544
2011,Couple with children,West,Yes,0.12304,425,2566,0.11032,0.13575
2011,Couple with children,West,No,0.67353,2141,2566,0.65538,0.69168
2011,Couple with children,East,Yes,0.17676,162,674,0.14794,0.20558
2011,Couple with children,East,No,0.60549,512,674,0.56857,0.64242
2011,Multi-generational household,West,No,0.80980,59,59,0.70879,0.91080
2011,Other Combinations,West,No,0.88174,68,68,0.80442,0.95907
2016,Single-person household,West,Yes,0.00814,31,2535,0.00464,0.01164
2016,Single-person household,West,No,0.98549,2504,2535,0.98084,0.99015
2016,Single-person household,East,No,0.97390,837,837,0.96309,0.98471
2016,Couple without children,West,Yes,0.01406,44,3084,0.00991,0.01822
2016,Couple without children,West,No,0.98485,3040,3084,0.98053,0.98916
2016,Couple without children,East,Yes,0.04896,39,1012,0.03566,0.06226
2016,Couple without children,East,No,0.95020,973,1012,0.93679,0.96361
2016,Single parent,West,Yes,0.04693,47,1188,0.03490,0.05896
2016,Single parent,West,No,0.94753,1141,1188,0.93484,0.96021
2016,Single parent,East,No,0.92522,316,316,0.89618,0.95427
2016,Couple with children,West,Yes,0.03555,166,4169,0.02993,0.04118
2016,Couple with children,West,No,0.95716,4003,4169,0.95102,0.96331
2016,Couple with children,East,Yes,0.10282,71,821,0.08203,0.12361
2016,Couple with children,East,No,0.88796,750,821,0.86637,0.90955
2016,Multi-generational household,West,No,0.95621,82,82,0.91165,1.00077
2016,Other Combinations,West,No,0.95228,166,166,0.91976,0.98481
2021,Single-person household,West,No,0.98225,2456,2456,0.97702,0.98747
2021,Single-person household,East,No,0.96096,689,689,0.94649,0.97543
2021,Couple without children,West,Yes,0.02343,63,2595,0.01761,0.02925
2021,Couple without children,West,No,0.97442,2532,2595,0.96835,0.98050
2021,Couple without children,East,No,0.96722,790,790,0.95480,0.97965
2021,Single parent,West,Yes,0.04967,38,657,0.03305,0.06630
2021,Single parent,West,No,0.93325,619,657,0.91415,0.95235
2021,Single parent,East,No,0.92658,224,224,0.89234,0.96081
2021,Couple with children,West,Yes,0.04909,140,2611,0.04080,0.05738
2021,Couple with children,West,No,0.92766,2471,2611,0.91773,0.93760
2021,Couple with children,East,Yes,0.11030,56,551,0.08412,0.13648
2021,Couple with children,East,No,0.86929,495,551,0.84112,0.89746
2021,Multi-generational household,West,No,0.95168,56,56,0.89501,1.00835
2021,Other Combinations,West,No,0.93057,213,213,0.89636,0.96479
2021,Other Combinations,East,No,0.93119,41,41,0.85274,1.00964
