year,regtyp,sampreg,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Urban regions,West,Yes,0.06495,268,3769,0.05708,0.07281
1996,Urban regions,West,No,0.93482,3501,3769,0.92694,0.94270
1996,Urban regions,East,Yes,0.11397,83,638,0.08929,0.13864
1996,Urban regions,East,No,0.88603,555,638,0.86136,0.91071
1996,Rural regions,West,Yes,0.07285,88,1023,0.05691,0.08878
1996,Rural regions,West,No,0.92715,935,1023,0.91122,0.94309
1996,Rural regions,East,Yes,0.09642,146,1200,0.07971,0.11312
1996,Rural regions,East,No,0.90358,1054,1200,0.88688,0.92029
2001,Urban regions,West,Yes,0.06328,496,6828,0.05751,0.06906
2001,Urban regions,West,No,0.93672,6332,6828,0.93094,0.94249
2001,Urban regions,East,Yes,0.09736,106,955,0.07855,0.11617
2001,Urban regions,East,No,0.90264,849,955,0.88383,0.92145
2001,Rural regions,West,Yes,0.08922,199,2009,0.07675,0.10169
2001,Rural regions,West,No,0.91078,1810,2009,0.89831,0.92325
2001,Rural regions,East,Yes,0.12318,263,1888,0.10835,0.13801
2001,Rural regions,East,No,0.87682,1625,1888,0.86199,0.89165
2006,Urban regions,West,Yes,0.06919,583,7176,0.06332,0.07506
2006,Urban regions,West,No,0.93081,6593,7176,0.92494,0.93668
2006,Urban regions,East,Yes,0.07093,87,992,0.05495,0.08691
2006,Urban regions,East,No,0.92907,905,992,0.91309,0.94505
2006,Rural regions,West,Yes,0.09726,237,2161,0.08477,0.10976
2006,Rural regions,West,No,0.90274,1924,2161,0.89024,0.91523
2006,Rural regions,East,Yes,0.11717,260,1936,0.10284,0.13150
2006,Rural regions,East,No,0.88283,1676,1936,0.86850,0.89716
2011,Urban regions,West,Yes,0.04904,488,6851,0.04393,0.05416
2011,Urban regions,West,No,0.87596,6363,6851,0.86816,0.88377
2011,Urban regions,East,Yes,0.07126,101,1022,0.05548,0.08704
2011,Urban regions,East,No,0.85089,921,1022,0.82904,0.87274
2011,Rural regions,West,Yes,0.06626,217,2341,0.05619,0.07634
2011,Rural regions,West,No,0.84765,2124,2341,0.83309,0.86221
2011,Rural regions,East,Yes,0.10595,230,1870,0.09199,0.11990
2011,Rural regions,East,No,0.82621,1640,1870,0.80903,0.84339
2016,Urban regions,West,Yes,0.01738,201,8254,0.01456,0.02020
2016,Urban regions,West,No,0.97708,8053,8254,0.97385,0.98031
2016,Urban regions,East,Yes,0.02732,36,1122,0.01778,0.03687
2016,Urban regions,East,No,0.96651,1086,1122,0.95598,0.97704
2016,Rural regions,West,Yes,0.02206,90,2973,0.01678,0.02734
2016,Rural regions,West,No,0.97310,2883,2973,0.96728,0.97892
2016,Rural regions,East,Yes,0.05798,114,1952,0.04761,0.06835
2016,Rural regions,East,No,0.93698,1838,1952,0.92620,0.94776
2021,Urban regions,West,Yes,0.02219,183,6511,0.01861,0.02577
2021,Urban regions,West,No,0.96565,6328,6511,0.96123,0.97007
2021,Urban regions,East,No,0.95583,868,868,0.94215,0.96951
2021,Rural regions,West,Yes,0.02910,89,2153,0.02200,0.03620
2021,Rural regions,West,No,0.96079,2064,2153,0.95259,0.96899
2021,Rural regions,East,Yes,0.05939,96,1493,0.04740,0.07138
2021,Rural regions,East,No,0.93604,1397,1493,0.92363,0.94846
