year,hhtyp,regtyp,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,Urban regions,No,0.97699,987,987,0.96764,0.98635
1996,Single-person household,Rural regions,No,0.98469,413,413,0.97283,0.99654
1996,Couple without children,Urban regions,Yes,0.05260,64,1233,0.04013,0.06506
1996,Couple without children,Urban regions,No,0.94665,1169,1233,0.93410,0.95920
1996,Couple without children,Rural regions,Yes,0.07301,50,607,0.05230,0.09372
1996,Couple without children,Rural regions,No,0.92699,557,607,0.90628,0.94770
1996,Single parent,Urban regions,No,0.90279,235,235,0.86483,0.94075
1996,Single parent,Rural regions,No,0.89397,116,116,0.83770,0.95024
1996,Couple with children,Urban regions,Yes,0.13996,218,1732,0.12361,0.15630
1996,Couple with children,Urban regions,No,0.86004,1514,1732,0.84370,0.87639
1996,Couple with children,Rural regions,Yes,0.14541,145,954,0.12303,0.16779
1996,Couple with children,Rural regions,No,0.85459,809,954,0.83221,0.87697
1996,Multi-generational household,Urban regions,No,0.88798,70,70,0.81356,0.96240
1996,Multi-generational household,Rural regions,No,0.84021,38,38,0.72214,0.95827
1996,Other Combinations,Urban regions,No,0.86908,81,81,0.79517,0.94300
1996,Other Combinations,Rural regions,No,0.87250,56,56,0.78435,0.96064
2001,Single-person household,Urban regions,Yes,0.02535,53,2062,0.01856,0.03213
2001,Single-person household,Urban regions,No,0.97465,2009,2062,0.96787,0.98144
2001,Single-person household,Rural regions,Yes,0.03879,33,864,0.02591,0.05168
2001,Single-person household,Rural regions,No,0.96121,831,864,0.94832,0.97409
2001,Couple without children,Urban regions,Yes,0.04632,124,2377,0.03787,0.05477
2001,Couple without children,Urban regions,No,0.95368,2253,2377,0.94523,0.96213
2001,Couple without children,Rural regions,Yes,0.08838,125,1212,0.07240,0.10437
2001,Couple without children,Rural regions,No,0.91162,1087,1212,0.89563,0.92760
2001,Single parent,Urban regions,Yes,0.10819,49,467,0.07999,0.13640
2001,Single parent,Urban regions,No,0.89181,418,467,0.86360,0.92001
2001,Single parent,Rural regions,Yes,0.16755,40,239,0.12011,0.21500
2001,Single parent,Rural regions,No,0.83245,199,239,0.78500,0.87989
2001,Couple with children,Urban regions,Yes,0.13950,361,2689,0.12640,0.15260
2001,Couple with children,Urban regions,No,0.86050,2328,2689,0.84740,0.87360
2001,Couple with children,Rural regions,Yes,0.17202,252,1486,0.15282,0.19121
2001,Couple with children,Rural regions,No,0.82798,1234,1486,0.80879,0.84718
2001,Multi-generational household,Urban regions,No,0.84894,92,92,0.77537,0.92252
2001,Multi-generational household,Rural regions,No,0.83954,48,48,0.73461,0.94448
2001,Other Combinations,Urban regions,No,0.97437,81,81,0.93974,1.00900
2001,Other Combinations,Rural regions,No,0.78816,36,36,0.65279,0.92354
2006,Single-person household,Urban regions,Yes,0.01484,45,2260,0.00985,0.01982
2006,Single-person household,Urban regions,No,0.98516,2215,2260,0.98018,0.99015
2006,Single-person household,Rural regions,Yes,0.03505,40,1028,0.02380,0.04630
2006,Single-person household,Rural regions,No,0.96495,988,1028,0.95370,0.97620
2006,Couple without children,Urban regions,Yes,0.04571,133,2787,0.03795,0.05346
2006,Couple without children,Urban regions,No,0.95429,2654,2787,0.94654,0.96205
2006,Couple without children,Rural regions,Yes,0.08347,121,1371,0.06882,0.09812
2006,Couple without children,Rural regions,No,0.91653,1250,1371,0.90188,0.93118
2006,Single parent,Urban regions,Yes,0.14419,67,495,0.11321,0.17517
2006,Single parent,Urban regions,No,0.85581,428,495,0.82483,0.88679
2006,Single parent,Rural regions,Yes,0.16285,45,277,0.11928,0.20641
2006,Single parent,Rural regions,No,0.83715,232,277,0.79359,0.88072
2006,Couple with children,Urban regions,Yes,0.17276,420,2499,0.15794,0.18759
2006,Couple with children,Urban regions,No,0.82724,2079,2499,0.81241,0.84206
2006,Couple with children,Rural regions,Yes,0.20958,275,1338,0.18776,0.23140
2006,Couple with children,Rural regions,No,0.79042,1063,1338,0.76860,0.81224
2006,Multi-generational household,Urban regions,No,0.91325,58,58,0.84018,0.98632
2006,Multi-generational household,Rural regions,No,0.79999,33,33,0.66139,0.93858
2006,Other Combinations,Urban regions,No,0.95202,64,64,0.89925,1.00480
2006,Other Combinations,Rural regions,No,0.90471,34,34,0.80453,1.00489
2011,Single-person household,Urban regions,Yes,0.02300,59,2389,0.01699,0.02902
2011,Single-person household,Urban regions,No,0.97531,2330,2389,0.96908,0.98153
2011,Single-person household,Rural regions,Yes,0.04221,48,1121,0.03043,0.05399
2011,Single-person household,Rural regions,No,0.95565,1073,1121,0.94359,0.96770
2011,Couple without children,Urban regions,Yes,0.03884,114,2772,0.03165,0.04604
2011,Couple without children,Urban regions,No,0.96112,2658,2772,0.95392,0.96832
2011,Couple without children,Rural regions,Yes,0.07263,113,1599,0.05990,0.08535
2011,Couple without children,Rural regions,No,0.92661,1486,1599,0.91382,0.93939
2011,Single parent,Urban regions,Yes,0.05454,62,518,0.03496,0.07411
