year,bula_h,rentown,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Berlin,Tenant,No,0.95214,394,394,0.93103,0.97325
2001,Brandenburg,Owner,Yes,0.21188,41,200,0.15511,0.26866
2001,Brandenburg,Owner,No,0.78812,159,200,0.73134,0.84489
2001,Brandenburg,Tenant,No,0.91287,274,274,0.87941,0.94632
2001,Mecklenburg-Western Pomerania,Owner,No,0.79914,79,79,0.71023,0.88805
2001,Mecklenburg-Western Pomerania,Tenant,No,0.92017,165,165,0.87869,0.96165
2001,Saxony,Owner,Yes,0.17997,54,309,0.13707,0.22288
2001,Saxony,Owner,No,0.82003,255,309,0.77712,0.86293
2001,Saxony,Tenant,Yes,0.06710,42,540,0.04598,0.08822
2001,Saxony,Tenant,No,0.93290,498,540,0.91178,0.95402
2001,Saxony-Anhalt,Owner,Yes,0.19833,48,233,0.14702,0.24964
2001,Saxony-Anhalt,Owner,No,0.80167,185,233,0.75036,0.85298
2001,Saxony-Anhalt,Tenant,No,0.91417,245,245,0.87902,0.94932
2001,Thuringa,Owner,Yes,0.17166,43,242,0.12405,0.21927
2001,Thuringa,Owner,No,0.82834,199,242,0.78073,0.87595
2001,Thuringa,Tenant,No,0.91993,224,224,0.88431,0.95555
2006,Schleswig-Holstein,Owner,No,0.92849,199,199,0.89260,0.96438
2006,Schleswig-Holstein,Tenant,No,0.95120,161,161,0.91782,0.98459
2006,Hamburg,Owner,No,0.97850,47,47,0.93658,1.02042
2006,Hamburg,Tenant,No,0.96949,140,140,0.94090,0.99808
2006,Lower Saxony,Owner,Yes,0.14214,84,639,0.11504,0.16923
2006,Lower Saxony,Owner,No,0.85786,555,639,0.83077,0.88496
2006,Lower Saxony,Tenant,Yes,0.08892,47,435,0.06214,0.11570
2006,Lower Saxony,Tenant,No,0.91108,388,435,0.88430,0.93786
2006,Bremen,Owner,No,0.91315,34,34,0.81706,1.00923
2006,Bremen,Tenant,No,0.96697,50,50,0.91693,1.01701
2006,North Rhine-Westphalia,Owner,Yes,0.07796,99,1204,0.06281,0.09311
2006,North Rhine-Westphalia,Owner,No,0.92204,1105,1204,0.90689,0.93719
2006,North Rhine-Westphalia,Tenant,Yes,0.05989,96,1334,0.04716,0.07263
2006,North Rhine-Westphalia,Tenant,No,0.94011,1238,1334,0.92737,0.95284
2006,Hesse,Owner,Yes,0.08099,40,426,0.05505,0.10693
2006,Hesse,Owner,No,0.91901,386,426,0.89307,0.94495
2006,Hesse,Tenant,Yes,0.06444,35,419,0.04091,0.08798
2006,Hesse,Tenant,No,0.93556,384,419,0.91202,0.95909
2006,"Rhineland-Palatinate, Saarland",Owner,Yes,0.09627,45,408,0.06761,0.12493
2006,"Rhineland-Palatinate, Saarland",Owner,No,0.90373,363,408,0.87507,0.93239
2006,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.08955,35,319,0.05817,0.12094
2006,"Rhineland-Palatinate, Saarland",Tenant,No,0.91045,284,319,0.87906,0.94183
2006,Baden-Wuerttemberg,Owner,Yes,0.07108,62,786,0.05310,0.08905
2006,Baden-Wuerttemberg,Owner,No,0.92892,724,786,0.91095,0.94690
2006,Baden-Wuerttemberg,Tenant,Yes,0.06429,55,687,0.04594,0.08264
2006,Baden-Wuerttemberg,Tenant,No,0.93571,632,687,0.91736,0.95406
2006,Bavaria,Owner,Yes,0.09602,106,971,0.07748,0.11456
2006,Bavaria,Owner,No,0.90398,865,971,0.88544,0.92252
2006,Bavaria,Tenant,Yes,0.05994,55,759,0.04304,0.07684
2006,Bavaria,Tenant,No,0.94006,704,759,0.92316,0.95696
2006,Berlin,Owner,No,0.93809,79,79,0.88461,0.99157
2006,Berlin,Tenant,No,0.93180,368,368,0.90601,0.95759
2006,Brandenburg,Owner,Yes,0.18501,38,217,0.13322,0.23679
2006,Brandenburg,Owner,No,0.81499,179,217,0.76321,0.86678
2006,Brandenburg,Tenant,No,0.90466,285,285,0.87050,0.93882
2006,Mecklenburg-Western Pomerania,Owner,No,0.89895,120,120,0.84479,0.95310
2006,Mecklenburg-Western Pomerania,Tenant,No,0.92513,153,153,0.88329,0.96697
2006,Saxony,Owner,Yes,0.13770,52,343,0.10118,0.17423
2006,Saxony,Owner,No,0.86230,291,343,0.82577,0.89882
2006,Saxony,Tenant,Yes,0.05337,36,534,0.03428,0.07245
2006,Saxony,Tenant,No,0.94663,498,534,0.92755,0.96572
2006,Saxony-Anhalt,Owner,Yes,0.23307,48,222,0.17733,0.28881
2006,Saxony-Anhalt,Owner,No,0.76693,174,222,0.71119,0.82267
2006,Saxony-Anhalt,Tenant,No,0.93522,251,251,0.90471,0.96573
2006,Thuringa,Owner,Yes,0.18840,51,264,0.14114,0.23566
2006,Thuringa,Owner,No,0.81160,213,264,0.76434,0.85886
2006,Thuringa,Tenant,No,0.91841,226,226,0.88264,0.95417
2011,Schleswig-Holstein,Owner,No,0.82727,176,176,0.77127,0.88328
2011,Schleswig-Holstein,Tenant,No,0.86505,193,193,0.81672,0.91338
2011,Hamburg,Owner,No,0.94452,46,46,0.87764,1.01141
2011,Hamburg,Tenant,No,0.90315,139,139,0.85380,0.95249
2011,Lower Saxony,Owner,Yes,0.07296,53,658,0.05307,0.09284
2011,Lower Saxony,Owner,No,0.86807,605,658,0.84219,0.89394
2011,Lower Saxony,Tenant,Yes,0.07045,38,429,0.04620,0.09469
2011,Lower Saxony,Tenant,No,0.82658,391,429,0.79071,0.86245
2011,Bremen,Tenant,No,0.85389,49,49,0.75396,0.95381
2011,North Rhine-Westphalia,Owner,Yes,0.05800,87,1136,0.04440,0.07160
2011,North Rhine-Westphalia,Owner,No,0.88576,1049,1136,0.86725,0.90427
2011,North Rhine-Westphalia,Tenant,Yes,0.03966,85,1217,0.02869,0.05063
2011,North Rhine-Westphalia,Tenant,No,0.86770,1132,1217,0.84865,0.88674
2011,Hesse,Owner,Yes,0.08032,38,434,0.05472,0.10592
2011,Hesse,Owner,No,0.86589,396,434,0.83379,0.89799
2011,Hesse,Tenant,No,0.85352,367,367,0.81729,0.88974
2011,"Rhineland-Palatinate, Saarland",Owner,No,0.89296,382,382,0.86192,0.92401
2011,"Rhineland-Palatinate, Saarland",Tenant,No,0.85119,275,275,0.80905,0.89333
2011,Baden-Wuerttemberg,Owner,Yes,0.07454,69,800,0.05633,0.09276
2011,Baden-Wuerttemberg,Owner,No,0.86112,731,800,0.83714,0.88510
2011,Baden-Wuerttemberg,Tenant,Yes,0.03646,38,601,0.02146,0.05146
2011,Baden-Wuerttemberg,Tenant,No,0.86291,563,601,0.83539,0.89043
2011,Bavaria,Owner,Yes,0.06285,98,1016,0.04792,0.07778
2011,Bavaria,Owner,No,0.87191,918,1016,0.85135,0.89247
2011,Bavaria,Tenant,Yes,0.03295,49,823,0.02074,0.04515
2011,Bavaria,Tenant,No,0.87577,774,823,0.85322,0.89832
2011,Berlin,Owner,No,0.85786,90,90,0.78531,0.93040
2011,Berlin,Tenant,No,0.89047,390,390,0.85943,0.92150
2011,Brandenburg,Owner,Yes,0.13130,35,234,0.08794,0.17467
2011,Brandenburg,Owner,No,0.80580,199,234,0.75501,0.85660
2011,Brandenburg,Tenant,No,0.87597,267,267,0.83636,0.91558
2011,Mecklenburg-Western Pomerania,Owner,No,0.84499,109,109,0.77674,0.91325
2011,Mecklenburg-Western Pomerania,Tenant,No,0.84701,175,175,0.79352,0.90050
2011,Saxony,Owner,Yes,0.16497,58,299,0.12283,0.20711
2011,Saxony,Owner,No,0.77775,241,299,0.73055,0.82496
2011,Saxony,Tenant,Yes,0.08101,36,509,0.05728,0.10474
2011,Saxony,Tenant,No,0.85179,473,509,0.82089,0.88268
2011,Saxony-Anhalt,Owner,Yes,0.20516,44,228,0.15262,0.25769
2011,Saxony-Anhalt,Owner,No,0.73692,184,228,0.67964,0.79420
2011,Saxony-Anhalt,Tenant,No,0.87808,257,257,0.83800,0.91816
2011,Thuringa,Owner,Yes,0.12183,40,235,0.07992,0.16374
2011,Thuringa,Owner,No,0.80782,195,235,0.75733,0.85830
2011,Thuringa,Tenant,No,0.82552,256,256,0.77894,0.87210
2016,Schleswig-Holstein,Owner,No,0.97626,231,231,0.95658,0.99593
2016,Schleswig-Holstein,Tenant,No,0.99072,265,265,0.97915,1.00229
2016,Hamburg,Owner,No,0.99273,73,73,0.97310,1.01235
2016,Hamburg,Tenant,No,0.99734,188,188,0.98995,1.00472
2016,Lower Saxony,Owner,No,0.97043,664,664,0.95753,0.98332
2016,Lower Saxony,Tenant,No,0.97831,633,633,0.96696,0.98967
2016,Bremen,Owner,No,0.97037,33,33,0.91163,1.02912
2016,Bremen,Tenant,No,0.96623,68,68,0.92298,1.00948
2016,North Rhine-Westphalia,Owner,Yes,0.01694,32,1216,0.00969,0.02420
2016,North Rhine-Westphalia,Owner,No,0.98306,1184,1216,0.97580,0.99031
2016,North Rhine-Westphalia,Tenant,Yes,0.01388,32,1691,0.00830,0.01946
2016,North Rhine-Westphalia,Tenant,No,0.98612,1659,1691,0.98054,0.99170
2016,Hesse,Owner,No,0.98809,419,419,0.97768,0.99849
2016,Hesse,Tenant,No,0.98384,537,537,0.97317,0.99452
2016,"Rhineland-Palatinate, Saarland",Owner,No,0.98595,436,436,0.97488,0.99701
2016,"Rhineland-Palatinate, Saarland",Tenant,No,0.97983,397,397,0.96599,0.99368
2016,Baden-Wuerttemberg,Owner,Yes,0.03379,36,854,0.02167,0.04592
2016,Baden-Wuerttemberg,Owner,No,0.96621,818,854,0.95408,0.97833
2016,Baden-Wuerttemberg,Tenant,No,0.97502,750,750,0.96384,0.98620
2016,Bavaria,Owner,No,0.98101,1069,1069,0.97282,0.98920
2016,Bavaria,Tenant,Yes,0.01389,32,1200,0.00726,0.02051
2016,Bavaria,Tenant,No,0.98611,1168,1200,0.97949,0.99274
2016,Berlin,Owner,No,0.96992,107,107,0.93741,1.00244
2016,Berlin,Tenant,No,0.98916,493,493,0.98000,0.99831
2016,Brandenburg,Owner,No,0.91044,239,239,0.87416,0.94672
2016,Brandenburg,Tenant,No,0.95970,297,297,0.93730,0.98210
2016,Mecklenburg-Western Pomerania,Owner,No,0.91839,99,99,0.86419,0.97260
2016,Mecklenburg-Western Pomerania,Tenant,No,0.97501,215,215,0.95410,0.99592
2016,Saxony,Owner,No,0.89889,281,281,0.86357,0.93420
2016,Saxony,Tenant,No,0.97068,537,537,0.95640,0.98496
2016,Saxony-Anhalt,Owner,No,0.93879,195,195,0.90506,0.97252
2016,Saxony-Anhalt,Tenant,No,0.96980,288,288,0.95000,0.98960
2016,Thuringa,Owner,No,0.93623,224,224,0.90416,0.96830
2016,Thuringa,Tenant,No,0.97739,292,292,0.96031,0.99447
2021,Schleswig-Holstein,Owner,No,0.96106,233,233,0.93616,0.98595
2021,Schleswig-Holstein,Tenant,No,0.94688,181,181,0.91412,0.97964
2021,Hamburg,Owner,No,0.98937,76,76,0.96616,1.01258
2021,Hamburg,Tenant,No,0.98097,188,188,0.96139,1.00055
2021,Lower Saxony,Owner,Yes,0.04648,33,562,0.02906,0.06391
2021,Lower Saxony,Owner,No,0.95328,529,562,0.93581,0.97074
2021,Lower Saxony,Tenant,No,0.96670,484,484,0.95070,0.98270
2021,Bremen,Tenant,No,0.97019,54,54,0.92441,1.01598
2021,North Rhine-Westphalia,Owner,Yes,0.02261,34,1008,0.01343,0.03179
2021,North Rhine-Westphalia,Owner,No,0.97736,974,1008,0.96817,0.98655
2021,North Rhine-Westphalia,Tenant,No,0.96014,1253,1253,0.94930,0.97098
2021,Hesse,Owner,No,0.95722,306,306,0.93451,0.97993
2021,Hesse,Tenant,No,0.93694,356,356,0.91165,0.96222
2021,"Rhineland-Palatinate, Saarland",Owner,No,0.94768,284,284,0.92174,0.97363
2021,"Rhineland-Palatinate, Saarland",Tenant,No,0.96177,234,234,0.93715,0.98639
2021,Baden-Wuerttemberg,Owner,No,0.97571,627,627,0.96365,0.98777
2021,Baden-Wuerttemberg,Tenant,No,0.95721,548,548,0.94025,0.97417
2021,Bavaria,Owner,Yes,0.03403,42,862,0.02192,0.04614
2021,Bavaria,Owner,No,0.96594,820,862,0.95383,0.97806
2021,Bavaria,Tenant,No,0.97318,867,867,0.96242,0.98394
2021,Berlin,Owner,No,0.96348,107,107,0.92778,0.99919
2021,Berlin,Tenant,No,0.96756,439,439,0.95097,0.98415
2021,Brandenburg,Owner,No,0.96758,216,216,0.94391,0.99126
2021,Brandenburg,Tenant,No,0.96619,210,210,0.94169,0.99069
2021,Mecklenburg-Western Pomerania,Owner,No,0.92769,95,95,0.87533,0.98005
2021,Mecklenburg-Western Pomerania,Tenant,No,0.97977,155,155,0.95753,1.00200
2021,Saxony,Owner,No,0.94492,245,245,0.91630,0.97355
2021,Saxony,Tenant,No,0.95086,448,448,0.93082,0.97090
2021,Saxony-Anhalt,Owner,No,0.83584,136,136,0.77336,0.89833
2021,Saxony-Anhalt,Tenant,No,0.95428,204,204,0.92554,0.98301
2021,Thuringa,Owner,No,0.89873,156,156,0.85123,0.94622
2021,Thuringa,Tenant,No,0.93624,204,204,0.90263,0.96985
