year,regtyp,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Urban regions,Yes,0.06955,351,4407,0.06203,0.07706
1996,Urban regions,No,0.93024,4056,4407,0.92272,0.93776
1996,Rural regions,Yes,0.08203,234,2223,0.07062,0.09344
1996,Rural regions,No,0.91797,1989,2223,0.90656,0.92938
2001,Urban regions,Yes,0.06641,602,7783,0.06088,0.07195
2001,Urban regions,No,0.93359,7181,7783,0.92805,0.93912
2001,Rural regions,Yes,0.10293,462,3897,0.09339,0.11247
2001,Rural regions,No,0.89707,3435,3897,0.88753,0.90661
2006,Urban regions,Yes,0.06935,670,8168,0.06384,0.07486
2006,Urban regions,No,0.93065,7498,8168,0.92514,0.93616
2006,Rural regions,Yes,0.10509,497,4097,0.09570,0.11449
2006,Rural regions,No,0.89491,3600,4097,0.88551,0.90430
2011,Urban regions,Yes,0.05121,589,7873,0.04634,0.05608
2011,Urban regions,No,0.87352,7284,7873,0.86618,0.88087
2011,Rural regions,Yes,0.08088,447,4211,0.07265,0.08912
2011,Rural regions,No,0.83975,3764,4211,0.82867,0.85083
2016,Urban regions,Yes,0.01834,237,9376,0.01562,0.02105
2016,Urban regions,No,0.97607,9139,9376,0.97297,0.97916
2016,Rural regions,Yes,0.03503,204,4925,0.02989,0.04016
2016,Rural regions,No,0.96006,4721,4925,0.95459,0.96553
2021,Urban regions,Yes,0.02245,213,7409,0.01908,0.02582
2021,Urban regions,No,0.96479,7196,7409,0.96060,0.96899
2021,Rural regions,Yes,0.04007,185,3646,0.03370,0.04643
2021,Rural regions,No,0.95183,3461,3646,0.94488,0.95878
