year,bula_h,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,"Rhineland-Palatinate, Saarland",No,0.90712,647,727,0.88601,0.92824
2006,Baden-Wuerttemberg,Yes,0.06754,117,1473,0.05472,0.08036
2006,Baden-Wuerttemberg,No,0.93246,1356,1473,0.91964,0.94528
2006,Bavaria,Yes,0.07737,161,1730,0.06478,0.08997
2006,Bavaria,No,0.92263,1569,1730,0.91003,0.93522
2006,Berlin,Yes,0.06724,36,484,0.04491,0.08958
2006,Berlin,No,0.93276,448,484,0.91042,0.95509
2006,Brandenburg,Yes,0.12615,68,532,0.09791,0.15439
2006,Brandenburg,No,0.87385,464,532,0.84561,0.90209
2006,Mecklenburg-Western Pomerania,Yes,0.08539,31,304,0.05392,0.11686
2006,Mecklenburg-Western Pomerania,No,0.91461,273,304,0.88314,0.94608
2006,Saxony,Yes,0.07916,88,877,0.06128,0.09704
2006,Saxony,No,0.92084,789,877,0.90296,0.93872
2006,Saxony-Anhalt,Yes,0.12361,67,492,0.09450,0.15273
2006,Saxony-Anhalt,No,0.87639,425,492,0.84727,0.90550
2006,Thuringa,Yes,0.12624,76,515,0.09753,0.15496
2006,Thuringa,No,0.87376,439,515,0.84504,0.90247
2011,Schleswig-Holstein,Yes,0.06933,37,406,0.04459,0.09407
2011,Schleswig-Holstein,No,0.84676,369,406,0.81167,0.88184
2011,Hamburg,No,0.91185,185,185,0.87088,0.95282
2011,Lower Saxony,Yes,0.07185,91,1087,0.05649,0.08721
2011,Lower Saxony,No,0.84973,996,1087,0.82848,0.87098
2011,Bremen,No,0.86787,75,75,0.79071,0.94502
2011,North Rhine-Westphalia,Yes,0.04779,172,2353,0.03917,0.05641
2011,North Rhine-Westphalia,No,0.87571,2181,2353,0.86237,0.88904
2011,Hesse,Yes,0.05950,67,830,0.04339,0.07560
2011,Hesse,No,0.85941,763,830,0.83575,0.88307
2011,"Rhineland-Palatinate, Saarland",Yes,0.05197,53,710,0.03563,0.06831
2011,"Rhineland-Palatinate, Saarland",No,0.87379,657,710,0.84935,0.89823
2011,Baden-Wuerttemberg,Yes,0.05709,107,1401,0.04493,0.06924
2011,Baden-Wuerttemberg,No,0.86194,1294,1401,0.84387,0.88001
2011,Bavaria,Yes,0.04840,147,1839,0.03858,0.05821
2011,Bavaria,No,0.87378,1692,1839,0.85860,0.88896
2011,Berlin,Yes,0.04691,33,513,0.02860,0.06523
2011,Berlin,No,0.88520,480,513,0.85758,0.91281
2011,Brandenburg,Yes,0.07539,52,518,0.05263,0.09815
2011,Brandenburg,No,0.84892,466,518,0.81805,0.87979
2011,Mecklenburg-Western Pomerania,Yes,0.07820,31,315,0.04851,0.10790
2011,Mecklenburg-Western Pomerania,No,0.84616,284,315,0.80625,0.88607
2011,Saxony,Yes,0.10715,94,808,0.08581,0.12849
2011,Saxony,No,0.82873,714,808,0.80274,0.85473
2011,Saxony-Anhalt,Yes,0.10709,68,509,0.08020,0.13398
2011,Saxony-Anhalt,No,0.82170,441,509,0.78841,0.85498
2011,Thuringa,Yes,0.10593,68,519,0.07942,0.13243
2011,Thuringa,No,0.81810,451,519,0.78488,0.85132
2016,Schleswig-Holstein,No,0.97434,496,496,0.96042,0.98827
2016,Hamburg,No,0.99209,261,261,0.98132,1.00286
2016,Lower Saxony,Yes,0.02581,51,1348,0.01734,0.03427
2016,Lower Saxony,No,0.96792,1297,1348,0.95851,0.97733
2016,Bremen,No,0.95794,101,101,0.91859,0.99728
2016,North Rhine-Westphalia,Yes,0.01512,64,2907,0.01069,0.01956
2016,North Rhine-Westphalia,No,0.97865,2843,2907,0.97339,0.98390
2016,Hesse,No,0.98183,956,956,0.97336,0.99030
2016,"Rhineland-Palatinate, Saarland",No,0.97533,833,833,0.96479,0.98587
2016,Baden-Wuerttemberg,Yes,0.02972,59,1627,0.02147,0.03798
2016,Baden-Wuerttemberg,No,0.96583,1568,1627,0.95700,0.97466
2016,Bavaria,Yes,0.01648,62,2300,0.01127,0.02168
2016,Bavaria,No,0.98033,2238,2300,0.97466,0.98601
2016,Berlin,No,0.98299,600,600,0.97263,0.99334
2016,Brandenburg,No,0.93270,536,536,0.91147,0.95393
2016,Mecklenburg-Western Pomerania,No,0.94904,314,314,0.92468,0.97341
2016,Saxony,Yes,0.05386,47,865,0.03881,0.06891
2016,Saxony,No,0.94162,818,865,0.92598,0.95725
2016,Saxony-Anhalt,No,0.95019,483,483,0.93077,0.96961
2016,Thuringa,No,0.95301,516,516,0.93474,0.97129
2021,Schleswig-Holstein,No,0.95487,414,414,0.93485,0.97489
2021,Hamburg,No,0.98332,264,264,0.96784,0.99880
2021,Lower Saxony,Yes,0.03131,49,1062,0.02083,0.04179
2021,Lower Saxony,No,0.95962,1013,1062,0.94778,0.97147
2021,Bremen,No,0.97870,77,77,0.94623,1.01116
2021,North Rhine-Westphalia,Yes,0.01963,54,2283,0.01394,0.02533
2021,North Rhine-Westphalia,No,0.96773,2229,2283,0.96048,0.97498
2021,Hesse,Yes,0.02916,31,694,0.01663,0.04169
2021,Hesse,No,0.94691,663,694,0.93021,0.96360
2021,"Rhineland-Palatinate, Saarland",No,0.95348,518,518,0.93532,0.97163
2021,Baden-Wuerttemberg,Yes,0.02300,39,1215,0.01457,0.03143
2021,Baden-Wuerttemberg,No,0.96774,1176,1215,0.95780,0.97768
2021,Bavaria,Yes,0.02354,60,1747,0.01643,0.03066
2021,Bavaria,No,0.96963,1687,1747,0.96158,0.97768
2021,Berlin,No,0.96671,546,546,0.95165,0.98177
2021,Brandenburg,No,0.96687,426,426,0.94986,0.98389
2021,Mecklenburg-Western Pomerania,No,0.96034,250,250,0.93609,0.98458
2021,Saxony,Yes,0.04380,39,733,0.02897,0.05862
2021,Saxony,No,0.94882,694,733,0.93285,0.96478
2021,Saxony-Anhalt,No,0.90513,340,340,0.87393,0.93632
2021,Thuringa,No,0.92152,360,360,0.89370,0.94934
