year,pgisced97,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Pre-primary Level,,,,,,,,,,,,
1984,Primary Level,,,,,,,,,,,,
1984,Lower Secondary Level,,,,,,,,,,,,
1984,Upper Secondary Level,,,,,,,,,,,,
1984,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1984,First Stage of Tertiary Education,,,,,,,,,,,,
1984,Second Stage of Tertiary Education,,,,,,,,,,,,
1985,Pre-primary Level,,,,,,,,,,,,
1985,Primary Level,,,,,,,,,,,,
1985,Lower Secondary Level,,,,,,,,,,,,
1985,Upper Secondary Level,,,,,,,,,,,,
1985,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1985,First Stage of Tertiary Education,,,,,,,,,,,,
1985,Second Stage of Tertiary Education,,,,,,,,,,,,
1986,Pre-primary Level,,,,,,,,,,,,
1986,Primary Level,,,,,,,,,,,,
1986,Lower Secondary Level,,,,,,,,,,,,
1986,Upper Secondary Level,,,,,,,,,,,,
1986,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1986,First Stage of Tertiary Education,,,,,,,,,,,,
1986,Second Stage of Tertiary Education,,,,,,,,,,,,
1987,Pre-primary Level,,,,,,,,,,,,
1987,Primary Level,,,,,,,,,,,,
1987,Lower Secondary Level,,,,,,,,,,,,
1987,Upper Secondary Level,,,,,,,,,,,,
1987,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1987,First Stage of Tertiary Education,,,,,,,,,,,,
1987,Second Stage of Tertiary Education,,,,,,,,,,,,
1988,Pre-primary Level,,,,,,,,,,,,
1988,Primary Level,,,,,,,,,,,,
1988,Lower Secondary Level,,,,,,,,,,,,
1988,Upper Secondary Level,,,,,,,,,,,,
1988,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1988,First Stage of Tertiary Education,,,,,,,,,,,,
1988,Second Stage of Tertiary Education,,,,,,,,,,,,
1989,Pre-primary Level,,,,,,,,,,,,
1989,Primary Level,,,,,,,,,,,,
1989,Lower Secondary Level,,,,,,,,,,,,
1989,Upper Secondary Level,,,,,,,,,,,,
1989,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1989,First Stage of Tertiary Education,,,,,,,,,,,,
1989,Second Stage of Tertiary Education,,,,,,,,,,,,
1990,Pre-primary Level,,,,,,,,,,,,
1990,Primary Level,,,,,,,,,,,,
1990,Lower Secondary Level,,,,,,,,,,,,
1990,Upper Secondary Level,,,,,,,,,,,,
1990,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1990,First Stage of Tertiary Education,,,,,,,,,,,,
1990,Second Stage of Tertiary Education,,,,,,,,,,,,
1991,Pre-primary Level,,,,,,,,,,,,
1991,Primary Level,,,,,,,,,,,,
1991,Lower Secondary Level,,,,,,,,,,,,
1991,Upper Secondary Level,,,,,,,,,,,,
1991,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1991,First Stage of Tertiary Education,,,,,,,,,,,,
1991,Second Stage of Tertiary Education,,,,,,,,,,,,
1992,Pre-primary Level,,,,,,,,,,,,
1992,Primary Level,,,,,,,,,,,,
1992,Lower Secondary Level,,,,,,,,,,,,
1992,Upper Secondary Level,,,,,,,,,,,,
1992,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1992,First Stage of Tertiary Education,,,,,,,,,,,,
1992,Second Stage of Tertiary Education,,,,,,,,,,,,
1993,Pre-primary Level,,,,,,,,,,,,
1993,Primary Level,,,,,,,,,,,,
1993,Lower Secondary Level,,,,,,,,,,,,
1993,Upper Secondary Level,,,,,,,,,,,,
1993,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1993,First Stage of Tertiary Education,,,,,,,,,,,,
1993,Second Stage of Tertiary Education,,,,,,,,,,,,
1994,Pre-primary Level,,,,,,,,,,,,
1994,Primary Level,,,,,,,,,,,,
1994,Lower Secondary Level,,,,,,,,,,,,
1994,Upper Secondary Level,,,,,,,,,,,,
1994,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1994,First Stage of Tertiary Education,,,,,,,,,,,,
1994,Second Stage of Tertiary Education,,,,,,,,,,,,
1995,Pre-primary Level,,,,,,,,,,,,
1995,Primary Level,,,,,,,,,,,,
1995,Lower Secondary Level,,,,,,,,,,,,
1995,Upper Secondary Level,,,,,,,,,,,,
1995,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1995,First Stage of Tertiary Education,,,,,,,,,,,,
1995,Second Stage of Tertiary Education,,,,,,,,,,,,
1996,Pre-primary Level,,,,,,,,,,,,
1996,Primary Level,,,,,,,,,,,,
1996,Lower Secondary Level,,,,,,,,,,,,
1996,Upper Secondary Level,,,,,,,,,,,,
1996,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1996,First Stage of Tertiary Education,,,,,,,,,,,,
1996,Second Stage of Tertiary Education,,,,,,,,,,,,
1997,Pre-primary Level,,,,,,,,,,,,
1997,Primary Level,,,,,,,,,,,,
1997,Lower Secondary Level,,,,,,,,,,,,
1997,Upper Secondary Level,,,,,,,,,,,,
1997,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1997,First Stage of Tertiary Education,,,,,,,,,,,,
1997,Second Stage of Tertiary Education,,,,,,,,,,,,
1998,Pre-primary Level,,,,,,,,,,,,
1998,Primary Level,,,,,,,,,,,,
1998,Lower Secondary Level,,,,,,,,,,,,
1998,Upper Secondary Level,,,,,,,,,,,,
1998,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1998,First Stage of Tertiary Education,,,,,,,,,,,,
1998,Second Stage of Tertiary Education,,,,,,,,,,,,
1999,Pre-primary Level,,,,,,,,,,,,
1999,Primary Level,,,,,,,,,,,,
1999,Lower Secondary Level,,,,,,,,,,,,
1999,Upper Secondary Level,,,,,,,,,,,,
1999,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1999,First Stage of Tertiary Education,,,,,,,,,,,,
1999,Second Stage of Tertiary Education,,,,,,,,,,,,
2000,Pre-primary Level,,,,,,,,,,,,
2000,Primary Level,,,,,,,,,,,,
2000,Lower Secondary Level,,,,,,,,,,,,
2000,Upper Secondary Level,,,,,,,,,,,,
2000,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2000,First Stage of Tertiary Education,,,,,,,,,,,,
2000,Second Stage of Tertiary Education,,,,,,,,,,,,
2001,Pre-primary Level,,,,,,,,,,,,
2001,Primary Level,,,,,,,,,,,,
2001,Lower Secondary Level,,,,,,,,,,,,
2001,Upper Secondary Level,,,,,,,,,,,,
2001,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2001,First Stage of Tertiary Education,,,,,,,,,,,,
2001,Second Stage of Tertiary Education,,,,,,,,,,,,
2002,Pre-primary Level,,,,,,,,,,,,
2002,Primary Level,,,,,,,,,,,,
2002,Lower Secondary Level,,,,,,,,,,,,
2002,Upper Secondary Level,,,,,,,,,,,,
2002,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2002,First Stage of Tertiary Education,,,,,,,,,,,,
2002,Second Stage of Tertiary Education,,,,,,,,,,,,
2003,Pre-primary Level,,,,,,,,,,,,
2003,Primary Level,,,,,,,,,,,,
2003,Lower Secondary Level,,,,,,,,,,,,
2003,Upper Secondary Level,,,,,,,,,,,,
2003,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2003,First Stage of Tertiary Education,,,,,,,,,,,,
2003,Second Stage of Tertiary Education,,,,,,,,,,,,
2004,Pre-primary Level,631,5.40767,5.22718,5.58816,4.00000,5.00000,7.00000,0.00000,10.00000,5.00000,5.00000,6.00000
2004,Primary Level,245,2.96720,2.62769,3.30671,0.00000,2.00000,5.00000,0.00000,10.00000,2.00000,2.00000,3.00000
2004,Lower Secondary Level,2551,3.48248,3.38049,3.58447,1.00000,3.00000,5.00000,0.00000,10.00000,3.00000,3.00000,3.00000
2004,Upper Secondary Level,10723,4.19503,4.14986,4.24021,2.00000,5.00000,6.00000,0.00000,10.00000,5.00000,5.00000,5.00000
2004,Post-secondary Non-tertiary Level,1150,4.61119,4.47704,4.74533,3.00000,5.00000,6.00000,0.00000,10.00000,5.00000,5.00000,5.00000
2004,First Stage of Tertiary Education,1636,4.63286,4.52427,4.74146,3.00000,5.00000,6.00000,0.00000,10.00000,5.00000,5.00000,5.00000
2004,Second Stage of Tertiary Education,4280,4.78845,4.72327,4.85363,3.00000,5.00000,6.00000,0.00000,10.00000,5.00000,5.00000,5.00000
2005,Pre-primary Level,,,,,,,,,,,,
2005,Primary Level,,,,,,,,,,,,
2005,Lower Secondary Level,,,,,,,,,,,,
2005,Upper Secondary Level,,,,,,,,,,,,
2005,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2005,First Stage of Tertiary Education,,,,,,,,,,,,
2005,Second Stage of Tertiary Education,,,,,,,,,,,,
2006,Pre-primary Level,393,5.73172,5.51466,5.94878,4.00000,6.00000,7.00000,0.00000,10.00000,6.00000,5.00000,6.00000
2006,Primary Level,233,3.95033,3.58893,4.31172,2.00000,4.00000,6.00000,0.00000,10.00000,4.00000,3.00000,5.00000
2006,Lower Secondary Level,2452,4.06983,3.96741,4.17225,2.00000,5.00000,6.00000,0.00000,10.00000,5.00000,4.00000,5.00000
2006,Upper Secondary Level,11011,4.61325,4.56991,4.65659,3.00000,5.00000,6.00000,0.00000,10.00000,5.00000,5.00000,5.00000
2006,Post-secondary Non-tertiary Level,1208,5.03456,4.91064,5.15848,4.00000,5.00000,7.00000,0.00000,10.00000,5.00000,5.00000,5.00000
2006,First Stage of Tertiary Education,1643,4.87222,4.76604,4.97839,3.00000,5.00000,6.00000,0.00000,10.00000,5.00000,5.00000,5.00000
2006,Second Stage of Tertiary Education,4560,5.15098,5.08976,5.21220,4.00000,5.00000,7.00000,0.00000,10.00000,5.00000,5.00000,5.00000
2007,Pre-primary Level,,,,,,,,,,,,
2007,Primary Level,,,,,,,,,,,,
2007,Lower Secondary Level,,,,,,,,,,,,
2007,Upper Secondary Level,,,,,,,,,,,,
2007,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2007,First Stage of Tertiary Education,,,,,,,,,,,,
2007,Second Stage of Tertiary Education,,,,,,,,,,,,
2008,Pre-primary Level,353,5.24968,5.02883,5.47053,4.00000,5.00000,7.00000,0.00000,10.00000,5.00000,5.00000,6.00000
2008,Primary Level,184,3.35984,3.00395,3.71574,1.00000,3.00000,5.00000,0.00000,10.00000,3.00000,2.00000,4.00000
2008,Lower Secondary Level,2008,4.03208,3.91931,4.14484,2.00000,4.00000,6.00000,0.00000,10.00000,4.00000,4.00000,4.00000
2008,Upper Secondary Level,9713,4.35086,4.30461,4.39711,3.00000,5.00000,6.00000,0.00000,10.00000,5.00000,4.00000,5.00000
2008,Post-secondary Non-tertiary Level,1091,4.41866,4.28697,4.55035,3.00000,4.00000,6.00000,0.00000,10.00000,4.00000,4.00000,5.00000
2008,First Stage of Tertiary Education,1412,4.51072,4.39741,4.62403,3.00000,5.00000,6.00000,0.00000,10.00000,5.00000,4.00000,5.00000
2008,Second Stage of Tertiary Education,4180,4.77143,4.70670,4.83616,3.00000,5.00000,7.00000,0.00000,10.00000,5.00000,5.00000,5.00000
2009,Pre-primary Level,312,4.77892,4.55437,5.00347,3.00000,5.00000,6.00000,0.00000,9.00000,5.00000,5.00000,5.00000
2009,Primary Level,163,2.88774,2.54514,3.23034,1.00000,3.00000,5.00000,0.00000,9.00000,3.00000,2.00000,4.00000
2009,Lower Secondary Level,1777,3.21381,3.10103,3.32658,1.00000,3.00000,5.00000,0.00000,10.00000,3.00000,3.00000,3.00000
2009,Upper Secondary Level,9021,3.65162,3.60591,3.69732,2.00000,4.00000,5.00000,0.00000,9.50000,4.00000,3.97500,4.00000
2009,Post-secondary Non-tertiary Level,993,4.09642,3.96597,4.22688,3.00000,4.00000,6.00000,0.00000,10.00000,4.00000,4.00000,5.00000
2009,First Stage of Tertiary Education,1327,3.95496,3.83663,4.07329,2.00000,4.00000,5.00000,0.00000,9.50000,4.00000,4.00000,4.00000
2009,Second Stage of Tertiary Education,4023,4.02087,3.95675,4.08499,2.00000,4.00000,6.00000,0.00000,10.00000,4.00000,4.00000,4.00000
2010,Pre-primary Level,415,5.57918,5.37175,5.78661,4.00000,6.00000,7.00000,0.00000,10.00000,6.00000,5.00000,6.00000
2010,Primary Level,338,3.88818,3.60744,4.16892,2.00000,4.00000,6.00000,0.00000,10.00000,4.00000,3.00000,5.00000
2010,Lower Secondary Level,2430,3.96919,3.86594,4.07243,2.00000,4.00000,6.00000,0.00000,10.00000,4.00000,4.00000,4.00000
2010,Upper Secondary Level,11703,4.17534,4.13282,4.21785,2.00000,4.00000,6.00000,0.00000,10.00000,4.00000,4.00000,5.00000
2010,Post-secondary Non-tertiary Level,1707,4.52423,4.41750,4.63097,3.00000,5.00000,6.00000,0.00000,10.00000,5.00000,4.00000,5.00000
2010,First Stage of Tertiary Education,1613,4.28349,4.17524,4.39174,3.00000,4.00000,6.00000,0.00000,10.00000,4.00000,4.00000,5.00000
2010,Second Stage of Tertiary Education,5368,4.51471,4.45572,4.57370,3.00000,5.00000,6.00000,0.00000,10.00000,5.00000,4.00000,5.00000
2011,Pre-primary Level,313,5.77923,5.54757,6.01089,4.00000,6.00000,7.00000,0.00000,10.00000,6.00000,5.00000,6.00000
2011,Primary Level,228,3.78711,3.45543,4.11880,2.00000,4.00000,6.00000,0.00000,10.00000,4.00000,3.00000,5.00000
2011,Lower Secondary Level,2156,3.97729,3.87067,4.08391,2.00000,4.00000,6.00000,0.00000,10.00000,4.00000,4.00000,4.00000
2011,Upper Secondary Level,10462,4.47362,4.42949,4.51775,3.00000,5.00000,6.00000,0.00000,10.00000,5.00000,5.00000,5.00000
2011,Post-secondary Non-tertiary Level,1197,4.63490,4.51086,4.75895,3.00000,5.00000,6.00000,0.00000,10.00000,5.00000,5.00000,5.00000
2011,First Stage of Tertiary Education,1442,4.64860,4.53797,4.75922,3.00000,5.00000,6.00000,0.00000,10.00000,5.00000,5.00000,5.00000
2011,Second Stage of Tertiary Education,4578,4.85833,4.79746,4.91921,3.00000,5.00000,7.00000,0.00000,10.00000,5.00000,5.00000,5.00000
2012,Pre-primary Level,470,5.99313,5.80272,6.18355,5.00000,6.00000,8.00000,1.00000,10.00000,6.00000,6.00000,7.00000
2012,Primary Level,385,4.26305,3.98415,4.54196,2.00000,5.00000,6.00000,0.00000,10.00000,5.00000,4.00000,5.00000
