year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,n
1984,,,,,,,,,
1985,,,,,,,,,
1986,,,,,,,,,
1987,,,,,,,,,
1988,,,,,,,,,
1989,,,,,,,,,
1990,,,,,,,,,
1991,,,,,,,,,
1992,,,,,,,,,
1993,,,,,,,,,
1994,,,,,,,,,
1995,,,,,,,,,
1996,,,,,,,,,
1997,,,,,,,,,
1998,,,,,,,,,
1999,,,,,,,,,
2000,,,,,,,,,
2001,,,,,,,,,
2002,,,,,,,,,
2003,,,,,,,,,
2004,4.26485,4.23244,4.29726,2.00000,5.00000,6.00000,0.00000,10.00000,21479.00000
2005,,,,,,,,,
2006,4.69686,4.66574,4.72797,3.00000,5.00000,6.00000,0.00000,10.00000,21824.00000
2007,,,,,,,,,
2008,4.41175,4.37890,4.44459,3.00000,5.00000,6.00000,0.00000,10.00000,19275.00000
2009,3.75035,3.71768,3.78302,2.00000,4.00000,5.00000,0.00000,9.50000,17941.00000
2010,4.27847,4.24856,4.30838,2.00000,4.00000,6.00000,0.00000,10.00000,23884.00000
2011,4.52843,4.49707,4.55978,3.00000,5.00000,6.00000,0.00000,10.00000,20688.00000
2012,4.81745,4.79051,4.84439,3.00000,5.00000,7.00000,0.00000,10.00000,27558.00000
2013,4.50655,4.47540,4.53769,3.00000,5.00000,6.00000,0.00000,10.00000,23757.00000
2014,4.73752,4.70872,4.76632,3.00000,5.00000,7.00000,0.00000,10.00000,26895.00000
2015,4.83299,4.80438,4.86159,3.00000,5.00000,7.00000,0.00000,10.00000,26723.00000
2016,4.86479,4.83598,4.89361,3.00000,5.00000,7.00000,0.00000,10.00000,27034.00000
2017,4.73565,4.70897,4.76233,3.00000,5.00000,7.00000,0.00000,10.00000,30356.00000
2018,4.42248,4.39450,4.45046,3.00000,5.00000,6.00000,0.00000,10.00000,29097.00000
2019,4.98412,4.95659,5.01166,3.00000,5.00000,7.00000,0.00000,10.00000,28984.00000
2020,4.97108,4.94444,4.99771,3.00000,5.00000,7.00000,0.00000,10.00000,29290.00000
2021,5.02865,4.99649,5.06081,3.00000,5.00000,7.00000,0.00000,10.00000,19487.00000
2022,4.87736,4.84896,4.90576,3.00000,5.00000,7.00000,0.00000,10.00000,26080.00000
