year,migback,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,No migration background,Urban regions,,,,,,,,,,,,
1985,No migration background,Rural regions,,,,,,,,,,,,
1985,Direct migration background,Urban regions,,,,,,,,,,,,
1985,Direct migration background,Rural regions,,,,,,,,,,,,
1985,Indirect migration background,Urban regions,,,,,,,,,,,,
1985,Indirect migration background,Rural regions,,,,,,,,,,,,
1986,No migration background,Urban regions,,,,,,,,,,,,
1986,No migration background,Rural regions,,,,,,,,,,,,
1986,Direct migration background,Urban regions,,,,,,,,,,,,
1986,Direct migration background,Rural regions,,,,,,,,,,,,
1986,Indirect migration background,Urban regions,,,,,,,,,,,,
1986,Indirect migration background,Rural regions,,,,,,,,,,,,
1987,No migration background,Urban regions,,,,,,,,,,,,
1987,No migration background,Rural regions,,,,,,,,,,,,
1987,Direct migration background,Urban regions,,,,,,,,,,,,
1987,Direct migration background,Rural regions,,,,,,,,,,,,
1987,Indirect migration background,Urban regions,,,,,,,,,,,,
1987,Indirect migration background,Rural regions,,,,,,,,,,,,
1988,No migration background,Urban regions,,,,,,,,,,,,
1988,No migration background,Rural regions,,,,,,,,,,,,
1988,Direct migration background,Urban regions,,,,,,,,,,,,
1988,Direct migration background,Rural regions,,,,,,,,,,,,
1988,Indirect migration background,Urban regions,,,,,,,,,,,,
1988,Indirect migration background,Rural regions,,,,,,,,,,,,
1989,No migration background,Urban regions,,,,,,,,,,,,
1989,No migration background,Rural regions,,,,,,,,,,,,
1989,Direct migration background,Urban regions,,,,,,,,,,,,
1989,Direct migration background,Rural regions,,,,,,,,,,,,
1989,Indirect migration background,Urban regions,,,,,,,,,,,,
1989,Indirect migration background,Rural regions,,,,,,,,,,,,
1990,No migration background,Urban regions,,,,,,,,,,,,
1990,No migration background,Rural regions,,,,,,,,,,,,
1990,Direct migration background,Urban regions,,,,,,,,,,,,
1990,Direct migration background,Rural regions,,,,,,,,,,,,
1990,Indirect migration background,Urban regions,,,,,,,,,,,,
1990,Indirect migration background,Rural regions,,,,,,,,,,,,
1991,No migration background,Urban regions,,,,,,,,,,,,
1991,No migration background,Rural regions,,,,,,,,,,,,
1991,Direct migration background,Urban regions,,,,,,,,,,,,
1991,Direct migration background,Rural regions,,,,,,,,,,,,
1991,Indirect migration background,Urban regions,,,,,,,,,,,,
1991,Indirect migration background,Rural regions,,,,,,,,,,,,
1992,No migration background,Urban regions,,,,,,,,,,,,
1992,No migration background,Rural regions,,,,,,,,,,,,
1992,Direct migration background,Urban regions,,,,,,,,,,,,
1992,Direct migration background,Rural regions,,,,,,,,,,,,
1992,Indirect migration background,Urban regions,,,,,,,,,,,,
1992,Indirect migration background,Rural regions,,,,,,,,,,,,
1993,No migration background,Urban regions,,,,,,,,,,,,
1993,No migration background,Rural regions,,,,,,,,,,,,
1993,Direct migration background,Urban regions,,,,,,,,,,,,
1993,Direct migration background,Rural regions,,,,,,,,,,,,
1993,Indirect migration background,Urban regions,,,,,,,,,,,,
1993,Indirect migration background,Rural regions,,,,,,,,,,,,
1994,No migration background,Urban regions,,,,,,,,,,,,
1994,No migration background,Rural regions,,,,,,,,,,,,
1994,Direct migration background,Urban regions,,,,,,,,,,,,
1994,Direct migration background,Rural regions,,,,,,,,,,,,
1994,Indirect migration background,Urban regions,,,,,,,,,,,,
1994,Indirect migration background,Rural regions,,,,,,,,,,,,
1995,No migration background,Urban regions,,,,,,,,,,,,
1995,No migration background,Rural regions,,,,,,,,,,,,
1995,Direct migration background,Urban regions,,,,,,,,,,,,
1995,Direct migration background,Rural regions,,,,,,,,,,,,
1995,Indirect migration background,Urban regions,,,,,,,,,,,,
1995,Indirect migration background,Rural regions,,,,,,,,,,,,
1996,No migration background,Urban regions,,,,,,,,,,,,
1996,No migration background,Rural regions,,,,,,,,,,,,
1996,Direct migration background,Urban regions,,,,,,,,,,,,
1996,Direct migration background,Rural regions,,,,,,,,,,,,
1996,Indirect migration background,Urban regions,,,,,,,,,,,,
1996,Indirect migration background,Rural regions,,,,,,,,,,,,
1997,No migration background,Urban regions,,,,,,,,,,,,
1997,No migration background,Rural regions,,,,,,,,,,,,
1997,Direct migration background,Urban regions,,,,,,,,,,,,
1997,Direct migration background,Rural regions,,,,,,,,,,,,
1997,Indirect migration background,Urban regions,,,,,,,,,,,,
1997,Indirect migration background,Rural regions,,,,,,,,,,,,
1998,No migration background,Urban regions,,,,,,,,,,,,
1998,No migration background,Rural regions,,,,,,,,,,,,
1998,Direct migration background,Urban regions,,,,,,,,,,,,
1998,Direct migration background,Rural regions,,,,,,,,,,,,
1998,Indirect migration background,Urban regions,,,,,,,,,,,,
1998,Indirect migration background,Rural regions,,,,,,,,,,,,
1999,No migration background,Urban regions,,,,,,,,,,,,
1999,No migration background,Rural regions,,,,,,,,,,,,
1999,Direct migration background,Urban regions,,,,,,,,,,,,
1999,Direct migration background,Rural regions,,,,,,,,,,,,
1999,Indirect migration background,Urban regions,,,,,,,,,,,,
1999,Indirect migration background,Rural regions,,,,,,,,,,,,
2000,No migration background,Urban regions,,,,,,,,,,,,
2000,No migration background,Rural regions,,,,,,,,,,,,
2000,Direct migration background,Urban regions,,,,,,,,,,,,
2000,Direct migration background,Rural regions,,,,,,,,,,,,
2000,Indirect migration background,Urban regions,,,,,,,,,,,,
2000,Indirect migration background,Rural regions,,,,,,,,,,,,
2001,No migration background,Urban regions,,,,,,,,,,,,
2001,No migration background,Rural regions,,,,,,,,,,,,
2001,Direct migration background,Urban regions,,,,,,,,,,,,
2001,Direct migration background,Rural regions,,,,,,,,,,,,
2001,Indirect migration background,Urban regions,,,,,,,,,,,,
2001,Indirect migration background,Rural regions,,,,,,,,,,,,
2002,No migration background,Urban regions,,,,,,,,,,,,
2002,No migration background,Rural regions,,,,,,,,,,,,
2002,Direct migration background,Urban regions,,,,,,,,,,,,
2002,Direct migration background,Rural regions,,,,,,,,,,,,
2002,Indirect migration background,Urban regions,,,,,,,,,,,,
2002,Indirect migration background,Rural regions,,,,,,,,,,,,
2003,No migration background,Urban regions,,,,,,,,,,,,
2003,No migration background,Rural regions,,,,,,,,,,,,
2003,Direct migration background,Urban regions,,,,,,,,,,,,
2003,Direct migration background,Rural regions,,,,,,,,,,,,
2003,Indirect migration background,Urban regions,,,,,,,,,,,,
2003,Indirect migration background,Rural regions,,,,,,,,,,,,
2004,No migration background,Urban regions,11374,4.341193318896188,4.320019109904605,4.362367527887772,3.0,5.0,6.0,0.0,10.0,5.0,5.0,5.0
2004,No migration background,Rural regions,6538,4.274787560551077,4.2467259650689435,4.30284915603321,3.0,5.0,6.0,0.0,10.0,5.0,5.0,5.0
2004,Direct migration background,Urban regions,2043,3.591009575981597,3.537680501651097,3.6443386503120974,2.0,4.0,5.0,0.0,9.5,4.0,4.0,5.0
2004,Direct migration background,Rural regions,435,4.041383894647292,3.9237763015144504,4.158991487780133,2.0,4.0,6.0,0.0,10.0,4.0,3.0,4.0
2004,Indirect migration background,Urban regions,633,4.987195533315825,4.892761423175235,5.081629643456415,3.0,5.0,7.0,0.0,10.0,5.0,5.0,5.0
2004,Indirect migration background,Rural regions,99,4.3367286409124635,4.091033605813492,4.582423676011435,2.0,5.0,6.0,0.0,10.0,5.0,4.0,6.0
2005,No migration background,Urban regions,,,,,,,,,,,,
2005,No migration background,Rural regions,,,,,,,,,,,,
2005,Direct migration background,Urban regions,,,,,,,,,,,,
2005,Direct migration background,Rural regions,,,,,,,,,,,,
2005,Indirect migration background,Urban regions,,,,,,,,,,,,
2005,Indirect migration background,Rural regions,,,,,,,,,,,,
2006,No migration background,Urban regions,11713,4.723523233404598,4.703236632865557,4.743809833943639,3.0,5.0,6.0,0.0,10.0,5.0,5.0,5.0
2006,No migration background,Rural regions,6930,4.669185182354896,4.6431303025132,4.695240062196593,3.0,5.0,6.0,0.0,10.0,5.0,5.0,5.0
2006,Direct migration background,Urban regions,1929,4.407498054616443,4.35176668278209,4.463229426450797,2.0,5.0,6.0,0.0,10.0,5.0,5.0,6.0
2006,Direct migration background,Rural regions,422,4.545371266408988,4.429522496202233,4.661220036615743,3.0,5.0,6.0,0.0,10.0,5.0,5.0,5.0249999999999995
2006,Indirect migration background,Urban regions,682,5.447072761643359,5.363829970103074,5.5303155531836445,4.0,5.0,7.0,0.0,10.0,5.0,4.0,5.0
2006,Indirect migration background,Rural regions,116,4.82095142485152,4.597437359515011,5.0444654901880295,3.0,5.0,7.0,0.0,9.0,5.0,4.0,5.0
2007,No migration background,Urban regions,,,,,,,,,,,,
2007,No migration background,Rural regions,,,,,,,,,,,,
2007,Direct migration background,Urban regions,,,,,,,,,,,,
2007,Direct migration background,Rural regions,,,,,,,,,,,,
2007,Indirect migration background,Urban regions,,,,,,,,,,,,
2007,Indirect migration background,Rural regions,,,,,,,,,,,,
2008,No migration background,Urban regions,10439,4.382004474544928,4.360964538884492,4.403044410205364,3.0,5.0,6.0,0.0,10.0,5.0,5.0,6.0
2008,No migration background,Rural regions,6173,4.429341444994907,4.401096757410321,4.457586132579492,3.0,5.0,6.0,0.0,10.0,5.0,5.0,6.0
2008,Direct migration background,Urban regions,1551,4.367845642067304,4.306808098428808,4.4288831857058,2.0,5.0,6.0,0.0,10.0,5.0,5.0,6.0
2008,Direct migration background,Rural regions,350,4.14532710609809,4.021540910446003,4.269113301750178,2.0,5.0,6.0,0.0,10.0,5.0,5.0,6.0
2008,Indirect migration background,Urban regions,650,4.903397649748023,4.813321172140217,4.99347412735583,3.0,5.0,7.0,0.0,10.0,5.0,5.0,5.0
2008,Indirect migration background,Rural regions,112,4.81239634389903,4.603959942403617,5.020832745394443,3.0,5.0,7.0,0.0,10.0,5.0,4.974999999999994,6.0
2009,No migration background,Urban regions,9712,3.7656645761360026,3.744354568655726,3.786974583616279,2.0,4.0,5.0,0.0,9.5,4.0,4.0,4.0
2009,No migration background,Rural regions,5872,3.708131493591637,3.6808195672576347,3.7354434199256397,2.0,4.0,5.0,0.0,9.5,4.0,4.0,5.0
2009,Direct migration background,Urban regions,1336,3.5091135378238976,3.4484116807106027,3.5698153949371925,2.0,3.0,5.0,0.0,9.5,3.0,2.0,3.0
2009,Direct migration background,Rural regions,317,3.16531265510677,3.0382917566330225,3.292333553580517,1.0,3.0,5.0,0.0,8.0,3.0,2.0,4.0
2009,Indirect migration background,Urban regions,587,4.636320384094823,4.552401937721008,4.720238830468638,3.0,5.0,6.0,0.0,10.0,5.0,5.0,5.0
2009,Indirect migration background,Rural regions,117,4.407089923769869,4.226769081049378,4.587410766490359,3.0,5.0,6.0,0.0,10.0,5.0,5.0,6.0
2010,No migration background,Urban regions,12353,4.25695497397543,4.2371480722588615,4.276761875691999,2.0,4.0,6.0,0.0,10.0,4.0,3.0,4.0
2010,No migration background,Rural regions,7501,4.284809451387266,4.259506313200332,4.3101125895742,3.0,5.0,6.0,0.0,10.0,5.0,5.0,6.0
2010,Direct migration background,Urban regions,2303,4.057793038184109,4.007141750068277,4.108444326299942,2.0,4.0,6.0,0.0,10.0,4.0,4.0,4.0
2010,Direct migration background,Rural regions,627,4.289332000313817,4.18886904820899,4.389794952418645,2.0,4.0,6.0,0.0,10.0,4.0,3.0,5.0
2010,Indirect migration background,Urban regions,904,5.051581979085782,4.9783435011128745,5.124820457058689,3.0,5.0,7.0,0.0,10.0,5.0,4.0,5.0
2010,Indirect migration background,Rural regions,196,5.219620786337238,5.0584476434761285,5.380793929198347,3.0,5.0,7.0,0.0,10.0,5.0,4.0,5.0
2011,No migration background,Urban regions,11134,4.518356597379712,4.498014783729337,4.5386984110300865,3.0,5.0,6.0,0.0,10.0,5.0,5.0,5.0
2011,No migration background,Rural regions,6757,4.510464527945359,4.484262903591024,4.536666152299694,3.0,5.0,6.0,0.0,10.0,5.0,5.0,5.0
2011,Direct migration background,Urban regions,1541,4.412283119929358,4.351966030259696,4.472600209599021,2.0,5.0,6.0,0.0,10.0,5.0,5.0,6.0
