"year","bildungsniveau","migback","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2004","(Fach-)Abitur","direkter Migrationshintergrund","4.2","4.5","393","3.95","4.45"
"2004","(Fach-)Abitur","indirekter Migrationshintergrund","5.28","4.5","141","4.92","5.64"
"2004","(Fach-)Abitur","kein Migrationshintergrund","4.99","4.5","1850","4.89","5.09"
"2004","(noch) kein Abschluss","direkter Migrationshintergrund","3.09","2.5","233","2.73","3.45"
"2004","(noch) kein Abschluss","indirekter Migrationshintergrund","4.9","4.5","87","4.37","5.43"
"2004","(noch) kein Abschluss","kein Migrationshintergrund","5.11","4.5","574","4.92","5.3"
"2004","AkademikerIn","direkter Migrationshintergrund","4.13","3.5","357","3.88","4.38"
"2004","AkademikerIn","indirekter Migrationshintergrund","5.41","5.5","61","4.78","6.04"
"2004","AkademikerIn","kein Migrationshintergrund","4.87","4.5","3862","4.8","4.94"
"2004","Hauptschule","direkter Migrationshintergrund","3.3","2.5","1284","3.16","3.44"
"2004","Hauptschule","indirekter Migrationshintergrund","4.72","4.5","254","4.4","5.04"
"2004","Hauptschule","kein Migrationshintergrund","3.75","3.5","6477","3.69","3.81"
"2004","Realschule","direkter Migrationshintergrund","4.49","4.5","203","4.17","4.81"
"2004","Realschule","indirekter Migrationshintergrund","4.72","4.5","200","4.38","5.06"
"2004","Realschule","kein Migrationshintergrund","4.61","4.5","5196","4.55","4.67"
"2005","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"2005","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"2005","(Fach-)Abitur","kein Migrationshintergrund","","","","",""
"2005","(noch) kein Abschluss","direkter Migrationshintergrund","","","","",""
"2005","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"2005","(noch) kein Abschluss","kein Migrationshintergrund","","","","",""
"2005","AkademikerIn","direkter Migrationshintergrund","","","","",""
"2005","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"2005","AkademikerIn","kein Migrationshintergrund","","","","",""
"2005","Hauptschule","direkter Migrationshintergrund","","","","",""
"2005","Hauptschule","indirekter Migrationshintergrund","","","","",""
"2005","Hauptschule","kein Migrationshintergrund","","","","",""
"2005","Realschule","direkter Migrationshintergrund","","","","",""
"2005","Realschule","indirekter Migrationshintergrund","","","","",""
"2005","Realschule","kein Migrationshintergrund","","","","",""
"2006","(Fach-)Abitur","direkter Migrationshintergrund","4.9","4.5","399","4.66","5.14"
"2006","(Fach-)Abitur","indirekter Migrationshintergrund","5.16","4.5","150","4.8","5.52"
"2006","(Fach-)Abitur","kein Migrationshintergrund","5.15","4.5","1893","5.06","5.24"
"2006","(noch) kein Abschluss","direkter Migrationshintergrund","3.86","3.5","180","3.47","4.25"
"2006","(noch) kein Abschluss","indirekter Migrationshintergrund","5.75","5.5","66","5.23","6.27"
"2006","(noch) kein Abschluss","kein Migrationshintergrund","5.1","4.5","395","4.87","5.33"
"2006","AkademikerIn","direkter Migrationshintergrund","5.12","4.5","365","4.88","5.36"
"2006","AkademikerIn","indirekter Migrationshintergrund","5.48","5.5","76","5","5.96"
"2006","AkademikerIn","kein Migrationshintergrund","5.15","4.5","4119","5.09","5.21"
"2006","Hauptschule","direkter Migrationshintergrund","3.97","3.5","1158","3.82","4.12"
"2006","Hauptschule","indirekter Migrationshintergrund","5.2","4.5","253","4.9","5.5"
"2006","Hauptschule","kein Migrationshintergrund","4.23","4.5","6626","4.17","4.29"
"2006","Realschule","direkter Migrationshintergrund","4.94","4.5","195","4.59","5.29"
"2006","Realschule","indirekter Migrationshintergrund","5.32","4.5","200","5","5.64"
"2006","Realschule","kein Migrationshintergrund","4.89","4.5","5326","4.83","4.95"
"2007","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"2007","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"2007","(Fach-)Abitur","kein Migrationshintergrund","","","","",""
"2007","(noch) kein Abschluss","direkter Migrationshintergrund","","","","",""
"2007","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"2007","(noch) kein Abschluss","kein Migrationshintergrund","","","","",""
"2007","AkademikerIn","direkter Migrationshintergrund","","","","",""
"2007","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"2007","AkademikerIn","kein Migrationshintergrund","","","","",""
"2007","Hauptschule","direkter Migrationshintergrund","","","","",""
"2007","Hauptschule","indirekter Migrationshintergrund","","","","",""
"2007","Hauptschule","kein Migrationshintergrund","","","","",""
"2007","Realschule","direkter Migrationshintergrund","","","","",""
"2007","Realschule","indirekter Migrationshintergrund","","","","",""
"2007","Realschule","kein Migrationshintergrund","","","","",""
"2008","(Fach-)Abitur","direkter Migrationshintergrund","4.54","4.5","340","4.27","4.81"
"2008","(Fach-)Abitur","indirekter Migrationshintergrund","4.92","4.5","124","4.51","5.33"
"2008","(Fach-)Abitur","kein Migrationshintergrund","4.65","4.5","1702","4.55","4.75"
"2008","(noch) kein Abschluss","direkter Migrationshintergrund","3.28","2.5","119","2.82","3.74"
"2008","(noch) kein Abschluss","indirekter Migrationshintergrund","5.48","5.5","60","4.87","6.09"
"2008","(noch) kein Abschluss","kein Migrationshintergrund","4.8","4.5","365","4.57","5.03"
"2008","AkademikerIn","direkter Migrationshintergrund","4.95","4.5","312","4.69","5.21"
"2008","AkademikerIn","indirekter Migrationshintergrund","5.16","4.5","85","4.73","5.59"
"2008","AkademikerIn","kein Migrationshintergrund","4.74","4.5","3783","4.67","4.81"
"2008","Hauptschule","direkter Migrationshintergrund","4.05","3.5","915","3.88","4.22"
"2008","Hauptschule","indirekter Migrationshintergrund","4.51","4.5","232","4.15","4.87"
"2008","Hauptschule","kein Migrationshintergrund","4.05","3.5","5655","3.99","4.11"
"2008","Realschule","direkter Migrationshintergrund","4.82","4.5","165","4.47","5.17"
"2008","Realschule","indirekter Migrationshintergrund","5.15","4.5","186","4.8","5.5"
"2008","Realschule","kein Migrationshintergrund","4.49","4.5","4759","4.43","4.55"
"2009","(Fach-)Abitur","direkter Migrationshintergrund","3.72","3.5","294","3.48","3.96"
"2009","(Fach-)Abitur","indirekter Migrationshintergrund","4.97","4.5","104","4.57","5.37"
"2009","(Fach-)Abitur","kein Migrationshintergrund","4.27","3.5","1600","4.17","4.37"
