year,ple0162,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,Yes,0.28319,8468,9061,0.27391,0.29247
2012,No,0.01765,593,9061,0.01494,0.02036
2013,Yes,0.26884,8588,9175,0.25976,0.27791
2013,No,0.01576,587,9175,0.01321,0.01831
2015,Yes,0.27873,7854,8667,0.26929,0.28817
2015,No,0.03079,813,8667,0.02715,0.03443
2017,Yes,0.27931,8302,8825,0.26995,0.28868
2017,No,0.01488,523,8825,0.01235,0.01740
2019,Yes,0.28732,8625,9328,0.27813,0.29650
2019,No,0.01819,703,9328,0.01548,0.02091
2021,Yes,0.26350,5336,5850,0.25221,0.27479
2021,No,0.02100,514,5850,0.01732,0.02467
