year,sampreg,ple0162,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,West,Yes,0.27302,6317,6782,0.26242,0.28363
2012,West,No,0.01791,465,6782,0.01475,0.02107
2012,East,Yes,0.33157,2151,2279,0.31224,0.35091
2012,East,No,0.01643,128,2279,0.01121,0.02165
2013,West,Yes,0.26048,6580,7051,0.25024,0.27073
2013,West,No,0.01618,471,7051,0.01323,0.01913
2013,East,Yes,0.30824,2008,2124,0.28860,0.32788
2013,East,No,0.01379,116,2124,0.00883,0.01875
2015,West,Yes,0.27006,5964,6610,0.25935,0.28076
2015,West,No,0.03006,646,6610,0.02594,0.03418
2015,East,Yes,0.31973,1890,2057,0.29957,0.33989
2015,East,No,0.03423,167,2057,0.02637,0.04209
2017,West,Yes,0.27409,6356,6777,0.26347,0.28471
2017,West,No,0.01505,421,6777,0.01215,0.01795
2017,East,Yes,0.30460,1946,2048,0.28466,0.32453
2017,East,No,0.01401,102,2048,0.00892,0.01911
2019,West,Yes,0.27988,6519,7068,0.26941,0.29035
2019,West,No,0.01702,549,7068,0.01400,0.02003
2019,East,Yes,0.32369,2075,2228,0.30425,0.34312
2019,East,No,0.02384,153,2228,0.01751,0.03018
2021,West,Yes,0.25727,4096,4516,0.24452,0.27002
2021,West,No,0.02137,420,4516,0.01715,0.02559
2021,East,Yes,0.29404,1240,1334,0.26959,0.31850
2021,East,No,0.01917,94,1334,0.01181,0.02654
