"year","migback","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2000","direkter Migrationshintergrund","männlich","383.09","397.5","1012","320","360","400","450","600","378.41","387.77","0","999","400","400"
"2000","direkter Migrationshintergrund","weiblich","293.35","299","721","150","200","380","400","500","286.01","300.69","0","520","300","350"
"2000","indirekter Migrationshintergrund","männlich","377.94","382.5","263","300","350","400","450","600","369.22","386.66","40","650","380","400"
"2000","indirekter Migrationshintergrund","weiblich","315.71","342.5","201","120","300","385","400","500","301.59","329.83","0","560","350","350"
"2000","kein Migrationshintergrund","männlich","385.99","397.5","6057","300","350","400","500","700","383.74","388.24","0","990","400","400"
"2000","kein Migrationshintergrund","weiblich","297.68","297.5","4927","150","200","385","400","500","294.7","300.66","0","800","300","320"
"2000","Migrationshintergrund - n. w. differenzierbar","männlich","","","","","","","","","","","","","",""
"2000","Migrationshintergrund - n. w. differenzierbar","weiblich","","","","","","","","","","","","","",""
"2001","direkter Migrationshintergrund","männlich","380.92","395","909","350","365","400","450","600","376.15","385.69","0","900","400","400"
"2001","direkter Migrationshintergrund","weiblich","301.66","302.5","661","150","235","380","400","500","293.71","309.61","0","680","300","350"
"2001","indirekter Migrationshintergrund","männlich","383.68","395","250","300","350","400","450","600","374.53","392.83","0","600","390","400"
"2001","indirekter Migrationshintergrund","weiblich","318.77","342.5","192","120","250","380","400","800","303.05","334.49","0","800","350","370"
"2001","kein Migrationshintergrund","männlich","386.73","397.5","5518","300","355","400","500","650","384.33","389.13","0","999","400","400"
"2001","kein Migrationshintergrund","weiblich","301.31","297.5","4646","150","200","385","400","500","298.23","304.39","0","800","300","320"
"2001","Migrationshintergrund - n. w. differenzierbar","männlich","","","","","","","","","","","","","",""
"2001","Migrationshintergrund - n. w. differenzierbar","weiblich","","","","","","","","","","","","","",""
"2002","direkter Migrationshintergrund","männlich","384.07","395","832","350","360","400","445","600","379.48","388.66","0","700","400","400"
"2002","direkter Migrationshintergrund","weiblich","281.96","295","627","100","200","380","400","480","273.32","290.6","0","560","300","300"
"2002","indirekter Migrationshintergrund","männlich","380.14","387.5","244","300","350","400","450","600","369.79","390.49","40","700","385","400"
"2002","indirekter Migrationshintergrund","weiblich","296.87","335","206","100","250","375","400","500","281.47","312.27","0","600","300","350"
"2002","kein Migrationshintergrund","männlich","386.84","399","5868","300","350","400","500","600","384.48","389.2","0","999","400","400"
"2002","kein Migrationshintergrund","weiblich","296.99","297.5","5053","150","200","385","400","500","293.98","300","0","990","300","300"
"2002","Migrationshintergrund - n. w. differenzierbar","männlich","","","","","","","","","","","","","",""
"2002","Migrationshintergrund - n. w. differenzierbar","weiblich","","","","","","","","","","","","","",""
"2003","direkter Migrationshintergrund","männlich","376.97","395","748","300","350","400","450","600","371.24","382.7","0","700","385","400"
"2003","direkter Migrationshintergrund","weiblich","290.33","295","601","120","200","380","400","500","281.15","299.51","0","910","300","330"
"2003","indirekter Migrationshintergrund","männlich","391.11","397.5","239","300","355","400","500","600","379.05","403.17","50","999","400","400"
"2003","indirekter Migrationshintergrund","weiblich","306.17","325","217","140","240","380","400","500","291.28","321.06","40","700","300","350"
"2003","kein Migrationshintergrund","männlich","386.21","397.5","5549","300","360","400","480","600","383.82","388.6","0","999","400","400"
"2003","kein Migrationshintergrund","weiblich","298.4","298.5","4815","150","200","385","400","500","295.37","301.43","0","840","300","320"
"2003","Migrationshintergrund - n. w. differenzierbar","männlich","","","","","","","","","","","","","",""
"2003","Migrationshintergrund - n. w. differenzierbar","weiblich","","","","","","","","","","","","","",""
"2004","direkter Migrationshintergrund","männlich","382.35","397.5","705","330","350","400","450","600","376.38","388.32","0","800","390","400"
"2004","direkter Migrationshintergrund","weiblich","299.16","294","559","150","200","385","400","480","290.36","307.96","0","600","300","337"
"2004","indirekter Migrationshintergrund","männlich","385.03","395","246","300","360","400","480","550","374.12","395.94","45","990","385","400"
"2004","indirekter Migrationshintergrund","weiblich","306.77","345","213","200","250","380","400","500","292.33","321.21","20","600","300","350"
"2004","kein Migrationshintergrund","männlich","389.23","397.5","5343","300","360","400","500","600","386.88","391.58","0","999","400","400"
"2004","kein Migrationshintergrund","weiblich","301.29","315","4736","150","200","385","400","500","298.26","304.32","0","900","300","310"
"2004","Migrationshintergrund - n. w. differenzierbar","männlich","","","","","","","","","","","","","",""
"2004","Migrationshintergrund - n. w. differenzierbar","weiblich","","","","","","","","","","","","","",""
"2005","direkter Migrationshintergrund","männlich","383.45","395","632","350","370","400","450","500","377.94","388.96","0","700","400","400"
"2005","direkter Migrationshintergrund","weiblich","295.74","294","549","150","200","385","400","500","286.73","304.75","0","500","300","320"
"2005","indirekter Migrationshintergrund","männlich","395.94","395","253","300","370","400","500","900","383.07","408.81","30","990","400","400"
"2005","indirekter Migrationshintergrund","weiblich","317.65","345","210","200","250","390","400","500","304.11","331.19","50","500","320","370"
"2005","kein Migrationshintergrund","männlich","390.42","397.5","5052","300","375","400","500","600","388.02","392.82","0","999","400","400"
"2005","kein Migrationshintergrund","weiblich","305.49","295","4491","150","210","395","400","540","302.34","308.64","0","990","300","320"
"2005","Migrationshintergrund - n. w. differenzierbar","männlich","","","","","","","","","","","","","",""
"2005","Migrationshintergrund - n. w. differenzierbar","weiblich","","","","","","","","","","","","","",""
"2006","direkter Migrationshintergrund","männlich","379.09","397.5","651","350","370","400","420","600","372.87","385.31","0","800","400","400"
