"year","bula_h","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2000","Baden-Württemberg","342.02","372.5","1668","200","300","400","450","600","336.83","347.21","0","800","360","375"
"2000","Bayern","341.34","372.5","1949","200","300","400","440","600","336.58","346.1","0","900","370","380"
"2000","Berlin","","","","","","","","","","","","","",""
"2000","Brandenburg","","","","","","","","","","","","","",""
"2000","Bremen","325.52","367.5","95","150","300","400","400","500","302.83","348.21","40","600","300","400"
"2000","Hamburg","342.76","372.5","164","200","300","400","400","500","326.53","358.99","15","800","350","385"
"2000","Hessen","338.54","377.5","940","193","300","400","450","600","331.05","346.03","0","800","375","385"
"2000","Mecklenburg-Vorpommern","","","","","","","","","","","","","",""
"2000","Niedersachsen","350.87","377.5","1127","200","300","400","450","700","344.25","357.49","0","990","375","380"
"2000","Nordrhein-Westfalen","339.91","372.5","2786","193","300","400","450","600","335.77","344.05","0","800","360","375"
"2000","Rheinland-Pfalz,Saarland","351.7","377.5","749","200","300","400","440","600","344.36","359.04","0","990","375","385"
"2000","Saarland","","","","","","","","","","","","","",""
"2000","Sachsen","","","","","","","","","","","","","",""
"2000","Sachsen-Anhalt","","","","","","","","","","","","","",""
"2000","Schleswig-Holstein","343.27","372.5","399","200","300","400","450","600","332.34","354.2","0","800","360","380"
"2000","Thüringen","","","","","","","","","","","","","",""
"2001","Baden-Württemberg","344.32","377.5","1522","193","300","400","450","600","338.79","349.85","0","750","370","380"
"2001","Bayern","344.1","372.5","1801","190","300","400","450","600","338.81","349.39","0","999","370","380"
"2001","Berlin","","","","","","","","","","","","","",""
"2001","Brandenburg","","","","","","","","","","","","","",""
"2001","Bremen","356.24","382.5","87","200","300","400","450","800","332.92","379.56","0","800","350","400"
"2001","Hamburg","321.49","372.5","159","130","300","400","400","600","302.8","340.18","0","600","350","385"
"2001","Hessen","345.22","372.5","837","200","300","400","450","600","337.83","352.61","0","800","370","380"
"2001","Mecklenburg-Vorpommern","","","","","","","","","","","","","",""
"2001","Niedersachsen","352.61","384","1017","200","300","400","450","600","345.69","359.53","0","900","380","385"
