"year","migback","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2000","direkter Migrationshintergrund","Ostdeutschland","390.19","370","45","250","300","400","480","999","353.46","426.92","100","999","350","400"
"2000","direkter Migrationshintergrund","Westdeutschland","343.66","377.5","1688","200","300","400","400","560","339.04","348.28","0","800","375","380"
"2000","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"2000","indirekter Migrationshintergrund","Westdeutschland","350.87","372.5","454","240","350","400","400","560","342.51","359.23","0","650","370","380"
"2000","kein Migrationshintergrund","Ostdeutschland","369.31","397.5","3033","300","350","400","450","600","366.27","372.35","0","850","400","400"
"2000","kein Migrationshintergrund","Westdeutschland","342.36","372.5","7951","200","300","400","450","600","339.87","344.85","0","990","370","375"
"2000","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2000","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2001","direkter Migrationshintergrund","Ostdeutschland","316.33","325","36","150","200","400","400","600","279.02","353.64","50","600","300","400"
"2001","direkter Migrationshintergrund","Westdeutschland","347.96","379","1534","200","300","400","400","550","343.11","352.81","0","900","375","380"
"2001","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"2001","indirekter Migrationshintergrund","Westdeutschland","354.89","377.5","433","200","300","400","450","700","345.66","364.12","0","800","375","385"
"2001","kein Migrationshintergrund","Ostdeutschland","371.63","397.5","2848","300","350","400","450","600","368.51","374.75","0","900","400","400"
"2001","kein Migrationshintergrund","Westdeutschland","343.61","379","7316","195","300","400","450","600","341","346.22","0","999","375","380"
"2001","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2001","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2002","direkter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"2002","direkter Migrationshintergrund","Westdeutschland","339.08","372.5","1431","200","300","400","400","540","333.81","344.35","0","700","375","380"
"2002","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"2002","indirekter Migrationshintergrund","Westdeutschland","341.82","367.5","437","193","300","400","450","600","331.78","351.86","0","700","370","380"
"2002","kein Migrationshintergrund","Ostdeutschland","372.8","399","2810","300","350","400","450","600","369.68","375.92","0","950","400","400"
"2002","kein Migrationshintergrund","Westdeutschland","340.46","374.5","8111","195","300","400","450","600","337.92","343","0","999","370","375"
"2002","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2002","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2003","direkter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"2003","direkter Migrationshintergrund","Westdeutschland","337.89","372.5","1323","200","300","400","400","600","332.12","343.66","0","910","370","380"
"2003","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"2003","indirekter Migrationshintergrund","Westdeutschland","351.62","377.5","444","200","300","400","450","600","341.18","362.06","40","999","370","380"
"2003","kein Migrationshintergrund","Ostdeutschland","373.58","397.5","2702","300","350","400","450","600","370.33","376.83","0","900","400","400"
"2003","kein Migrationshintergrund","Westdeutschland","341.04","373","7662","195","300","400","450","600","338.48","343.6","0","999","375","380"
"2003","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2003","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2004","direkter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"2004","direkter Migrationshintergrund","Westdeutschland","345.08","372.5","1239","200","300","400","420","600","339.36","350.8","0","800","370","380"
"2004","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"2004","indirekter Migrationshintergrund","Westdeutschland","348.91","377.5","445","200","300","400","450","550","339.02","358.8","20","990","370","380"
"2004","kein Migrationshintergrund","Ostdeutschland","370.48","397.5","2655","300","350","400","400","600","367.34","373.62","0","800","400","400"
"2004","kein Migrationshintergrund","Westdeutschland","344.57","379","7424","200","300","400","450","600","341.98","347.16","0","999","375","380"
"2004","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2004","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2005","direkter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"2005","direkter Migrationshintergrund","Westdeutschland","341.45","379","1159","200","300","400","400","500","335.64","347.26","0","700","370","380"
