"year","migback","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2000","direkter Migrationshintergrund","344.78","377.5","1733","200","300","400","410","560","340.18","349.38","0","999","375","380"
"2000","indirekter Migrationshintergrund","350.99","376","464","200","350","400","405","560","342.68","359.3","0","650","370","380"
"2000","kein Migrationshintergrund","347.94","379","10984","200","300","400","450","600","345.94","349.94","0","990","380","380"
"2000","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2001","direkter Migrationshintergrund","347.23","377.5","1570","200","300","400","400","560","342.42","352.04","0","900","375","380"
"2001","indirekter Migrationshintergrund","355.35","377.5","442","200","300","400","450","700","346.29","364.41","0","800","375","385"
"2001","kein Migrationshintergrund","349.28","379","10164","200","300","400","450","600","347.19","351.37","0","999","380","380"
"2001","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2002","direkter Migrationshintergrund","339.26","372.5","1459","200","300","400","400","540","334.05","344.47","0","700","375","380"
"2002","indirekter Migrationshintergrund","342.3","367.5","450","195","300","400","450","600","332.49","352.11","0","700","370","380"
"2002","kein Migrationshintergrund","346.97","379","10921","200","300","400","450","600","344.9","349.04","0","999","380","380"
"2002","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2003","direkter Migrationshintergrund","337.67","372.5","1349","200","300","400","400","600","331.97","343.37","0","910","370","380"
"2003","indirekter Migrationshintergrund","351.45","377.5","456","200","300","400","450","600","341.2","361.7","40","999","370","380"
"2003","kein Migrationshintergrund","347.52","377.5","10364","200","300","400","450","600","345.42","349.62","0","999","380","380"
"2003","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2004","direkter Migrationshintergrund","344.83","372.5","1264","200","300","400","400","600","339.18","350.48","0","800","370","380"
"2004","indirekter Migrationshintergrund","349.5","377.5","459","200","300","400","440","550","339.88","359.12","20","990","370","380"
"2004","kein Migrationshintergrund","349.74","379","10079","200","300","400","450","600","347.65","351.83","0","999","380","380"
"2004","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2005","direkter Migrationshintergrund","341.54","379","1181","200","300","400","400","500","335.78","347.3","0","700","370","380"
"2005","indirekter Migrationshintergrund","361.89","377.5","463","200","300","400","450","780","351.89","371.89","30","990","380","385"
"2005","kein Migrationshintergrund","352.53","384","9543","200","300","400","450","600","350.39","354.67","0","999","380","385"
"2005","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2006","direkter Migrationshintergrund","340.7","377.5","1217","200","300","400","400","500","334.77","346.63","0","800","370","380"
"2006","indirekter Migrationshintergrund","345.32","377.5","479","200","300","400","405","560","336.62","354.02","0","700","370","380"
"2006","kein Migrationshintergrund","352.88","384.5","10193","200","300","400","450","600","350.84","354.92","0","999","385","385"
"2006","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2007","direkter Migrationshintergrund","345.39","377.5","1060","200","300","400","400","600","339.49","351.29","0","700","360","380"
"2007","indirekter Migrationshintergrund","347.19","377.5","497","200","300","400","450","600","338.27","356.11","50","750","375","385"
"2007","kein Migrationshintergrund","354.66","382.5","9720","200","300","400","450","600","352.51","356.81","0","990","385","385"
"2007","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2008","direkter Migrationshintergrund","335.52","377.5","999","195","300","400","400","600","328.87","342.17","0","800","350","380"
"2008","indirekter Migrationshintergrund","343.5","372.5","492","200","300","400","420","530","334.84","352.16","30","600","350","380"
"2008","kein Migrationshintergrund","348.53","382.5","9303","200","300","400","450","600","346.38","350.68","0","999","380","385"
"2008","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2009","direkter Migrationshintergrund","336.68","355","861","200","300","400","400","600","329.78","343.58","0","850","350","380"
"2009","indirekter Migrationshintergrund","359.64","377.5","443","250","350","400","450","500","350.86","368.42","0","700","370","385"
"2009","kein Migrationshintergrund","352.2","382.5","8633","200","300","400","450","600","350","354.4","0","999","380","385"
"2009","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2010","direkter Migrationshintergrund","329.79","340","991","200","250","400","400","520","323.3","336.28","0","750","350","380"
"2010","indirekter Migrationshintergrund","342.68","377.5","482","200","300","400","425","500","333.11","352.25","20","960","370","385"
"2010","kein Migrationshintergrund","349.22","377.5","9181","200","300","400","450","600","347.05","351.39","0","999","375","380"
"2010","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2011","direkter Migrationshintergrund","339.67","377.5","1269","180","300","400","420","600","333.86","345.48","0","990","360","380"
"2011","indirekter Migrationshintergrund","353.25","382.5","614","200","300","400","450","600","344.57","361.93","20","999","360","380"
"2011","kein Migrationshintergrund","352.79","382.5","11146","200","300","400","450","600","350.81","354.77","0","999","375","380"
"2011","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2012","direkter Migrationshintergrund","336.98","372.5","1241","200","300","400","400","540","331.17","342.79","0","800","350","380"
"2012","indirekter Migrationshintergrund","351.55","387.5","622","200","300","400","450","600","342.91","360.19","0","750","350","380"
"2012","kein Migrationshintergrund","345.1","377.5","11023","200","300","400","420","600","343.1","347.1","0","999","360","375"
"2012","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2013","direkter Migrationshintergrund","329.63","345","1090","195","280","400","400","540","323.31","335.95","0","800","350","375"
"2013","indirekter Migrationshintergrund","337.83","372.5","591","200","300","400","400","500","329.22","346.44","0","720","350","380"
"2013","kein Migrationshintergrund","342.44","377.5","10285","200","300","400","420","600","340.4","344.48","0","999","350","370"
"2013","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2014","direkter Migrationshintergrund","331.86","340","1362","200","300","400","400","600","326.37","337.35","0","800","350","370"
"2014","indirekter Migrationshintergrund","338.47","345","738","200","300","400","400","550","330.61","346.33","0","999","350","350"
"2014","kein Migrationshintergrund","338.81","367.5","11823","200","300","400","400","500","336.95","340.67","0","999","350","350"
"2014","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2015","direkter Migrationshintergrund","338.05","377.5","3625","200","300","400","400","600","334.38","341.72","0","990","390","400"
"2015","indirekter Migrationshintergrund","352.47","387.5","1096","200","300","400","420","600","346.18","358.76","0","999","370","385"
"2015","kein Migrationshintergrund","339.55","372.5","11251","200","300","400","400","550","337.63","341.47","0","999","350","360"
"2015","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2016","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2016","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2016","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2016","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2017","direkter Migrationshintergrund","329.49","362.5","3298","160","275","400","400","600","325.74","333.24","0","850","375","380"
"2017","indirekter Migrationshintergrund","343.64","377.5","1124","200","300","400","400","600","337.32","349.96","15","800","350","375"
"2017","kein Migrationshintergrund","335.05","347.5","12369","200","300","400","400","600","333.24","336.86","0","990","350","350"
"2017","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2018","direkter Migrationshintergrund","330.02","345","3504","200","300","400","400","500","326.53","333.51","0","800","380","390"
"2018","indirekter Migrationshintergrund","334.16","345","1154","200","300","400","400","500","327.95","340.37","0","700","350","350"
"2018","kein Migrationshintergrund","329.64","347.5","11901","200","300","400","400","555","327.8","331.48","0","990","350","350"
"2018","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2019","direkter Migrationshintergrund","365.74","395","954","200","380","400","450","600","358.49","372.99","10","1000","400","400"
"2019","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2019","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2019","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
