"year","bula_h","migback","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2000","Baden-Württemberg","direkter Migrationshintergrund","346.71","372.5","409","200","300","400","420","560","337.85","355.57","0","720","350","380"
"2000","Baden-Württemberg","indirekter Migrationshintergrund","355.81","377.5","139","240","350","400","400","500","341.6","370.02","0","500","350","380"
"2000","Baden-Württemberg","kein Migrationshintergrund","339.49","372.5","1120","200","300","400","450","600","332.7","346.28","0","800","350","380"
"2000","Baden-Württemberg","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2000","Bayern","direkter Migrationshintergrund","331.77","337.5","261","200","300","400","400","500","321.08","342.46","60","550","350","380"
"2000","Bayern","indirekter Migrationshintergrund","358.44","375","77","300","350","395","400","650","339.74","377.14","80","650","350","380"
"2000","Bayern","kein Migrationshintergrund","342.18","377.5","1611","200","300","400","450","600","336.75","347.61","0","900","370","380"
"2000","Bayern","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2000","Berlin","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2000","Berlin","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2000","Berlin","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2000","Berlin","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2000","Brandenburg","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2000","Brandenburg","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2000","Brandenburg","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2000","Brandenburg","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2000","Bremen","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2000","Bremen","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2000","Bremen","kein Migrationshintergrund","324.33","367.5","72","140","300","400","400","500","297.82","350.84","50","600","300","400"
"2000","Bremen","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2000","Hamburg","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2000","Hamburg","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2000","Hamburg","kein Migrationshintergrund","345.76","372.5","144","200","300","400","430","500","328.16","363.36","15","800","350","385"
"2000","Hamburg","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2000","Hessen","direkter Migrationshintergrund","352.63","387.5","182","200","350","400","450","600","336.75","368.51","0","800","380","400"
"2000","Hessen","indirekter Migrationshintergrund","323.84","325","45","200","200","400","400","600","288.73","358.95","40","600","350","400"
"2000","Hessen","kein Migrationshintergrund","336.11","372.5","713","190","250","400","450","650","327.37","344.85","0","800","350","380"
"2000","Hessen","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2000","Mecklenburg-Vorpommern","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2000","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2000","Mecklenburg-Vorpommern","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2000","Mecklenburg-Vorpommern","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2000","Niedersachsen","direkter Migrationshintergrund","349.32","377.5","147","200","300","400","450","550","334.78","363.86","30","600","380","400"
"2000","Niedersachsen","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2000","Niedersachsen","kein Migrationshintergrund","350.04","377.5","955","200","300","400","450","700","342.61","357.47","0","990","370","380"
"2000","Niedersachsen","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2000","Nordrhein-Westfalen","direkter Migrationshintergrund","344.9","372.5","453","200","300","400","400","600","335.41","354.39","0","750","370","380"
"2000","Nordrhein-Westfalen","indirekter Migrationshintergrund","345.02","367.5","125","250","300","400","400","500","330.17","359.87","60","500","350","377"
"2000","Nordrhein-Westfalen","kein Migrationshintergrund","338.79","372.5","2208","180","300","400","450","600","334.02","343.56","0","800","360","375"
"2000","Nordrhein-Westfalen","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2000","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","346.63","377.5","135","200","300","400","400","520","331.69","361.57","100","520","370","400"
"2000","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2000","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","352.93","377.5","596","200","300","400","450","600","344.43","361.43","0","990","375","385"
"2000","Rheinland-Pfalz,Saarland","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2000","Saarland","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2000","Saarland","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2000","Saarland","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2000","Saarland","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2000","Sachsen","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2000","Sachsen","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2000","Sachsen","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2000","Sachsen","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
