"erwst","year","migback","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"voll erwerbstätig","1984","kein Migrationshintergrund","maennlich","2671","","",""
"voll erwerbstätig","1984","kein Migrationshintergrund","weiblich","1002","","",""
"voll erwerbstätig","1984","direkter Migrationshintergrund","maennlich","1394","","",""
"voll erwerbstätig","1984","direkter Migrationshintergrund","weiblich","574","0.290765216611974","0.268458132817065","0.313072300406883"
"voll erwerbstätig","1984","indirekter Migrationshintergrund","maennlich","21","","",""
"voll erwerbstätig","1984","indirekter Migrationshintergrund","weiblich","14","","",""
"voll erwerbstätig","1984","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"voll erwerbstätig","1984","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Teilzeit","1984","kein Migrationshintergrund","maennlich","33","0.00786921794426851","0.00516953091333434","0.0105689049752027"
"Teilzeit","1984","kein Migrationshintergrund","weiblich","495","0.0958612842953589","0.0873107996265404","0.104411768964177"
"Teilzeit","1984","direkter Migrationshintergrund","maennlich","8","0.00782400391072076","0.00372750103117963","0.0119205067902619"
"Teilzeit","1984","direkter Migrationshintergrund","weiblich","119","","",""
"Teilzeit","1984","indirekter Migrationshintergrund","maennlich","","","",""
"Teilzeit","1984","indirekter Migrationshintergrund","weiblich","6","0.151970925686741","0.064698501791828","0.239243349581653"
"Teilzeit","1984","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Teilzeit","1984","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"nicht erwerbstätig","1984","kein Migrationshintergrund","maennlich","1178","","",""
"nicht erwerbstätig","1984","kein Migrationshintergrund","weiblich","2689","","",""
"nicht erwerbstätig","1984","direkter Migrationshintergrund","maennlich","300","0.226242660300646","0.206789327465538","0.245695993135754"
"nicht erwerbstätig","1984","direkter Migrationshintergrund","weiblich","823","0.553170074291938","0.528748310647499","0.577591837936378"
"nicht erwerbstätig","1984","indirekter Migrationshintergrund","maennlich","25","","",""
"nicht erwerbstätig","1984","indirekter Migrationshintergrund","weiblich","33","0.534100586220588","0.412831802434738","0.655369370006439"
"nicht erwerbstätig","1984","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"nicht erwerbstätig","1984","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Andere","1984","kein Migrationshintergrund","maennlich","233","","",""
"Andere","1984","kein Migrationshintergrund","weiblich","368","0.0747950896183626","0.067154848127799","0.0824353311089261"
"Andere","1984","direkter Migrationshintergrund","maennlich","75","0.0322674303739831","0.0240513581785262","0.0404835025694401"
"Andere","1984","direkter Migrationshintergrund","weiblich","76","0.0495301180356173","0.0388720025761134","0.0601882334951212"
"Andere","1984","indirekter Migrationshintergrund","maennlich","15","","",""
"Andere","1984","indirekter Migrationshintergrund","weiblich","12","","",""
"Andere","1984","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Andere","1984","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"voll erwerbstätig","1985","kein Migrationshintergrund","maennlich","2474","","",""
"voll erwerbstätig","1985","kein Migrationshintergrund","weiblich","1001","","",""
"voll erwerbstätig","1985","direkter Migrationshintergrund","maennlich","1199","","",""
"voll erwerbstätig","1985","direkter Migrationshintergrund","weiblich","503","0.299459708981681","0.275179658125871","0.32373975983749"
"voll erwerbstätig","1985","indirekter Migrationshintergrund","maennlich","24","","",""
"voll erwerbstätig","1985","indirekter Migrationshintergrund","weiblich","16","","",""
"voll erwerbstätig","1985","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"voll erwerbstätig","1985","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Teilzeit","1985","kein Migrationshintergrund","maennlich","45","0.0120682695415746","0.00860158291940214","0.0155349561637471"
"Teilzeit","1985","kein Migrationshintergrund","weiblich","573","0.119750052649006","0.10989349886012","0.129606606437893"
"Teilzeit","1985","direkter Migrationshintergrund","maennlich","11","","",""
"Teilzeit","1985","direkter Migrationshintergrund","weiblich","118","","",""
"Teilzeit","1985","indirekter Migrationshintergrund","maennlich","1","","",""
"Teilzeit","1985","indirekter Migrationshintergrund","weiblich","6","0.120916743669021","0.0480950200521208","0.193738467285921"
"Teilzeit","1985","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Teilzeit","1985","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"nicht erwerbstätig","1985","kein Migrationshintergrund","maennlich","1129","","",""
"nicht erwerbstätig","1985","kein Migrationshintergrund","weiblich","2354","","",""
"nicht erwerbstätig","1985","direkter Migrationshintergrund","maennlich","276","","",""
"nicht erwerbstätig","1985","direkter Migrationshintergrund","weiblich","705","0.552904061746107","0.526547479918117","0.579260643574097"
"nicht erwerbstätig","1985","indirekter Migrationshintergrund","maennlich","28","","",""
"nicht erwerbstätig","1985","indirekter Migrationshintergrund","weiblich","47","0.596596922250536","0.487021579856628","0.706172264644444"
"nicht erwerbstätig","1985","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"nicht erwerbstätig","1985","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Andere","1985","kein Migrationshintergrund","maennlich","163","","",""
"Andere","1985","kein Migrationshintergrund","weiblich","240","","",""
"Andere","1985","direkter Migrationshintergrund","maennlich","53","0.0336916025733791","0.0246769811580451","0.0427062239887131"
"Andere","1985","direkter Migrationshintergrund","weiblich","41","0.0360632942888822","0.0261795661616251","0.0459470224161392"
"Andere","1985","indirekter Migrationshintergrund","maennlich","11","","",""
"Andere","1985","indirekter Migrationshintergrund","weiblich","8","0.0902488907930763","0.0262481557617814","0.154249625824371"
"Andere","1985","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Andere","1985","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"voll erwerbstätig","1986","kein Migrationshintergrund","maennlich","2341","","",""
"voll erwerbstätig","1986","kein Migrationshintergrund","weiblich","990","0.230450225799386","0.217332387695348","0.243568063903424"
"voll erwerbstätig","1986","direkter Migrationshintergrund","maennlich","1160","","",""
"voll erwerbstätig","1986","direkter Migrationshintergrund","weiblich","456","0.288250562542925","0.263731978087059","0.312769146998792"
"voll erwerbstätig","1986","indirekter Migrationshintergrund","maennlich","29","","",""
"voll erwerbstätig","1986","indirekter Migrationshintergrund","weiblich","21","","",""
"voll erwerbstätig","1986","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"voll erwerbstätig","1986","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Teilzeit","1986","kein Migrationshintergrund","maennlich","50","0.0123319567676668","0.0087491711472567","0.0159147423880769"
"Teilzeit","1986","kein Migrationshintergrund","weiblich","461","0.101966372567111","0.0925403141991929","0.111392430935029"
"Teilzeit","1986","direkter Migrationshintergrund","maennlich","13","","",""
"Teilzeit","1986","direkter Migrationshintergrund","weiblich","105","","",""
"Teilzeit","1986","indirekter Migrationshintergrund","maennlich","2","","",""
"Teilzeit","1986","indirekter Migrationshintergrund","weiblich","10","","",""
"Teilzeit","1986","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Teilzeit","1986","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"nicht erwerbstätig","1986","kein Migrationshintergrund","maennlich","1075","","",""
"nicht erwerbstätig","1986","kein Migrationshintergrund","weiblich","2208","","",""
