"erwst","year","bildungsniveau","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"voll erwerbstätig","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","95","0.17074498715461","0.137256521058836","0.204233453250384"
"voll erwerbstätig","1995","(noch) kein Abschluss","2","73","0.243406531091049","0.186955872723287","0.299857189458811"
"voll erwerbstätig","1995","(noch) kein Abschluss","3","30","0.231350843698858","0.148283539785039","0.314418147612678"
"voll erwerbstätig","1995","(noch) kein Abschluss","4","22","","",""
"voll erwerbstätig","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","5","","",""
"voll erwerbstätig","1995","Hauptschule","1 Einkommensschwächstes Quintil","755","0.229969576560153","0.213588281078777","0.246350872041528"
"voll erwerbstätig","1995","Hauptschule","2","797","0.347419677135841","0.325958846856374","0.368880507415308"
"voll erwerbstätig","1995","Hauptschule","3","509","0.467759185242761","0.436097126268982","0.499421244216539"
"voll erwerbstätig","1995","Hauptschule","4","339","0.563933311727719","0.523007352292044","0.604859271163393"
"voll erwerbstätig","1995","Hauptschule","5 Einkommensstärkstes Quintil","92","0.446512336822972","0.373887939332304","0.519136734313641"
"voll erwerbstätig","1995","Realschule","1 Einkommensschwächstes Quintil","459","0.372786560646752","0.344027746135122","0.401545375158382"
"voll erwerbstätig","1995","Realschule","2","503","0.478137162262465","0.445859013937033","0.510415310587898"
"voll erwerbstätig","1995","Realschule","3","336","0.542577793952646","0.500790774100884","0.584364813804407"
"voll erwerbstätig","1995","Realschule","4","271","0.648170720685109","0.600407547395205","0.695933893975013"
"voll erwerbstätig","1995","Realschule","5 Einkommensstärkstes Quintil","127","0.670112688450507","0.601426634773907","0.738798742127106"
"voll erwerbstätig","1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","98","0.223037867412527","0.181455716083128","0.264620018741927"
"voll erwerbstätig","1995","(Fach-)Abitur","2","112","0.397570244034645","0.340450838288886","0.454689649780404"
"voll erwerbstätig","1995","(Fach-)Abitur","3","89","0.497627036767043","0.424986756638054","0.570267316896033"
"voll erwerbstätig","1995","(Fach-)Abitur","4","82","0.639592606469232","0.557996237380066","0.721188975558398"
"voll erwerbstätig","1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","38","0.469443152502349","0.359392654618464","0.579493650386233"
"voll erwerbstätig","1995","AkademikerIn","1 Einkommensschwächstes Quintil","158","0.358450408587812","0.308982432030139","0.407918385145485"
"voll erwerbstätig","1995","AkademikerIn","2","278","0.543484614646997","0.497716425547893","0.589252803746101"
"voll erwerbstätig","1995","AkademikerIn","3","273","0.674260459640361","0.626763985026954","0.721756934253768"
"voll erwerbstätig","1995","AkademikerIn","4","243","0.711879834573447","0.661546225742717","0.762213443404176"
"voll erwerbstätig","1995","AkademikerIn","5 Einkommensstärkstes Quintil","196","0.740080177347277","0.685929124162481","0.794231230532072"
"Teilzeit","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","22","","",""
"Teilzeit","1995","(noch) kein Abschluss","2","11","","",""
"Teilzeit","1995","(noch) kein Abschluss","3","2","","",""
"Teilzeit","1995","(noch) kein Abschluss","4","1","","",""
"Teilzeit","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","","","",""
"Teilzeit","1995","Hauptschule","1 Einkommensschwächstes Quintil","134","0.0554788797813348","0.0465678316876532","0.0643899278750163"
"Teilzeit","1995","Hauptschule","2","140","0.0640879242736865","0.0530494778317912","0.0751263707155817"
"Teilzeit","1995","Hauptschule","3","76","0.0743296870240847","0.0576847090951347","0.0909746649530346"
"Teilzeit","1995","Hauptschule","4","43","0.0793233166605223","0.0570203547033391","0.101626278617705"
"Teilzeit","1995","Hauptschule","5 Einkommensstärkstes Quintil","21","","",""
"Teilzeit","1995","Realschule","1 Einkommensschwächstes Quintil","91","0.0776800571803101","0.061760581995445","0.0935995323651753"
"Teilzeit","1995","Realschule","2","87","0.0951039527417216","0.0761476861960996","0.114060219287344"
"Teilzeit","1995","Realschule","3","51","0.101641137499941","0.0762950192719728","0.126987255727909"
"Teilzeit","1995","Realschule","4","35","0.0875199299099776","0.0592550168970192","0.115784842922936"
"Teilzeit","1995","Realschule","5 Einkommensstärkstes Quintil","9","","",""
"Teilzeit","1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","25","","",""
"Teilzeit","1995","(Fach-)Abitur","2","23","","",""
"Teilzeit","1995","(Fach-)Abitur","3","7","","",""
"Teilzeit","1995","(Fach-)Abitur","4","8","","",""
"Teilzeit","1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","12","","",""
"Teilzeit","1995","AkademikerIn","1 Einkommensschwächstes Quintil","42","0.115887667588988","0.082868446408412","0.148906888769565"
"Teilzeit","1995","AkademikerIn","2","51","0.122730473969957","0.0925806264484148","0.152880321491499"
"Teilzeit","1995","AkademikerIn","3","25","","",""
"Teilzeit","1995","AkademikerIn","4","20","","",""
"Teilzeit","1995","AkademikerIn","5 Einkommensstärkstes Quintil","21","","",""
"nicht erwerbstätig","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","358","0.767314681291788","0.729709432456086","0.804919930127489"
