"erwst","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"voll erwerbstätig","1984","(noch) kein Abschluss","kein Migrationshintergrund","21","","",""
"voll erwerbstätig","1984","(noch) kein Abschluss","direkter Migrationshintergrund","574","0.525834557000319","0.495487195847881","0.556181918152757"
"voll erwerbstätig","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","2","","",""
"voll erwerbstätig","1984","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"voll erwerbstätig","1984","Hauptschule","kein Migrationshintergrund","2242","0.383149826667709","0.370241681250155","0.396057972085263"
"voll erwerbstätig","1984","Hauptschule","direkter Migrationshintergrund","1079","0.548029704423052","0.524557227639887","0.571502181206216"
"voll erwerbstätig","1984","Hauptschule","indirekter Migrationshintergrund","24","","",""
"voll erwerbstätig","1984","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"voll erwerbstätig","1984","Realschule","kein Migrationshintergrund","771","0.429393574902711","0.405987283321123","0.452799866484299"
"voll erwerbstätig","1984","Realschule","direkter Migrationshintergrund","48","0.364596582879104","0.284581518145665","0.444611647612543"
"voll erwerbstätig","1984","Realschule","indirekter Migrationshintergrund","7","","",""
"voll erwerbstätig","1984","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"voll erwerbstätig","1984","(Fach-)Abitur","kein Migrationshintergrund","179","0.304977412821658","0.267796183824696","0.34215864181862"
"voll erwerbstätig","1984","(Fach-)Abitur","direkter Migrationshintergrund","152","0.432958251450897","0.374074676780649","0.491841826121145"
"voll erwerbstätig","1984","(Fach-)Abitur","indirekter Migrationshintergrund","1","","",""
"voll erwerbstätig","1984","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"voll erwerbstätig","1984","AkademikerIn","kein Migrationshintergrund","454","0.655513386472787","0.619423299051692","0.691603473893881"
"voll erwerbstätig","1984","AkademikerIn","direkter Migrationshintergrund","79","0.575432655859798","0.487363070497614","0.663502241221982"
"voll erwerbstätig","1984","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"voll erwerbstätig","1984","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1984","(noch) kein Abschluss","kein Migrationshintergrund","3","","",""
"Teilzeit","1984","(noch) kein Abschluss","direkter Migrationshintergrund","27","","",""
"Teilzeit","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Teilzeit","1984","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1984","Hauptschule","kein Migrationshintergrund","329","0.0546527963453657","0.04861759792682","0.0606879947639114"
"Teilzeit","1984","Hauptschule","direkter Migrationshintergrund","64","0.0551295604280991","0.0443653961245363","0.0658937247316619"
"Teilzeit","1984","Hauptschule","indirekter Migrationshintergrund","4","","",""
"Teilzeit","1984","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1984","Realschule","kein Migrationshintergrund","120","0.0610614527892238","0.0497390483948122","0.0723838571836354"
"Teilzeit","1984","Realschule","direkter Migrationshintergrund","13","","",""
"Teilzeit","1984","Realschule","indirekter Migrationshintergrund","1","","",""
"Teilzeit","1984","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1984","(Fach-)Abitur","kein Migrationshintergrund","25","","",""
"Teilzeit","1984","(Fach-)Abitur","direkter Migrationshintergrund","12","","",""
"Teilzeit","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Teilzeit","1984","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1984","AkademikerIn","kein Migrationshintergrund","48","0.0707378116990088","0.0512660197864641","0.0902096036115535"
"Teilzeit","1984","AkademikerIn","direkter Migrationshintergrund","9","","",""
"Teilzeit","1984","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"Teilzeit","1984","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1984","(noch) kein Abschluss","kein Migrationshintergrund","197","0.876416945559968","0.833604502827464","0.919229388292472"
"nicht erwerbstätig","1984","(noch) kein Abschluss","direkter Migrationshintergrund","419","0.429579652651943","0.399494599922965","0.45966470538092"
"nicht erwerbstätig","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","11","","",""
"nicht erwerbstätig","1984","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1984","Hauptschule","kein Migrationshintergrund","2580","0.511473030794166","0.498200757111031","0.524745304477302"
"nicht erwerbstätig","1984","Hauptschule","direkter Migrationshintergrund","491","0.35338823093621","0.330843255540526","0.375933206331893"
"nicht erwerbstätig","1984","Hauptschule","indirekter Migrationshintergrund","28","","",""
"nicht erwerbstätig","1984","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1984","Realschule","kein Migrationshintergrund","633","0.401654018118188","0.378472666272453","0.424835369963923"
"nicht erwerbstätig","1984","Realschule","direkter Migrationshintergrund","62","0.468647498854994","0.385690084514983","0.551604913195004"
"nicht erwerbstätig","1984","Realschule","indirekter Migrationshintergrund","13","","",""
"nicht erwerbstätig","1984","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1984","(Fach-)Abitur","kein Migrationshintergrund","307","0.529628785056459","0.489320288282012","0.569937281830906"
"nicht erwerbstätig","1984","(Fach-)Abitur","direkter Migrationshintergrund","93","0.455248643650414","0.396066985451858","0.514430301848969"
"nicht erwerbstätig","1984","(Fach-)Abitur","indirekter Migrationshintergrund","5","","",""
"nicht erwerbstätig","1984","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1984","AkademikerIn","kein Migrationshintergrund","140","0.239324183715845","0.206919777021195","0.271728590410494"
"nicht erwerbstätig","1984","AkademikerIn","direkter Migrationshintergrund","30","0.315390042306677","0.232595635218121","0.398184449395233"
"nicht erwerbstätig","1984","AkademikerIn","indirekter Migrationshintergrund","","","",""
"nicht erwerbstätig","1984","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Andere","1984","(noch) kein Abschluss","kein Migrationshintergrund","6","","",""
"Andere","1984","(noch) kein Abschluss","direkter Migrationshintergrund","20","","",""
"Andere","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","1","","",""
"Andere","1984","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Andere","1984","Hauptschule","kein Migrationshintergrund","298","0.0507243461927587","0.0448980294988463","0.0565506628866711"
"Andere","1984","Hauptschule","direkter Migrationshintergrund","93","0.0434525042126393","0.0338372095693524","0.0530677988559262"
"Andere","1984","Hauptschule","indirekter Migrationshintergrund","17","","",""
"Andere","1984","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Andere","1984","Realschule","kein Migrationshintergrund","194","0.107890954189878","0.0932206878079732","0.122561220571782"
