"erwst","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"voll erwerbstätig","1984","(noch) kein Abschluss","Westdeutschland","597","0.277198702989253","0.25268671220404","0.301710693774465"
"voll erwerbstätig","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"voll erwerbstätig","1984","Hauptschule","Westdeutschland","3345","0.396278698343849","0.385018976683591","0.407538420004107"
"voll erwerbstätig","1984","Hauptschule","Ostdeutschland","","","",""
"voll erwerbstätig","1984","Realschule","Westdeutschland","826","0.425352125469592","0.403033490984879","0.447670759954306"
"voll erwerbstätig","1984","Realschule","Ostdeutschland","","","",""
"voll erwerbstätig","1984","(Fach-)Abitur","Westdeutschland","332","0.32150211970375","0.290431179415012","0.352573059992487"
"voll erwerbstätig","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"voll erwerbstätig","1984","AkademikerIn","Westdeutschland","534","0.646927708955504","0.613600861030927","0.680254556880082"
"voll erwerbstätig","1984","AkademikerIn","Ostdeutschland","","","",""
"Teilzeit","1984","(noch) kein Abschluss","Westdeutschland","30","0.0143962440006873","0.00787321513284373","0.0209192728685309"
"Teilzeit","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Teilzeit","1984","Hauptschule","Westdeutschland","397","0.0548303438791513","0.0495898235357073","0.0600708642225952"
"Teilzeit","1984","Hauptschule","Ostdeutschland","","","",""
"Teilzeit","1984","Realschule","Westdeutschland","134","0.063080509190677","0.0521058473892633","0.0740551709920906"
"Teilzeit","1984","Realschule","Ostdeutschland","","","",""
"Teilzeit","1984","(Fach-)Abitur","Westdeutschland","37","0.0386893337458203","0.0258596563991165","0.051519011092524"
"Teilzeit","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Teilzeit","1984","AkademikerIn","Westdeutschland","58","0.0743249651296918","0.0560342292723005","0.0926157009870831"
"Teilzeit","1984","AkademikerIn","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","(noch) kein Abschluss","Westdeutschland","627","0.682700090950037","0.657212811523297","0.708187370376776"
"nicht erwerbstätig","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","Hauptschule","Westdeutschland","3099","0.498557525425588","0.487047474684864","0.510067576166312"
"nicht erwerbstätig","1984","Hauptschule","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","Realschule","Westdeutschland","708","0.405847889033251","0.383680074377246","0.428015703689257"
"nicht erwerbstätig","1984","Realschule","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","(Fach-)Abitur","Westdeutschland","405","0.519978857094487","0.48674266546548","0.553215048723494"
"nicht erwerbstätig","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","AkademikerIn","Westdeutschland","170","0.244715475504937","0.214736239865625","0.27469471114425"
"nicht erwerbstätig","1984","AkademikerIn","Ostdeutschland","","","",""
"Andere","1984","(noch) kein Abschluss","Westdeutschland","27","","",""
"Andere","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Andere","1984","Hauptschule","Westdeutschland","408","0.0503334323514116","0.0453004791839038","0.0553663855189194"
"Andere","1984","Hauptschule","Ostdeutschland","","","",""
"Andere","1984","Realschule","Westdeutschland","217","0.105719476306479","0.0918389222570541","0.119600030355905"
"Andere","1984","Realschule","Ostdeutschland","","","",""
"Andere","1984","(Fach-)Abitur","Westdeutschland","94","0.119829689455943","0.0982247127260465","0.14143466618584"
"Andere","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Andere","1984","AkademikerIn","Westdeutschland","28","","",""
"Andere","1984","AkademikerIn","Ostdeutschland","","","",""
"voll erwerbstätig","1985","(noch) kein Abschluss","Westdeutschland","467","0.236866356345675","0.211591697113439","0.262141015577911"
"voll erwerbstätig","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"voll erwerbstätig","1985","Hauptschule","Westdeutschland","3022","0.398368238562126","0.386412423959268","0.410324053164984"
"voll erwerbstätig","1985","Hauptschule","Ostdeutschland","","","",""
"voll erwerbstätig","1985","Realschule","Westdeutschland","838","0.446243358859311","0.423373939771629","0.469112777946993"
"voll erwerbstätig","1985","Realschule","Ostdeutschland","","","",""
"voll erwerbstätig","1985","(Fach-)Abitur","Westdeutschland","311","0.354556737736171","0.321134722563019","0.387978752909322"
"voll erwerbstätig","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"voll erwerbstätig","1985","AkademikerIn","Westdeutschland","518","0.659714864269901","0.625918168735343","0.693511559804458"
"voll erwerbstätig","1985","AkademikerIn","Ostdeutschland","","","",""
"Teilzeit","1985","(noch) kein Abschluss","Westdeutschland","28","","",""
"Teilzeit","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"Teilzeit","1985","Hauptschule","Westdeutschland","457","0.0698053512476195","0.0635823094469469","0.0760283930482921"
"Teilzeit","1985","Hauptschule","Ostdeutschland","","","",""
"Teilzeit","1985","Realschule","Westdeutschland","159","0.0782764968873098","0.0659191340704419","0.0906338597041777"
"Teilzeit","1985","Realschule","Ostdeutschland","","","",""
"Teilzeit","1985","(Fach-)Abitur","Westdeutschland","53","0.0678602406834675","0.0502887365500557","0.0854317448168793"
"Teilzeit","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"Teilzeit","1985","AkademikerIn","Westdeutschland","50","0.0636142238158203","0.0462050109500785","0.0810234366815621"
"Teilzeit","1985","AkademikerIn","Ostdeutschland","","","",""
"nicht erwerbstätig","1985","(noch) kein Abschluss","Westdeutschland","572","0.717812204515971","0.691057026099678","0.744567382932264"
"nicht erwerbstätig","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"nicht erwerbstätig","1985","Hauptschule","Westdeutschland","2716","0.496635078523294","0.484424630176572","0.508845526870017"
"nicht erwerbstätig","1985","Hauptschule","Ostdeutschland","","","",""
"nicht erwerbstätig","1985","Realschule","Westdeutschland","673","0.405087134735539","0.382502624236232","0.427671645234846"
"nicht erwerbstätig","1985","Realschule","Ostdeutschland","","","",""
"nicht erwerbstätig","1985","(Fach-)Abitur","Westdeutschland","351","0.474188361054215","0.439302353749823","0.509074368358608"
"nicht erwerbstätig","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"nicht erwerbstätig","1985","AkademikerIn","Westdeutschland","164","0.247471422356146","0.216689294267898","0.278253550444393"
"nicht erwerbstätig","1985","AkademikerIn","Ostdeutschland","","","",""
"Andere","1985","(noch) kein Abschluss","Westdeutschland","20","","",""
"Andere","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"Andere","1985","Hauptschule","Westdeutschland","246","0.0351913316669601","0.0306913588493137","0.0396913044846065"
"Andere","1985","Hauptschule","Ostdeutschland","","","",""
"Andere","1985","Realschule","Westdeutschland","145","0.07039300951784","0.0586244249282497","0.0821615941074302"
"Andere","1985","Realschule","Ostdeutschland","","","",""
"Andere","1985","(Fach-)Abitur","Westdeutschland","72","0.103394660526146","0.0821225568455508","0.124666764206742"
"Andere","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"Andere","1985","AkademikerIn","Westdeutschland","23","","",""
"Andere","1985","AkademikerIn","Ostdeutschland","","","",""
"voll erwerbstätig","1986","(noch) kein Abschluss","Westdeutschland","432","0.274798467953972","0.247509441413394","0.30208749449455"
"voll erwerbstätig","1986","(noch) kein Abschluss","Ostdeutschland","","","",""
"voll erwerbstätig","1986","Hauptschule","Westdeutschland","2889","0.403944347784004","0.391620576836511","0.416268118731498"
"voll erwerbstätig","1986","Hauptschule","Ostdeutschland","","","",""
"voll erwerbstätig","1986","Realschule","Westdeutschland","811","0.440683441700763","0.417567667857263","0.463799215544263"
"voll erwerbstätig","1986","Realschule","Ostdeutschland","","","",""
"voll erwerbstätig","1986","(Fach-)Abitur","Westdeutschland","323","0.353114812217015","0.320160368742639","0.386069255691392"
"voll erwerbstätig","1986","(Fach-)Abitur","Ostdeutschland","","","",""
"voll erwerbstätig","1986","AkademikerIn","Westdeutschland","484","0.630758717958978","0.596197110112376","0.66532032580558"
"voll erwerbstätig","1986","AkademikerIn","Ostdeutschland","","","",""
