"erwst","year","migback","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"voll erwerbstätig","1995","kein Migrationshintergrund","1 Einkommensschwächstes Quintil","1084","0.262501126678865","0.247597168170686","0.277405085187044"
"voll erwerbstätig","1995","kein Migrationshintergrund","2","1340","0.397467681620879","0.379778183566784","0.415157179674975"
"voll erwerbstätig","1995","kein Migrationshintergrund","3","1037","0.508799769909705","0.485863679569656","0.531735860249754"
"voll erwerbstätig","1995","kein Migrationshintergrund","4","805","0.606818330821152","0.579718487802927","0.633918173839378"
"voll erwerbstätig","1995","kein Migrationshintergrund","5 Einkommensstärkstes Quintil","416","0.611062475249441","0.573174424393439","0.648950526105442"
"voll erwerbstätig","1995","direkter Migrationshintergrund","1 Einkommensschwächstes Quintil","478","0.273627761331379","0.25047233434738","0.296783188315378"
"voll erwerbstätig","1995","direkter Migrationshintergrund","2","398","0.421721363685146","0.386840751093802","0.456601976276489"
"voll erwerbstätig","1995","direkter Migrationshintergrund","3","208","0.584274772408904","0.530610240786235","0.637939304031574"
"voll erwerbstätig","1995","direkter Migrationshintergrund","4","138","0.679390439118492","0.611585653511411","0.747195224725573"
"voll erwerbstätig","1995","direkter Migrationshintergrund","5 Einkommensstärkstes Quintil","49","0.582772723848754","0.475388239437305","0.690157208260203"
"voll erwerbstätig","1995","indirekter Migrationshintergrund","1 Einkommensschwächstes Quintil","52","0.22061798533883","0.16760163751544","0.27363433316222"
"voll erwerbstätig","1995","indirekter Migrationshintergrund","2","65","0.338709355732212","0.263471556658951","0.413947154805472"
"voll erwerbstätig","1995","indirekter Migrationshintergrund","3","26","","",""
"voll erwerbstätig","1995","indirekter Migrationshintergrund","4","29","","",""
"voll erwerbstätig","1995","indirekter Migrationshintergrund","5 Einkommensstärkstes Quintil","7","","",""
"voll erwerbstätig","1995","Migrationshintergrund - n. w. differenzierbar","1 Einkommensschwächstes Quintil","","","",""
"voll erwerbstätig","1995","Migrationshintergrund - n. w. differenzierbar","2","","","",""
"voll erwerbstätig","1995","Migrationshintergrund - n. w. differenzierbar","3","","","",""
"voll erwerbstätig","1995","Migrationshintergrund - n. w. differenzierbar","4","","","",""
"voll erwerbstätig","1995","Migrationshintergrund - n. w. differenzierbar","5 Einkommensstärkstes Quintil","","","",""
"Teilzeit","1995","kein Migrationshintergrund","1 Einkommensschwächstes Quintil","229","0.0642287467675189","0.0559244102423409","0.0725330832926969"
"Teilzeit","1995","kein Migrationshintergrund","2","256","0.0786788620385891","0.0689467079056729","0.0884110161715053"
"Teilzeit","1995","kein Migrationshintergrund","3","138","0.0752457882685271","0.0631434046857672","0.0873481718512869"
"Teilzeit","1995","kein Migrationshintergrund","4","99","0.0829728343149868","0.0676690138633406","0.0982766547666331"
"Teilzeit","1995","kein Migrationshintergrund","5 Einkommensstärkstes Quintil","60","0.097161401946394","0.0741431956319827","0.120179608260805"
"Teilzeit","1995","direkter Migrationshintergrund","1 Einkommensschwächstes Quintil","78","0.0574048399396344","0.0453230868970792","0.0694865929821896"
"Teilzeit","1995","direkter Migrationshintergrund","2","59","0.0696898341983198","0.0517052116544533","0.0876744567421863"
"Teilzeit","1995","direkter Migrationshintergrund","3","24","","",""
"Teilzeit","1995","direkter Migrationshintergrund","4","6","","",""
"Teilzeit","1995","direkter Migrationshintergrund","5 Einkommensstärkstes Quintil","4","","",""
"Teilzeit","1995","indirekter Migrationshintergrund","1 Einkommensschwächstes Quintil","12","","",""
"Teilzeit","1995","indirekter Migrationshintergrund","2","4","","",""
"Teilzeit","1995","indirekter Migrationshintergrund","3","4","","",""
"Teilzeit","1995","indirekter Migrationshintergrund","4","2","","",""
"Teilzeit","1995","indirekter Migrationshintergrund","5 Einkommensstärkstes Quintil","1","","",""
"Teilzeit","1995","Migrationshintergrund - n. w. differenzierbar","1 Einkommensschwächstes Quintil","","","",""
"Teilzeit","1995","Migrationshintergrund - n. w. differenzierbar","2","","","",""
"Teilzeit","1995","Migrationshintergrund - n. w. differenzierbar","3","","","",""
"Teilzeit","1995","Migrationshintergrund - n. w. differenzierbar","4","","","",""
"Teilzeit","1995","Migrationshintergrund - n. w. differenzierbar","5 Einkommensstärkstes Quintil","","","",""
"nicht erwerbstätig","1995","kein Migrationshintergrund","1 Einkommensschwächstes Quintil","1780","0.602208707345133","0.58562977657764","0.618787638112625"
"nicht erwerbstätig","1995","kein Migrationshintergrund","2","1197","0.481933930587448","0.463872142091078","0.499995719083819"
"nicht erwerbstätig","1995","kein Migrationshintergrund","3","567","0.376601333655221","0.354371279644746","0.398831387665696"
"nicht erwerbstätig","1995","kein Migrationshintergrund","4","307","0.278995630690939","0.254112303646348","0.30387895773553"
"nicht erwerbstätig","1995","kein Migrationshintergrund","5 Einkommensstärkstes Quintil","143","0.266336688123451","0.231982203980322","0.300691172266579"
"nicht erwerbstätig","1995","direkter Migrationshintergrund","1 Einkommensschwächstes Quintil","802","0.610673909815504","0.585348613618238","0.635999206012769"
"nicht erwerbstätig","1995","direkter Migrationshintergrund","2","288","0.480525871543707","0.445236568799732","0.515815174287682"
"nicht erwerbstätig","1995","direkter Migrationshintergrund","3","83","0.305484755284214","0.255330100141301","0.355639410427127"
"nicht erwerbstätig","1995","direkter Migrationshintergrund","4","37","0.284629746287627","0.21907291122842","0.350186581346834"
"nicht erwerbstätig","1995","direkter Migrationshintergrund","5 Einkommensstärkstes Quintil","27","","",""
"nicht erwerbstätig","1995","indirekter Migrationshintergrund","1 Einkommensschwächstes Quintil","115","0.470326344313335","0.406512045861827","0.534140642764843"
"nicht erwerbstätig","1995","indirekter Migrationshintergrund","2","52","0.393942527840054","0.316264241550024","0.471620814130085"
"nicht erwerbstätig","1995","indirekter Migrationshintergrund","3","20","","",""
"nicht erwerbstätig","1995","indirekter Migrationshintergrund","4","11","","",""
"nicht erwerbstätig","1995","indirekter Migrationshintergrund","5 Einkommensstärkstes Quintil","1","","",""
"nicht erwerbstätig","1995","Migrationshintergrund - n. w. differenzierbar","1 Einkommensschwächstes Quintil","","","",""
"nicht erwerbstätig","1995","Migrationshintergrund - n. w. differenzierbar","2","","","",""
"nicht erwerbstätig","1995","Migrationshintergrund - n. w. differenzierbar","3","","","",""
"nicht erwerbstätig","1995","Migrationshintergrund - n. w. differenzierbar","4","","","",""
"nicht erwerbstätig","1995","Migrationshintergrund - n. w. differenzierbar","5 Einkommensstärkstes Quintil","","","",""
"Andere","1995","kein Migrationshintergrund","1 Einkommensschwächstes Quintil","255","0.0710614192084834","0.0623584829046351","0.0797643555123317"
