"erwst","year","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Andere","1995","1 Einkommensschwächstes Quintil","377","0.0730553256929058","0.0658473694298147","0.0802632819559968"
"Andere","1995","2","203","0.043053666751743","0.0366520330545252","0.0494553004489607"
"Andere","1995","3","103","0.0392712418823095","0.0311730200841689","0.04736946368045"
"Andere","1995","4","44","0.0291405316574697","0.0205654592728959","0.0377156040420435"
"Andere","1995","5 Einkommensstärkstes Quintil","18","","",""
"nicht erwerbstätig","1995","1 Einkommensschwächstes Quintil","2697","0.600476830244634","0.586909999468698","0.614043661020569"
"nicht erwerbstätig","1995","2","1537","0.480199863858959","0.464442949772779","0.495956777945139"
"nicht erwerbstätig","1995","3","670","0.369105714594671","0.348986749574853","0.38922467961449"
"nicht erwerbstätig","1995","4","355","0.282122363038221","0.259179118042744","0.305065608033697"
"nicht erwerbstätig","1995","5 Einkommensstärkstes Quintil","171","0.274004020064723","0.241560695152181","0.306447344977264"
"Teilzeit","1995","1 Einkommensschwächstes Quintil","319","0.0628817211200633","0.0561578603819478","0.0696055818581788"
"Teilzeit","1995","2","319","0.0772176166892555","0.0687988242904941","0.0856364090880169"
"Teilzeit","1995","3","166","0.0761705975134658","0.0651109438903417","0.0872302511365899"
"Teilzeit","1995","4","107","0.0784182868257222","0.064713052246091","0.0921235214053534"
"Teilzeit","1995","5 Einkommensstärkstes Quintil","65","0.0899809552124213","0.0691657680183694","0.110796142406473"
"voll erwerbstätig","1995","1 Einkommensschwächstes Quintil","1614","0.263586122942397","0.251382703227928","0.275789542656866"
"voll erwerbstätig","1995","2","1803","0.399528852700043","0.384081214027355","0.414976491372731"
"voll erwerbstätig","1995","3","1271","0.515452446009553","0.494616440701755","0.536288451317352"
"voll erwerbstätig","1995","4","972","0.610318818478587","0.58545636570227","0.635181271254905"
"voll erwerbstätig","1995","5 Einkommensstärkstes Quintil","472","0.609038836649737","0.573543681122533","0.64453399217694"
"Andere","1996","1 Einkommensschwächstes Quintil","337","0.0668238382364811","0.0595253288008096","0.0741223476721527"
"Andere","1996","2","200","0.044279062624078","0.0377894436601107","0.0507686815880453"
"Andere","1996","3","98","0.0428335328177546","0.0345746403790854","0.0510924252564238"
"Andere","1996","4","45","0.0262809061665223","0.0183119832889409","0.0342498290441037"
"Andere","1996","5 Einkommensstärkstes Quintil","25","","",""
"nicht erwerbstätig","1996","1 Einkommensschwächstes Quintil","2465","0.608150400688635","0.593882770326456","0.622418031050814"
"nicht erwerbstätig","1996","2","1628","0.493157665323321","0.477385774068363","0.50892955657828"
"nicht erwerbstätig","1996","3","684","0.354609759147142","0.335096821204775","0.374122697089509"
"nicht erwerbstätig","1996","4","401","0.309759111891502","0.286724812932436","0.332793410850567"
"nicht erwerbstätig","1996","5 Einkommensstärkstes Quintil","215","0.297105193182164","0.266072041857173","0.328138344507156"
"Teilzeit","1996","1 Einkommensschwächstes Quintil","311","0.0742530378773641","0.0665901952193346","0.0819158805353937"
"Teilzeit","1996","2","330","0.0773089478333718","0.0688834130759049","0.0857344825908388"
"Teilzeit","1996","3","227","0.101460928146607","0.0891453721480966","0.113776484145118"
