"erwst","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"voll erwerbstätig","1984","Schleswig-Holstein","maennlich","125","0.641256844085381","0.572877487847108","0.709636200323654"
"voll erwerbstätig","1984","Schleswig-Holstein","weiblich","44","0.212721673650278","0.155575784246442","0.269867563054113"
"voll erwerbstätig","1984","Hamburg","maennlich","93","0.518694393594061","0.438735146024096","0.598653641164027"
"voll erwerbstätig","1984","Hamburg","weiblich","50","0.259301126165189","0.191181450343654","0.327420801986723"
"voll erwerbstätig","1984","Niedersachsen","maennlich","390","0.618607900237207","0.579774588204713","0.657441212269701"
"voll erwerbstätig","1984","Niedersachsen","weiblich","118","0.162868598904156","0.134103774145252","0.191633423663061"
"voll erwerbstätig","1984","Bremen","maennlich","","","",""
"voll erwerbstätig","1984","Bremen","weiblich","","","",""
"voll erwerbstätig","1984","Nordrhein-Westfalen","maennlich","1103","0.642946549996916","0.619491552989979","0.666401547003852"
"voll erwerbstätig","1984","Nordrhein-Westfalen","weiblich","381","0.195839662355235","0.176697270383591","0.214982054326878"
"voll erwerbstätig","1984","Hessen","maennlich","430","0.61441034423243","0.576281567596811","0.65253912086805"
"voll erwerbstätig","1984","Hessen","weiblich","162","0.203524534928459","0.171858267327299","0.23519080252962"
"voll erwerbstätig","1984","Rheinland-Pfalz,Saarland","maennlich","267","0.598014264584052","0.550898904069663","0.64512962509844"
"voll erwerbstätig","1984","Rheinland-Pfalz,Saarland","weiblich","99","0.190678201641679","0.153762204377996","0.227594198905361"
"voll erwerbstätig","1984","Baden-Wuerttemberg","maennlich","831","0.678960618621445","0.651581280077192","0.706339957165697"
"voll erwerbstätig","1984","Baden-Wuerttemberg","weiblich","337","0.241212150661311","0.216323008139393","0.26610129318323"
"voll erwerbstätig","1984","Bayern","maennlich","681","0.651714344017942","0.622051847656653","0.681376840379232"
"voll erwerbstätig","1984","Bayern","weiblich","310","0.233770196447956","0.208759496872827","0.258780896023084"
"voll erwerbstätig","1984","Berlin","maennlich","137","0.666253710015742","0.600405644395929","0.732101775635556"
"voll erwerbstätig","1984","Berlin","weiblich","78","0.299447557805081","0.237647685629844","0.361247429980319"
"voll erwerbstätig","1984","Brandenburg","maennlich","","","",""
"voll erwerbstätig","1984","Brandenburg","weiblich","","","",""
"voll erwerbstätig","1984","Mecklenburg-Vorpommern","maennlich","","","",""
"voll erwerbstätig","1984","Mecklenburg-Vorpommern","weiblich","","","",""
"voll erwerbstätig","1984","Sachsen","maennlich","","","",""
"voll erwerbstätig","1984","Sachsen","weiblich","","","",""
"voll erwerbstätig","1984","Sachsen-Anhalt","maennlich","","","",""
"voll erwerbstätig","1984","Sachsen-Anhalt","weiblich","","","",""
"voll erwerbstätig","1984","Thueringen","maennlich","","","",""
"voll erwerbstätig","1984","Thueringen","weiblich","","","",""
"Teilzeit","1984","Schleswig-Holstein","maennlich","","","",""
"Teilzeit","1984","Schleswig-Holstein","weiblich","31","0.139773386143565","0.0913523968236573","0.188194375463473"
"Teilzeit","1984","Hamburg","maennlich","","","",""
"Teilzeit","1984","Hamburg","weiblich","","","",""
"Teilzeit","1984","Niedersachsen","maennlich","","","",""
"Teilzeit","1984","Niedersachsen","weiblich","67","0.100486309141525","0.0770654095414156","0.123907208741634"
"Teilzeit","1984","Bremen","maennlich","","","",""
"Teilzeit","1984","Bremen","weiblich","","","",""
"Teilzeit","1984","Nordrhein-Westfalen","maennlich","","","",""
"Teilzeit","1984","Nordrhein-Westfalen","weiblich","135","0.0845747676019014","0.0711531024276668","0.097996432776136"
"Teilzeit","1984","Hessen","maennlich","","","",""
"Teilzeit","1984","Hessen","weiblich","69","0.121040995127905","0.0953871278467102","0.146694862409099"
"Teilzeit","1984","Rheinland-Pfalz,Saarland","maennlich","","","",""
"Teilzeit","1984","Rheinland-Pfalz,Saarland","weiblich","","","",""
"Teilzeit","1984","Baden-Wuerttemberg","maennlich","","","",""
"Teilzeit","1984","Baden-Wuerttemberg","weiblich","130","0.114111891826161","0.0956147320078494","0.132609051644473"
"Teilzeit","1984","Bayern","maennlich","","","",""
"Teilzeit","1984","Bayern","weiblich","113","0.0952108048482126","0.0778660338809853","0.11255557581544"
"Teilzeit","1984","Berlin","maennlich","","","",""
"Teilzeit","1984","Berlin","weiblich","","","",""
"Teilzeit","1984","Brandenburg","maennlich","","","",""
"Teilzeit","1984","Brandenburg","weiblich","","","",""
"Teilzeit","1984","Mecklenburg-Vorpommern","maennlich","","","",""
"Teilzeit","1984","Mecklenburg-Vorpommern","weiblich","","","",""
"Teilzeit","1984","Sachsen","maennlich","","","",""
"Teilzeit","1984","Sachsen","weiblich","","","",""
"Teilzeit","1984","Sachsen-Anhalt","maennlich","","","",""
"Teilzeit","1984","Sachsen-Anhalt","weiblich","","","",""
"Teilzeit","1984","Thueringen","maennlich","","","",""
"Teilzeit","1984","Thueringen","weiblich","","","",""
"nicht erwerbstätig","1984","Schleswig-Holstein","maennlich","53","0.296438889631091","0.231330689360682","0.3615470899015"
"nicht erwerbstätig","1984","Schleswig-Holstein","weiblich","107","0.574891374725988","0.505858202169336","0.643924547282639"
"nicht erwerbstätig","1984","Hamburg","maennlich","48","0.429337636729008","0.350125531179602","0.508549742278414"
"nicht erwerbstätig","1984","Hamburg","weiblich","84","0.612019117919579","0.536277045100012","0.687761190739146"
"nicht erwerbstätig","1984","Niedersachsen","maennlich","174","0.320347626281368","0.283042799377612","0.357652453185123"
"nicht erwerbstätig","1984","Niedersachsen","weiblich","389","0.649633098271653","0.612467438725222","0.686798757818084"
"nicht erwerbstätig","1984","Bremen","maennlich","30","0.554549549468196","0.431820408068038","0.677278690868355"
"nicht erwerbstätig","1984","Bremen","weiblich","48","0.799459275823894","0.704982947224431","0.893935604423357"
"nicht erwerbstätig","1984","Nordrhein-Westfalen","maennlich","405","0.298184993964503","0.2757907942591","0.320579193669905"
"nicht erwerbstätig","1984","Nordrhein-Westfalen","weiblich","1028","0.657105986353281","0.634209321998393","0.680002650708169"
"nicht erwerbstätig","1984","Hessen","maennlich","156","0.319125767427498","0.282610430696253","0.355641104158744"
"nicht erwerbstätig","1984","Hessen","weiblich","342","0.597911473673195","0.559347518004128","0.636475429342263"
"nicht erwerbstätig","1984","Rheinland-Pfalz,Saarland","maennlich","129","0.361106790559109","0.314950235273757","0.40726334584446"
"nicht erwerbstätig","1984","Rheinland-Pfalz,Saarland","weiblich","269","0.653710013540888","0.608998847309093","0.698421179772683"
"nicht erwerbstätig","1984","Baden-Wuerttemberg","maennlich","220","0.265970067002073","0.240058434772534","0.291881699231613"
"nicht erwerbstätig","1984","Baden-Wuerttemberg","weiblich","596","0.57495455061746","0.546194833927144","0.603714267307777"
"nicht erwerbstätig","1984","Bayern","maennlich","241","0.27880571217816","0.250887459306871","0.306723965049448"
"nicht erwerbstätig","1984","Bayern","weiblich","585","0.589624333092977","0.560555322630266","0.618693343555687"
"nicht erwerbstätig","1984","Berlin","maennlich","47","0.271201809124659","0.209119921688382","0.333283696560935"
"nicht erwerbstätig","1984","Berlin","weiblich","97","0.553781344042992","0.486708011357562","0.620854676728422"
"nicht erwerbstätig","1984","Brandenburg","maennlich","","","",""
"nicht erwerbstätig","1984","Brandenburg","weiblich","","","",""
"nicht erwerbstätig","1984","Mecklenburg-Vorpommern","maennlich","","","",""
"nicht erwerbstätig","1984","Mecklenburg-Vorpommern","weiblich","","","",""
"nicht erwerbstätig","1984","Sachsen","maennlich","","","",""
"nicht erwerbstätig","1984","Sachsen","weiblich","","","",""
"nicht erwerbstätig","1984","Sachsen-Anhalt","maennlich","","","",""
"nicht erwerbstätig","1984","Sachsen-Anhalt","weiblich","","","",""
