"erwst","year","quintil_oecd","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Andere","1995","1 Einkommensschwächstes Quintil","männlich","174","0.0770772646706032","0.0661960843341086","0.0879584450070978"
"Andere","1995","1 Einkommensschwächstes Quintil","weiblich","203","0.0697610150215683","0.0601504192185833","0.0793716108245534"
"Andere","1995","2","männlich","76","0.0363588517410383","0.0278108219728166","0.0449068815092599"
"Andere","1995","2","weiblich","127","0.0490370435968236","0.0396199617343891","0.0584541254592581"
"Andere","1995","3","männlich","42","0.0292254538738614","0.0193031139065631","0.0391477938411596"
"Andere","1995","3","weiblich","61","0.0492598556352574","0.0364884758966913","0.0620312353738234"
"Andere","1995","4","männlich","16","","",""
"Andere","1995","4","weiblich","28","","",""
"Andere","1995","5 Einkommensstärkstes Quintil","männlich","8","","",""
"Andere","1995","5 Einkommensstärkstes Quintil","weiblich","10","","",""
"nicht erwerbstätig","1995","1 Einkommensschwächstes Quintil","männlich","923","0.468001210780081","0.447644434722462","0.488357986837701"
"nicht erwerbstätig","1995","1 Einkommensschwächstes Quintil","weiblich","1774","0.708985648830431","0.691849131119702","0.726122166541159"
"nicht erwerbstätig","1995","2","männlich","563","0.369389498159606","0.347348759268349","0.391430237050864"
"nicht erwerbstätig","1995","2","weiblich","974","0.579234740141617","0.55770594899593","0.600763531287304"
"nicht erwerbstätig","1995","3","männlich","251","0.279289767038634","0.252860681492843","0.305718852584425"
"nicht erwerbstätig","1995","3","weiblich","419","0.458410486727811","0.42900538202436","0.487815591431262"
"nicht erwerbstätig","1995","4","männlich","135","0.201999694617105","0.173751277617318","0.230248111616892"
"nicht erwerbstätig","1995","4","weiblich","220","0.372546284557076","0.336781097496484","0.408311471617667"
"nicht erwerbstätig","1995","5 Einkommensstärkstes Quintil","männlich","59","0.184231997555152","0.145098985226068","0.223365009884236"
"nicht erwerbstätig","1995","5 Einkommensstärkstes Quintil","weiblich","112","0.374332473029623","0.323559109244949","0.425105836814297"
"Teilzeit","1995","1 Einkommensschwächstes Quintil","männlich","32","0.0205730750598108","0.0147819117320218","0.0263642383875997"
"Teilzeit","1995","1 Einkommensschwächstes Quintil","weiblich","287","0.0975361067233783","0.0863431641790217","0.108729049267735"
"Teilzeit","1995","2","männlich","26","","",""
"Teilzeit","1995","2","weiblich","293","0.130378549052395","0.115694676714918","0.145062421389873"
"Teilzeit","1995","3","männlich","9","","",""
"Teilzeit","1995","3","weiblich","157","0.135780393464696","0.115564593868244","0.155996193061148"
"Teilzeit","1995","4","männlich","3","","",""
"Teilzeit","1995","4","weiblich","104","0.159923853231992","0.132809735073939","0.187037971390045"
"Teilzeit","1995","5 Einkommensstärkstes Quintil","männlich","4","","",""
"Teilzeit","1995","5 Einkommensstärkstes Quintil","weiblich","61","0.178965645451529","0.138749459721517","0.21918183118154"
"voll erwerbstätig","1995","1 Einkommensschwächstes Quintil","männlich","1179","0.434348449489505","0.414126462925335","0.454570436053675"
"voll erwerbstätig","1995","1 Einkommensschwächstes Quintil","weiblich","435","0.123717229424623","0.111295448147136","0.136139010702109"
"voll erwerbstätig","1995","2","männlich","1177","0.576515930870798","0.553951339500944","0.599080522240653"
"voll erwerbstätig","1995","2","weiblich","626","0.241349667209164","0.222689454723637","0.260009879694691"
"voll erwerbstätig","1995","3","männlich","805","0.67526518059792","0.647679996434926","0.702850364760914"
