"erwst","year","age_gr","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"voll erwerbstätig","1984","17-29","kein Migrationshintergrund","1012","0.430743157672819","0.41070974811802","0.450776567227619"
"voll erwerbstätig","1984","17-29","direkter Migrationshintergrund","449","0.454261940960131","0.423355726850273","0.485168155069989"
"voll erwerbstätig","1984","17-29","indirekter Migrationshintergrund","23","","",""
"voll erwerbstätig","1984","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"voll erwerbstätig","1984","30-45","kein Migrationshintergrund","1447","0.595099623343021","0.575846209409581","0.614353037276462"
"voll erwerbstätig","1984","30-45","direkter Migrationshintergrund","929","0.609236274386432","0.583576846686449","0.634895702086415"
"voll erwerbstätig","1984","30-45","indirekter Migrationshintergrund","7","","",""
"voll erwerbstätig","1984","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"voll erwerbstätig","1984","46-65","kein Migrationshintergrund","1198","0.449537414770575","0.430401793296348","0.468673036244802"
"voll erwerbstätig","1984","46-65","direkter Migrationshintergrund","590","0.520171859721998","0.488369436962755","0.551974282481241"
"voll erwerbstätig","1984","46-65","indirekter Migrationshintergrund","4","","",""
"voll erwerbstätig","1984","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"voll erwerbstätig","1984","66","kein Migrationshintergrund","","","",""
"voll erwerbstätig","1984","66","direkter Migrationshintergrund","","","",""
"voll erwerbstätig","1984","66","indirekter Migrationshintergrund","","","",""
"voll erwerbstätig","1984","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1984","17-29","kein Migrationshintergrund","70","0.0273975766972124","0.0207934515336346","0.0340017018607903"
"Teilzeit","1984","17-29","direkter Migrationshintergrund","23","","",""
"Teilzeit","1984","17-29","indirekter Migrationshintergrund","","","",""
"Teilzeit","1984","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1984","30-45","kein Migrationshintergrund","277","0.105149763608234","0.0931183086718173","0.11718121854465"
"Teilzeit","1984","30-45","direkter Migrationshintergrund","64","0.0749363322672344","0.0610901833980674","0.0887824811364014"
"Teilzeit","1984","30-45","indirekter Migrationshintergrund","5","","",""
"Teilzeit","1984","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1984","46-65","kein Migrationshintergrund","170","0.0635472319034127","0.0541632533918939","0.0729312104149316"
"Teilzeit","1984","46-65","direkter Migrationshintergrund","39","0.0678839436537465","0.0518713217501337","0.0838965655573592"
"Teilzeit","1984","46-65","indirekter Migrationshintergrund","1","","",""
"Teilzeit","1984","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Teilzeit","1984","66","kein Migrationshintergrund","","","",""
"Teilzeit","1984","66","direkter Migrationshintergrund","","","",""
"Teilzeit","1984","66","indirekter Migrationshintergrund","","","",""
"Teilzeit","1984","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1984","17-29","kein Migrationshintergrund","890","0.379616896902075","0.359983552088981","0.399250241715168"
"nicht erwerbstätig","1984","17-29","direkter Migrationshintergrund","415","0.429522276341447","0.39879580393135","0.460248748751543"
"nicht erwerbstätig","1984","17-29","indirekter Migrationshintergrund","43","0.457903224442212","0.355537949377609","0.560268499506816"
"nicht erwerbstätig","1984","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1984","30-45","kein Migrationshintergrund","643","0.248970501836611","0.232009899770484","0.265931103902737"
"nicht erwerbstätig","1984","30-45","direkter Migrationshintergrund","368","0.285670604887178","0.26191429365577","0.309426916118586"
"nicht erwerbstätig","1984","30-45","indirekter Migrationshintergrund","6","","",""
"nicht erwerbstätig","1984","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1984","46-65","kein Migrationshintergrund","1153","0.45803054618591","0.438864595210512","0.477196497161308"
"nicht erwerbstätig","1984","46-65","direkter Migrationshintergrund","306","0.396289877508427","0.365153746863508","0.427426008153346"
"nicht erwerbstätig","1984","46-65","indirekter Migrationshintergrund","7","","",""
"nicht erwerbstätig","1984","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht erwerbstätig","1984","66","kein Migrationshintergrund","","","",""
"nicht erwerbstätig","1984","66","direkter Migrationshintergrund","","","",""
"nicht erwerbstätig","1984","66","indirekter Migrationshintergrund","","","",""
"nicht erwerbstätig","1984","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"Andere","1984","17-29","kein Migrationshintergrund","375","0.162242368727893","0.147327038206635","0.177157699249152"
"Andere","1984","17-29","direkter Migrationshintergrund","110","0.0943485275588451","0.076203876359587","0.112493178758103"
"Andere","1984","17-29","indirekter Migrationshintergrund","25","","",""
"Andere","1984","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"Andere","1984","30-45","kein Migrationshintergrund","130","0.0507801112121345","0.0421688044920024","0.0593914179322667"
"Andere","1984","30-45","direkter Migrationshintergrund","28","","",""
"Andere","1984","30-45","indirekter Migrationshintergrund","2","","",""
"Andere","1984","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"Andere","1984","46-65","kein Migrationshintergrund","75","0.0288848071401028","0.0224421375788863","0.0353274767013193"
"Andere","1984","46-65","direkter Migrationshintergrund","13","","",""
"Andere","1984","46-65","indirekter Migrationshintergrund","","","",""
"Andere","1984","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Andere","1984","66","kein Migrationshintergrund","","","",""
"Andere","1984","66","direkter Migrationshintergrund","","","",""
"Andere","1984","66","indirekter Migrationshintergrund","","","",""
"Andere","1984","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"voll erwerbstätig","1985","17-29","kein Migrationshintergrund","1019","0.466650382294747","0.445827271919223","0.487473492670272"
"voll erwerbstätig","1985","17-29","direkter Migrationshintergrund","393","0.485909966824269","0.451804922959116","0.520015010689421"
"voll erwerbstätig","1985","17-29","indirekter Migrationshintergrund","32","0.454969402610015","0.361911494490685","0.548027310729345"
"voll erwerbstätig","1985","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
