"erwst","year","migback","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"voll erwerbstätig","1985","kein Migrationshintergrund","Staedtischer Raum","2631","","",""
"voll erwerbstätig","1985","kein Migrationshintergrund","Laendlicher Raum","844","0.389898896082727","0.368534384802878","0.411263407362577"
"voll erwerbstätig","1985","direkter Migrationshintergrund","Staedtischer Raum","1488","","",""
"voll erwerbstätig","1985","direkter Migrationshintergrund","Laendlicher Raum","214","","",""
"voll erwerbstätig","1985","indirekter Migrationshintergrund","Staedtischer Raum","32","0.336118613785195","0.252637725174552","0.419599502395839"
"voll erwerbstätig","1985","indirekter Migrationshintergrund","Laendlicher Raum","8","0.443987296850961","0.214457291036415","0.673517302665507"
"voll erwerbstätig","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"voll erwerbstätig","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Teilzeit","1985","kein Migrationshintergrund","Staedtischer Raum","469","0.0702023664268896","0.0637253267523538","0.0766794061014254"
"Teilzeit","1985","kein Migrationshintergrund","Laendlicher Raum","149","","",""
"Teilzeit","1985","direkter Migrationshintergrund","Staedtischer Raum","115","","",""
"Teilzeit","1985","direkter Migrationshintergrund","Laendlicher Raum","14","","",""
"Teilzeit","1985","indirekter Migrationshintergrund","Staedtischer Raum","7","0.0887931477834201","0.0385248996771549","0.139061395889685"
"Teilzeit","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Teilzeit","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Teilzeit","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"nicht erwerbstätig","1985","kein Migrationshintergrund","Staedtischer Raum","2580","","",""
"nicht erwerbstätig","1985","kein Migrationshintergrund","Laendlicher Raum","903","0.492544092878168","0.470644412921641","0.514443772834695"
"nicht erwerbstätig","1985","direkter Migrationshintergrund","Staedtischer Raum","865","0.389770635645379","0.370856401792003","0.408684869498755"
"nicht erwerbstätig","1985","direkter Migrationshintergrund","Laendlicher Raum","116","","",""
"nicht erwerbstätig","1985","indirekter Migrationshintergrund","Staedtischer Raum","66","0.448882567171684","0.360983558037115","0.536781576306254"
"nicht erwerbstätig","1985","indirekter Migrationshintergrund","Laendlicher Raum","9","0.538929320792757","0.308646523032692","0.769212118552822"
"nicht erwerbstätig","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"nicht erwerbstätig","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Andere","1985","kein Migrationshintergrund","Staedtischer Raum","297","","",""
"Andere","1985","kein Migrationshintergrund","Laendlicher Raum","106","","",""
"Andere","1985","direkter Migrationshintergrund","Staedtischer Raum","86","0.0381512451383851","0.0307219878946424","0.0455805023821277"
"Andere","1985","direkter Migrationshintergrund","Laendlicher Raum","8","0.0152762502913168","0.00246350041431242","0.0280890001683213"
"Andere","1985","indirekter Migrationshintergrund","Staedtischer Raum","18","","",""
"Andere","1985","indirekter Migrationshintergrund","Laendlicher Raum","1","","",""
"Andere","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Andere","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"voll erwerbstätig","1986","kein Migrationshintergrund","Staedtischer Raum","2529","","",""
"voll erwerbstätig","1986","kein Migrationshintergrund","Laendlicher Raum","802","0.398536914901028","0.376387884420679","0.420685945381378"
"voll erwerbstätig","1986","direkter Migrationshintergrund","Staedtischer Raum","1406","","",""
"voll erwerbstätig","1986","direkter Migrationshintergrund","Laendlicher Raum","210","","",""
"voll erwerbstätig","1986","indirekter Migrationshintergrund","Staedtischer Raum","43","0.358463124614412","0.27726822538145","0.439658023847373"
"voll erwerbstätig","1986","indirekter Migrationshintergrund","Laendlicher Raum","7","0.394314528579472","0.180134949425001","0.608494107733943"
"voll erwerbstätig","1986","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"voll erwerbstätig","1986","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Teilzeit","1986","kein Migrationshintergrund","Staedtischer Raum","393","0.0614999953822846","0.0552778639504556","0.0677221268141135"
"Teilzeit","1986","kein Migrationshintergrund","Laendlicher Raum","118","","",""
"Teilzeit","1986","direkter Migrationshintergrund","Staedtischer Raum","104","","",""
"Teilzeit","1986","direkter Migrationshintergrund","Laendlicher Raum","14","","",""
"Teilzeit","1986","indirekter Migrationshintergrund","Staedtischer Raum","9","0.144924274245916","0.0853212154908079","0.204527333001023"
"Teilzeit","1986","indirekter Migrationshintergrund","Laendlicher Raum","3","","",""
"Teilzeit","1986","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Teilzeit","1986","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"nicht erwerbstätig","1986","kein Migrationshintergrund","Staedtischer Raum","2465","","",""
"nicht erwerbstätig","1986","kein Migrationshintergrund","Laendlicher Raum","818","0.478422892928105","0.455824310796665","0.501021475059546"
"nicht erwerbstätig","1986","direkter Migrationshintergrund","Staedtischer Raum","846","0.402451905936451","0.383081108765313","0.42182270310759"
"nicht erwerbstätig","1986","direkter Migrationshintergrund","Laendlicher Raum","123","","",""
"nicht erwerbstätig","1986","indirekter Migrationshintergrund","Staedtischer Raum","58","0.417772702180207","0.334267793925962","0.501277610434452"
"nicht erwerbstätig","1986","indirekter Migrationshintergrund","Laendlicher Raum","5","0.249186978949089","0.0596204475913958","0.438753510306783"
"nicht erwerbstätig","1986","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"nicht erwerbstätig","1986","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Andere","1986","kein Migrationshintergrund","Staedtischer Raum","340","0.0548126479992941","0.0489176475587482","0.0607076484398399"
