"erwst","year","alter_gr","migback","n","percent","lower_confidence","upper_confidence"
"Vollzeit","1984","16-34 J.","kein Migrationshintergrund","1442","0.470535670670257","0.452985065596642","0.488086275743873"
"Vollzeit","1984","16-34 J.","direkter Migrationshintergrund","699","0.492762875451218","0.466442566531273","0.519083184371164"
"Vollzeit","1984","16-34 J.","indirekter Migrationshintergrund","","","",""
"Vollzeit","1984","35-65 J.","kein Migrationshintergrund","2215","0.502395421010518","0.487508024113625","0.51728281790741"
"Vollzeit","1984","35-65 J.","direkter Migrationshintergrund","1269","0.566893341763765","0.54488933737112","0.58889734615641"
"Vollzeit","1984","35-65 J.","indirekter Migrationshintergrund","","","",""
"Vollzeit","1984","66 und älter","kein Migrationshintergrund","","","",""
"Vollzeit","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Vollzeit","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Teilzeit","1984","16-34 J.","kein Migrationshintergrund","147","0.0432358749455672","0.036084294442764","0.0503874554483704"
"Teilzeit","1984","16-34 J.","direkter Migrationshintergrund","40","0.0348243975957608","0.0251725279062129","0.0444762672853088"
"Teilzeit","1984","16-34 J.","indirekter Migrationshintergrund","","","",""
"Teilzeit","1984","35-65 J.","kein Migrationshintergrund","370","0.0806264089893555","0.0725198150931458","0.0887330028855651"
"Teilzeit","1984","35-65 J.","direkter Migrationshintergrund","86","0.0735116266869401","0.0619224757780464","0.0851007775958338"
"Teilzeit","1984","35-65 J.","indirekter Migrationshintergrund","","","",""
"Teilzeit","1984","66 und älter","kein Migrationshintergrund","","","",""
"Teilzeit","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Teilzeit","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Nicht erwerbstätig","1984","16-34 J.","kein Migrationshintergrund","1094","0.348141448084594","0.331390784600407","0.364892111568781"
"Nicht erwerbstätig","1984","16-34 J.","direkter Migrationshintergrund","526","0.396568860702747","0.370815160279413","0.42232256112608"
"Nicht erwerbstätig","1984","16-34 J.","indirekter Migrationshintergrund","49","0.454192360286909","0.357567757250179","0.550816963323638"
"Nicht erwerbstätig","1984","35-65 J.","kein Migrationshintergrund","1592","0.381918081639941","0.367451634782794","0.396384528497089"
"Nicht erwerbstätig","1984","35-65 J.","direkter Migrationshintergrund","563","0.338605198819166","0.317590130118915","0.359620267519418"
"Nicht erwerbstätig","1984","35-65 J.","indirekter Migrationshintergrund","","","",""
"Nicht erwerbstätig","1984","66 und älter","kein Migrationshintergrund","1181","0.964650332441204","0.954326290131855","0.974974374750554"
"Nicht erwerbstätig","1984","66 und älter","direkter Migrationshintergrund","34","0.998931268296222","0.988106559571193","1.00975597702125"
"Nicht erwerbstätig","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Sonstiges","1984","16-34 J.","kein Migrationshintergrund","424","0.138087006299582","0.125956314036015","0.150217698563148"
"Sonstiges","1984","16-34 J.","direkter Migrationshintergrund","121","0.0758438662502743","0.0619059008243628","0.0897818316761858"
"Sonstiges","1984","16-34 J.","indirekter Migrationshintergrund","","","",""
"Sonstiges","1984","35-65 J.","kein Migrationshintergrund","156","0.0350600883601855","0.0295834963985995","0.0405366803217715"
"Sonstiges","1984","35-65 J.","direkter Migrationshintergrund","30","0.0209898327301287","0.0146240515691756","0.0273556138910818"
"Sonstiges","1984","35-65 J.","indirekter Migrationshintergrund","","","",""
"Sonstiges","1984","66 und älter","kein Migrationshintergrund","","","",""
"Sonstiges","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Sonstiges","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Vollzeit","1985","16-34 J.","kein Migrationshintergrund","1440","0.507491966472646","0.489302471869649","0.525681461075642"
"Vollzeit","1985","16-34 J.","direkter Migrationshintergrund","601","0.530336968022356","0.501441820131091","0.559232115913621"
"Vollzeit","1985","16-34 J.","indirekter Migrationshintergrund","34","0.424087583049407","0.335664945042447","0.512510221056367"
"Vollzeit","1985","35-65 J.","kein Migrationshintergrund","2018","0.494300741629129","0.478826203547462","0.509775279710796"
"Vollzeit","1985","35-65 J.","direkter Migrationshintergrund","1101","0.541727434120796","0.518200908437601","0.56525395980399"
"Vollzeit","1985","35-65 J.","indirekter Migrationshintergrund","","","",""
"Vollzeit","1985","66 und älter","kein Migrationshintergrund","","","",""
"Vollzeit","1985","66 und älter","direkter Migrationshintergrund","","","",""
"Vollzeit","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"Teilzeit","1985","16-34 J.","kein Migrationshintergrund","172","0.0551086901175334","0.0468063531036289","0.0634110271314378"
"Teilzeit","1985","16-34 J.","direkter Migrationshintergrund","41","0.039813950660849","0.0284938284612275","0.0511340728604705"
"Teilzeit","1985","16-34 J.","indirekter Migrationshintergrund","","","",""
"Teilzeit","1985","35-65 J.","kein Migrationshintergrund","431","0.102133873994785","0.0927611333246184","0.111506614664951"
"Teilzeit","1985","35-65 J.","direkter Migrationshintergrund","87","0.0741856115825013","0.0618111230943581","0.0865601000706445"
"Teilzeit","1985","35-65 J.","indirekter Migrationshintergrund","","","",""
"Teilzeit","1985","66 und älter","kein Migrationshintergrund","","","",""
"Teilzeit","1985","66 und älter","direkter Migrationshintergrund","","","",""
"Teilzeit","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"Nicht erwerbstätig","1985","16-34 J.","kein Migrationshintergrund","1002","0.336222208968786","0.319034264405083","0.353410153532489"
"Nicht erwerbstätig","1985","16-34 J.","direkter Migrationshintergrund","423","0.350556523030373","0.322931319390989","0.378181726669757"
"Nicht erwerbstätig","1985","16-34 J.","indirekter Migrationshintergrund","64","0.401505999986487","0.313799175290693","0.489212824682282"
"Nicht erwerbstätig","1985","35-65 J.","kein Migrationshintergrund","1460","0.379589981630369","0.364569886729236","0.394610076531503"
"Nicht erwerbstätig","1985","35-65 J.","direkter Migrationshintergrund","522","0.37250325603819","0.34967481642704","0.39533169564934"
"Nicht erwerbstätig","1985","35-65 J.","indirekter Migrationshintergrund","","","",""
"Nicht erwerbstätig","1985","66 und älter","kein Migrationshintergrund","1021","0.963810183383868","0.952604074761236","0.9750162920065"
"Nicht erwerbstätig","1985","66 und älter","direkter Migrationshintergrund","36","0.998934272532481","0.988420979598696","1.00944756546627"
"Nicht erwerbstätig","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"Sonstiges","1985","16-34 J.","kein Migrationshintergrund","288","0.101177134441035","0.0902053408046787","0.112148928077392"
"Sonstiges","1985","16-34 J.","direkter Migrationshintergrund","81","0.0792925582864223","0.0636490980010382","0.0949360185718065"
"Sonstiges","1985","16-34 J.","indirekter Migrationshintergrund","","","",""
"Sonstiges","1985","35-65 J.","kein Migrationshintergrund","101","0.0239754027457166","0.0192407379020133","0.0287100675894199"
"Sonstiges","1985","35-65 J.","direkter Migrationshintergrund","","","",""
"Sonstiges","1985","35-65 J.","indirekter Migrationshintergrund","","","",""
"Sonstiges","1985","66 und älter","kein Migrationshintergrund","","","",""
"Sonstiges","1985","66 und älter","direkter Migrationshintergrund","","","",""
"Sonstiges","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"Vollzeit","1986","16-34 J.","kein Migrationshintergrund","1409","0.508939284358036","0.490591910351741","0.527286658364331"
"Vollzeit","1986","16-34 J.","direkter Migrationshintergrund","555","0.503523462833267","0.474003451867316","0.533043473799217"
"Vollzeit","1986","16-34 J.","indirekter Migrationshintergrund","42","0.433243284957765","0.348062689414372","0.518423880501157"
"Vollzeit","1986","35-65 J.","kein Migrationshintergrund","1912","0.499827196629736","0.48387301004553","0.515781383213942"
"Vollzeit","1986","35-65 J.","direkter Migrationshintergrund","1061","0.550143068853427","0.526304775959055","0.5739813617478"
"Vollzeit","1986","35-65 J.","indirekter Migrationshintergrund","","","",""
"Vollzeit","1986","66 und älter","kein Migrationshintergrund","","","",""
"Vollzeit","1986","66 und älter","direkter Migrationshintergrund","","","",""
"Vollzeit","1986","66 und älter","indirekter Migrationshintergrund","","","",""
"Teilzeit","1986","16-34 J.","kein Migrationshintergrund","157","0.0538399007019836","0.0455565171702395","0.0621232842337276"
"Teilzeit","1986","16-34 J.","direkter Migrationshintergrund","40","0.0450007177456449","0.0327610807770864","0.0572403547142034"
"Teilzeit","1986","16-34 J.","indirekter Migrationshintergrund","","","",""
"Teilzeit","1986","35-65 J.","kein Migrationshintergrund","345","0.0842251970103643","0.0753634356398581","0.0930869583808704"
"Teilzeit","1986","35-65 J.","direkter Migrationshintergrund","78","0.0679051010089794","0.0558497076422594","0.0799604943756993"
"Teilzeit","1986","35-65 J.","indirekter Migrationshintergrund","","","",""
"Teilzeit","1986","66 und älter","kein Migrationshintergrund","","","",""
"Teilzeit","1986","66 und älter","direkter Migrationshintergrund","","","",""
"Teilzeit","1986","66 und älter","indirekter Migrationshintergrund","","","",""
"Nicht erwerbstätig","1986","16-34 J.","kein Migrationshintergrund","952","0.318254328398811","0.301159226865465","0.335349429932158"
"Nicht erwerbstätig","1986","16-34 J.","direkter Migrationshintergrund","413","0.361940828775974","0.33356774373561","0.390313913816338"
"Nicht erwerbstätig","1986","16-34 J.","indirekter Migrationshintergrund","53","0.363236032110472","0.280563713775829","0.445908350445114"
"Nicht erwerbstätig","1986","35-65 J.","kein Migrationshintergrund","1382","0.382423014167342","0.366916211857443","0.397929816477241"
"Nicht erwerbstätig","1986","35-65 J.","direkter Migrationshintergrund","506","0.359221702478418","0.336231896765361","0.382211508191475"
"Nicht erwerbstätig","1986","35-65 J.","indirekter Migrationshintergrund","","","",""
"Nicht erwerbstätig","1986","66 und älter","kein Migrationshintergrund","949","0.972666155034431","0.962452315966098","0.982879994102763"
"Nicht erwerbstätig","1986","66 und älter","direkter Migrationshintergrund","50","1","1","1"
"Nicht erwerbstätig","1986","66 und älter","indirekter Migrationshintergrund","","","",""
"Sonstiges","1986","16-34 J.","kein Migrationshintergrund","334","0.118966486541169","0.107084696806266","0.130848276276073"
"Sonstiges","1986","16-34 J.","direkter Migrationshintergrund","94","0.0895349906451143","0.0726777952843264","0.106392186005902"
"Sonstiges","1986","16-34 J.","indirekter Migrationshintergrund","","","",""
"Sonstiges","1986","35-65 J.","kein Migrationshintergrund","134","0.0335245921925579","0.0277810231752018","0.039268161209914"
"Sonstiges","1986","35-65 J.","direkter Migrationshintergrund","","","",""
"Sonstiges","1986","35-65 J.","indirekter Migrationshintergrund","","","",""
"Sonstiges","1986","66 und älter","kein Migrationshintergrund","","","",""
"Sonstiges","1986","66 und älter","direkter Migrationshintergrund","","","",""
"Sonstiges","1986","66 und älter","indirekter Migrationshintergrund","","","",""
"Vollzeit","1987","16-34 J.","kein Migrationshintergrund","1366","0.512459372309798","0.493974887627981","0.530943856991614"
"Vollzeit","1987","16-34 J.","direkter Migrationshintergrund","547","0.530234638742385","0.50038627742066","0.56008300006411"
"Vollzeit","1987","16-34 J.","indirekter Migrationshintergrund","46","0.391240183559256","0.312347970422423","0.470132396696089"
"Vollzeit","1987","35-65 J.","kein Migrationshintergrund","1901","0.515395950273911","0.499167295347983","0.531624605199839"
"Vollzeit","1987","35-65 J.","direkter Migrationshintergrund","1046","0.546263750499604","0.52247136298032","0.570056138018888"
"Vollzeit","1987","35-65 J.","indirekter Migrationshintergrund","","","",""
"Vollzeit","1987","66 und älter","kein Migrationshintergrund","","","",""
"Vollzeit","1987","66 und älter","direkter Migrationshintergrund","","","",""
"Vollzeit","1987","66 und älter","indirekter Migrationshintergrund","","","",""
"Teilzeit","1987","16-34 J.","kein Migrationshintergrund","156","0.0569342514472878","0.0483652539715791","0.0655032489229965"
"Teilzeit","1987","16-34 J.","direkter Migrationshintergrund","37","0.038605802313824","0.0270839318068963","0.0501276728207516"
"Teilzeit","1987","16-34 J.","indirekter Migrationshintergrund","","","",""
"Teilzeit","1987","35-65 J.","kein Migrationshintergrund","386","0.0997183117730436","0.089988707598975","0.109447915947112"
"Teilzeit","1987","35-65 J.","direkter Migrationshintergrund","90","0.0772601147607246","0.0645000635787147","0.0900201659427345"
"Teilzeit","1987","35-65 J.","indirekter Migrationshintergrund","","","",""
"Teilzeit","1987","66 und älter","kein Migrationshintergrund","","","",""
"Teilzeit","1987","66 und älter","direkter Migrationshintergrund","","","",""
"Teilzeit","1987","66 und älter","indirekter Migrationshintergrund","","","",""
"Nicht erwerbstätig","1987","16-34 J.","kein Migrationshintergrund","898","0.299107424141547","0.282175295954479","0.316039552328614"
"Nicht erwerbstätig","1987","16-34 J.","direkter Migrationshintergrund","384","0.336056174207987","0.30780623236418","0.364306116051793"
"Nicht erwerbstätig","1987","16-34 J.","indirekter Migrationshintergrund","70","0.450270754940333","0.369843968784616","0.53069754109605"
"Nicht erwerbstätig","1987","35-65 J.","kein Migrationshintergrund","1264","0.360385915396837","0.344795366005703","0.375976464787971"
"Nicht erwerbstätig","1987","35-65 J.","direkter Migrationshintergrund","526","0.359652447320911","0.336718200493001","0.38258669414882"
"Nicht erwerbstätig","1987","35-65 J.","indirekter Migrationshintergrund","","","",""
"Nicht erwerbstätig","1987","66 und älter","kein Migrationshintergrund","976","0.972042542465921","0.9618758689449","0.982209215986943"
"Nicht erwerbstätig","1987","66 und älter","direkter Migrationshintergrund","54","0.979037560112786","0.941516537232982","1.01655858299259"
"Nicht erwerbstätig","1987","66 und älter","indirekter Migrationshintergrund","","","",""
"Sonstiges","1987","16-34 J.","kein Migrationshintergrund","389","0.131498952101368","0.119001584605537","0.143996319597199"
"Sonstiges","1987","16-34 J.","direkter Migrationshintergrund","106","0.0951033847358044","0.0775587868390224","0.112647982632587"
"Sonstiges","1987","16-34 J.","indirekter Migrationshintergrund","","","",""
"Sonstiges","1987","35-65 J.","kein Migrationshintergrund","92","0.0244998225562081","0.0194797077270478","0.0295199373853685"
"Sonstiges","1987","35-65 J.","direkter Migrationshintergrund","","","",""
"Sonstiges","1987","35-65 J.","indirekter Migrationshintergrund","","","",""
"Sonstiges","1987","66 und älter","kein Migrationshintergrund","","","",""
"Sonstiges","1987","66 und älter","direkter Migrationshintergrund","","","",""
"Sonstiges","1987","66 und älter","indirekter Migrationshintergrund","","","",""
