"erwst","year","quintil_oecd","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Andere","1995","1 Einkommensschwächstes Quintil","Ostdeutschland","119","0.0572975619478234","0.0463172913651283","0.0682778325305185"
"Andere","1995","1 Einkommensschwächstes Quintil","Westdeutschland","258","0.0788044370125193","0.0695921901870964","0.0880166838379422"
"Andere","1995","2","Ostdeutschland","49","0.0294817706080797","0.0199587349376512","0.0390048062785081"
"Andere","1995","2","Westdeutschland","154","0.0469757169046758","0.0389198210017255","0.0550316128076261"
"Andere","1995","3","Ostdeutschland","22","","",""
"Andere","1995","3","Westdeutschland","81","0.0402707758087021","0.0309254813888307","0.0496160702285734"
"Andere","1995","4","Ostdeutschland","3","","",""
"Andere","1995","4","Westdeutschland","41","0.0303458170690561","0.020911638637871","0.0397799955002411"
"Andere","1995","5 Einkommensstärkstes Quintil","Ostdeutschland","3","","",""
"Andere","1995","5 Einkommensstärkstes Quintil","Westdeutschland","15","","",""
"nicht erwerbstätig","1995","1 Einkommensschwächstes Quintil","Ostdeutschland","868","0.580099472490407","0.556781966272546","0.603416978708268"
"nicht erwerbstätig","1995","1 Einkommensschwächstes Quintil","Westdeutschland","1829","0.607911368547393","0.591218669284632","0.624604067810154"
"nicht erwerbstätig","1995","2","Ostdeutschland","452","0.441603348026952","0.413646747385621","0.469559948668284"
"nicht erwerbstätig","1995","2","Westdeutschland","1085","0.491353609011383","0.472319602528291","0.510387615494476"
"nicht erwerbstätig","1995","3","Ostdeutschland","116","0.288502867380067","0.249181858972344","0.327823875787791"
"nicht erwerbstätig","1995","3","Westdeutschland","554","0.383238835702657","0.360127933691732","0.406349737713582"
"nicht erwerbstätig","1995","4","Ostdeutschland","40","0.197060150884023","0.143002479352433","0.251117822415614"
"nicht erwerbstätig","1995","4","Westdeutschland","315","0.289867176394784","0.264914591372286","0.314819761417282"
"nicht erwerbstätig","1995","5 Einkommensstärkstes Quintil","Ostdeutschland","4","","",""
"nicht erwerbstätig","1995","5 Einkommensstärkstes Quintil","Westdeutschland","167","0.281302750956148","0.247606621262984","0.314998880649312"
"Teilzeit","1995","1 Einkommensschwächstes Quintil","Ostdeutschland","105","0.0503297392170512","0.0400007835120375","0.0606586949220648"
"Teilzeit","1995","1 Einkommensschwächstes Quintil","Westdeutschland","214","0.0674612250655208","0.0588854205526756","0.076037029578366"
"Teilzeit","1995","2","Ostdeutschland","75","0.0476291996952621","0.0356387227344727","0.0596196766560516"
"Teilzeit","1995","2","Westdeutschland","244","0.0857681724972231","0.075106719403588","0.0964296255908583"
"Teilzeit","1995","3","Ostdeutschland","24","","",""
"Teilzeit","1995","3","Westdeutschland","142","0.0809955951567458","0.0680263969580039","0.0939647933554877"
"Teilzeit","1995","4","Ostdeutschland","5","","",""
"Teilzeit","1995","4","Westdeutschland","102","0.0821078465409127","0.0670093261380058","0.0972063669438196"
"Teilzeit","1995","5 Einkommensstärkstes Quintil","Ostdeutschland","4","","",""
"Teilzeit","1995","5 Einkommensstärkstes Quintil","Westdeutschland","61","0.0901169863171251","0.0686576567950377","0.111576315839212"
"voll erwerbstätig","1995","1 Einkommensschwächstes Quintil","Ostdeutschland","629","0.312273226344718","0.290378828922407","0.33416762376703"
"voll erwerbstätig","1995","1 Einkommensschwächstes Quintil","Westdeutschland","985","0.245822969374567","0.23110112602269","0.260544812726444"
"voll erwerbstätig","1995","2","Ostdeutschland","636","0.481285681669706","0.453156158527317","0.509415204812095"
"voll erwerbstätig","1995","2","Westdeutschland","1167","0.375902501586718","0.357461309867489","0.394343693305947"
"voll erwerbstätig","1995","3","Ostdeutschland","348","0.62927327986843","0.587354407349452","0.671192152387409"
"voll erwerbstätig","1995","3","Westdeutschland","923","0.495494793331895","0.471727703684562","0.519261882979229"
"voll erwerbstätig","1995","4","Ostdeutschland","160","0.749141700576233","0.690228496006827","0.80805490514564"
"voll erwerbstätig","1995","4","Westdeutschland","812","0.597679159995247","0.570710053902299","0.624648266088195"
"voll erwerbstätig","1995","5 Einkommensstärkstes Quintil","Ostdeutschland","31","0.728142414204518","0.593586640300245","0.862698188108791"
"voll erwerbstätig","1995","5 Einkommensstärkstes Quintil","Westdeutschland","441","0.604121675088785","0.567472592214709","0.64077075796286"
"Andere","1996","1 Einkommensschwächstes Quintil","Ostdeutschland","120","0.0625395301513107","0.0502656668055179","0.0748133934971035"
