"year","age_gr","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1990","17-34","Laendlicher Raum","","","","","","","","","","","","","",""
"1990","17-34","Staedtischer Raum","6.11","5.5","551","3","5","8","9","10","5.92","6.3","0","10","6","7"
"1990","35-65","Laendlicher Raum","","","","","","","","","","","","","",""
"1990","35-65","Staedtischer Raum","6.23","5.5","778","4","5","8","9","10","6.09","6.37","0","10","6","6"
"1990","66 +","Laendlicher Raum","","","","","","","","","","","","","",""
"1990","66 +","Staedtischer Raum","","","","","","","","","","","","","",""
"1991","17-34","Laendlicher Raum","","","","","","","","","","","","","",""
"1991","17-34","Staedtischer Raum","7.05","6.5","3313","5","6","8","9","10","6.98","7.12","0","10","7","7"
"1991","35-65","Laendlicher Raum","","","","","","","","","","","","","",""
"1991","35-65","Staedtischer Raum","7.13","7.5","4505","5","6","8","9","10","7.07","7.19","0","10","7","7"
"1991","66 +","Laendlicher Raum","7.01","6.5","525","5","6","8","10","10","6.83","7.19","0","10","7","7"
"1991","66 +","Staedtischer Raum","7.28","7.5","904","5","6","9","10","10","7.15","7.41","0","10","8","8"
"1992","17-34","Laendlicher Raum","","","","","","","","","","","","","",""
"1992","17-34","Staedtischer Raum","6.93","6.5","3212","4","6","8","9","10","6.86","7","0","10","7","7"
"1992","35-65","Laendlicher Raum","","","","","","","","","","","","","",""
"1992","35-65","Staedtischer Raum","6.96","6.5","4447","5","6","8","9","10","6.9","7.02","0","10","7","7"
"1992","66 +","Laendlicher Raum","6.64","6.5","510","4","5","8","9","10","6.47","6.81","0","10","6","7"
"1992","66 +","Staedtischer Raum","7.09","6.5","917","5","6","8","10","10","6.96","7.22","0","10","7","8"
"1993","17-34","Laendlicher Raum","","","","","","","","","","","","","",""
"1993","17-34","Staedtischer Raum","7.1","6.5","3218","5","6","8","9","10","7.03","7.17","0","10","7","7"
"1993","35-65","Laendlicher Raum","","","","","","","","","","","","","",""
