"year","bildungsniveau","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","(Fach-)Abitur","Ostdeutschland","6.29","6.5","129","3","5","8","9","10","5.92","6.66","0","10","6","7"
"1990","(Fach-)Abitur","Westdeutschland","","","","","","","","","","","","","",""
"1990","(noch) kein Abschluss","Ostdeutschland","7.35","7.5","45","5","6","9","10","10","6.74","7.96","2","10","7","8"
"1990","(noch) kein Abschluss","Westdeutschland","","","","","","","","","","","","","",""
"1990","AkademikerIn","Ostdeutschland","6.6","6.5","991","4","5","8","9","10","6.48","6.72","0","10","7","7"
"1990","AkademikerIn","Westdeutschland","","","","","","","","","","","","","",""
"1990","Hauptschule","Ostdeutschland","6.28","5.5","1667","3","5","8","10","10","6.17","6.39","0","10","6","6"
"1990","Hauptschule","Westdeutschland","","","","","","","","","","","","","",""
"1990","Realschule","Ostdeutschland","6.25","5.5","1563","3","5","8","9","10","6.14","6.36","0","10","6","7"
"1990","Realschule","Westdeutschland","","","","","","","","","","","","","",""
"1991","(Fach-)Abitur","Ostdeutschland","5.79","5.5","116","3","5","7","8","10","5.45","6.13","0","10","5","7"
"1991","(Fach-)Abitur","Westdeutschland","7.27","7.5","773","5","6","8","9","10","7.14","7.4","0","10","7","8"
"1991","(noch) kein Abschluss","Ostdeutschland","6.73","5.5","54","5","5","8","9","10","6.2","7.26","2","10","6","8"
"1991","(noch) kein Abschluss","Westdeutschland","6.98","6.5","821","4","5","8","10","10","6.84","7.12","0","10","7","7"
"1991","AkademikerIn","Ostdeutschland","6","5.5","952","3","5","7","8","10","5.88","6.12","0","10","6","6"
"1991","AkademikerIn","Westdeutschland","7.58","7.5","724","5","7","9","10","10","7.45","7.71","0","10","8","8"
"1991","Hauptschule","Ostdeutschland","5.7","5.5","1489","3","5","7","8","10","5.59","5.81","0","10","5","6"
"1991","Hauptschule","Westdeutschland","7.18","7.5","5235","5","6","8","10","10","7.13","7.23","0","10","7","8"
"1991","Realschule","Ostdeutschland","5.93","5.5","1493","3","5","8","8","10","5.82","6.04","0","10","6","6"
"1991","Realschule","Westdeutschland","7.5","7.5","1650","5","7","9","10","10","7.42","7.58","0","10","8","8"
"1992","(Fach-)Abitur","Ostdeutschland","5.8","5.5","116","4","5","7","8","10","5.47","6.13","0","10","5","6"
"1992","(Fach-)Abitur","Westdeutschland","7.09","6.5","777","5","6","8","9","10","6.96","7.22","0","10","7","8"
"1992","(noch) kein Abschluss","Ostdeutschland","6.55","6.5","68","5","6","7","8","10","6.15","6.95","2","10","6","7"
"1992","(noch) kein Abschluss","Westdeutschland","6.79","6.5","788","4","5","8","9","10","6.64","6.94","0","10","7","7"
"1992","AkademikerIn","Ostdeutschland","5.9","5.5","914","3","5","7","8","10","5.79","6.01","0","10","6","6"
"1992","AkademikerIn","Westdeutschland","7.64","7.5","736","5","7","9","10","10","7.52","7.76","0","10","8","8"
"1992","Hauptschule","Ostdeutschland","5.58","4.5","1411","3","5","7","8","10","5.48","5.68","0","10","5","5"
"1992","Hauptschule","Westdeutschland","6.95","6.5","5090","5","6","8","9","10","6.9","7","0","10","7","7"
"1992","Realschule","Ostdeutschland","5.77","5.5","1420","3","5","7","8","10","5.67","5.87","0","10","6","6"
"1992","Realschule","Westdeutschland","7.39","7.5","1663","5","6","8","9","10","7.31","7.47","0","10","8","8"
"1993","(Fach-)Abitur","Ostdeutschland","6.46","6.5","124","4","5","8","9","10","6.12","6.8","0","10","6","7"
"1993","(Fach-)Abitur","Westdeutschland","7.46","7.5","784","5","7","9","10","10","7.33","7.59","0","10","7","8"
"1993","(noch) kein Abschluss","Ostdeutschland","7.42","7.5","80","5","7","8","10","10","7.02","7.82","1","10","7","8"
"1993","(noch) kein Abschluss","Westdeutschland","6.78","6.5","756","4","5","8","10","10","6.63","6.93","0","10","6","7"
"1993","AkademikerIn","Ostdeutschland","6.43","6.5","868","4","5","8","8","10","6.31","6.55","0","10","7","7"
"1993","AkademikerIn","Westdeutschland","7.71","7.5","763","5","7","9","10","10","7.59","7.83","0","10","8","8"
"1993","Hauptschule","Ostdeutschland","5.99","5.5","1326","3","5","8","8","10","5.88","6.1","0","10","6","6"
"1993","Hauptschule","Westdeutschland","7.09","6.5","4989","5","6","8","10","10","7.04","7.14","0","10","7","7"
"1993","Realschule","Ostdeutschland","6.27","6.5","1394","4","5","8","8","10","6.17","6.37","0","10","6","7"
"1993","Realschule","Westdeutschland","7.53","7.5","1695","5","7","9","10","10","7.45","7.61","0","10","8","8"
"1994","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1994","(Fach-)Abitur","Westdeutschland","","","","","","","","","","","","","",""
"1994","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1994","(noch) kein Abschluss","Westdeutschland","","","","","","","","","","","","","",""
"1994","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1994","AkademikerIn","Westdeutschland","","","","","","","","","","","","","",""
"1994","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1994","Hauptschule","Westdeutschland","","","","","","","","","","","","","",""
"1994","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1994","Realschule","Westdeutschland","","","","","","","","","","","","","",""
"1995","(Fach-)Abitur","Ostdeutschland","6.53","6.5","151","4","5","8","9","10","6.23","6.83","1","10","7","7"
"1995","(Fach-)Abitur","Westdeutschland","7.22","7.5","905","5","6","9","9","10","7.09","7.35","0","10","7","8"
