"year","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1990","Laendlicher Raum","6.45","6.5","2867","6.37","6.53"
"1990","Staedtischer Raum","6.12","5.5","1453","6.01","6.23"
"1991","Laendlicher Raum","6.69","6.5","4729","6.63","6.75"
"1991","Staedtischer Raum","7.13","7.5","8722","7.09","7.17"
"1992","Laendlicher Raum","6.54","6.5","4535","6.48","6.6"
"1992","Staedtischer Raum","6.97","6.5","8576","6.93","7.01"
"1993","Laendlicher Raum","6.88","6.5","4508","6.82","6.94"
"1993","Staedtischer Raum","7.13","7.5","8533","7.09","7.17"
"1994","Laendlicher Raum","","","","",""
"1994","Staedtischer Raum","","","","",""
"1995","Laendlicher Raum","6.99","6.5","4560","6.93","7.05"
"1995","Staedtischer Raum","7.06","6.5","8655","7.02","7.1"
"1996","Laendlicher Raum","7.06","6.5","4529","7.01","7.11"
"1996","Staedtischer Raum","7.17","7.5","8488","7.13","7.21"
"1997","Laendlicher Raum","6.65","6.5","4452","6.6","6.7"
"1997","Staedtischer Raum","6.78","6.5","8321","6.74","6.82"
"1998","Laendlicher Raum","6.98","6.5","4962","6.93","7.03"
"1998","Staedtischer Raum","7.01","6.5","9214","6.97","7.05"
"1999","Laendlicher Raum","7.09","6.5","4797","7.04","7.14"
"1999","Staedtischer Raum","7.13","7.5","8822","7.09","7.17"
"2000","Laendlicher Raum","7.17","7.5","8412","7.13","7.21"
"2000","Staedtischer Raum","7.28","7.5","15625","7.25","7.31"
"2001","Laendlicher Raum","7.19","7.5","7612","7.15","7.23"
"2001","Staedtischer Raum","7.27","7.5","14212","7.24","7.3"
"2002","Laendlicher Raum","6.89","6.5","7763","6.85","6.93"
"2002","Staedtischer Raum","7.01","6.5","15190","6.98","7.04"
"2003","Laendlicher Raum","6.87","6.5","7448","6.83","6.91"
"2003","Staedtischer Raum","7.02","6.5","14670","6.99","7.05"
"2004","Laendlicher Raum","6.83","6.5","7242","6.79","6.87"
"2004","Staedtischer Raum","6.95","6.5","14250","6.92","6.98"
"2005","Laendlicher Raum","6.83","6.5","6945","6.78","6.88"
"2005","Staedtischer Raum","6.97","6.5","13672","6.94","7"
"2006","Laendlicher Raum","6.97","6.5","7523","6.93","7.01"
"2006","Staedtischer Raum","7.03","6.5","14373","7","7.06"
"2007","Laendlicher Raum","","","","",""
"2007","Staedtischer Raum","","","","",""
"2008","Laendlicher Raum","","","","",""
"2008","Staedtischer Raum","","","","",""
"2009","Laendlicher Raum","","","","",""
"2009","Staedtischer Raum","","","","",""
"2010","Laendlicher Raum","","","","",""
"2010","Staedtischer Raum","","","","",""
"2011","Laendlicher Raum","","","","",""
"2011","Staedtischer Raum","","","","",""
"2012","Laendlicher Raum","","","","",""
"2012","Staedtischer Raum","","","","",""
"2013","Laendlicher Raum","7.36","7.5","7911","7.32","7.4"
"2013","Staedtischer Raum","7.52","7.5","15822","7.49","7.55"
"2014","Laendlicher Raum","","","","",""
"2014","Staedtischer Raum","","","","",""
"2015","Laendlicher Raum","","","","",""
"2015","Staedtischer Raum","","","","",""
"2016","Laendlicher Raum","","","","",""
"2016","Staedtischer Raum","","","","",""
"2017","Laendlicher Raum","","","","",""
"2017","Staedtischer Raum","","","","",""
"2018","Laendlicher Raum","7.49","7.5","8960","7.45","7.53"
"2018","Staedtischer Raum","7.67","7.5","16517","7.64","7.7"
