syear,regtyp,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1985,Urban regions,male,,,,,,,,,,,,
1985,Urban regions,female,,,,,,,,,,,,
1985,Rural regions,male,,,,,,,,,,,,
1985,Rural regions,female,,,,,,,,,,,,
1986,Urban regions,male,,,,,,,,,,,,
1986,Urban regions,female,,,,,,,,,,,,
1986,Rural regions,male,,,,,,,,,,,,
1986,Rural regions,female,,,,,,,,,,,,
1987,Urban regions,male,,,,,,,,,,,,
1987,Urban regions,female,,,,,,,,,,,,
1987,Rural regions,male,,,,,,,,,,,,
1987,Rural regions,female,,,,,,,,,,,,
1988,Urban regions,male,,,,,,,,,,,,
1988,Urban regions,female,,,,,,,,,,,,
1988,Rural regions,male,,,,,,,,,,,,
1988,Rural regions,female,,,,,,,,,,,,
1989,Urban regions,male,,,,,,,,,,,,
1989,Urban regions,female,,,,,,,,,,,,
1989,Rural regions,male,,,,,,,,,,,,
1989,Rural regions,female,,,,,,,,,,,,
1990,Urban regions,male,6.215717234961947,6.135539809086515,6.29589466083738,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0,680.0
1990,Urban regions,female,6.040104855539426,5.962825466601776,6.117384244477076,5.0,6.0,8.0,0.5,10.0,6.0,6.0,6.0,773.0
1990,Rural regions,male,6.437258764753604,6.3834773827953795,6.491040146711829,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,1381.0
1990,Rural regions,female,6.459940978945519,6.407959293537696,6.511922664353341,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,1486.0
1991,Urban regions,male,7.149367825075719,7.121983781036712,7.176751869114725,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0,4278.0
1991,Urban regions,female,7.120033674975192,7.092108343461684,7.1479590064886995,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0,4456.0
1991,Rural regions,male,6.661274346640151,6.619410245158616,6.703138448121686,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,2289.0
1991,Rural regions,female,6.719974963814553,6.679612020278666,6.76033790735044,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,2428.0
1992,Urban regions,male,7.010750537854569,6.982756738395186,7.038744337313951,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,4173.0
1992,Urban regions,female,6.935509054436469,6.907720071398532,6.963298037474407,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,4413.0
1992,Rural regions,male,6.534616918798811,6.494024902900133,6.575208934697489,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,2186.0
1992,Rural regions,female,6.552836940474584,6.513561882846134,6.592111998103033,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,2339.0
1993,Urban regions,male,7.099774859737757,7.071305362001026,7.128244357474487,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,4168.0
1993,Urban regions,female,7.158976003388276,7.129910990977244,7.188041015799309,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0,4374.0
1993,Rural regions,male,6.844357907258356,6.804712858261053,6.884002956255659,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,2173.0
1993,Rural regions,female,6.915433455379481,6.876924410529422,6.95394250022954,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,2326.0
1994,Urban regions,male,,,,,,,,,,,,
1994,Urban regions,female,,,,,,,,,,,,
1994,Rural regions,male,,,,,,,,,,,,
1994,Rural regions,female,,,,,,,,,,,,
1995,Urban regions,male,7.020182748561036,6.992255373163267,7.048110123958806,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,4174.0
1995,Urban regions,female,7.089054798171531,7.06013393084805,7.1179756654950115,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,4492.0
1995,Rural regions,male,6.920330094731303,6.880113965545464,6.960546223917142,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,2204.0
1995,Rural regions,female,7.048503009270859,7.009739908173036,7.087266110368682,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,2345.0
1996,Urban regions,male,7.118775039162308,7.091128962508004,7.146421115816612,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,4087.0
1996,Urban regions,female,7.224735250548656,7.196853148436662,7.252617352660651,6.0,8.0,8.0,3.0,10.0,8.0,8.0,8.0,4413.0
1996,Rural regions,male,7.01043444393496,6.971392749657643,7.049476138212277,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,2194.0
1996,Rural regions,female,7.114642187641828,7.076518845872452,7.152765529411204,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0,2323.0
1997,Urban regions,male,6.7566908810888515,6.728225880073512,6.785155882104191,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,4026.0
1997,Urban regions,female,6.802431681410566,6.773892767474797,6.830970595346335,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4305.0
1997,Rural regions,male,6.604955272751222,6.565712340757704,6.64419820474474,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,2153.0
1997,Rural regions,female,6.701514583657577,6.6635703118956195,6.739458855419534,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,2289.0
1998,Urban regions,male,6.969914953231295,6.942857732734887,6.996972173727703,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,4446.0
1998,Urban regions,female,7.047512360646728,7.021258360840815,7.073766360452641,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,4780.0
1998,Rural regions,male,6.918155438313166,6.880990177810357,6.955320698815974,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,2415.0
1998,Rural regions,female,7.0320146671239625,6.995997959078777,7.068031375169148,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,2535.0
1999,Urban regions,male,7.083487144694843,7.056448366197776,7.11052592319191,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,4264.0
1999,Urban regions,female,7.169844436375406,7.1423768817827336,7.197311990968079,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0,4572.0
1999,Rural regions,male,7.043924501836227,7.006695300665997,7.081153703006458,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,2324.0
1999,Rural regions,female,7.125780404448219,7.089280060147455,7.162280748748983,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,2459.0
2000,Urban regions,male,7.24419673357273,7.224391802510217,7.264001664635243,6.0,8.0,8.0,3.0,10.0,8.0,8.0,8.0,7493.0
2000,Urban regions,female,7.3132589954969935,7.29336786340517,7.333150127588817,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,8166.0
2000,Rural regions,male,7.134030503342547,7.106682624426319,7.161378382258776,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,4061.0
2000,Rural regions,female,7.202345004336833,7.17541537764114,7.229274631032527,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0,4315.0
2001,Urban regions,male,7.228778566948247,7.207799717002257,7.249757416894236,6.0,8.0,8.0,3.0,10.0,8.0,8.0,8.0,6797.0
