"year","age_gr","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1990","17-34","6.26","5.5","1687","6.16","6.36"
"1990","35-65","6.44","6.5","2303","6.36","6.52"
"1990","66 +","6.2","5.5","417","5.97","6.43"
"1991","17-34","6.95","6.5","5140","6.89","7.01"
"1991","35-65","6.95","6.5","6966","6.9","7"
"1991","66 +","7.19","7.5","1435","7.08","7.3"
"1992","17-34","6.84","6.5","4946","6.78","6.9"
"1992","35-65","6.79","6.5","6850","6.74","6.84"
"1992","66 +","6.94","6.5","1434","6.84","7.04"
"1993","17-34","7.03","6.5","4874","6.98","7.08"
"1993","35-65","6.94","6.5","6714","6.89","6.99"
"1993","66 +","7.4","7.5","1453","7.3","7.5"
"1994","17-34","","","","",""
"1994","35-65","","","","",""
"1994","66 +","","","","",""
"1995","17-34","6.9","6.5","4899","6.85","6.95"
"1995","35-65","6.88","6.5","6800","6.83","6.93"
"1995","66 +","7.68","7.5","1516","7.59","7.77"
"1996","17-34","7.04","6.5","4746","6.99","7.09"
"1996","35-65","7.02","6.5","6730","6.97","7.07"
"1996","66 +","7.61","7.5","1541","7.52","7.7"
"1997","17-34","6.78","6.5","4589","6.73","6.83"
"1997","35-65","6.55","6.5","6616","6.5","6.6"
"1997","66 +","7.21","7.5","1569","7.12","7.3"
"1998","17-34","6.93","6.5","4846","6.88","6.98"
"1998","35-65","6.9","6.5","7490","6.86","6.94"
"1998","66 +","7.37","7.5","1840","7.29","7.45"
"1999","17-34","7.04","6.5","4573","6.99","7.09"
"1999","35-65","7.01","6.5","7258","6.97","7.05"
"1999","66 +","7.52","7.5","1788","7.43","7.61"
"2000","17-34","7.21","7.5","7053","7.17","7.25"
"2000","35-65","7.17","7.5","13398","7.14","7.2"
"2000","66 +","7.49","7.5","3584","7.43","7.55"
"2001","17-34","7.19","7.5","6214","7.15","7.23"
"2001","35-65","7.13","7.5","12228","7.1","7.16"
"2001","66 +","7.63","7.5","3382","7.57","7.69"
"2002","17-34","6.98","6.5","6111","6.94","7.02"
"2002","35-65","6.84","6.5","13271","6.81","6.87"
"2002","66 +","7.32","7.5","3571","7.26","7.38"
"2003","17-34","6.92","6.5","5821","6.87","6.97"
"2003","35-65","6.85","6.5","12660","6.82","6.88"
"2003","66 +","7.34","7.5","3637","7.28","7.4"
"2004","17-34","6.95","6.5","5568","6.9","7"
"2004","35-65","6.8","6.5","12186","6.77","6.83"
"2004","66 +","7.15","6.5","3738","7.09","7.21"
"2005","17-34","6.95","6.5","5286","6.9","7"
"2005","35-65","6.78","6.5","11585","6.74","6.82"
"2005","66 +","7.26","7.5","3746","7.2","7.32"
"2006","17-34","7.06","6.5","5101","7.01","7.11"
"2006","35-65","6.92","6.5","12383","6.89","6.95"
"2006","66 +","7.18","7.5","4412","7.13","7.23"
"2007","17-34","","","","",""
"2007","35-65","","","","",""
"2007","66 +","","","","",""
"2008","17-34","","","","",""
"2008","35-65","","","","",""
"2008","66 +","","","","",""
"2009","17-34","","","","",""
"2009","35-65","","","","",""
"2009","66 +","","","","",""
"2010","17-34","","","","",""
"2010","35-65","","","","",""
"2010","66 +","","","","",""
"2011","17-34","","","","",""
"2011","35-65","","","","",""
"2011","66 +","","","","",""
"2012","17-34","","","","",""
"2012","35-65","","","","",""
"2012","66 +","","","","",""
"2013","17-34","7.58","7.5","5791","7.53","7.63"
"2013","35-65","7.35","7.5","12940","7.32","7.38"
"2013","66 +","7.59","7.5","5002","7.54","7.64"
"2014","17-34","","","","",""
"2014","35-65","","","","",""
"2014","66 +","","","","",""
"2015","17-34","","","","",""
"2015","35-65","","","","",""
"2015","66 +","","","","",""
"2016","17-34","","","","",""
"2016","35-65","","","","",""
"2016","66 +","","","","",""
"2017","17-34","","","","",""
"2017","35-65","","","","",""
"2017","66 +","","","","",""
"2018","17-34","7.74","7.5","5911","7.69","7.79"
"2018","35-65","7.53","7.5","14595","7.5","7.56"
"2018","66 +","7.68","7.5","4971","7.63","7.73"
