"year","age_gr","migback","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1990","17-34","direkter Migrationshintergrund","","","","",""
"1990","17-34","indirekter Migrationshintergrund","","","","",""
"1990","17-34","kein Migrationshintergrund","6.27","5.5","1670","6.17","6.37"
"1990","35-65","direkter Migrationshintergrund","6.56","6.5","102","6.16","6.96"
"1990","35-65","indirekter Migrationshintergrund","","","","",""
"1990","35-65","kein Migrationshintergrund","6.43","5.5","2201","6.34","6.52"
"1990","66 +","direkter Migrationshintergrund","","","","",""
"1990","66 +","indirekter Migrationshintergrund","","","","",""
"1990","66 +","kein Migrationshintergrund","6.21","5.5","395","5.98","6.44"
"1991","17-34","direkter Migrationshintergrund","6.9","6.5","880","6.77","7.03"
"1991","17-34","indirekter Migrationshintergrund","7.17","6.5","317","6.97","7.37"
"1991","17-34","kein Migrationshintergrund","6.95","6.5","3943","6.89","7.01"
"1991","35-65","direkter Migrationshintergrund","6.84","6.5","1610","6.75","6.93"
"1991","35-65","indirekter Migrationshintergrund","","","","",""
"1991","35-65","kein Migrationshintergrund","6.96","6.5","5330","6.9","7.02"
"1991","66 +","direkter Migrationshintergrund","7.2","7.5","121","6.76","7.64"
"1991","66 +","indirekter Migrationshintergrund","","","","",""
"1991","66 +","kein Migrationshintergrund","7.19","7.5","1311","7.08","7.3"
"1992","17-34","direkter Migrationshintergrund","6.68","6.5","838","6.54","6.82"
"1992","17-34","indirekter Migrationshintergrund","7.12","6.5","372","6.92","7.32"
"1992","17-34","kein Migrationshintergrund","6.85","6.5","3736","6.79","6.91"
"1992","35-65","direkter Migrationshintergrund","6.71","6.5","1562","6.61","6.81"
"1992","35-65","indirekter Migrationshintergrund","","","","",""
"1992","35-65","kein Migrationshintergrund","6.8","6.5","5261","6.75","6.85"
"1992","66 +","direkter Migrationshintergrund","6.67","6.5","134","6.28","7.06"
"1992","66 +","indirekter Migrationshintergrund","","","","",""
"1992","66 +","kein Migrationshintergrund","6.97","6.5","1298","6.86","7.08"
"1993","17-34","direkter Migrationshintergrund","6.63","6.5","805","6.49","6.77"
"1993","17-34","indirekter Migrationshintergrund","6.91","6.5","434","6.73","7.09"
"1993","17-34","kein Migrationshintergrund","7.09","6.5","3635","7.03","7.15"
"1993","35-65","direkter Migrationshintergrund","6.68","6.5","1501","6.58","6.78"
"1993","35-65","indirekter Migrationshintergrund","","","","",""
"1993","35-65","kein Migrationshintergrund","6.98","6.5","5185","6.93","7.03"
"1993","66 +","direkter Migrationshintergrund","7.24","7.5","154","6.88","7.6"
"1993","66 +","indirekter Migrationshintergrund","","","","",""
"1993","66 +","kein Migrationshintergrund","7.42","7.5","1297","7.31","7.53"
"1994","17-34","direkter Migrationshintergrund","","","","",""
"1994","17-34","indirekter Migrationshintergrund","","","","",""
"1994","17-34","kein Migrationshintergrund","","","","",""
"1994","35-65","direkter Migrationshintergrund","","","","",""
"1994","35-65","indirekter Migrationshintergrund","","","","",""
"1994","35-65","kein Migrationshintergrund","","","","",""
"1994","66 +","direkter Migrationshintergrund","","","","",""
"1994","66 +","indirekter Migrationshintergrund","","","","",""
"1994","66 +","kein Migrationshintergrund","","","","",""
"1995","17-34","direkter Migrationshintergrund","6.77","6.5","915","6.64","6.9"
"1995","17-34","indirekter Migrationshintergrund","6.96","6.5","471","6.78","7.14"
"1995","17-34","kein Migrationshintergrund","6.92","6.5","3513","6.86","6.98"
"1995","35-65","direkter Migrationshintergrund","6.57","6.5","1630","6.47","6.67"
"1995","35-65","indirekter Migrationshintergrund","","","","",""
"1995","35-65","kein Migrationshintergrund","6.94","6.5","5143","6.89","6.99"
"1995","66 +","direkter Migrationshintergrund","7.59","7.5","212","7.32","7.86"
"1995","66 +","indirekter Migrationshintergrund","","","","",""
"1995","66 +","kein Migrationshintergrund","7.69","7.5","1300","7.59","7.79"
"1996","17-34","direkter Migrationshintergrund","6.88","6.5","833","6.75","7.01"
"1996","17-34","indirekter Migrationshintergrund","7.16","7.5","507","6.99","7.33"
"1996","17-34","kein Migrationshintergrund","7.06","6.5","3406","7","7.12"
"1996","35-65","direkter Migrationshintergrund","6.86","6.5","1528","6.76","6.96"
"1996","35-65","indirekter Migrationshintergrund","6.07","5.5","31","5.08","7.06"
"1996","35-65","kein Migrationshintergrund","7.06","6.5","5171","7.01","7.11"
"1996","66 +","direkter Migrationshintergrund","7.28","7.5","226","6.99","7.57"
"1996","66 +","indirekter Migrationshintergrund","","","","",""
"1996","66 +","kein Migrationshintergrund","7.66","7.5","1309","7.56","7.76"
"1997","17-34","direkter Migrationshintergrund","6.65","6.5","775","6.51","6.79"
"1997","17-34","indirekter Migrationshintergrund","7.07","6.5","524","6.91","7.23"
"1997","17-34","kein Migrationshintergrund","6.77","6.5","3290","6.71","6.83"
"1997","35-65","direkter Migrationshintergrund","6.28","5.5","1455","6.18","6.38"
"1997","35-65","indirekter Migrationshintergrund","5.5","4.5","33","4.72","6.28"
"1997","35-65","kein Migrationshintergrund","6.6","6.5","5128","6.55","6.65"
"1997","66 +","direkter Migrationshintergrund","7.03","6.5","233","6.76","7.3"
"1997","66 +","indirekter Migrationshintergrund","","","","",""
"1997","66 +","kein Migrationshintergrund","7.23","7.5","1329","7.13","7.33"
"1998","17-34","direkter Migrationshintergrund","6.66","6.5","718","6.52","6.8"
"1998","17-34","indirekter Migrationshintergrund","7.02","6.5","546","6.86","7.18"
"1998","17-34","kein Migrationshintergrund","6.96","6.5","3582","6.9","7.02"
"1998","35-65","direkter Migrationshintergrund","6.74","6.5","1425","6.64","6.84"
"1998","35-65","indirekter Migrationshintergrund","6.04","5.5","44","5.29","6.79"
"1998","35-65","kein Migrationshintergrund","6.94","6.5","6021","6.89","6.99"
"1998","66 +","direkter Migrationshintergrund","7.14","6.5","247","6.89","7.39"
"1998","66 +","indirekter Migrationshintergrund","","","","",""
"1998","66 +","kein Migrationshintergrund","7.4","7.5","1588","7.31","7.49"
"1999","17-34","direkter Migrationshintergrund","6.82","6.5","633","6.67","6.97"
"1999","17-34","indirekter Migrationshintergrund","7.03","6.5","544","6.87","7.19"
"1999","17-34","kein Migrationshintergrund","7.07","6.5","3396","7.01","7.13"
"1999","35-65","direkter Migrationshintergrund","6.64","6.5","1311","6.54","6.74"
"1999","35-65","indirekter Migrationshintergrund","7.01","6.5","51","6.4","7.62"
"1999","35-65","kein Migrationshintergrund","7.07","6.5","5896","7.02","7.12"
"1999","66 +","direkter Migrationshintergrund","7.4","7.5","247","7.14","7.66"
"1999","66 +","indirekter Migrationshintergrund","","","","",""
"1999","66 +","kein Migrationshintergrund","7.54","7.5","1535","7.45","7.63"
"2000","17-34","direkter Migrationshintergrund","6.98","6.5","969","6.86","7.1"
"2000","17-34","indirekter Migrationshintergrund","7.18","6.5","706","7.05","7.31"
"2000","17-34","kein Migrationshintergrund","7.26","7.5","5378","7.21","7.31"
"2000","35-65","direkter Migrationshintergrund","6.76","6.5","1973","6.67","6.85"
"2000","35-65","indirekter Migrationshintergrund","7.01","6.5","97","6.66","7.36"
"2000","35-65","kein Migrationshintergrund","7.24","7.5","11328","7.21","7.27"
"2000","66 +","direkter Migrationshintergrund","7.15","6.5","353","6.96","7.34"
"2000","66 +","indirekter Migrationshintergrund","","","","",""
"2000","66 +","kein Migrationshintergrund","7.52","7.5","3214","7.46","7.58"
"2001","17-34","direkter Migrationshintergrund","7.14","6.5","822","7.02","7.26"
"2001","17-34","indirekter Migrationshintergrund","7.19","7.5","641","7.05","7.33"
"2001","17-34","kein Migrationshintergrund","7.2","7.5","4751","7.15","7.25"
"2001","35-65","direkter Migrationshintergrund","6.81","6.5","1753","6.72","6.9"
"2001","35-65","indirekter Migrationshintergrund","6.87","6.5","104","6.51","7.23"
"2001","35-65","kein Migrationshintergrund","7.18","7.5","10371","7.15","7.21"
"2001","66 +","direkter Migrationshintergrund","7.27","6.5","335","7.08","7.46"
"2001","66 +","indirekter Migrationshintergrund","","","","",""
"2001","66 +","kein Migrationshintergrund","7.66","7.5","3030","7.6","7.72"
"2002","17-34","direkter Migrationshintergrund","6.76","6.5","731","6.63","6.89"
