,Unnamed: 0,year,age_gr,plb0419_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1987,17-29 y.,Easy,0.2141,215,2584,0.19759,0.23175
1,1,1987,17-29 y.,Difficult,0.62609,656,2584,0.59743,0.65974
2,2,1987,17-29 y.,Almost impossible,0.15981,165,2584,0.14407,0.17689
3,3,1987,30-45 y.,Easy,0.15641,110,2584,0.13858,0.17077
4,4,1987,30-45 y.,Difficult,0.62302,460,2584,0.59545,0.65287
5,5,1987,30-45 y.,Almost impossible,0.22056,193,2584,0.1979,0.2425
6,6,1987,46-65 y.,Easy,0.05888,40,2584,0.0468,0.06889
7,7,1987,46-65 y.,Difficult,0.39832,290,2584,0.37522,0.41948
8,8,1987,46-65 y.,Almost impossible,0.54281,419,2584,0.5071,0.56958
9,9,1987,66 and older,Almost impossible,1.0,36,2584,0.8815,1.11366
10,10,1988,17-29 y.,Easy,0.25188,242,2429,0.23249,0.2716
11,11,1988,17-29 y.,Difficult,0.59409,600,2429,0.56087,0.62547
12,12,1988,17-29 y.,Almost impossible,0.15403,167,2429,0.13507,0.17641
13,13,1988,30-45 y.,Easy,0.12544,82,2429,0.11166,0.14263
14,14,1988,30-45 y.,Difficult,0.65955,455,2429,0.62248,0.69785
15,15,1988,30-45 y.,Almost impossible,0.21501,168,2429,0.19033,0.2355
16,16,1988,46-65 y.,Easy,0.06053,37,2429,0.05181,0.06927
17,17,1988,46-65 y.,Difficult,0.34913,242,2429,0.32294,0.36934
18,18,1988,46-65 y.,Almost impossible,0.59034,436,2429,0.55482,0.62215
19,19,1989,17-29 y.,Easy,0.28195,250,2223,0.25399,0.30562
20,20,1989,17-29 y.,Difficult,0.56419,522,2223,0.52457,0.59786
21,21,1989,17-29 y.,Almost impossible,0.15386,156,2223,0.13185,0.17386
22,22,1989,30-45 y.,Easy,0.15827,95,2223,0.14066,0.17792
23,23,1989,30-45 y.,Difficult,0.6189,372,2223,0.58363,0.66094
24,24,1989,30-45 y.,Almost impossible,0.22283,165,2223,0.201,0.24637
25,25,1989,46-65 y.,Easy,0.07281,44,2223,0.06424,0.08085
26,26,1989,46-65 y.,Difficult,0.35217,230,2223,0.32451,0.37645
27,27,1989,46-65 y.,Almost impossible,0.57502,389,2223,0.53614,0.60398
28,28,1990,17-29 y.,Easy,0.30874,338,2466,0.28475,0.33343
29,29,1990,17-29 y.,Difficult,0.51699,624,2466,0.48924,0.55495
30,30,1990,17-29 y.,Almost impossible,0.17427,187,2466,0.15832,0.19331
31,31,1990,30-45 y.,Easy,0.20745,115,2466,0.18657,0.23068
32,32,1990,30-45 y.,Difficult,0.6113,379,2466,0.57317,0.64226
33,33,1990,30-45 y.,Almost impossible,0.18125,137,2466,0.1598,0.20253
34,34,1990,46-65 y.,Easy,0.0598,37,2466,0.05264,0.06706
35,35,1990,46-65 y.,Difficult,0.37937,254,2466,0.3476,0.40899
36,36,1990,46-65 y.,Almost impossible,0.56083,395,2466,0.52424,0.59194
37,37,1991,17-29 y.,Easy,0.31002,334,2610,0.28753,0.33043
38,38,1991,17-29 y.,Difficult,0.51577,590,2610,0.48886,0.54714
39,39,1991,17-29 y.,Almost impossible,0.17421,204,2610,0.15621,0.18987
40,40,1991,30-45 y.,Easy,0.19798,128,2610,0.17867,0.21918
41,41,1991,30-45 y.,Difficult,0.62212,453,2610,0.58091,0.66528
42,42,1991,30-45 y.,Almost impossible,0.1799,142,2610,0.16121,0.20487
43,43,1991,46-65 y.,Easy,0.06928,44,2610,0.05989,0.07898
44,44,1991,46-65 y.,Difficult,0.35038,259,2610,0.32306,0.37653
45,45,1991,46-65 y.,Almost impossible,0.58035,456,2610,0.55345,0.61131
46,46,1992,17-29 y.,Easy,0.36817,387,2762,0.33882,0.39625
47,47,1992,17-29 y.,Difficult,0.49395,607,2762,0.47128,0.52439
48,48,1992,17-29 y.,Almost impossible,0.13788,165,2762,0.12637,0.1535
49,49,1992,30-45 y.,Easy,0.21731,155,2762,0.19298,0.23692
50,50,1992,30-45 y.,Difficult,0.59214,487,2762,0.55591,0.62621
51,51,1992,30-45 y.,Almost impossible,0.19054,166,2762,0.17096,0.21714
52,52,1992,46-65 y.,Easy,0.06764,43,2762,0.05923,0.07639
53,53,1992,46-65 y.,Difficult,0.37271,278,2762,0.34687,0.40106
54,54,1992,46-65 y.,Almost impossible,0.55965,474,2762,0.53098,0.59098
55,55,1993,17-29 y.,Easy,0.25776,284,2909,0.2372,0.28064
56,56,1993,17-29 y.,Difficult,0.56577,667,2909,0.53602,0.59641
57,57,1993,17-29 y.,Almost impossible,0.17647,225,2909,0.15846,0.19442
