year,age_gr,regtyp,plb0419_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1987,17-29 y.,Urban regions,Easy,0.21069,171,2525,0.21023,0.21115
1987,17-29 y.,Urban regions,Difficult,0.63658,537,2525,0.63604,0.63713
1987,17-29 y.,Urban regions,Almost impossible,0.15273,130,2525,0.15232,0.15314
1987,17-29 y.,Rural regions,Easy,0.22611,44,2525,0.22522,0.22700
1987,17-29 y.,Rural regions,Difficult,0.58913,119,2525,0.58808,0.59018
1987,17-29 y.,Rural regions,Almost impossible,0.18476,35,2525,0.18393,0.18558
1987,30-45 y.,Urban regions,Easy,0.16255,90,2525,0.16207,0.16303
1987,30-45 y.,Urban regions,Difficult,0.60756,364,2525,0.60693,0.60820
1987,30-45 y.,Urban regions,Almost impossible,0.22988,163,2525,0.22933,0.23043
1987,30-45 y.,Rural regions,Difficult,1.00000,96,2525,1.00000,1.00000
1987,46-65 y.,Urban regions,Easy,0.06533,35,2525,0.06504,0.06563
1987,46-65 y.,Urban regions,Difficult,0.37912,222,2525,0.37854,0.37969
1987,46-65 y.,Urban regions,Almost impossible,0.55555,347,2525,0.55496,0.55614
1987,46-65 y.,Rural regions,Difficult,0.48366,68,2525,0.48253,0.48479
1987,46-65 y.,Rural regions,Almost impossible,0.51634,72,2525,0.51521,0.51747
1987,66 and older,Urban regions,Almost impossible,1.00000,32,2525,1.00000,1.00000
1988,17-29 y.,Urban regions,Easy,0.26223,201,2315,0.26174,0.26272
1988,17-29 y.,Urban regions,Difficult,0.58134,483,2315,0.58080,0.58189
1988,17-29 y.,Urban regions,Almost impossible,0.15643,137,2315,0.15602,0.15683
1988,17-29 y.,Rural regions,Easy,0.25351,41,2315,0.25254,0.25448
1988,17-29 y.,Rural regions,Difficult,0.74649,117,2315,0.74552,0.74746
1988,30-45 y.,Urban regions,Easy,0.12494,65,2315,0.12450,0.12538
1988,30-45 y.,Urban regions,Difficult,0.65348,363,2315,0.65286,0.65411
1988,30-45 y.,Urban regions,Almost impossible,0.22158,138,2315,0.22103,0.22212
1988,30-45 y.,Rural regions,Difficult,1.00000,92,2315,1.00000,1.00000
1988,46-65 y.,Urban regions,Difficult,0.33320,185,2315,0.33261,0.33379
1988,46-65 y.,Urban regions,Almost impossible,0.66680,361,2315,0.66621,0.66739
1988,46-65 y.,Rural regions,Difficult,0.50092,57,2315,0.49977,0.50207
1988,46-65 y.,Rural regions,Almost impossible,0.49908,75,2315,0.49793,0.50023
1989,17-29 y.,Urban regions,Easy,0.28036,203,2199,0.27985,0.28087
1989,17-29 y.,Urban regions,Difficult,0.56618,430,2199,0.56561,0.56674
1989,17-29 y.,Urban regions,Almost impossible,0.15346,124,2199,0.15305,0.15387
1989,17-29 y.,Rural regions,Easy,0.28725,47,2199,0.28631,0.28820
1989,17-29 y.,Rural regions,Difficult,0.55757,92,2199,0.55654,0.55861
1989,17-29 y.,Rural regions,Almost impossible,0.15517,32,2199,0.15442,0.15593
1989,30-45 y.,Urban regions,Easy,0.17622,81,2199,0.17570,0.17673
1989,30-45 y.,Urban regions,Difficult,0.60973,297,2199,0.60907,0.61039
1989,30-45 y.,Urban regions,Almost impossible,0.21406,129,2199,0.21350,0.21461
1989,30-45 y.,Rural regions,Difficult,0.72077,75,2199,0.71962,0.72192
1989,30-45 y.,Rural regions,Almost impossible,0.27923,36,2199,0.27808,0.28038
1989,46-65 y.,Urban regions,Easy,0.07504,34,2199,0.07471,0.07536
1989,46-65 y.,Urban regions,Difficult,0.33587,180,2199,0.33529,0.33645
1989,46-65 y.,Urban regions,Almost impossible,0.58910,319,2199,0.58849,0.58970
1989,46-65 y.,Rural regions,Difficult,0.43807,50,2199,0.43689,0.43925
1989,46-65 y.,Rural regions,Almost impossible,0.56193,70,2199,0.56075,0.56311
1990,17-29 y.,Urban regions,Easy,0.33531,264,2412,0.33480,0.33582
1990,17-29 y.,Urban regions,Difficult,0.49848,427,2412,0.49794,0.49902
1990,17-29 y.,Urban regions,Almost impossible,0.16621,131,2412,0.16581,0.16661
1990,17-29 y.,Rural regions,Easy,0.24274,74,2412,0.24200,0.24348
1990,17-29 y.,Rural regions,Difficult,0.56387,196,2412,0.56301,0.56472
1990,17-29 y.,Rural regions,Almost impossible,0.19339,55,2412,0.19271,0.19407
1990,30-45 y.,Urban regions,Easy,0.23555,100,2412,0.23498,0.23612
1990,30-45 y.,Urban regions,Difficult,0.58742,276,2412,0.58676,0.58808
1990,30-45 y.,Urban regions,Almost impossible,0.17703,109,2412,0.17651,0.17754
1990,30-45 y.,Rural regions,Difficult,1.00000,101,2412,1.00000,1.00000
1990,46-65 y.,Urban regions,Easy,0.06689,31,2412,0.06658,0.06720
1990,46-65 y.,Urban regions,Difficult,0.33894,178,2412,0.33835,0.33953
1990,46-65 y.,Urban regions,Almost impossible,0.59417,309,2412,0.59356,0.59478
1990,46-65 y.,Rural regions,Difficult,0.51164,76,2412,0.51060,0.51269
1990,46-65 y.,Rural regions,Almost impossible,0.48836,85,2412,0.48731,0.48940
1991,17-29 y.,Urban regions,Easy,0.34430,254,2524,0.34375,0.34485
1991,17-29 y.,Urban regions,Difficult,0.48278,364,2524,0.48220,0.48335
1991,17-29 y.,Urban regions,Almost impossible,0.17292,136,2524,0.17249,0.17336
1991,17-29 y.,Rural regions,Easy,0.24784,79,2524,0.24715,0.24852
1991,17-29 y.,Rural regions,Difficult,0.57573,220,2524,0.57494,0.57652
1991,17-29 y.,Rural regions,Almost impossible,0.17644,66,2524,0.17583,0.17704
1991,30-45 y.,Urban regions,Easy,0.21200,100,2524,0.21147,0.21254
1991,30-45 y.,Urban regions,Difficult,0.63246,310,2524,0.63183,0.63309
1991,30-45 y.,Urban regions,Almost impossible,0.15554,88,2524,0.15506,0.15601
1991,30-45 y.,Rural regions,Difficult,0.70929,142,2524,0.70824,0.71033
1991,30-45 y.,Rural regions,Almost impossible,0.29071,54,2524,0.28967,0.29176
1991,46-65 y.,Urban regions,Difficult,0.36983,173,2524,0.36920,0.37045
1991,46-65 y.,Urban regions,Almost impossible,0.63017,313,2524,0.62955,0.63080
1991,46-65 y.,Rural regions,Difficult,0.38803,84,2524,0.38711,0.38895
1991,46-65 y.,Rural regions,Almost impossible,0.61197,141,2524,0.61105,0.61289
1992,17-29 y.,Urban regions,Easy,0.40109,284,2669,0.40054,0.40164
1992,17-29 y.,Urban regions,Difficult,0.45803,371,2669,0.45747,0.45859
1992,17-29 y.,Urban regions,Almost impossible,0.14088,114,2669,0.14049,0.14127
1992,17-29 y.,Rural regions,Easy,0.30562,102,2669,0.30488,0.30636
1992,17-29 y.,Rural regions,Difficult,0.56236,227,2669,0.56156,0.56315
1992,17-29 y.,Rural regions,Almost impossible,0.13202,50,2669,0.13148,0.13256
1992,30-45 y.,Urban regions,Easy,0.24624,126,2669,0.24570,0.24678
1992,30-45 y.,Urban regions,Difficult,0.57756,307,2669,0.57694,0.57818
1992,30-45 y.,Urban regions,Almost impossible,0.17620,98,2669,0.17573,0.17668
1992,30-45 y.,Rural regions,Difficult,0.73832,176,2669,0.73739,0.73926
1992,30-45 y.,Rural regions,Almost impossible,0.26168,66,2669,0.26074,0.26261
1992,46-65 y.,Urban regions,Difficult,0.38277,176,2669,0.38216,0.38338
1992,46-65 y.,Urban regions,Almost impossible,0.61723,320,2669,0.61662,0.61784
1992,46-65 y.,Rural regions,Difficult,0.43351,100,2669,0.43261,0.43441
1992,46-65 y.,Rural regions,Almost impossible,0.56649,152,2669,0.56559,0.56739
1993,17-29 y.,Urban regions,Easy,0.27695,206,2849,0.27646,0.27744
1993,17-29 y.,Urban regions,Difficult,0.54020,427,2849,0.53965,0.54074
1993,17-29 y.,Urban regions,Almost impossible,0.18286,165,2849,0.18243,0.18328
1993,17-29 y.,Rural regions,Easy,0.21556,78,2849,0.21490,0.21623
1993,17-29 y.,Rural regions,Difficult,0.62199,240,2849,0.62121,0.62278
1993,17-29 y.,Rural regions,Almost impossible,0.16244,60,2849,0.16185,0.16304
1993,30-45 y.,Urban regions,Easy,0.19245,89,2849,0.19197,0.19293
1993,30-45 y.,Urban regions,Difficult,0.65062,347,2849,0.65004,0.65120
1993,30-45 y.,Urban regions,Almost impossible,0.15693,99,2849,0.15649,0.15738
1993,30-45 y.,Rural regions,Difficult,0.69608,164,2849,0.69510,0.69705
1993,30-45 y.,Rural regions,Almost impossible,0.30392,78,2849,0.30295,0.30490
1993,46-65 y.,Urban regions,Difficult,0.37546,185,2849,0.37489,0.37603
1993,46-65 y.,Urban regions,Almost impossible,0.62454,360,2849,0.62397,0.62511
1993,46-65 y.,Rural regions,Difficult,0.35610,123,2849,0.35537,0.35682
1993,46-65 y.,Rural regions,Almost impossible,0.64390,228,2849,0.64318,0.64463
1994,17-29 y.,Urban regions,Easy,0.25568,177,2863,0.25521,0.25615
1994,17-29 y.,Urban regions,Difficult,0.56762,480,2863,0.56709,0.56815
1994,17-29 y.,Urban regions,Almost impossible,0.17670,156,2863,0.17629,0.17711
1994,17-29 y.,Rural regions,Easy,0.18629,70,2863,0.18564,0.18693
1994,17-29 y.,Rural regions,Difficult,0.65954,243,2863,0.65875,0.66033
1994,17-29 y.,Rural regions,Almost impossible,0.15417,51,2863,0.15357,0.15477
1994,30-45 y.,Urban regions,Easy,0.16500,87,2863,0.16455,0.16545
1994,30-45 y.,Urban regions,Difficult,0.61894,335,2863,0.61835,0.61953
1994,30-45 y.,Urban regions,Almost impossible,0.21606,126,2863,0.21556,0.21656
1994,30-45 y.,Rural regions,Difficult,0.70102,175,2863,0.70013,0.70191
1994,30-45 y.,Rural regions,Almost impossible,0.29898,77,2863,0.29809,0.29987
1994,46-65 y.,Urban regions,Difficult,0.32023,173,2863,0.31969,0.32077
1994,46-65 y.,Urban regions,Almost impossible,0.67977,389,2863,0.67923,0.68031
1994,46-65 y.,Rural regions,Difficult,0.39359,122,2863,0.39285,0.39434
1994,46-65 y.,Rural regions,Almost impossible,0.60641,202,2863,0.60566,0.60715
1995,17-29 y.,Urban regions,Easy,0.22749,173,2986,0.22704,0.22794
1995,17-29 y.,Urban regions,Difficult,0.60335,507,2986,0.60283,0.60388
1995,17-29 y.,Urban regions,Almost impossible,0.16916,159,2986,0.16876,0.16956
1995,17-29 y.,Rural regions,Easy,0.20435,64,2986,0.20365,0.20505
1995,17-29 y.,Rural regions,Difficult,0.64588,243,2986,0.64505,0.64671
1995,17-29 y.,Rural regions,Almost impossible,0.14977,54,2986,0.14915,0.15039
1995,30-45 y.,Urban regions,Easy,0.14927,89,2986,0.14885,0.14969
1995,30-45 y.,Urban regions,Difficult,0.66140,384,2986,0.66084,0.66196
1995,30-45 y.,Urban regions,Almost impossible,0.18933,135,2986,0.18887,0.18979
1995,30-45 y.,Rural regions,Easy,0.13600,32,2986,0.13539,0.13660
1995,30-45 y.,Rural regions,Difficult,0.62168,194,2986,0.62082,0.62253
1995,30-45 y.,Rural regions,Almost impossible,0.24233,73,2986,0.24157,0.24308
1995,46-65 y.,Urban regions,Difficult,0.37882,202,2986,0.37826,0.37937
1995,46-65 y.,Urban regions,Almost impossible,0.62118,359,2986,0.62063,0.62174
1995,46-65 y.,Rural regions,Difficult,0.39057,122,2986,0.38982,0.39133
1995,46-65 y.,Rural regions,Almost impossible,0.60943,196,2986,0.60867,0.61018
1996,17-29 y.,Urban regions,Easy,0.21769,152,2964,0.21724,0.21813
1996,17-29 y.,Urban regions,Difficult,0.59874,478,2964,0.59821,0.59927
1996,17-29 y.,Urban regions,Almost impossible,0.18358,167,2964,0.18316,0.18399
1996,17-29 y.,Rural regions,Easy,0.19192,66,2964,0.19127,0.19257
1996,17-29 y.,Rural regions,Difficult,0.67506,254,2964,0.67429,0.67584
1996,17-29 y.,Rural regions,Almost impossible,0.13302,57,2964,0.13246,0.13358
1996,30-45 y.,Urban regions,Easy,0.19383,101,2964,0.19336,0.19430
1996,30-45 y.,Urban regions,Difficult,0.59894,357,2964,0.59836,0.59953
1996,30-45 y.,Urban regions,Almost impossible,0.20723,128,2964,0.20674,0.20771
1996,30-45 y.,Rural regions,Easy,0.16972,49,2964,0.16904,0.17040
1996,30-45 y.,Rural regions,Difficult,0.61969,199,2964,0.61881,0.62056
1996,30-45 y.,Rural regions,Almost impossible,0.21059,65,2964,0.20986,0.21133
1996,46-65 y.,Urban regions,Difficult,0.36357,194,2964,0.36303,0.36411
1996,46-65 y.,Urban regions,Almost impossible,0.63643,373,2964,0.63589,0.63697
1996,46-65 y.,Rural regions,Difficult,0.47303,146,2964,0.47224,0.47382
1996,46-65 y.,Rural regions,Almost impossible,0.52697,178,2964,0.52618,0.52776
1997,17-29 y.,Urban regions,Easy,0.17831,117,2913,0.17790,0.17873
1997,17-29 y.,Urban regions,Difficult,0.62566,491,2913,0.62513,0.62619
1997,17-29 y.,Urban regions,Almost impossible,0.19603,162,2913,0.19560,0.19646
1997,17-29 y.,Rural regions,Easy,0.18209,56,2913,0.18143,0.18274
1997,17-29 y.,Rural regions,Difficult,0.64168,233,2913,0.64087,0.64249
1997,17-29 y.,Rural regions,Almost impossible,0.17623,63,2913,0.17559,0.17688
1997,30-45 y.,Urban regions,Easy,0.13309,80,2913,0.13269,0.13348
1997,30-45 y.,Urban regions,Difficult,0.66937,378,2913,0.66882,0.66992
1997,30-45 y.,Urban regions,Almost impossible,0.19754,138,2913,0.19708,0.19801
1997,30-45 y.,Rural regions,Easy,0.11053,34,2913,0.10999,0.11106
1997,30-45 y.,Rural regions,Difficult,0.67217,219,2913,0.67137,0.67297
1997,30-45 y.,Rural regions,Almost impossible,0.21731,68,2913,0.21660,0.21801
1997,46-65 y.,Urban regions,Difficult,0.35136,195,2913,0.35082,0.35190
1997,46-65 y.,Urban regions,Almost impossible,0.64864,372,2913,0.64810,0.64918
1997,46-65 y.,Rural regions,Difficult,0.41639,125,2913,0.41562,0.41715
1997,46-65 y.,Rural regions,Almost impossible,0.58361,182,2913,0.58285,0.58438
1998,17-29 y.,Urban regions,Easy,0.16730,133,3077,0.16689,0.16771
1998,17-29 y.,Urban regions,Difficult,0.64256,498,3077,0.64203,0.64309
1998,17-29 y.,Urban regions,Almost impossible,0.19014,170,3077,0.18971,0.19058
1998,17-29 y.,Rural regions,Easy,0.14988,52,3077,0.14927,0.15050
1998,17-29 y.,Rural regions,Difficult,0.72447,260,3077,0.72370,0.72523
1998,17-29 y.,Rural regions,Almost impossible,0.12565,53,3077,0.12508,0.12622
