year,age_gr,pgisced97,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,17-29 y.,Pre-primary Level,Difficult,0.74672,123,123,0.66955,0.82389
1987,17-29 y.,Primary Level,Difficult,0.67560,48,48,0.54176,0.80944
1987,17-29 y.,Lower Secondary Level,Easy,0.20656,65,340,0.16347,0.24966
1987,17-29 y.,Lower Secondary Level,Difficult,0.56599,212,340,0.51322,0.61875
1987,17-29 y.,Lower Secondary Level,Almost impossible,0.22745,63,340,0.18283,0.27207
1987,17-29 y.,Upper Secondary Level,Easy,0.25774,95,353,0.21205,0.30343
1987,17-29 y.,Upper Secondary Level,Difficult,0.61379,214,353,0.56292,0.66465
1987,17-29 y.,Upper Secondary Level,Almost impossible,0.12847,44,353,0.09352,0.16343
1987,30-45 y.,Primary Level,Difficult,0.46948,47,99,0.37067,0.56829
1987,30-45 y.,Primary Level,Almost impossible,0.46160,52,99,0.36290,0.56030
1987,30-45 y.,Lower Secondary Level,Difficult,0.58574,111,168,0.51102,0.66045
1987,30-45 y.,Lower Secondary Level,Almost impossible,0.29925,57,168,0.22980,0.36871
1987,30-45 y.,Upper Secondary Level,Easy,0.15577,57,361,0.11831,0.19323
1987,30-45 y.,Upper Secondary Level,Difficult,0.67401,242,361,0.62559,0.72243
1987,30-45 y.,Upper Secondary Level,Almost impossible,0.17022,62,361,0.13140,0.20905
1987,46-65 y.,Primary Level,Almost impossible,0.68090,79,79,0.57745,0.78434
1987,46-65 y.,Lower Secondary Level,Difficult,0.41014,120,285,0.35294,0.46735
1987,46-65 y.,Lower Secondary Level,Almost impossible,0.55569,165,285,0.49790,0.61348
1987,46-65 y.,Upper Secondary Level,Difficult,0.40493,120,266,0.34583,0.46403
1987,46-65 y.,Upper Secondary Level,Almost impossible,0.53378,146,266,0.47372,0.59385
1988,17-29 y.,Pre-primary Level,Easy,0.15598,31,130,0.09337,0.21859
1988,17-29 y.,Pre-primary Level,Difficult,0.70211,99,130,0.62319,0.78103
1988,17-29 y.,Primary Level,Difficult,0.57326,35,35,0.40701,0.73952
1988,17-29 y.,Lower Secondary Level,Easy,0.25864,78,333,0.21154,0.30574
1988,17-29 y.,Lower Secondary Level,Difficult,0.57953,193,333,0.52643,0.63263
1988,17-29 y.,Lower Secondary Level,Almost impossible,0.16183,62,333,0.12222,0.20145
1988,17-29 y.,Upper Secondary Level,Easy,0.26058,94,364,0.21543,0.30574
1988,17-29 y.,Upper Secondary Level,Difficult,0.59987,224,364,0.54947,0.65027
1988,17-29 y.,Upper Secondary Level,Almost impossible,0.13954,46,364,0.10390,0.17519
1988,30-45 y.,Primary Level,Difficult,0.46976,45,85,0.36303,0.57649
1988,30-45 y.,Primary Level,Almost impossible,0.52244,40,85,0.41562,0.62926
1988,30-45 y.,Lower Secondary Level,Difficult,0.62410,106,156,0.54785,0.70035
1988,30-45 y.,Lower Secondary Level,Almost impossible,0.29794,50,156,0.22594,0.36994
1988,30-45 y.,Upper Secondary Level,Easy,0.12432,45,344,0.08940,0.15924
1988,30-45 y.,Upper Secondary Level,Difficult,0.71117,244,344,0.66320,0.75913
1988,30-45 y.,Upper Secondary Level,Almost impossible,0.16451,55,344,0.12527,0.20374
1988,46-65 y.,Primary Level,Almost impossible,0.65309,81,81,0.54879,0.75740
1988,46-65 y.,Lower Secondary Level,Difficult,0.34456,94,263,0.28701,0.40210
1988,46-65 y.,Lower Secondary Level,Almost impossible,0.61862,169,263,0.55980,0.67744
1988,46-65 y.,Upper Secondary Level,Difficult,0.36093,101,255,0.30187,0.41999
