,Unnamed: 0,year,migback,quintil_oecd,plb0419_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1987,No migration background,1st Quintile,Easy,0.10134,45,2408,0.08898,0.11362
1,1,1987,No migration background,1st Quintile,Difficult,0.55578,233,2408,0.52562,0.58354
2,2,1987,No migration background,1st Quintile,Almost impossible,0.34287,134,2408,0.32542,0.36278
3,3,1987,No migration background,2nd Quintile,Easy,0.17545,70,2408,0.16037,0.19195
4,4,1987,No migration background,2nd Quintile,Difficult,0.50475,204,2408,0.47455,0.53236
5,5,1987,No migration background,2nd Quintile,Almost impossible,0.3198,107,2408,0.29988,0.33825
6,6,1987,No migration background,3rd Quintile,Easy,0.13796,50,2408,0.12473,0.15065
7,7,1987,No migration background,3rd Quintile,Difficult,0.62458,212,2408,0.59591,0.65236
8,8,1987,No migration background,3rd Quintile,Almost impossible,0.23746,73,2408,0.21987,0.25505
9,9,1987,No migration background,4th Quintile,Easy,0.16191,53,2408,0.14377,0.17704
10,10,1987,No migration background,4th Quintile,Difficult,0.51531,173,2408,0.48639,0.53864
11,11,1987,No migration background,4th Quintile,Almost impossible,0.32278,94,2408,0.30514,0.34302
12,12,1987,No migration background,5th Quintile,Easy,0.18466,52,2408,0.16579,0.20068
13,13,1987,No migration background,5th Quintile,Difficult,0.50201,129,2408,0.47486,0.5343
14,14,1987,No migration background,5th Quintile,Almost impossible,0.31332,75,2408,0.29026,0.3359
15,15,1987,Direct migration background,1st Quintile,Easy,0.08393,34,2408,0.05683,0.11931
16,16,1987,Direct migration background,1st Quintile,Difficult,0.46431,193,2408,0.39085,0.54236
17,17,1987,Direct migration background,1st Quintile,Almost impossible,0.45176,160,2408,0.38882,0.5278
18,18,1987,Direct migration background,2nd Quintile,Difficult,0.56398,114,2408,0.46647,0.68016
19,19,1987,Direct migration background,2nd Quintile,Almost impossible,0.43602,65,2408,0.3233,0.56065
20,20,1987,Direct migration background,3rd Quintile,Difficult,0.57134,58,2408,0.40358,0.73082
21,21,1987,Direct migration background,3rd Quintile,Almost impossible,0.42866,48,2408,0.30621,0.54854
22,22,1987,Direct migration background,4th Quintile,Difficult,1.0,32,2408,0.67876,1.34533
23,23,1988,No migration background,1st Quintile,Easy,0.13662,53,2306,0.11768,0.15379
24,24,1988,No migration background,1st Quintile,Difficult,0.5239,210,2306,0.49798,0.55617
25,25,1988,No migration background,1st Quintile,Almost impossible,0.33948,121,2306,0.31561,0.36051
26,26,1988,No migration background,2nd Quintile,Easy,0.16679,57,2306,0.15464,0.18042
27,27,1988,No migration background,2nd Quintile,Difficult,0.55659,191,2306,0.5293,0.58488
28,28,1988,No migration background,2nd Quintile,Almost impossible,0.27662,80,2306,0.25618,0.29713
29,29,1988,No migration background,3rd Quintile,Easy,0.16573,66,2306,0.14511,0.18548
30,30,1988,No migration background,3rd Quintile,Difficult,0.51436,186,2306,0.48668,0.53904
31,31,1988,No migration background,3rd Quintile,Almost impossible,0.31991,102,2306,0.30372,0.33874
32,32,1988,No migration background,4th Quintile,Easy,0.16236,52,2306,0.14717,0.17935
33,33,1988,No migration background,4th Quintile,Difficult,0.57521,169,2306,0.55049,0.60421
34,34,1988,No migration background,4th Quintile,Almost impossible,0.26243,80,2306,0.24557,0.28274
35,35,1988,No migration background,5th Quintile,Easy,0.16815,40,2306,0.15064,0.18889
36,36,1988,No migration background,5th Quintile,Difficult,0.44713,107,2306,0.41019,0.47885
37,37,1988,No migration background,5th Quintile,Almost impossible,0.38473,85,2306,0.36455,0.40436
38,38,1988,Direct migration background,1st Quintile,Easy,0.10091,34,2306,0.06391,0.15725
39,39,1988,Direct migration background,1st Quintile,Difficult,0.47351,166,2306,0.40164,0.57265
40,40,1988,Direct migration background,1st Quintile,Almost impossible,0.42559,160,2306,0.37657,0.49034
41,41,1988,Direct migration background,2nd Quintile,Difficult,0.52522,106,2306,0.42999,0.62259
42,42,1988,Direct migration background,2nd Quintile,Almost impossible,0.47478,76,2306,0.35418,0.60961
43,43,1988,Direct migration background,3rd Quintile,Difficult,0.56564,48,2306,0.40023,0.74731
44,44,1988,Direct migration background,3rd Quintile,Almost impossible,0.43436,35,2306,0.27595,0.65391
45,45,1988,Direct migration background,4th Quintile,Difficult,0.54583,45,2306,0.3948,0.72084
46,46,1988,Direct migration background,4th Quintile,Almost impossible,0.45417,37,2306,0.31838,0.62355
47,47,1989,No migration background,1st Quintile,Easy,0.14946,53,2070,0.13014,0.17086
48,48,1989,No migration background,1st Quintile,Difficult,0.5194,178,2070,0.48619,0.55439
49,49,1989,No migration background,1st Quintile,Almost impossible,0.33114,100,2070,0.30673,0.35858
50,50,1989,No migration background,2nd Quintile,Easy,0.2222,77,2070,0.20255,0.24178
51,51,1989,No migration background,2nd Quintile,Difficult,0.48051,152,2070,0.44911,0.50846
52,52,1989,No migration background,2nd Quintile,Almost impossible,0.2973,89,2070,0.27844,0.31941
53,53,1989,No migration background,3rd Quintile,Easy,0.18908,62,2070,0.17102,0.20971
54,54,1989,No migration background,3rd Quintile,Difficult,0.50706,157,2070,0.4836,0.53149
55,55,1989,No migration background,3rd Quintile,Almost impossible,0.30386,88,2070,0.28341,0.32001
56,56,1989,No migration background,4th Quintile,Easy,0.21602,60,2070,0.1931,0.23947
57,57,1989,No migration background,4th Quintile,Difficult,0.50915,136,2070,0.48043,0.53816
58,58,1989,No migration background,4th Quintile,Almost impossible,0.27483,71,2070,0.25289,0.29837
59,59,1989,No migration background,5th Quintile,Easy,0.13545,31,2070,0.11598,0.15309
60,60,1989,No migration background,5th Quintile,Difficult,0.53539,112,2070,0.49649,0.57245
61,61,1989,No migration background,5th Quintile,Almost impossible,0.32916,65,2070,0.29968,0.35448
62,62,1989,Direct migration background,1st Quintile,Easy,0.13449,43,2070,0.09936,0.17739
63,63,1989,Direct migration background,1st Quintile,Difficult,0.40175,152,2070,0.32997,0.46475
64,64,1989,Direct migration background,1st Quintile,Almost impossible,0.46376,156,2070,0.38284,0.5572
65,65,1989,Direct migration background,2nd Quintile,Difficult,0.52727,98,2070,0.42786,0.62742
66,66,1989,Direct migration background,2nd Quintile,Almost impossible,0.47273,84,2070,0.37531,0.57601
67,67,1989,Direct migration background,3rd Quintile,Difficult,0.52813,38,2070,0.33797,0.70663
68,68,1989,Direct migration background,3rd Quintile,Almost impossible,0.47187,35,2070,0.30715,0.63854
69,69,1989,Direct migration background,4th Quintile,Difficult,1.0,33,2070,0.66647,1.42317
70,70,1990,No migration background,1st Quintile,Easy,0.15078,54,1905,0.12877,0.16918
71,71,1990,No migration background,1st Quintile,Difficult,0.49882,144,1905,0.46251,0.53286
72,72,1990,No migration background,1st Quintile,Almost impossible,0.35041,96,1905,0.31889,0.38178
73,73,1990,No migration background,2nd Quintile,Easy,0.22027,69,1905,0.19612,0.24867
74,74,1990,No migration background,2nd Quintile,Difficult,0.48528,158,1905,0.45883,0.51188
75,75,1990,No migration background,2nd Quintile,Almost impossible,0.29445,78,1905,0.273,0.31557
76,76,1990,No migration background,3rd Quintile,Easy,0.25249,70,1905,0.22665,0.27813
77,77,1990,No migration background,3rd Quintile,Difficult,0.49735,132,1905,0.46946,0.53233
78,78,1990,No migration background,3rd Quintile,Almost impossible,0.25016,71,1905,0.23404,0.26717
79,79,1990,No migration background,4th Quintile,Easy,0.24108,60,1905,0.2183,0.26677
80,80,1990,No migration background,4th Quintile,Difficult,0.42601,100,1905,0.39452,0.45697
81,81,1990,No migration background,4th Quintile,Almost impossible,0.33291,74,1905,0.30887,0.3596
82,82,1990,No migration background,5th Quintile,Easy,0.23298,55,1905,0.20479,0.26207
83,83,1990,No migration background,5th Quintile,Difficult,0.49152,107,1905,0.45203,0.52614
84,84,1990,No migration background,5th Quintile,Almost impossible,0.27551,55,1905,0.25354,0.29665
85,85,1990,Direct migration background,1st Quintile,Easy,0.10886,34,1905,0.06076,0.17007
86,86,1990,Direct migration background,1st Quintile,Difficult,0.43814,164,1905,0.38411,0.52206
87,87,1990,Direct migration background,1st Quintile,Almost impossible,0.453,153,1905,0.38805,0.5206
88,88,1990,Direct migration background,2nd Quintile,Difficult,0.68254,88,1905,0.53014,0.81884
89,89,1990,Direct migration background,2nd Quintile,Almost impossible,0.31746,59,1905,0.24588,0.40685
90,90,1990,Direct migration background,3rd Quintile,Difficult,0.40786,45,1905,0.30364,0.51486
91,91,1990,Direct migration background,3rd Quintile,Almost impossible,0.59214,39,1905,0.39886,0.82215
92,92,1991,No migration background,1st Quintile,Easy,0.19649,61,1784,0.17297,0.22115
93,93,1991,No migration background,1st Quintile,Difficult,0.43238,117,1784,0.39283,0.46948
94,94,1991,No migration background,1st Quintile,Almost impossible,0.37113,103,1784,0.33927,0.40135
95,95,1991,No migration background,2nd Quintile,Easy,0.22873,74,1784,0.20543,0.24906
96,96,1991,No migration background,2nd Quintile,Difficult,0.52803,141,1784,0.49009,0.55793
97,97,1991,No migration background,2nd Quintile,Almost impossible,0.24324,60,1784,0.21806,0.26501
98,98,1991,No migration background,3rd Quintile,Easy,0.24799,72,1784,0.22764,0.27044
99,99,1991,No migration background,3rd Quintile,Difficult,0.50059,139,1784,0.46715,0.53731
100,100,1991,No migration background,3rd Quintile,Almost impossible,0.25142,67,1784,0.23338,0.27295
101,101,1991,No migration background,4th Quintile,Easy,0.27706,72,1784,0.25195,0.30435
102,102,1991,No migration background,4th Quintile,Difficult,0.43769,105,1784,0.40867,0.47146
103,103,1991,No migration background,4th Quintile,Almost impossible,0.28525,64,1784,0.2614,0.31459
104,104,1991,No migration background,5th Quintile,Easy,0.23789,56,1784,0.21045,0.26553
105,105,1991,No migration background,5th Quintile,Difficult,0.45985,88,1784,0.42742,0.4924
106,106,1991,No migration background,5th Quintile,Almost impossible,0.30226,55,1784,0.2776,0.33305
107,107,1991,Direct migration background,1st Quintile,Easy,0.13831,35,1784,0.09669,0.18366
108,108,1991,Direct migration background,1st Quintile,Difficult,0.41464,133,1784,0.36674,0.47191
109,109,1991,Direct migration background,1st Quintile,Almost impossible,0.44705,131,1784,0.38836,0.50111
110,110,1991,Direct migration background,2nd Quintile,Difficult,0.55837,71,1784,0.44128,0.71582
111,111,1991,Direct migration background,2nd Quintile,Almost impossible,0.44163,56,1784,0.31221,0.57062
112,112,1991,Direct migration background,3rd Quintile,Difficult,0.56843,47,1784,0.41669,0.74497
113,113,1991,Direct migration background,3rd Quintile,Almost impossible,0.43157,37,1784,0.28882,0.60636
114,114,1992,No migration background,1st Quintile,Easy,0.14219,65,2486,0.11675,0.16945
115,115,1992,No migration background,1st Quintile,Difficult,0.49563,317,2486,0.4648,0.53094
116,116,1992,No migration background,1st Quintile,Almost impossible,0.36218,191,2486,0.33055,0.39818
117,117,1992,No migration background,2nd Quintile,Easy,0.25897,107,2486,0.23344,0.28874
118,118,1992,No migration background,2nd Quintile,Difficult,0.46102,220,2486,0.41961,0.49299
119,119,1992,No migration background,2nd Quintile,Almost impossible,0.28001,116,2486,0.25004,0.30765
120,120,1992,No migration background,3rd Quintile,Easy,0.26199,101,2486,0.23195,0.2961
121,121,1992,No migration background,3rd Quintile,Difficult,0.49453,203,2486,0.45696,0.54284
122,122,1992,No migration background,3rd Quintile,Almost impossible,0.24348,97,2486,0.22244,0.26253
123,123,1992,No migration background,4th Quintile,Easy,0.2887,92,2486,0.25647,0.3169
124,124,1992,No migration background,4th Quintile,Difficult,0.47981,153,2486,0.43958,0.51644
125,125,1992,No migration background,4th Quintile,Almost impossible,0.23149,73,2486,0.21015,0.25505
126,126,1992,No migration background,5th Quintile,Easy,0.26807,75,2486,0.24001,0.29756
127,127,1992,No migration background,5th Quintile,Difficult,0.49494,125,2486,0.45265,0.53964
128,128,1992,No migration background,5th Quintile,Almost impossible,0.23699,57,2486,0.21578,0.25957
129,129,1992,Direct migration background,1st Quintile,Difficult,0.51973,92,2486,0.43037,0.61377
130,130,1992,Direct migration background,1st Quintile,Almost impossible,0.48027,95,2486,0.41257,0.55427
131,131,1992,Direct migration background,2nd Quintile,Difficult,0.51164,90,2486,0.41505,0.61215
132,132,1992,Direct migration background,2nd Quintile,Almost impossible,0.48836,81,2486,0.39922,0.57565
133,133,1992,Direct migration background,3rd Quintile,Difficult,0.5221,47,2486,0.41852,0.64509
134,134,1992,Direct migration background,3rd Quintile,Almost impossible,0.4779,44,2486,0.36477,0.64083
135,135,1992,Direct migration background,4th Quintile,Difficult,1.0,45,2486,0.72481,1.33812
136,136,1993,No migration background,1st Quintile,Easy,0.10424,54,2678,0.08871,0.12124
137,137,1993,No migration background,1st Quintile,Difficult,0.4705,298,2678,0.42759,0.51339
138,138,1993,No migration background,1st Quintile,Almost impossible,0.42526,258,2678,0.39656,0.45498
139,139,1993,No migration background,2nd Quintile,Easy,0.17525,76,2678,0.15344,0.20022
140,140,1993,No migration background,2nd Quintile,Difficult,0.48465,241,2678,0.44229,0.52416
141,141,1993,No migration background,2nd Quintile,Almost impossible,0.3401,149,2678,0.31154,0.36694
142,142,1993,No migration background,3rd Quintile,Easy,0.21411,80,2678,0.18548,0.24228
143,143,1993,No migration background,3rd Quintile,Difficult,0.54815,226,2678,0.49966,0.60337
144,144,1993,No migration background,3rd Quintile,Almost impossible,0.23774,99,2678,0.21649,0.27147
145,145,1993,No migration background,4th Quintile,Easy,0.21364,80,2678,0.18621,0.23608
146,146,1993,No migration background,4th Quintile,Difficult,0.48177,173,2678,0.44009,0.51751
147,147,1993,No migration background,4th Quintile,Almost impossible,0.30459,99,2678,0.27949,0.33046
148,148,1993,No migration background,5th Quintile,Easy,0.1698,51,2678,0.14902,0.19869
149,149,1993,No migration background,5th Quintile,Difficult,0.57346,149,2678,0.52601,0.61973
150,150,1993,No migration background,5th Quintile,Almost impossible,0.25674,62,2678,0.23487,0.28198
151,151,1993,Direct migration background,1st Quintile,Difficult,0.45813,119,2678,0.38175,0.53693
152,152,1993,Direct migration background,1st Quintile,Almost impossible,0.54187,143,2678,0.48132,0.60453
153,153,1993,Direct migration background,2nd Quintile,Difficult,0.58184,88,2678,0.48017,0.69568
154,154,1993,Direct migration background,2nd Quintile,Almost impossible,0.41816,75,2678,0.32526,0.52446
155,155,1993,Direct migration background,3rd Quintile,Difficult,0.67925,49,2678,0.46385,0.91465
156,156,1993,Direct migration background,3rd Quintile,Almost impossible,0.32075,32,2678,0.22365,0.43673
157,157,1993,Direct migration background,4th Quintile,Difficult,1.0,42,2678,0.6907,1.37757
158,158,1993,Indirect migration background,1st Quintile,Difficult,1.0,35,2678,0.79591,1.2169
159,159,1994,No migration background,1st Quintile,Easy,0.10511,59,2653,0.08382,0.12899
160,160,1994,No migration background,1st Quintile,Difficult,0.4927,301,2653,0.45295,0.53212
161,161,1994,No migration background,1st Quintile,Almost impossible,0.40219,228,2653,0.37226,0.43834
162,162,1994,No migration background,2nd Quintile,Easy,0.12261,56,2653,0.10048,0.14366
163,163,1994,No migration background,2nd Quintile,Difficult,0.53092,271,2653,0.48048,0.58144
164,164,1994,No migration background,2nd Quintile,Almost impossible,0.34647,150,2653,0.31734,0.3844
165,165,1994,No migration background,3rd Quintile,Easy,0.19088,77,2653,0.1631,0.22105
166,166,1994,No migration background,3rd Quintile,Difficult,0.49703,213,2653,0.45918,0.54072
167,167,1994,No migration background,3rd Quintile,Almost impossible,0.31209,117,2653,0.27894,0.3546
168,168,1994,No migration background,4th Quintile,Easy,0.20965,71,2653,0.18262,0.23842
169,169,1994,No migration background,4th Quintile,Difficult,0.48234,194,2653,0.43863,0.51175
170,170,1994,No migration background,4th Quintile,Almost impossible,0.30801,98,2653,0.27191,0.34778
171,171,1994,No migration background,5th Quintile,Easy,0.1266,45,2653,0.10852,0.1436
172,172,1994,No migration background,5th Quintile,Difficult,0.52819,136,2653,0.48524,0.57418
173,173,1994,No migration background,5th Quintile,Almost impossible,0.34521,89,2653,0.30741,0.38905
174,174,1994,Direct migration background,1st Quintile,Difficult,0.48772,126,2653,0.42098,0.55288
175,175,1994,Direct migration background,1st Quintile,Almost impossible,0.51228,142,2653,0.45149,0.57779
176,176,1994,Direct migration background,2nd Quintile,Difficult,0.57607,80,2653,0.4559,0.69429
177,177,1994,Direct migration background,2nd Quintile,Almost impossible,0.42393,69,2653,0.33842,0.53649
178,178,1994,Direct migration background,3rd Quintile,Difficult,0.50627,49,2653,0.37131,0.65799
179,179,1994,Direct migration background,3rd Quintile,Almost impossible,0.49373,46,2653,0.36814,0.68413
180,180,1994,Indirect migration background,1st Quintile,Difficult,1.0,36,2653,0.74187,1.31774
181,181,1995,No migration background,1st Quintile,Easy,0.13806,64,2801,0.11324,0.16861
182,182,1995,No migration background,1st Quintile,Difficult,0.52818,318,2801,0.48614,0.57662
183,183,1995,No migration background,1st Quintile,Almost impossible,0.33376,185,2801,0.30514,0.37009
184,184,1995,No migration background,2nd Quintile,Easy,0.11278,54,2801,0.09292,0.13714
185,185,1995,No migration background,2nd Quintile,Difficult,0.53713,261,2801,0.48963,0.58667
186,186,1995,No migration background,2nd Quintile,Almost impossible,0.35009,149,2801,0.30993,0.3909
187,187,1995,No migration background,3rd Quintile,Easy,0.13684,60,2801,0.1191,0.15832
188,188,1995,No migration background,3rd Quintile,Difficult,0.55812,221,2801,0.51453,0.62104
189,189,1995,No migration background,3rd Quintile,Almost impossible,0.30504,111,2801,0.27496,0.34163
190,190,1995,No migration background,4th Quintile,Easy,0.16302,59,2801,0.14128,0.1912
191,191,1995,No migration background,4th Quintile,Difficult,0.50756,190,2801,0.4694,0.54909
192,192,1995,No migration background,4th Quintile,Almost impossible,0.32943,92,2801,0.28238,0.38095
193,193,1995,No migration background,5th Quintile,Easy,0.11805,44,2801,0.1033,0.13496
194,194,1995,No migration background,5th Quintile,Difficult,0.56371,169,2801,0.51516,0.61538
195,195,1995,No migration background,5th Quintile,Almost impossible,0.31824,85,2801,0.28449,0.36198
196,196,1995,Direct migration background,1st Quintile,Difficult,0.53116,186,2801,0.4628,0.60103
197,197,1995,Direct migration background,1st Quintile,Almost impossible,0.46884,183,2801,0.4041,0.53974
198,198,1995,Direct migration background,2nd Quintile,Difficult,0.5686,106,2801,0.47289,0.66643
199,199,1995,Direct migration background,2nd Quintile,Almost impossible,0.4314,82,2801,0.35984,0.52764
200,200,1995,Direct migration background,3rd Quintile,Difficult,0.5326,36,2801,0.34812,0.77551
201,201,1995,Direct migration background,3rd Quintile,Almost impossible,0.4674,41,2801,0.32379,0.61859
202,202,1995,Direct migration background,4th Quintile,Difficult,1.0,37,2801,0.72248,1.32895
203,203,1995,Indirect migration background,1st Quintile,Difficult,1.0,35,2801,0.78316,1.2724
204,204,1995,Indirect migration background,2nd Quintile,Difficult,1.0,33,2801,0.74771,1.33262
205,205,1996,No migration background,1st Quintile,Easy,0.11427,64,2732,0.09465,0.13938
206,206,1996,No migration background,1st Quintile,Difficult,0.56312,304,2732,0.51082,0.61293
207,207,1996,No migration background,1st Quintile,Almost impossible,0.3226,175,2732,0.28834,0.3555
