,Unnamed: 0,year,bula_h,migback,plb0419_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1987,Schleswig-Holstein,No migration background,Difficult,1.0,33,2115,0.8785,1.09432
1,1,1987,Lower Saxony,No migration background,Difficult,0.67892,134,2115,0.62955,0.71927
2,2,1987,Lower Saxony,No migration background,Almost impossible,0.32108,59,2115,0.30154,0.33907
3,3,1987,Lower Saxony,Direct migration background,Difficult,1.0,32,2115,0.73965,1.3262
4,4,1987,North Rhine-Westphalia,No migration background,Easy,0.11538,71,2115,0.10709,0.12449
5,5,1987,North Rhine-Westphalia,No migration background,Difficult,0.55025,320,2115,0.52978,0.57629
6,6,1987,North Rhine-Westphalia,No migration background,Almost impossible,0.33437,165,2115,0.31905,0.35367
7,7,1987,North Rhine-Westphalia,Direct migration background,Difficult,0.44425,117,2115,0.35861,0.52552
8,8,1987,North Rhine-Westphalia,Direct migration background,Almost impossible,0.55575,114,2115,0.4488,0.68942
9,9,1987,Hesse,No migration background,Difficult,0.54491,67,2115,0.49423,0.59421
10,10,1987,Hesse,No migration background,Almost impossible,0.45509,45,2115,0.42081,0.49711
11,11,1987,Hesse,Direct migration background,Difficult,0.49592,52,2115,0.36969,0.65822
12,12,1987,Hesse,Direct migration background,Almost impossible,0.50408,46,2115,0.33859,0.72299
13,13,1987,"Rhineland-Palatinate, Saarland",No migration background,Difficult,0.53785,82,2115,0.49792,0.56947
14,14,1987,"Rhineland-Palatinate, Saarland",No migration background,Almost impossible,0.46215,63,2115,0.43042,0.49329
15,15,1987,Baden-Wuerttemberg,No migration background,Easy,0.21471,52,2115,0.1919,0.24217
16,16,1987,Baden-Wuerttemberg,No migration background,Difficult,0.57124,133,2115,0.5324,0.61283
17,17,1987,Baden-Wuerttemberg,No migration background,Almost impossible,0.21406,47,2115,0.19583,0.22981
18,18,1987,Baden-Wuerttemberg,Direct migration background,Difficult,0.45934,94,2115,0.3605,0.57798
19,19,1987,Baden-Wuerttemberg,Direct migration background,Almost impossible,0.54066,82,2115,0.41259,0.66907
20,20,1987,Bavaria,No migration background,Easy,0.2061,59,2115,0.19083,0.22044
21,21,1987,Bavaria,No migration background,Difficult,0.54102,138,2115,0.51443,0.56288
22,22,1987,Bavaria,No migration background,Almost impossible,0.25288,63,2115,0.23274,0.27451
23,23,1987,Bavaria,Direct migration background,Difficult,1.0,47,2115,0.74562,1.24952
24,24,1988,Schleswig-Holstein,No migration background,Difficult,1.0,38,2021,0.89155,1.09462
25,25,1988,Lower Saxony,No migration background,Easy,0.1471,34,2021,0.11928,0.17076
26,26,1988,Lower Saxony,No migration background,Difficult,0.5352,114,2021,0.49315,0.57221
27,27,1988,Lower Saxony,No migration background,Almost impossible,0.31771,58,2021,0.29299,0.34815
28,28,1988,Lower Saxony,Direct migration background,Difficult,1.0,31,2021,0.73025,1.29771
29,29,1988,North Rhine-Westphalia,No migration background,Easy,0.14133,79,2021,0.12973,0.15699
30,30,1988,North Rhine-Westphalia,No migration background,Difficult,0.54353,292,2021,0.5176,0.57141
31,31,1988,North Rhine-Westphalia,No migration background,Almost impossible,0.31515,158,2021,0.29891,0.33074
32,32,1988,North Rhine-Westphalia,Direct migration background,Difficult,0.52466,113,2021,0.41454,0.64368
33,33,1988,North Rhine-Westphalia,Direct migration background,Almost impossible,0.47534,101,2021,0.38773,0.59856
34,34,1988,Hesse,No migration background,Difficult,0.50898,68,2021,0.46384,0.5539
35,35,1988,Hesse,No migration background,Almost impossible,0.49102,45,2021,0.44326,0.54642
36,36,1988,Hesse,Direct migration background,Difficult,0.46958,50,2021,0.32043,0.65636
37,37,1988,Hesse,Direct migration background,Almost impossible,0.53042,44,2021,0.36208,0.77515
38,38,1988,"Rhineland-Palatinate, Saarland",No migration background,Difficult,0.54001,77,2021,0.49854,0.58819
39,39,1988,"Rhineland-Palatinate, Saarland",No migration background,Almost impossible,0.45999,62,2021,0.41555,0.50591
40,40,1988,Baden-Wuerttemberg,No migration background,Easy,0.20316,44,2021,0.17271,0.22808
41,41,1988,Baden-Wuerttemberg,No migration background,Difficult,0.50394,115,2021,0.46651,0.53987
42,42,1988,Baden-Wuerttemberg,No migration background,Almost impossible,0.2929,59,2021,0.26697,0.32037
43,43,1988,Baden-Wuerttemberg,Direct migration background,Difficult,0.51493,83,2021,0.41127,0.65816
44,44,1988,Baden-Wuerttemberg,Direct migration background,Almost impossible,0.48507,79,2021,0.37898,0.66822
45,45,1988,Bavaria,No migration background,Easy,0.23102,56,2021,0.2008,0.25794
46,46,1988,Bavaria,No migration background,Difficult,0.53991,124,2021,0.50928,0.56723
47,47,1988,Bavaria,No migration background,Almost impossible,0.22907,52,2021,0.21316,0.24853
48,48,1988,Bavaria,Direct migration background,Difficult,1.0,45,2021,0.78026,1.31064
49,49,1989,Schleswig-Holstein,No migration background,Difficult,1.0,31,1799,0.89204,1.13018
50,50,1989,Lower Saxony,No migration background,Easy,0.17279,36,1799,0.1543,0.19441
51,51,1989,Lower Saxony,No migration background,Difficult,0.46374,88,1799,0.42514,0.50332
52,52,1989,Lower Saxony,No migration background,Almost impossible,0.36347,62,1799,0.33862,0.38987
53,53,1989,North Rhine-Westphalia,No migration background,Easy,0.16843,81,1799,0.15518,0.18463
54,54,1989,North Rhine-Westphalia,No migration background,Difficult,0.52154,255,1799,0.49368,0.54506
55,55,1989,North Rhine-Westphalia,No migration background,Almost impossible,0.31003,137,1799,0.29076,0.32892
56,56,1989,North Rhine-Westphalia,Direct migration background,Difficult,0.46069,93,1799,0.35364,0.58753
57,57,1989,North Rhine-Westphalia,Direct migration background,Almost impossible,0.53931,109,1799,0.43589,0.64783
58,58,1989,Hesse,No migration background,Easy,0.40511,40,1799,0.3509,0.47073
59,59,1989,Hesse,No migration background,Difficult,0.59489,65,1799,0.53649,0.65574
60,60,1989,Hesse,Direct migration background,Difficult,0.49341,45,1799,0.33568,0.69007
61,61,1989,Hesse,Direct migration background,Almost impossible,0.50659,33,1799,0.34321,0.65426
62,62,1989,"Rhineland-Palatinate, Saarland",No migration background,Difficult,0.49881,62,1799,0.44866,0.53892
63,63,1989,"Rhineland-Palatinate, Saarland",No migration background,Almost impossible,0.50119,56,1799,0.44731,0.56592
64,64,1989,Baden-Wuerttemberg,No migration background,Easy,0.19232,43,1799,0.16301,0.21419
65,65,1989,Baden-Wuerttemberg,No migration background,Difficult,0.54373,97,1799,0.49871,0.58633
66,66,1989,Baden-Wuerttemberg,No migration background,Almost impossible,0.26395,46,1799,0.23671,0.29656
67,67,1989,Baden-Wuerttemberg,Direct migration background,Difficult,0.58563,75,1799,0.45356,0.72239
68,68,1989,Baden-Wuerttemberg,Direct migration background,Almost impossible,0.41437,59,1799,0.28497,0.573
69,69,1989,Bavaria,No migration background,Easy,0.22203,54,1799,0.19874,0.24927
70,70,1989,Bavaria,No migration background,Difficult,0.51307,107,1799,0.47874,0.54742
71,71,1989,Bavaria,No migration background,Almost impossible,0.2649,55,1799,0.24303,0.28784
72,72,1989,Bavaria,Direct migration background,Difficult,0.47304,36,1799,0.3491,0.60665
73,73,1989,Bavaria,Direct migration background,Almost impossible,0.52696,34,1799,0.35023,0.74898
74,74,1990,Lower Saxony,No migration background,Easy,0.16842,31,1862,0.14506,0.18995
75,75,1990,Lower Saxony,No migration background,Difficult,0.49623,87,1862,0.45555,0.54894
76,76,1990,Lower Saxony,No migration background,Almost impossible,0.33536,55,1862,0.30294,0.36689
77,77,1990,North Rhine-Westphalia,No migration background,Easy,0.19962,83,1862,0.18309,0.21592
78,78,1990,North Rhine-Westphalia,No migration background,Difficult,0.47535,202,1862,0.45112,0.50204
79,79,1990,North Rhine-Westphalia,No migration background,Almost impossible,0.32503,132,1862,0.30644,0.34964
80,80,1990,North Rhine-Westphalia,Direct migration background,Difficult,0.47831,94,1862,0.39575,0.56969
81,81,1990,North Rhine-Westphalia,Direct migration background,Almost impossible,0.52169,109,1862,0.44189,0.60968
82,82,1990,Hesse,No migration background,Easy,0.35919,36,1862,0.31563,0.41035
83,83,1990,Hesse,No migration background,Difficult,0.64081,57,1862,0.59471,0.69307
84,84,1990,Hesse,Direct migration background,Difficult,0.41888,31,1862,0.29273,0.58663
85,85,1990,Hesse,Direct migration background,Almost impossible,0.58112,34,1862,0.41376,0.75968
86,86,1990,"Rhineland-Palatinate, Saarland",No migration background,Difficult,0.56001,62,1862,0.51388,0.60977
87,87,1990,"Rhineland-Palatinate, Saarland",No migration background,Almost impossible,0.43999,47,1862,0.38802,0.49796
88,88,1990,Baden-Wuerttemberg,No migration background,Easy,0.30495,59,1862,0.26147,0.33724
89,89,1990,Baden-Wuerttemberg,No migration background,Difficult,0.46906,77,1862,0.4292,0.51181
90,90,1990,Baden-Wuerttemberg,No migration background,Almost impossible,0.22598,34,1862,0.20447,0.25972
91,91,1990,Baden-Wuerttemberg,Direct migration background,Difficult,0.64629,80,1862,0.48497,0.83758
92,92,1990,Baden-Wuerttemberg,Direct migration background,Almost impossible,0.35371,46,1862,0.23204,0.51974
93,93,1990,Bavaria,No migration background,Easy,0.26213,63,1862,0.23442,0.28825
94,94,1990,Bavaria,No migration background,Difficult,0.45508,100,1862,0.43072,0.48325
95,95,1990,Bavaria,No migration background,Almost impossible,0.28279,55,1862,0.262,0.30659
96,96,1990,Bavaria,Direct migration background,Difficult,1.0,42,1862,0.77398,1.29379
97,97,1990,Berlin,No migration background,Difficult,1.0,32,1862,0.79259,1.1916
98,98,1990,Brandenburg,No migration background,Difficult,1.0,48,1862,0.90296,1.105
99,99,1990,Mecklenburg-Western Pomerania,No migration background,Difficult,1.0,33,1862,0.85147,1.22371
100,100,1990,Saxony,No migration background,Difficult,1.0,57,1862,0.91283,1.0898
101,101,1990,Saxony-Anhalt,No migration background,Difficult,1.0,33,1862,0.89715,1.0997
102,102,1990,Thuringa,No migration background,Difficult,1.0,43,1862,0.85501,1.17343
103,103,1991,Schleswig-Holstein,No migration background,Difficult,1.0,32,1962,0.83696,1.1288
104,104,1991,Lower Saxony,No migration background,Easy,0.19375,37,1962,0.16616,0.2161
105,105,1991,Lower Saxony,No migration background,Difficult,0.42188,66,1962,0.37749,0.47008
106,106,1991,Lower Saxony,No migration background,Almost impossible,0.38437,59,1962,0.34869,0.43506
107,107,1991,North Rhine-Westphalia,No migration background,Easy,0.23455,107,1962,0.21404,0.25607
108,108,1991,North Rhine-Westphalia,No migration background,Difficult,0.47657,198,1962,0.44897,0.50659
109,109,1991,North Rhine-Westphalia,No migration background,Almost impossible,0.28888,111,1962,0.27129,0.30755
110,110,1991,North Rhine-Westphalia,Direct migration background,Difficult,0.51344,79,1962,0.41408,0.63088
111,111,1991,North Rhine-Westphalia,Direct migration background,Almost impossible,0.48656,88,1962,0.40172,0.57323
112,112,1991,Hesse,No migration background,Difficult,1.0,47,1962,0.91159,1.13676
113,113,1991,"Rhineland-Palatinate, Saarland",No migration background,Difficult,0.54784,52,1962,0.47842,0.61577
114,114,1991,"Rhineland-Palatinate, Saarland",No migration background,Almost impossible,0.45216,43,1962,0.40998,0.51571
115,115,1991,Baden-Wuerttemberg,No migration background,Easy,0.27798,54,1962,0.2416,0.31832
