year,pgisced97,regtyp,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,Pre-primary Level,Urban regions,Difficult,0.75059,106,106,0.66783,0.83335
1987,Primary Level,Urban regions,Difficult,0.43465,102,235,0.37113,0.49816
1987,Primary Level,Urban regions,Almost impossible,0.50035,133,235,0.43629,0.56442
1987,Lower Secondary Level,Urban regions,Easy,0.09856,73,648,0.07559,0.12153
1987,Lower Secondary Level,Urban regions,Difficult,0.45579,335,648,0.41741,0.49416
1987,Lower Secondary Level,Urban regions,Almost impossible,0.44565,240,648,0.40735,0.48395
1987,Lower Secondary Level,Rural regions,Difficult,0.52046,108,173,0.44580,0.59512
1987,Lower Secondary Level,Rural regions,Almost impossible,0.37471,65,173,0.30237,0.44705
1987,Upper Secondary Level,Urban regions,Easy,0.15874,137,818,0.13368,0.18380
1987,Upper Secondary Level,Urban regions,Difficult,0.54491,464,818,0.51076,0.57906
1987,Upper Secondary Level,Urban regions,Almost impossible,0.29635,217,818,0.26503,0.32766
1987,Upper Secondary Level,Rural regions,Easy,0.15263,32,192,0.10163,0.20363
1987,Upper Secondary Level,Rural regions,Difficult,0.59289,112,192,0.52321,0.66257
1987,Upper Secondary Level,Rural regions,Almost impossible,0.25448,48,192,0.19271,0.31625
1987,First Stage of Tertiary Education,Urban regions,Difficult,0.50566,42,42,0.35262,0.65870
1987,Second Stage of Tertiary Education,Urban regions,Difficult,0.50778,36,36,0.34215,0.67341
1988,Pre-primary Level,Urban regions,Difficult,0.68568,78,78,0.58198,0.78937
1988,Primary Level,Urban regions,Difficult,0.47803,95,221,0.41202,0.54404
1988,Primary Level,Urban regions,Almost impossible,0.48032,126,221,0.41430,0.54634
1988,Lower Secondary Level,Urban regions,Easy,0.12549,83,614,0.09927,0.15172
1988,Lower Secondary Level,Urban regions,Difficult,0.45359,308,614,0.41418,0.49300
1988,Lower Secondary Level,Urban regions,Almost impossible,0.42092,223,614,0.38184,0.46000
1988,Lower Secondary Level,Rural regions,Difficult,0.52105,87,154,0.44189,0.60021
1988,Lower Secondary Level,Rural regions,Almost impossible,0.38854,67,154,0.31130,0.46577
1988,Upper Secondary Level,Urban regions,Easy,0.14785,123,798,0.12321,0.17249
1988,Upper Secondary Level,Urban regions,Difficult,0.52324,447,798,0.48857,0.55792
