year,pgisced97,plb0419_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1987,Pre-primary Level,Difficult,1.00000,123,2341,1.00000,1.00000
1987,Primary Level,Difficult,0.52515,123,2341,0.52366,0.52664
1987,Primary Level,Almost impossible,0.47485,149,2341,0.47336,0.47634
1987,Lower Secondary Level,Easy,0.10046,97,2341,0.10014,0.10079
1987,Lower Secondary Level,Difficult,0.47345,443,2341,0.47291,0.47399
1987,Lower Secondary Level,Almost impossible,0.42609,305,2341,0.42555,0.42662
1987,Upper Secondary Level,Easy,0.15750,169,2341,0.15718,0.15783
1987,Upper Secondary Level,Difficult,0.55457,576,2341,0.55413,0.55501
1987,Upper Secondary Level,Almost impossible,0.28793,265,2341,0.28753,0.28833
1987,First Stage of Tertiary Education,Difficult,1.00000,50,2341,1.00000,1.00000
1987,Second Stage of Tertiary Education,Difficult,1.00000,41,2341,1.00000,1.00000
1988,Pre-primary Level,Easy,0.18177,31,2243,0.18076,0.18278
1988,Pre-primary Level,Difficult,0.81823,99,2243,0.81722,0.81924
1988,Primary Level,Difficult,0.48622,110,2243,0.48468,0.48775
1988,Primary Level,Almost impossible,0.51378,143,2243,0.51225,0.51532
1988,Lower Secondary Level,Easy,0.11641,98,2243,0.11605,0.11677
1988,Lower Secondary Level,Difficult,0.47119,395,2243,0.47064,0.47175
1988,Lower Secondary Level,Almost impossible,0.41240,290,2243,0.41185,0.41294
1988,Upper Secondary Level,Easy,0.15114,156,2243,0.15083,0.15145
1988,Upper Secondary Level,Difficult,0.55053,569,2243,0.55010,0.55096
1988,Upper Secondary Level,Almost impossible,0.29833,268,2243,0.29793,0.29873
1988,First Stage of Tertiary Education,Difficult,1.00000,47,2243,1.00000,1.00000
1988,Second Stage of Tertiary Education,Difficult,1.00000,37,2243,1.00000,1.00000
1989,Pre-primary Level,Easy,0.28409,42,2023,0.28300,0.28517
1989,Pre-primary Level,Difficult,0.71591,89,2023,0.71483,0.71700
1989,Primary Level,Difficult,0.41953,93,2023,0.41792,0.42114
1989,Primary Level,Almost impossible,0.58047,134,2023,0.57886,0.58208
1989,Lower Secondary Level,Easy,0.12266,94,2023,0.12228,0.12304
1989,Lower Secondary Level,Difficult,0.41786,327,2023,0.41729,0.41843
1989,Lower Secondary Level,Almost impossible,0.45948,267,2023,0.45891,0.46006
1989,Upper Secondary Level,Easy,0.17944,170,2023,0.17909,0.17978
1989,Upper Secondary Level,Difficult,0.54995,499,2023,0.54950,0.55040
1989,Upper Secondary Level,Almost impossible,0.27062,243,2023,0.27021,0.27102
1989,First Stage of Tertiary Education,Difficult,1.00000,34,2023,1.00000,1.00000
1989,Second Stage of Tertiary Education,Difficult,1.00000,31,2023,1.00000,1.00000
1990,Pre-primary Level,Easy,0.23680,46,2322,0.23583,0.23777
1990,Pre-primary Level,Difficult,0.56857,94,2322,0.56744,0.56970
1990,Pre-primary Level,Almost impossible,0.19463,33,2322,0.19373,0.19553
1990,Primary Level,Difficult,0.52943,98,2322,0.52788,0.53099
1990,Primary Level,Almost impossible,0.47057,110,2322,0.46901,0.47212
1990,Lower Secondary Level,Easy,0.12352,101,2322,0.12315,0.12389
1990,Lower Secondary Level,Difficult,0.46230,342,2322,0.46174,0.46286
1990,Lower Secondary Level,Almost impossible,0.41418,250,2322,0.41362,0.41473
1990,Upper Secondary Level,Easy,0.22174,226,2322,0.22138,0.22210
1990,Upper Secondary Level,Difficult,0.49391,538,2322,0.49348,0.49435
1990,Upper Secondary Level,Almost impossible,0.28435,285,2322,0.28396,0.28474
1990,Post-secondary Non-tertiary Level,Easy,0.52441,38,2322,0.52276,0.52606
1990,Post-secondary Non-tertiary Level,Difficult,0.47559,43,2322,0.47394,0.47724
1990,First Stage of Tertiary Education,Difficult,1.00000,34,2322,1.00000,1.00000
1990,Second Stage of Tertiary Education,Difficult,1.00000,84,2322,1.00000,1.00000
1991,Pre-primary Level,Easy,0.37682,41,2454,0.37547,0.37816
1991,Pre-primary Level,Difficult,0.62318,67,2454,0.62184,0.62453
1991,Primary Level,Difficult,0.38776,91,2454,0.38633,0.38920
1991,Primary Level,Almost impossible,0.61224,116,2454,0.61080,0.61367
1991,Lower Secondary Level,Easy,0.14497,109,2454,0.14457,0.14537
1991,Lower Secondary Level,Difficult,0.44931,325,2454,0.44874,0.44988
1991,Lower Secondary Level,Almost impossible,0.40572,255,2454,0.40516,0.40628
1991,Upper Secondary Level,Easy,0.20099,244,2454,0.20066,0.20132
1991,Upper Secondary Level,Difficult,0.52077,634,2454,0.52035,0.52118
1991,Upper Secondary Level,Almost impossible,0.27824,322,2454,0.27787,0.27861
1991,Post-secondary Non-tertiary Level,Difficult,1.00000,34,2454,1.00000,1.00000
1991,First Stage of Tertiary Education,Difficult,1.00000,38,2454,1.00000,1.00000
1991,Second Stage of Tertiary Education,Easy,0.23378,36,2454,0.23284,0.23472
1991,Second Stage of Tertiary Education,Difficult,0.48082,92,2454,0.47971,0.48192
1991,Second Stage of Tertiary Education,Almost impossible,0.28540,50,2454,0.28440,0.28640
1992,Pre-primary Level,Easy,0.49452,53,2586,0.49311,0.49593
1992,Pre-primary Level,Difficult,0.50548,68,2586,0.50407,0.50689
1992,Primary Level,Difficult,0.49125,103,2586,0.48980,0.49270
1992,Primary Level,Almost impossible,0.50875,102,2586,0.50730,0.51020
1992,Lower Secondary Level,Easy,0.19409,135,2586,0.19363,0.19454
1992,Lower Secondary Level,Difficult,0.44506,317,2586,0.44448,0.44563
1992,Lower Secondary Level,Almost impossible,0.36086,225,2586,0.36030,0.36141
1992,Upper Secondary Level,Easy,0.20472,247,2586,0.20439,0.20504
1992,Upper Secondary Level,Difficult,0.52701,678,2586,0.52661,0.52741
1992,Upper Secondary Level,Almost impossible,0.26828,338,2586,0.26792,0.26863
1992,Post-secondary Non-tertiary Level,Easy,0.57708,41,2586,0.57547,0.57868
1992,Post-secondary Non-tertiary Level,Difficult,0.42292,41,2586,0.42132,0.42453
1992,First Stage of Tertiary Education,Difficult,1.00000,33,2586,1.00000,1.00000
1992,Second Stage of Tertiary Education,Easy,0.21097,36,2586,0.21012,0.21182
1992,Second Stage of Tertiary Education,Difficult,0.48472,108,2586,0.48368,0.48577
1992,Second Stage of Tertiary Education,Almost impossible,0.30431,61,2586,0.30335,0.30527
1993,Pre-primary Level,Easy,0.20624,32,2758,0.20529,0.20719
1993,Pre-primary Level,Difficult,0.61693,93,2758,0.61579,0.61807
1993,Pre-primary Level,Almost impossible,0.17683,34,2758,0.17593,0.17773
1993,Primary Level,Difficult,0.37520,80,2758,0.37392,0.37649
1993,Primary Level,Almost impossible,0.62480,138,2758,0.62351,0.62608
1993,Lower Secondary Level,Easy,0.13781,90,2758,0.13741,0.13821
1993,Lower Secondary Level,Difficult,0.44132,324,2758,0.44074,0.44189
1993,Lower Secondary Level,Almost impossible,0.42087,249,2758,0.42030,0.42144
1993,Upper Secondary Level,Easy,0.17451,225,2758,0.17422,0.17480
1993,Upper Secondary Level,Difficult,0.52526,739,2758,0.52488,0.52565
1993,Upper Secondary Level,Almost impossible,0.30023,422,2758,0.29987,0.30058
1993,Post-secondary Non-tertiary Level,Difficult,1.00000,51,2758,1.00000,1.00000
1993,First Stage of Tertiary Education,Difficult,0.53975,41,2758,0.53835,0.54116
1993,First Stage of Tertiary Education,Almost impossible,0.46025,41,2758,0.45884,0.46165
1993,Second Stage of Tertiary Education,Difficult,0.62459,122,2758,0.62362,0.62555
1993,Second Stage of Tertiary Education,Almost impossible,0.37541,77,2758,0.37445,0.37638
1994,Pre-primary Level,Easy,0.20517,33,2791,0.20433,0.20602
1994,Pre-primary Level,Difficult,0.62545,133,2791,0.62443,0.62646
1994,Pre-primary Level,Almost impossible,0.16938,38,2791,0.16859,0.17017
1994,Primary Level,Difficult,0.46087,73,2791,0.45952,0.46222
1994,Primary Level,Almost impossible,0.53913,122,2791,0.53778,0.54048
1994,Lower Secondary Level,Easy,0.10885,71,2791,0.10850,0.10921
1994,Lower Secondary Level,Difficult,0.45458,335,2791,0.45401,0.45515
1994,Lower Secondary Level,Almost impossible,0.43657,255,2791,0.43600,0.43714
1994,Upper Secondary Level,Easy,0.14183,206,2791,0.14157,0.14209
1994,Upper Secondary Level,Difficult,0.50979,750,2791,0.50941,0.51016
1994,Upper Secondary Level,Almost impossible,0.34838,462,2791,0.34803,0.34874
1994,Post-secondary Non-tertiary Level,Difficult,1.00000,56,2791,1.00000,1.00000
1994,First Stage of Tertiary Education,Difficult,0.55379,48,2791,0.55242,0.55516
1994,First Stage of Tertiary Education,Almost impossible,0.44621,40,2791,0.44484,0.44758
1994,Second Stage of Tertiary Education,Difficult,0.59256,100,2791,0.59153,0.59360
1994,Second Stage of Tertiary Education,Almost impossible,0.40744,69,2791,0.40640,0.40847
1995,Pre-primary Level,Easy,0.20582,50,2874,0.20503,0.20660
1995,Pre-primary Level,Difficult,0.61065,155,2874,0.60971,0.61159
1995,Pre-primary Level,Almost impossible,0.18353,49,2874,0.18278,0.18428
1995,Primary Level,Difficult,0.38803,68,2874,0.38661,0.38944
1995,Primary Level,Almost impossible,0.61197,131,2874,0.61056,0.61339
1995,Lower Secondary Level,Easy,0.10531,65,2874,0.10496,0.10567
1995,Lower Secondary Level,Difficult,0.43873,327,2874,0.43816,0.43930
1995,Lower Secondary Level,Almost impossible,0.45596,265,2874,0.45538,0.45653
1995,Upper Secondary Level,Easy,0.13537,209,2874,0.13511,0.13563
1995,Upper Secondary Level,Difficult,0.55787,820,2874,0.55749,0.55824
1995,Upper Secondary Level,Almost impossible,0.30676,405,2874,0.30642,0.30711
1995,Post-secondary Non-tertiary Level,Difficult,1.00000,69,2874,1.00000,1.00000
1995,First Stage of Tertiary Education,Difficult,0.59257,43,2874,0.59120,0.59393
