,Unnamed: 0,year,age_gr,sex,plb0419_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1987,17-29 y.,male,Easy,0.2309,122,2512,0.20502,0.25986
1,1,1987,17-29 y.,male,Difficult,0.5885,280,2512,0.54407,0.63229
2,2,1987,17-29 y.,male,Almost impossible,0.1806,77,2512,0.15835,0.20105
3,3,1987,17-29 y.,female,Easy,0.19881,93,2512,0.17435,0.22385
4,4,1987,17-29 y.,female,Difficult,0.66029,376,2512,0.60722,0.71673
5,5,1987,17-29 y.,female,Almost impossible,0.1409,88,2512,0.11422,0.1649
6,6,1987,30-45 y.,male,Difficult,1.0,59,2512,0.85882,1.14772
7,7,1987,30-45 y.,female,Easy,0.15996,96,2512,0.14624,0.17605
8,8,1987,30-45 y.,female,Difficult,0.6108,401,2512,0.58021,0.64161
9,9,1987,30-45 y.,female,Almost impossible,0.22925,178,2512,0.20811,0.25386
10,10,1987,46-65 y.,male,Difficult,0.30923,37,2512,0.22966,0.3909
11,11,1987,46-65 y.,male,Almost impossible,0.69077,85,2512,0.56712,0.83529
12,12,1987,46-65 y.,female,Easy,0.05689,33,2512,0.04791,0.06798
13,13,1987,46-65 y.,female,Difficult,0.41713,253,2512,0.39394,0.44322
14,14,1987,46-65 y.,female,Almost impossible,0.52598,334,2512,0.49755,0.55802
15,15,1988,17-29 y.,male,Easy,0.31351,130,2360,0.28383,0.35186
16,16,1988,17-29 y.,male,Difficult,0.54562,257,2360,0.49741,0.58874
17,17,1988,17-29 y.,male,Almost impossible,0.14087,59,2360,0.12127,0.16691
18,18,1988,17-29 y.,female,Easy,0.19522,112,2360,0.17035,0.22078
19,19,1988,17-29 y.,female,Difficult,0.63865,343,2360,0.59168,0.69829
20,20,1988,17-29 y.,female,Almost impossible,0.16613,108,2360,0.13808,0.19951
21,21,1988,30-45 y.,male,Difficult,1.0,62,2360,0.8478,1.21306
22,22,1988,30-45 y.,female,Easy,0.11876,67,2360,0.10566,0.13637
23,23,1988,30-45 y.,female,Difficult,0.66212,393,2360,0.62403,0.70653
24,24,1988,30-45 y.,female,Almost impossible,0.21912,151,2360,0.19664,0.24225
25,25,1988,46-65 y.,male,Difficult,0.31014,34,2360,0.21671,0.38664
26,26,1988,46-65 y.,male,Almost impossible,0.68986,78,2360,0.54859,0.80946
27,27,1988,46-65 y.,female,Difficult,0.38115,208,2360,0.35494,0.40532
28,28,1988,46-65 y.,female,Almost impossible,0.61885,358,2360,0.58575,0.65313
29,29,1989,17-29 y.,male,Easy,0.3063,119,2186,0.28068,0.33905
30,30,1989,17-29 y.,male,Difficult,0.55485,225,2186,0.50396,0.60307
31,31,1989,17-29 y.,male,Almost impossible,0.13886,58,2186,0.11979,0.15932
