year,migback,sampreg,plb0419_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1987,No migration background,West,Easy,0.12779128815875274,270,2552,0.12758940444854702,0.12799317186895845
1987,No migration background,West,Difficult,0.46995463561404155,951,2552,0.4696528316548425,0.4702564395732406
1987,No migration background,West,Almost impossible,0.26884170344898606,483,2552,0.2685736048966231,0.26910980200134904
1987,Direct migration background,West,Easy,0.01114585529381343,75,2552,0.011082371442944345,0.011209339144682515
1987,Direct migration background,West,Difficult,0.06142057243727733,414,2552,0.06127538371316358,0.061565761161391085
1987,Direct migration background,West,Almost impossible,0.056628308788813114,317,2552,0.05648854371469248,0.05676807386293375
1987,Indirect migration background,West,Difficult,0.004217636258315836,42,2552,0.004178447886521997,0.004256824630109675
1988,No migration background,West,Easy,0.13704520348043692,268,2417,0.13683683216094375,0.13725357479993008
1988,No migration background,West,Difficult,0.4573692158683784,863,2417,0.45706736135244574,0.4576710703843111
1988,No migration background,West,Almost impossible,0.2745515945092924,469,2417,0.27428118170702875,0.27482200731155604
1988,Direct migration background,West,Easy,0.01068290587827633,67,2417,0.010620614999759168,0.010745196756793491
1988,Direct migration background,West,Difficult,0.06222122987106521,383,2417,0.062074866807141804,0.062367592934988614
1988,Direct migration background,West,Almost impossible,0.05195286104680143,314,2417,0.05181838909797656,0.0520873329956263
1988,Indirect migration background,West,Difficult,0.006176989345749189,53,2417,0.006129515441612228,0.0062244632498861495
1989,No migration background,West,Easy,0.15534032729625283,283,2231,0.15511565128175037,0.1555650033107553
1989,No migration background,West,Difficult,0.4311353139612952,735,2231,0.43082813956789257,0.4314424883546978
1989,No migration background,West,Almost impossible,0.2605520479487862,413,2231,0.2602797936321231,0.26082430226544934
1989,Direct migration background,West,Easy,0.016046409207726806,76,2231,0.01596847108109415,0.01612434733435946
1989,Direct migration background,West,Difficult,0.06089168482079555,325,2231,0.06074336111693046,0.06104000852466064
1989,Direct migration background,West,Almost impossible,0.06110292059955358,303,2231,0.060954356559128044,0.06125148463997911
