,Unnamed: 0,year,migback,plb0419_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1987,No migration background,Easy,0.14746,270,2552,0.14073,0.15445
1,1,1987,No migration background,Difficult,0.5423,951,2552,0.53086,0.55585
2,2,1987,No migration background,Almost impossible,0.31023,483,2552,0.30171,0.3194
3,3,1987,Direct migration background,Easy,0.08627,75,2552,0.0668,0.10546
4,4,1987,Direct migration background,Difficult,0.47541,414,2552,0.43295,0.51958
5,5,1987,Direct migration background,Almost impossible,0.43832,317,2552,0.38898,0.49292
6,6,1987,Indirect migration background,Difficult,1.0,42,2552,0.7391,1.41764
7,7,1988,No migration background,Easy,0.15771,268,2417,0.14965,0.16589
8,8,1988,No migration background,Difficult,0.52634,863,2417,0.51418,0.54178
9,9,1988,No migration background,Almost impossible,0.31595,469,2417,0.30619,0.32631
10,10,1988,Direct migration background,Easy,0.08556,67,2417,0.05883,0.11426
11,11,1988,Direct migration background,Difficult,0.49834,383,2417,0.44152,0.55244
12,12,1988,Direct migration background,Almost impossible,0.4161,314,2417,0.36228,0.47085
13,13,1988,Indirect migration background,Difficult,1.0,53,2417,0.71284,1.33389
14,14,1989,No migration background,Easy,0.18339,283,2231,0.17355,0.19349
15,15,1989,No migration background,Difficult,0.509,735,2231,0.49416,0.5218
16,16,1989,No migration background,Almost impossible,0.30761,413,2231,0.29675,0.31874
17,17,1989,Direct migration background,Easy,0.11624,76,2231,0.09178,0.14417
18,18,1989,Direct migration background,Difficult,0.44111,325,2231,0.38942,0.49536
19,19,1989,Direct migration background,Almost impossible,0.44264,303,2231,0.38631,0.49983
20,20,1989,Indirect migration background,Easy,0.30008,31,2231,0.18233,0.51749
21,21,1989,Indirect migration background,Difficult,0.69992,65,2231,0.54718,0.89825
22,22,1990,No migration background,Easy,0.20835,362,2474,0.19702,0.21834
23,23,1990,No migration background,Difficult,0.49976,874,2474,0.48459,0.51588
24,24,1990,No migration background,Almost impossible,0.29188,445,2474,0.2808,0.30378
25,25,1990,Direct migration background,Easy,0.15166,86,2474,0.11348,0.1957
26,26,1990,Direct migration background,Difficult,0.45107,329,2474,0.40103,0.50225
27,27,1990,Direct migration background,Almost impossible,0.39727,275,2474,0.34685,0.45355
28,28,1990,Indirect migration background,Easy,0.36168,45,2474,0.28013,0.48074
29,29,1990,Indirect migration background,Difficult,0.63832,58,2474,0.45346,0.80432
30,30,1991,No migration background,Easy,0.20331,379,2603,0.19337,0.21265
31,31,1991,No migration background,Difficult,0.49317,956,2603,0.47475,0.50927
32,32,1991,No migration background,Almost impossible,0.30352,540,2603,0.29286,0.31581
33,33,1991,Direct migration background,Easy,0.1388,79,2603,0.11427,0.17446
34,34,1991,Direct migration background,Difficult,0.45501,293,2603,0.39731,0.50612
35,35,1991,Direct migration background,Almost impossible,0.40619,253,2603,0.35731,0.45968
36,36,1991,Indirect migration background,Easy,0.51842,49,2603,0.39305,0.65272
37,37,1991,Indirect migration background,Difficult,0.48158,54,2603,0.42445,0.55296
38,38,1992,No migration background,Easy,0.23553,440,2750,0.22194,0.24965
39,39,1992,No migration background,Difficult,0.4855,1018,2750,0.46875,0.50243
40,40,1992,No migration background,Almost impossible,0.27897,534,2750,0.26611,0.29225
41,41,1992,Direct migration background,Easy,0.13394,81,2750,0.10809,0.1668
42,42,1992,Direct migration background,Difficult,0.45137,283,2750,0.40838,0.49385
43,43,1992,Direct migration background,Almost impossible,0.41469,257,2750,0.37175,0.46089
44,44,1992,Indirect migration background,Easy,0.43878,65,2750,0.36476,0.50779
45,45,1992,Indirect migration background,Difficult,0.56122,72,2750,0.46054,0.66399
46,46,1993,No migration background,Easy,0.16742,341,2925,0.15621,0.18061
47,47,1993,No migration background,Difficult,0.50397,1087,2925,0.48407,0.52774
48,48,1993,No migration background,Almost impossible,0.32861,668,2925,0.31748,0.34011
49,49,1993,Direct migration background,Easy,0.08794,55,2925,0.07184,0.10923
50,50,1993,Direct migration background,Difficult,0.50763,309,2925,0.45867,0.58422
51,51,1993,Direct migration background,Almost impossible,0.40443,287,2925,0.37001,0.44991
52,52,1993,Indirect migration background,Easy,0.24001,39,2925,0.15506,0.3347
53,53,1993,Indirect migration background,Difficult,0.54184,93,2925,0.45946,0.63795
54,54,1993,Indirect migration background,Almost impossible,0.21814,46,2925,0.18518,0.25946
55,55,1994,No migration background,Easy,0.14703,309,2916,0.13595,0.15866
56,56,1994,No migration background,Difficult,0.50507,1116,2916,0.48657,0.52902
57,57,1994,No migration background,Almost impossible,0.34789,683,2916,0.33119,0.36623
58,58,1994,Direct migration background,Easy,0.07224,51,2916,0.05956,0.08611
59,59,1994,Direct migration background,Difficult,0.45129,295,2916,0.40981,0.49911
60,60,1994,Direct migration background,Almost impossible,0.47647,305,2916,0.41388,0.5393
61,61,1994,Indirect migration background,Difficult,0.73676,117,2916,0.60948,0.87579
62,62,1994,Indirect migration background,Almost impossible,0.26324,40,2916,0.20861,0.33308
63,63,1995,No migration background,Easy,0.133,281,3023,0.122,0.1418
64,64,1995,No migration background,Difficult,0.53803,1160,3023,0.5134,0.55978
65,65,1995,No migration background,Almost impossible,0.32898,623,3023,0.31072,0.34981
66,66,1995,Direct migration background,Easy,0.1103,72,3023,0.08185,0.14515
67,67,1995,Direct migration background,Difficult,0.47745,381,3023,0.42266,0.51654
68,68,1995,Direct migration background,Almost impossible,0.41226,351,3023,0.36891,0.45688
69,69,1995,Indirect migration background,Easy,0.29678,42,3023,0.21423,0.38987
70,70,1995,Indirect migration background,Difficult,0.70322,113,3023,0.58217,0.83879
71,71,1996,No migration background,Easy,0.14319,302,3014,0.1297,0.15677
72,72,1996,No migration background,Difficult,0.52838,1124,3014,0.5048,0.54934
73,73,1996,No migration background,Almost impossible,0.32843,624,3014,0.30929,0.34452
74,74,1996,Direct migration background,Easy,0.09611,51,3014,0.06268,0.12464
75,75,1996,Direct migration background,Difficult,0.49905,376,3014,0.45551,0.54323
76,76,1996,Direct migration background,Almost impossible,0.40484,322,3014,0.35459,0.44846
77,77,1996,Indirect migration background,Easy,0.20875,39,3014,0.14834,0.27612
78,78,1996,Indirect migration background,Difficult,0.59837,129,3014,0.50762,0.67928
79,79,1996,Indirect migration background,Almost impossible,0.19288,47,3014,0.15,0.231
80,80,1997,No migration background,Easy,0.11777,251,2949,0.1101,0.12652
81,81,1997,No migration background,Difficult,0.55227,1155,2949,0.52983,0.57844
82,82,1997,No migration background,Almost impossible,0.32996,621,2949,0.31385,0.35097
83,83,1997,Direct migration background,Easy,0.06546,39,2949,0.04354,0.08987
84,84,1997,Direct migration background,Difficult,0.46454,349,2949,0.42441,0.51025
85,85,1997,Direct migration background,Almost impossible,0.47,343,2949,0.41862,0.5279
86,86,1997,Indirect migration background,Difficult,0.6708,138,2949,0.56926,0.77476
87,87,1997,Indirect migration background,Almost impossible,0.3292,53,2949,0.24183,0.45811
88,88,1998,No migration background,Easy,0.11738,276,3105,0.1084,0.12828
89,89,1998,No migration background,Difficult,0.56455,1281,3105,0.54369,0.58562
90,90,1998,No migration background,Almost impossible,0.31807,678,3105,0.30393,0.33478
91,91,1998,Direct migration background,Easy,0.07109,50,3105,0.05111,0.0929
92,92,1998,Direct migration background,Difficult,0.49119,315,3105,0.45505,0.52755
93,93,1998,Direct migration background,Almost impossible,0.43772,314,3105,0.39343,0.48494
94,94,1998,Indirect migration background,Difficult,0.76149,135,3105,0.63948,0.85981
95,95,1998,Indirect migration background,Almost impossible,0.23851,56,3105,0.19705,0.29568
96,96,1999,No migration background,Easy,0.13258,246,2776,0.11904,0.14483
97,97,1999,No migration background,Difficult,0.53924,1134,2776,0.51666,0.56086
98,98,1999,No migration background,Almost impossible,0.32819,607,2776,0.30779,0.34816
99,99,1999,Direct migration background,Easy,0.09783,45,2776,0.07334,0.13428
100,100,1999,Direct migration background,Difficult,0.48217,275,2776,0.43319,0.5324
101,101,1999,Direct migration background,Almost impossible,0.42001,258,2776,0.3759,0.46543
102,102,1999,Indirect migration background,Easy,0.20291,45,2776,0.14216,0.27347
103,103,1999,Indirect migration background,Difficult,0.56433,124,2776,0.49976,0.65011
104,104,1999,Indirect migration background,Almost impossible,0.23277,42,2776,0.18298,0.29675
