,Unnamed: 0,year,migback,pgisced97,plb0419_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1987,No migration background,Pre-primary Level,Difficult,1.0,98,2188,0.91536,1.08307
1,1,1987,No migration background,Lower Secondary Level,Easy,0.09941,58,2188,0.08853,0.11016
2,2,1987,No migration background,Lower Secondary Level,Difficult,0.47816,259,2188,0.45941,0.49627
3,3,1987,No migration background,Lower Secondary Level,Almost impossible,0.42243,201,2188,0.40409,0.43711
4,4,1987,No migration background,Upper Secondary Level,Easy,0.1586,142,2188,0.14794,0.16728
5,5,1987,No migration background,Upper Secondary Level,Difficult,0.55501,466,2188,0.53701,0.57378
6,6,1987,No migration background,Upper Secondary Level,Almost impossible,0.28639,215,2188,0.27391,0.29982
7,7,1987,No migration background,First Stage of Tertiary Education,Difficult,1.0,40,2188,0.88218,1.10516
8,8,1987,No migration background,Second Stage of Tertiary Education,Difficult,1.0,34,2188,0.84857,1.15804
9,9,1987,Direct migration background,Primary Level,Difficult,0.40795,98,2188,0.34863,0.469
10,10,1987,Direct migration background,Primary Level,Almost impossible,0.59205,137,2188,0.5337,0.64304
11,11,1987,Direct migration background,Lower Secondary Level,Easy,0.10355,31,2188,0.06744,0.14457
12,12,1987,Direct migration background,Lower Secondary Level,Difficult,0.43654,161,2188,0.36649,0.50069
13,13,1987,Direct migration background,Lower Secondary Level,Almost impossible,0.45991,99,2188,0.37686,0.55161
14,14,1987,Direct migration background,Upper Secondary Level,Difficult,0.63605,102,2188,0.51661,0.75892
15,15,1987,Direct migration background,Upper Secondary Level,Almost impossible,0.36395,47,2188,0.26448,0.46448
16,16,1988,No migration background,Pre-primary Level,Difficult,1.0,74,2004,0.92256,1.09684
17,17,1988,No migration background,Lower Secondary Level,Easy,0.12182,65,2004,0.11283,0.13298
18,18,1988,No migration background,Lower Secondary Level,Difficult,0.46635,226,2004,0.43862,0.48754
19,19,1988,No migration background,Lower Secondary Level,Almost impossible,0.41183,183,2004,0.3917,0.42988
20,20,1988,No migration background,Upper Secondary Level,Easy,0.15129,125,2004,0.13997,0.16257
21,21,1988,No migration background,Upper Secondary Level,Difficult,0.5587,457,2004,0.54052,0.57656
22,22,1988,No migration background,Upper Secondary Level,Almost impossible,0.29,212,2004,0.27709,0.30311
23,23,1988,No migration background,First Stage of Tertiary Education,Difficult,1.0,40,2004,0.91383,1.08996
24,24,1988,Direct migration background,Primary Level,Difficult,0.43062,92,2004,0.38091,0.48953
25,25,1988,Direct migration background,Primary Level,Almost impossible,0.56938,131,2004,0.51086,0.63937
26,26,1988,Direct migration background,Lower Secondary Level,Difficult,0.5362,145,2004,0.45207,0.6346
27,27,1988,Direct migration background,Lower Secondary Level,Almost impossible,0.4638,100,2004,0.36972,0.56298
28,28,1988,Direct migration background,Upper Secondary Level,Difficult,0.57292,102,2004,0.45729,0.68946
29,29,1988,Direct migration background,Upper Secondary Level,Almost impossible,0.42708,52,2004,0.29695,0.53972
30,30,1989,No migration background,Pre-primary Level,Difficult,1.0,69,1782,0.89786,1.0779
31,31,1989,No migration background,Lower Secondary Level,Easy,0.12538,56,1782,0.11488,0.13688
32,32,1989,No migration background,Lower Secondary Level,Difficult,0.40647,174,1782,0.38172,0.42973
33,33,1989,No migration background,Lower Secondary Level,Almost impossible,0.46815,171,1782,0.44159,0.49181
34,34,1989,No migration background,Upper Secondary Level,Easy,0.18177,140,1782,0.16839,0.19601
35,35,1989,No migration background,Upper Secondary Level,Difficult,0.55828,397,1782,0.53835,0.57994
36,36,1989,No migration background,Upper Secondary Level,Almost impossible,0.25995,182,1782,0.24809,0.27075
37,37,1989,Direct migration background,Primary Level,Difficult,0.34252,77,1782,0.29963,0.38889
38,38,1989,Direct migration background,Primary Level,Almost impossible,0.65748,125,1782,0.58092,0.76725
39,39,1989,Direct migration background,Lower Secondary Level,Difficult,0.4793,120,1782,0.41015,0.55986
40,40,1989,Direct migration background,Lower Secondary Level,Almost impossible,0.5207,90,1782,0.40822,0.66014
41,41,1989,Direct migration background,Upper Secondary Level,Difficult,0.55479,89,1782,0.43957,0.68452
42,42,1989,Direct migration background,Upper Secondary Level,Almost impossible,0.44521,59,1782,0.34062,0.55032
43,43,1989,Indirect migration background,Lower Secondary Level,Difficult,1.0,33,1782,0.71498,1.37907
44,44,1990,No migration background,Pre-primary Level,Difficult,1.0,67,1949,0.87882,1.12513
45,45,1990,No migration background,Lower Secondary Level,Easy,0.12483,62,1949,0.11122,0.13724
46,46,1990,No migration background,Lower Secondary Level,Difficult,0.46921,207,1949,0.43739,0.5031
47,47,1990,No migration background,Lower Secondary Level,Almost impossible,0.40596,158,1949,0.37794,0.43283
48,48,1990,No migration background,Upper Secondary Level,Easy,0.21896,186,1949,0.20336,0.23635
49,49,1990,No migration background,Upper Secondary Level,Difficult,0.50038,447,1949,0.47766,0.52007
50,50,1990,No migration background,Upper Secondary Level,Almost impossible,0.28067,222,1949,0.26439,0.29649
51,51,1990,No migration background,Second Stage of Tertiary Education,Difficult,1.0,80,1949,0.85192,1.14966
52,52,1990,Direct migration background,Primary Level,Difficult,0.43947,79,1949,0.37993,0.50757
53,53,1990,Direct migration background,Primary Level,Almost impossible,0.56053,104,1949,0.4861,0.64791
54,54,1990,Direct migration background,Lower Secondary Level,Difficult,0.47076,112,1949,0.397,0.53849
55,55,1990,Direct migration background,Lower Secondary Level,Almost impossible,0.52924,86,1949,0.42656,0.64848
56,56,1990,Direct migration background,Upper Secondary Level,Difficult,0.59712,81,1949,0.48237,0.75711
57,57,1990,Direct migration background,Upper Secondary Level,Almost impossible,0.40288,58,1949,0.29737,0.50663
58,58,1991,No migration background,Pre-primary Level,Difficult,1.0,46,2191,0.91691,1.10291
59,59,1991,No migration background,Lower Secondary Level,Easy,0.14498,69,2191,0.12991,0.16144
60,60,1991,No migration background,Lower Secondary Level,Difficult,0.44271,194,2191,0.41038,0.47413
61,61,1991,No migration background,Lower Secondary Level,Almost impossible,0.4123,168,2191,0.38296,0.44823
62,62,1991,No migration background,Upper Secondary Level,Easy,0.1976,196,2191,0.18503,0.20952
63,63,1991,No migration background,Upper Secondary Level,Difficult,0.53173,550,2191,0.50516,0.55679
64,64,1991,No migration background,Upper Secondary Level,Almost impossible,0.27067,265,2191,0.25414,0.28539
65,65,1991,No migration background,First Stage of Tertiary Education,Difficult,1.0,32,2191,0.82475,1.19249
66,66,1991,No migration background,Second Stage of Tertiary Education,Easy,0.23684,33,2191,0.19581,0.2765
67,67,1991,No migration background,Second Stage of Tertiary Education,Difficult,0.48768,86,2191,0.41804,0.56703
68,68,1991,No migration background,Second Stage of Tertiary Education,Almost impossible,0.27547,47,2191,0.23662,0.31709
69,69,1991,Direct migration background,Primary Level,Difficult,0.38842,66,2191,0.32261,0.45957
70,70,1991,Direct migration background,Primary Level,Almost impossible,0.61158,94,2191,0.54117,0.69418
71,71,1991,Direct migration background,Lower Secondary Level,Difficult,0.55693,110,2191,0.45611,0.65338
72,72,1991,Direct migration background,Lower Secondary Level,Almost impossible,0.44307,79,2191,0.36305,0.53765
73,73,1991,Direct migration background,Upper Secondary Level,Easy,0.20114,33,2191,0.14056,0.28883
74,74,1991,Direct migration background,Upper Secondary Level,Difficult,0.41926,71,2191,0.34305,0.52986
75,75,1991,Direct migration background,Upper Secondary Level,Almost impossible,0.37959,52,2191,0.30261,0.47057
76,76,1992,No migration background,Pre-primary Level,Easy,0.48406,31,2270,0.42736,0.54463
77,77,1992,No migration background,Pre-primary Level,Difficult,0.51594,47,2270,0.43232,0.63361
78,78,1992,No migration background,Lower Secondary Level,Easy,0.19895,84,2270,0.17992,0.21441
79,79,1992,No migration background,Lower Secondary Level,Difficult,0.44273,201,2270,0.41331,0.47731
80,80,1992,No migration background,Lower Secondary Level,Almost impossible,0.35832,133,2270,0.33137,0.38217
