,Unnamed: 0,year,pgisced97,sex,plb0419_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1987,Pre-primary Level,male,Difficult,1.0,65,2237,0.85047,1.13682
1,1,1987,Pre-primary Level,female,Difficult,1.0,58,2237,0.86304,1.18063
2,2,1987,Primary Level,female,Difficult,0.49328,94,2237,0.39089,0.60988
3,3,1987,Primary Level,female,Almost impossible,0.50672,121,2237,0.43937,0.58145
4,4,1987,Lower Secondary Level,male,Easy,0.1925,45,2237,0.15581,0.23474
5,5,1987,Lower Secondary Level,male,Difficult,0.47298,100,2237,0.3921,0.55815
6,6,1987,Lower Secondary Level,male,Almost impossible,0.33453,51,2237,0.27165,0.40928
7,7,1987,Lower Secondary Level,female,Easy,0.08039,52,2237,0.06903,0.09298
8,8,1987,Lower Secondary Level,female,Difficult,0.47355,343,2237,0.44229,0.51065
9,9,1987,Lower Secondary Level,female,Almost impossible,0.44606,254,2237,0.41502,0.47158
10,10,1987,Upper Secondary Level,male,Easy,0.20379,63,2237,0.17302,0.23251
11,11,1987,Upper Secondary Level,male,Difficult,0.53235,141,2237,0.48764,0.575
12,12,1987,Upper Secondary Level,male,Almost impossible,0.26386,69,2237,0.23192,0.29425
13,13,1987,Upper Secondary Level,female,Easy,0.14017,106,2237,0.12884,0.152
14,14,1987,Upper Secondary Level,female,Difficult,0.56289,435,2237,0.53737,0.58454
15,15,1987,Upper Secondary Level,female,Almost impossible,0.29694,196,2237,0.28043,0.31172
16,16,1987,First Stage of Tertiary Education,female,Difficult,1.0,44,2237,0.88293,1.09763
17,17,1988,Pre-primary Level,male,Difficult,1.0,56,2138,0.85267,1.15026
18,18,1988,Pre-primary Level,female,Difficult,1.0,43,2138,0.82523,1.18376
19,19,1988,Primary Level,female,Difficult,0.48449,96,2138,0.39774,0.59538
20,20,1988,Primary Level,female,Almost impossible,0.51551,123,2138,0.42139,0.63447
21,21,1988,Lower Secondary Level,male,Easy,0.2417,42,2138,0.19477,0.2878
22,22,1988,Lower Secondary Level,male,Difficult,0.54688,101,2138,0.45927,0.64127
23,23,1988,Lower Secondary Level,male,Almost impossible,0.21142,38,2138,0.14798,0.27516
24,24,1988,Lower Secondary Level,female,Easy,0.08945,56,2138,0.07286,0.10528
25,25,1988,Lower Secondary Level,female,Difficult,0.4549,294,2138,0.41956,0.49287
26,26,1988,Lower Secondary Level,female,Almost impossible,0.45565,252,2138,0.42384,0.48743
27,27,1988,Upper Secondary Level,male,Easy,0.23482,63,2138,0.20271,0.26472
28,28,1988,Upper Secondary Level,male,Difficult,0.52134,153,2138,0.46657,0.56761
29,29,1988,Upper Secondary Level,male,Almost impossible,0.24384,61,2138,0.20559,0.27818
30,30,1988,Upper Secondary Level,female,Easy,0.11766,93,2138,0.1054,0.13016
31,31,1988,Upper Secondary Level,female,Difficult,0.56221,416,2138,0.53469,0.58693
