year,bula_h,pgisced97,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,Lower Saxony,Lower Secondary Level,Difficult,0.48523,48,83,0.37706,0.59341
1987,Lower Saxony,Lower Secondary Level,Almost impossible,0.42257,35,83,0.31565,0.52949
1987,Lower Saxony,Upper Secondary Level,Difficult,0.59428,72,72,0.48006,0.70850
1987,North Rhine-Westphalia,Pre-primary Level,Difficult,0.77081,54,54,0.65765,0.88397
1987,North Rhine-Westphalia,Primary Level,Difficult,0.38698,38,93,0.28745,0.48651
1987,North Rhine-Westphalia,Primary Level,Almost impossible,0.53271,55,93,0.43075,0.63466
1987,North Rhine-Westphalia,Lower Secondary Level,Difficult,0.42321,115,211,0.35638,0.49003
1987,North Rhine-Westphalia,Lower Secondary Level,Almost impossible,0.49252,96,211,0.42490,0.56014
1987,North Rhine-Westphalia,Upper Secondary Level,Easy,0.11549,46,349,0.08191,0.14907
1987,North Rhine-Westphalia,Upper Secondary Level,Difficult,0.56970,205,349,0.51768,0.62172
1987,North Rhine-Westphalia,Upper Secondary Level,Almost impossible,0.31481,98,349,0.26601,0.36361
1987,Hesse,Lower Secondary Level,Difficult,0.44738,45,80,0.33773,0.55703
1987,Hesse,Lower Secondary Level,Almost impossible,0.44031,35,80,0.33084,0.54978
1987,Hesse,Upper Secondary Level,Difficult,0.46263,51,51,0.32443,0.60084
1987,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Difficult,0.43427,45,90,0.33129,0.53725
1987,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Almost impossible,0.52523,45,90,0.42148,0.62897
1987,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Difficult,0.54032,41,41,0.38587,0.69476
1987,Baden-Wuerttemberg,Primary Level,Difficult,0.41217,34,78,0.30222,0.52211
1987,Baden-Wuerttemberg,Primary Level,Almost impossible,0.53728,44,78,0.42591,0.64865
1987,Baden-Wuerttemberg,Lower Secondary Level,Difficult,0.53962,88,129,0.45328,0.62597
1987,Baden-Wuerttemberg,Lower Secondary Level,Almost impossible,0.32129,41,129,0.24039,0.40219
1987,Baden-Wuerttemberg,Upper Secondary Level,Easy,0.22343,34,143,0.15491,0.29194
1987,Baden-Wuerttemberg,Upper Secondary Level,Difficult,0.54903,74,143,0.46718,0.63087
1987,Baden-Wuerttemberg,Upper Secondary Level,Almost impossible,0.22755,35,143,0.15859,0.29650
1987,Bavaria,Lower Secondary Level,Difficult,0.54703,67,101,0.44946,0.64459
1987,Bavaria,Lower Secondary Level,Almost impossible,0.31292,34,101,0.22204,0.40380
1987,Bavaria,Upper Secondary Level,Easy,0.21872,34,144,0.15097,0.28647
1987,Bavaria,Upper Secondary Level,Difficult,0.54423,77,144,0.46260,0.62586
1987,Bavaria,Upper Secondary Level,Almost impossible,0.23705,33,144,0.16734,0.30675
1988,Lower Saxony,Lower Secondary Level,Difficult,0.45375,43,77,0.34182,0.56568
1988,Lower Saxony,Lower Secondary Level,Almost impossible,0.46289,34,77,0.35079,0.57500
1988,Lower Saxony,Upper Secondary Level,Difficult,0.58187,68,68,0.46376,0.69998
1988,North Rhine-Westphalia,Pre-primary Level,Difficult,0.74206,44,44,0.61129,0.87283
1988,North Rhine-Westphalia,Primary Level,Difficult,0.51614,35,80,0.40594,0.62635
1988,North Rhine-Westphalia,Primary Level,Almost impossible,0.47280,45,80,0.36270,0.58289
1988,North Rhine-Westphalia,Lower Secondary Level,Difficult,0.48813,113,198,0.41833,0.55794
1988,North Rhine-Westphalia,Lower Secondary Level,Almost impossible,0.42090,85,198,0.35195,0.48984
1988,North Rhine-Westphalia,Upper Secondary Level,Easy,0.12332,46,339,0.08827,0.15837
1988,North Rhine-Westphalia,Upper Secondary Level,Difficult,0.54381,188,339,0.49071,0.59691
1988,North Rhine-Westphalia,Upper Secondary Level,Almost impossible,0.33287,105,339,0.28263,0.38311
1988,Hesse,Lower Secondary Level,Difficult,0.26849,31,67,0.16157,0.37541
1988,Hesse,Lower Secondary Level,Almost impossible,0.56630,36,67,0.44673,0.68586
1988,Hesse,Upper Secondary Level,Difficult,0.47572,62,62,0.35040,0.60105
1988,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Difficult,0.42806,40,82,0.32030,0.53582
1988,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Almost impossible,0.49792,42,82,0.38903,0.60680
1988,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Difficult,0.63418,44,44,0.49022,0.77815
1988,Baden-Wuerttemberg,Primary Level,Almost impossible,0.45376,40,40,0.29751,0.61001
1988,Baden-Wuerttemberg,Lower Secondary Level,Difficult,0.46304,75,121,0.37383,0.55226
1988,Baden-Wuerttemberg,Lower Secondary Level,Almost impossible,0.34887,46,121,0.26360,0.43415
1988,Baden-Wuerttemberg,Upper Secondary Level,Difficult,0.52958,79,118,0.43914,0.62002
